date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-29,ADANIENT.NS,MOMENTUM,LONG,3095.86,3236.86,3025.36,PARTIAL,-1.552
2024-07-30,ADANIENT.NS,MOMENTUM,LONG,3093.56,3208.68,3036.0,PARTIAL,-0.206
2024-07-31,ADANIENT.NS,MOMENTUM,LONG,3142.58,3323.03,3052.36,PARTIAL,-0.469
2024-08-01,ADANIENT.NS,MOMENTUM,LONG,3181.6,3397.7,3073.55,PARTIAL,-0.187
2024-08-02,ADANIENT.NS,MOMENTUM,LONG,3201.61,3404.75,3100.05,PARTIAL,-2.57
2024-08-13,ADANIENT.NS,MOMENTUM,LONG,3171.65,3254.89,3130.03,LOSS,-2.573
2024-08-22,ADANIENT.NS,MOMENTUM,LONG,3132.33,3208.68,3094.15,LOSS,-2.496
2024-09-24,ADANIENT.NS,MOMENTUM,LONG,3056.54,3206.09,2981.76,PARTIAL,-0.137
2024-09-25,ADANIENT.NS,MOMENTUM,LONG,3109.57,3324.64,3002.03,PARTIAL,-1.479
2024-09-26,ADANIENT.NS,MOMENTUM,LONG,3086.55,3218.72,3020.47,PARTIAL,-0.177
2024-09-27,ADANIENT.NS,MOMENTUM,LONG,3123.57,3293.27,3038.73,PARTIAL,-1.115
2024-09-30,ADANIENT.NS,MOMENTUM,LONG,3130.58,3282.02,3054.85,PARTIAL,-1.159
2024-10-01,ADANIENT.NS,MOMENTUM,LONG,3137.88,3275.92,3068.86,PARTIAL,0.212
2024-10-03,ADANIENT.NS,MOMENTUM,LONG,3151.59,3274.6,3090.08,LOSS,-3.221
2024-10-10,ADANIENT.NS,MOMENTUM,LONG,3141.58,3221.16,3101.79,LOSS,-2.54
2024-10-11,ADANIENT.NS,MOMENTUM,LONG,3175.8,3299.29,3114.06,PARTIAL,-2.524
2024-10-14,ADANIENT.NS,MOMENTUM,LONG,3146.59,3206.77,3116.49,LOSS,-2.228
2024-10-31,ADANIENT.NS,MOMENTUM,LONG,2969.4,3151.56,2878.31,PARTIAL,-2.142
2024-11-01,ADANIENT.NS,MOMENTUM,LONG,2961.49,3104.39,2890.04,PARTIAL,-1.805
2024-11-04,ADANIENT.NS,MOMENTUM,LONG,2936.48,3009.69,2899.87,LOSS,-2.609
2024-11-07,ADANIENT.NS,MOMENTUM,LONG,3046.53,3287.03,2926.29,PARTIAL,-3.87
2024-11-29,ADANIENT.NS,MOMENTUM,LONG,2465.29,2506.38,2444.75,WIN,0.044
2024-12-02,ADANIENT.NS,MOMENTUM,LONG,2492.61,2584.4,2446.71,LOSS,-3.446
2024-12-03,ADANIENT.NS,MOMENTUM,LONG,2465.24,2501.61,2447.06,WIN,-0.147
2024-12-04,ADANIENT.NS,MOMENTUM,LONG,2529.27,2670.36,2458.73,PARTIAL,-2.995
2024-12-05,ADANIENT.NS,MOMENTUM,LONG,2506.26,2590.4,2464.19,PARTIAL,-0.996
2024-12-06,ADANIENT.NS,MOMENTUM,LONG,2521.27,2615.61,2474.1,PARTIAL,-2.226
2024-12-09,ADANIENT.NS,MOMENTUM,LONG,2509.16,2569.87,2478.81,PARTIAL,-2.174
2024-12-16,ADANIENT.NS,MOMENTUM,LONG,2531.28,2625.45,2484.19,PARTIAL,-2.375
2024-12-17,ADANIENT.NS,MOMENTUM,LONG,2513.27,2563.65,2488.08,LOSS,-2.594
2024-12-30,ADANIENT.NS,MOMENTUM,LONG,2426.22,2471.65,2403.51,WIN,0.224
2024-12-31,ADANIENT.NS,MOMENTUM,LONG,2576.3,2849.97,2439.46,PARTIAL,-3.451
2025-01-01,ADANIENT.NS,MOMENTUM,LONG,2537.28,2700.77,2455.53,PARTIAL,-0.934
2025-01-02,ADANIENT.NS,MOMENTUM,LONG,2566.99,2753.76,2473.61,PARTIAL,-0.412
2025-01-03,ADANIENT.NS,MOMENTUM,LONG,2581.3,2750.67,2496.61,PARTIAL,-2.246
2025-01-17,ADANIENT.NS,MOMENTUM,LONG,2451.23,2539.35,2407.18,LOSS,-3.429
2025-01-20,ADANIENT.NS,MOMENTUM,LONG,2414.97,2436.85,2404.02,WIN,-0.75
2025-01-21,ADANIENT.NS,MOMENTUM,LONG,2442.98,2508.8,2410.07,LOSS,-2.984
2025-02-05,ADANIENT.NS,MOMENTUM,LONG,2316.12,2368.32,2290.02,PARTIAL,-1.41
2025-02-06,ADANIENT.NS,MOMENTUM,LONG,2341.18,2432.92,2295.31,PARTIAL,-2.985
2025-02-07,ADANIENT.NS,MOMENTUM,LONG,2313.62,2346.6,2297.12,WIN,-0.303
2025-02-10,ADANIENT.NS,MOMENTUM,LONG,2351.18,2445.91,2303.82,LOSS,-3.716
2025-02-13,ADANIENT.NS,MOMENTUM,LONG,2355.19,2443.59,2310.98,LOSS,-3.575
2025-03-06,ADANIENT.NS,MOMENTUM,LONG,2261.14,2469.28,2157.07,PARTIAL,-2.185
2025-03-07,ADANIENT.NS,MOMENTUM,LONG,2251.08,2403.95,2174.65,PARTIAL,-1.986
2025-03-10,ADANIENT.NS,MOMENTUM,LONG,2246.13,2363.1,2187.65,PARTIAL,-2.624
2025-03-11,ADANIENT.NS,MOMENTUM,LONG,2224.27,2284.37,2194.22,PARTIAL,-0.665
2025-03-18,ADANIENT.NS,MOMENTUM,LONG,2253.84,2326.59,2217.46,PARTIAL,-1.875
2025-03-20,ADANIENT.NS,MOMENTUM,LONG,2349.18,2566.64,2240.46,PARTIAL,-2.173
2025-03-21,ADANIENT.NS,MOMENTUM,LONG,2344.98,2517.77,2258.59,PARTIAL,-0.996
2025-03-24,ADANIENT.NS,MOMENTUM,LONG,2371.19,2558.02,2277.78,PARTIAL,-1.842
2025-03-25,ADANIENT.NS,MOMENTUM,LONG,2386.2,2569.99,2294.31,PARTIAL,-4.484
2025-04-03,ADANIENT.NS,MOMENTUM,LONG,2340.93,2377.05,2322.87,WIN,-0.166
2025-04-04,ADANIENT.NS,MOMENTUM,LONG,2396.16,2510.93,2338.77,LOSS,-4.064
2025-04-16,ADANIENT.NS,MOMENTUM,LONG,2401.21,2569.97,2316.83,PARTIAL,-1.116
2025-04-17,ADANIENT.NS,MOMENTUM,LONG,2419.22,2587.86,2334.9,PARTIAL,-1.749
