date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,ADANIENT.NS,ORB,LONG,3184.96,3216.73,3169.07,LOSS,-1.755
2024-06-28,ADANIENT.NS,ORB,LONG,3197.99,3229.89,3182.04,LOSS,-1.749
2024-07-01,ADANIENT.NS,ORB,LONG,3187.92,3219.71,3172.02,LOSS,-1.753
2024-07-02,ADANIENT.NS,ORB,LONG,3187.82,3219.61,3171.92,LOSS,-1.753
2024-07-03,ADANIENT.NS,ORB,LONG,3165.91,3197.49,3150.12,LOSS,-1.762
2024-07-05,ADANIENT.NS,ORB,LONG,3151.78,3183.21,3136.06,LOSS,-1.768
2024-07-08,ADANIENT.NS,ORB,LONG,3155.79,3187.26,3140.05,LOSS,-1.766
2024-07-09,ADANIENT.NS,ORB,LONG,3123.76,3154.91,3108.18,WIN,-0.283
2024-07-11,ADANIENT.NS,ORB,LONG,3126.51,3157.7,3110.92,LOSS,-1.778
2024-07-15,ADANIENT.NS,ORB,LONG,3073.78,3104.44,3058.45,LOSS,-1.8
2024-07-16,ADANIENT.NS,ORB,LONG,3117.79,3148.89,3102.24,LOSS,-1.782
2024-07-22,ADANIENT.NS,ORB,LONG,3013.23,3043.28,2998.2,LOSS,-1.826
2024-07-23,ADANIENT.NS,ORB,LONG,3027.57,3057.76,3012.47,LOSS,-1.82
2024-07-24,ADANIENT.NS,ORB,LONG,3002.85,3032.8,2987.88,LOSS,-1.831
2024-07-25,ADANIENT.NS,ORB,LONG,2968.12,2997.72,2953.31,WIN,-0.35
2024-07-26,ADANIENT.NS,ORB,LONG,3002.5,3032.45,2987.53,WIN,-0.335
2024-07-29,ADANIENT.NS,ORB,LONG,3102.05,3132.99,3086.58,LOSS,-1.788
2024-07-30,ADANIENT.NS,ORB,LONG,3099.75,3130.66,3084.29,WIN,-0.293
2024-07-31,ADANIENT.NS,ORB,LONG,3148.87,3180.28,3133.16,WIN,-0.273
2024-08-01,ADANIENT.NS,ORB,LONG,3187.97,3219.76,3172.07,WIN,-0.257
2024-08-02,ADANIENT.NS,ORB,LONG,3208.02,3240.01,3192.02,LOSS,-1.746
2024-08-05,ADANIENT.NS,ORB,LONG,3092.73,3123.58,3077.3,WIN,-0.296
2024-08-06,ADANIENT.NS,ORB,LONG,3091.73,3122.56,3076.31,WIN,-0.296
2024-08-07,ADANIENT.NS,ORB,LONG,3125.81,3156.99,3110.22,WIN,-0.282
2024-08-08,ADANIENT.NS,ORB,LONG,3198.54,3230.44,3182.59,WIN,-0.253
2024-08-09,ADANIENT.NS,ORB,LONG,3217.04,3249.13,3201.0,LOSS,-1.742
2024-08-12,ADANIENT.NS,ORB,LONG,3107.77,3138.76,3092.27,WIN,-0.29
2024-08-16,ADANIENT.NS,ORB,LONG,3077.69,3108.39,3062.34,WIN,-0.302
2024-08-19,ADANIENT.NS,ORB,LONG,3129.87,3161.09,3114.26,LOSS,-1.777
2024-08-21,ADANIENT.NS,ORB,LONG,3078.34,3109.05,3062.99,WIN,-0.302
2024-08-22,ADANIENT.NS,ORB,LONG,3138.59,3169.9,3122.94,LOSS,-1.773
2024-08-23,ADANIENT.NS,ORB,LONG,3108.77,3139.77,3093.26,LOSS,-1.785
2024-08-27,ADANIENT.NS,ORB,LONG,3079.9,3110.61,3064.54,LOSS,-1.797
2024-08-29,ADANIENT.NS,ORB,LONG,3037.59,3067.89,3022.44,LOSS,-1.816
2024-09-02,ADANIENT.NS,ORB,LONG,3028.67,3058.88,3013.56,LOSS,-1.819
2024-09-03,ADANIENT.NS,ORB,LONG,3044.61,3074.97,3029.42,LOSS,-1.813
2024-09-04,ADANIENT.NS,ORB,LONG,3017.54,3047.64,3002.49,LOSS,-1.824
2024-09-05,ADANIENT.NS,ORB,LONG,3032.58,3062.82,3017.45,LOSS,-1.818
2024-09-10,ADANIENT.NS,ORB,LONG,2979.04,3008.76,2964.19,LOSS,-1.841
2024-09-12,ADANIENT.NS,ORB,LONG,2957.39,2986.89,2942.64,WIN,-0.355
2024-09-13,ADANIENT.NS,ORB,LONG,2979.45,3009.16,2964.59,LOSS,-1.841
2024-09-16,ADANIENT.NS,ORB,LONG,2979.44,3009.16,2964.59,WIN,-0.345
2024-09-20,ADANIENT.NS,ORB,LONG,2955.54,2985.01,2940.8,WIN,-0.356
2024-09-23,ADANIENT.NS,ORB,LONG,3027.57,3057.76,3012.47,WIN,-0.324
2024-09-24,ADANIENT.NS,ORB,LONG,3062.65,3093.2,3047.38,WIN,-0.309
2024-09-25,ADANIENT.NS,ORB,LONG,3115.79,3146.86,3100.25,LOSS,-1.782
2024-09-26,ADANIENT.NS,ORB,LONG,3092.73,3123.57,3077.3,WIN,-0.296
2024-09-27,ADANIENT.NS,ORB,LONG,3129.82,3161.04,3114.21,WIN,-0.281
2024-09-30,ADANIENT.NS,ORB,LONG,3136.84,3168.13,3121.19,WIN,-0.278
2024-10-01,ADANIENT.NS,ORB,LONG,3144.16,3175.52,3128.48,WIN,-0.275
2024-10-03,ADANIENT.NS,ORB,LONG,3157.89,3189.39,3142.14,WIN,-0.269
2024-10-04,ADANIENT.NS,ORB,LONG,3127.72,3158.91,3112.12,LOSS,-1.778
2024-10-07,ADANIENT.NS,ORB,LONG,3118.44,3149.55,3102.89,LOSS,-1.781
2024-10-08,ADANIENT.NS,ORB,LONG,3026.06,3056.24,3010.97,WIN,-0.324
2024-10-10,ADANIENT.NS,ORB,LONG,3147.87,3179.26,3132.17,WIN,-0.273
2024-10-11,ADANIENT.NS,ORB,LONG,3182.15,3213.89,3166.28,LOSS,-1.756
2024-10-16,ADANIENT.NS,ORB,LONG,3105.76,3136.74,3090.27,LOSS,-1.787
2024-10-17,ADANIENT.NS,ORB,LONG,3097.69,3128.59,3082.24,LOSS,-1.79
2024-10-18,ADANIENT.NS,ORB,LONG,2997.49,3027.39,2982.54,WIN,-0.337
2024-10-21,ADANIENT.NS,ORB,LONG,3012.68,3042.73,2997.65,LOSS,-1.826
2024-10-22,ADANIENT.NS,ORB,LONG,2945.36,2974.74,2930.67,LOSS,-1.857
2024-10-23,ADANIENT.NS,ORB,LONG,2847.97,2876.37,2833.76,WIN,-0.407
2024-10-24,ADANIENT.NS,ORB,LONG,2848.17,2876.57,2833.96,LOSS,-1.903
2024-10-28,ADANIENT.NS,ORB,LONG,2707.87,2734.87,2694.36,WIN,-0.48
2024-10-29,ADANIENT.NS,ORB,LONG,2810.02,2838.05,2796.01,WIN,-0.426
2024-10-30,ADANIENT.NS,ORB,LONG,2871.17,2899.81,2856.86,WIN,-0.396
2024-11-01,ADANIENT.NS,ORB,LONG,2967.41,2997.01,2952.62,LOSS,-1.847
2024-11-05,ADANIENT.NS,ORB,LONG,2904.66,2933.63,2890.17,LOSS,-1.876
2024-11-06,ADANIENT.NS,ORB,LONG,2925.31,2954.49,2910.72,WIN,-0.37
2024-11-08,ADANIENT.NS,ORB,LONG,2972.53,3002.18,2957.7,LOSS,-1.844
2024-11-11,ADANIENT.NS,ORB,LONG,2935.33,2964.61,2920.7,LOSS,-1.861
2024-11-12,ADANIENT.NS,ORB,LONG,2917.29,2946.39,2902.74,LOSS,-1.87
2024-11-13,ADANIENT.NS,ORB,LONG,2867.16,2895.76,2852.87,LOSS,-1.894
2024-11-14,ADANIENT.NS,ORB,LONG,2831.07,2859.31,2816.96,LOSS,-1.912
2024-11-18,ADANIENT.NS,ORB,LONG,2833.88,2862.15,2819.75,LOSS,-1.91
2024-11-19,ADANIENT.NS,ORB,LONG,2838.09,2866.4,2823.94,WIN,-0.412
2024-11-22,ADANIENT.NS,ORB,LONG,2106.26,2127.27,2095.76,WIN,-0.902
2024-11-25,ADANIENT.NS,ORB,LONG,2320.8,2343.95,2309.23,LOSS,-2.222
2024-11-26,ADANIENT.NS,ORB,LONG,2271.28,2293.93,2259.95,LOSS,-2.26
2024-11-27,ADANIENT.NS,ORB,LONG,2185.46,2207.26,2174.56,WIN,-0.833
2024-11-28,ADANIENT.NS,ORB,LONG,2446.11,2470.51,2433.91,WIN,-0.638
2024-11-29,ADANIENT.NS,ORB,LONG,2470.22,2494.86,2457.9,WIN,-0.622
2024-12-02,ADANIENT.NS,ORB,LONG,2497.59,2522.5,2485.14,LOSS,-2.1
2024-12-03,ADANIENT.NS,ORB,LONG,2470.17,2494.81,2457.85,WIN,-0.622
2024-12-05,ADANIENT.NS,ORB,LONG,2511.27,2536.32,2498.75,WIN,-0.595
2024-12-06,ADANIENT.NS,ORB,LONG,2526.31,2551.51,2513.71,LOSS,-2.082
2024-12-09,ADANIENT.NS,ORB,LONG,2514.18,2539.26,2501.64,LOSS,-2.09
2024-12-11,ADANIENT.NS,ORB,LONG,2475.18,2499.87,2462.84,LOSS,-2.115
2024-12-12,ADANIENT.NS,ORB,LONG,2463.15,2487.72,2450.87,WIN,-0.627
2024-12-13,ADANIENT.NS,ORB,LONG,2510.27,2535.31,2497.75,WIN,-0.596
2024-12-17,ADANIENT.NS,ORB,LONG,2518.29,2543.41,2505.73,LOSS,-2.087
2024-12-18,ADANIENT.NS,ORB,LONG,2495.24,2520.12,2482.79,LOSS,-2.102
