date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-26,ADANIENT.NS,VWAP,LONG,2996.51,3057.68,2980.65,WIN,0.707
2024-08-07,ADANIENT.NS,VWAP,LONG,3119.57,3161.08,3104.24,WIN,0.048
2024-08-21,ADANIENT.NS,VWAP,LONG,3072.2,3110.92,3060.75,WIN,-0.041
2024-09-16,ADANIENT.NS,VWAP,LONG,2973.5,2992.95,2964.59,WIN,-0.691
2024-09-20,ADANIENT.NS,VWAP,LONG,2949.64,2990.37,2934.71,WIN,0.025
2024-09-26,ADANIENT.NS,VWAP,LONG,3086.55,3117.0,3077.3,WIN,-0.309
2024-10-08,ADANIENT.NS,VWAP,LONG,3020.02,3106.98,2987.38,WIN,1.555
2024-11-06,ADANIENT.NS,VWAP,LONG,2919.47,3009.92,2910.72,WIN,1.728
2024-11-27,ADANIENT.NS,VWAP,LONG,2181.1,2318.17,2136.81,WIN,4.45
2024-12-03,ADANIENT.NS,VWAP,LONG,2465.24,2510.17,2455.91,WIN,0.2
2024-12-30,ADANIENT.NS,VWAP,LONG,2426.22,2540.17,2415.91,WIN,3.048
2025-01-07,ADANIENT.NS,VWAP,LONG,2475.9,2505.49,2468.48,WIN,-0.42
2025-01-14,ADANIENT.NS,VWAP,LONG,2242.63,2347.15,2235.91,WIN,2.877
2025-02-07,ADANIENT.NS,VWAP,LONG,2313.62,2339.19,2301.59,WIN,-0.623
2025-02-11,ADANIENT.NS,VWAP,LONG,2313.17,2340.42,2300.25,WIN,-0.551
2025-03-04,ADANIENT.NS,VWAP,LONG,2086.15,2125.21,2074.81,WIN,-0.045
2025-03-05,ADANIENT.NS,VWAP,LONG,2155.04,2216.33,2142.69,WIN,0.988
2025-03-17,ADANIENT.NS,VWAP,LONG,2201.11,2244.75,2192.52,WIN,0.166
2025-04-03,ADANIENT.NS,VWAP,LONG,2340.93,2392.28,2333.86,WIN,0.485
2025-04-07,ADANIENT.NS,VWAP,LONG,2151.13,2197.81,2139.65,WIN,0.31
2025-05-05,ADANIENT.NS,VWAP,LONG,2313.77,2415.57,2292.07,WIN,2.671
2025-05-07,ADANIENT.NS,VWAP,LONG,2316.17,2348.04,2309.23,WIN,-0.351
2025-06-27,ADANIENT.NS,VWAP,LONG,2590.29,2636.63,2576.84,WIN,0.245
2025-08-11,ADANIENT.NS,VWAP,LONG,2198.2,2256.13,2178.63,WIN,0.816
2025-09-11,ADANIENT.NS,VWAP,LONG,2350.35,2385.9,2335.52,WIN,-0.189
2025-09-22,ADANIENT.NS,VWAP,LONG,2537.53,2603.53,2517.06,WIN,1.025
2025-10-29,ADANIENT.NS,VWAP,LONG,2502.5,2544.3,2490.51,WIN,0.072
2025-11-12,ADANIENT.NS,VWAP,LONG,2313.56,2379.44,2284.38,WIN,1.118
2025-12-31,ADANIENT.NS,VWAP,LONG,2218.52,2234.13,2211.87,WIN,-1.099
2026-01-22,ADANIENT.NS,VWAP,LONG,2057.96,2080.1,2046.9,WIN,-0.868
2026-02-17,ADANIENT.NS,VWAP,LONG,2172.17,2221.63,2165.66,WIN,0.436
2026-03-25,ADANIENT.NS,VWAP,LONG,1849.75,1878.93,1835.52,WIN,-0.585
2026-04-10,ADANIENT.NS,VWAP,LONG,2045.14,2074.37,2037.62,WIN,-0.527
2026-04-13,ADANIENT.NS,VWAP,LONG,2012.21,2096.07,1996.2,WIN,2.18
2026-04-22,ADANIENT.NS,VWAP,LONG,2231.23,2254.5,2219.65,WIN,-0.75
2026-04-28,ADANIENT.NS,VWAP,LONG,2324.12,2384.43,2316.26,WIN,0.874
2026-05-04,ADANIENT.NS,VWAP,LONG,2392.79,2458.57,2370.25,WIN,1.077
2026-05-06,ADANIENT.NS,VWAP,LONG,2477.98,2519.67,2467.26,WIN,0.068
2026-05-13,ADANIENT.NS,VWAP,LONG,2403.5,2476.37,2396.3,WIN,1.367
