date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,ADANIGREEN.NS,MOMENTUM,LONG,1811.11,1837.48,1797.92,LOSS,-2.937
2024-07-26,ADANIGREEN.NS,MOMENTUM,LONG,1889.69,2178.8,1745.13,PARTIAL,-6.667
2024-07-29,ADANIGREEN.NS,MOMENTUM,LONG,1826.67,1968.5,1755.76,PARTIAL,-1.666
2024-07-30,ADANIGREEN.NS,MOMENTUM,LONG,1846.84,1999.02,1770.76,PARTIAL,-2.948
2024-07-31,ADANIGREEN.NS,MOMENTUM,LONG,1845.84,1973.56,1781.99,PARTIAL,-2.094
2024-08-01,ADANIGREEN.NS,MOMENTUM,LONG,1851.85,1967.71,1793.92,PARTIAL,0.545
2024-08-02,ADANIGREEN.NS,MOMENTUM,LONG,1870.82,1983.69,1814.39,PARTIAL,-1.573
2024-08-13,ADANIGREEN.NS,MOMENTUM,LONG,1818.02,1878.34,1787.86,PARTIAL,-1.78
2024-08-14,ADANIGREEN.NS,MOMENTUM,LONG,1801.8,1816.76,1794.32,WIN,-1.39
2024-08-16,ADANIGREEN.NS,MOMENTUM,LONG,1810.11,1838.26,1796.03,WIN,-0.654
2024-08-19,ADANIGREEN.NS,MOMENTUM,LONG,1812.81,1834.58,1801.93,WIN,-1.006
2024-08-20,ADANIGREEN.NS,MOMENTUM,LONG,1909.61,2088.82,1820.0,PARTIAL,-1.31
2024-08-21,ADANIGREEN.NS,MOMENTUM,LONG,1926.92,2101.24,1839.77,PARTIAL,-2.391
2024-08-22,ADANIGREEN.NS,MOMENTUM,LONG,1922.77,2058.65,1854.83,PARTIAL,-3.975
2024-08-23,ADANIGREEN.NS,MOMENTUM,LONG,1891.79,1955.36,1860.0,PARTIAL,-1.633
2024-09-03,ADANIGREEN.NS,MOMENTUM,LONG,1948.95,2103.54,1871.65,PARTIAL,-4.672
2024-09-05,ADANIGREEN.NS,MOMENTUM,LONG,1933.48,2029.19,1885.63,LOSS,-4.544
2024-09-06,ADANIGREEN.NS,MOMENTUM,LONG,1904.8,1943.55,1885.43,LOSS,-3.117
2024-09-17,ADANIGREEN.NS,MOMENTUM,LONG,1932.73,2093.18,1852.51,PARTIAL,-0.948
2024-09-18,ADANIGREEN.NS,MOMENTUM,LONG,1941.94,2082.4,1871.71,PARTIAL,-1.604
2024-09-19,ADANIGREEN.NS,MOMENTUM,LONG,1942.94,2056.11,1886.36,PARTIAL,-1.029
2024-09-20,ADANIGREEN.NS,MOMENTUM,LONG,1964.91,2093.74,1900.5,PARTIAL,-0.049
2024-09-23,ADANIGREEN.NS,MOMENTUM,LONG,2030.98,2252.96,1919.99,PARTIAL,-1.959
2024-09-24,ADANIGREEN.NS,MOMENTUM,LONG,2039.64,2236.89,1941.01,PARTIAL,-0.446
2024-09-25,ADANIGREEN.NS,MOMENTUM,LONG,2081.08,2311.88,1965.68,PARTIAL,-2.611
2024-09-26,ADANIGREEN.NS,MOMENTUM,LONG,2082.08,2276.94,1984.65,PARTIAL,-3.085
2024-09-27,ADANIGREEN.NS,MOMENTUM,LONG,2062.06,2190.07,1998.06,LOSS,-5.044
2024-11-07,ADANIGREEN.NS,MOMENTUM,LONG,1727.58,1874.09,1654.32,LOSS,-6.556
2024-11-29,ADANIGREEN.NS,MOMENTUM,LONG,1150.15,1161.04,1144.7,WIN,-2.531
2024-12-02,ADANIGREEN.NS,MOMENTUM,LONG,1361.91,1726.24,1179.75,PARTIAL,-5.431
2024-12-03,ADANIGREEN.NS,MOMENTUM,LONG,1345.34,1618.85,1208.59,PARTIAL,-5.392
2024-12-04,ADANIGREEN.NS,MOMENTUM,LONG,1321.32,1506.67,1228.65,PARTIAL,-7.604
2024-12-05,ADANIGREEN.NS,MOMENTUM,LONG,1271.27,1345.15,1234.33,LOSS,-6.052
2025-01-15,ADANIGREEN.NS,MOMENTUM,LONG,1041.04,1159.34,981.89,PARTIAL,-4.418
