date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,ADANIGREEN.NS,ORB,LONG,1785.24,1803.05,1776.34,WIN,-1.243
2024-06-28,ADANIGREEN.NS,ORB,LONG,1814.73,1832.83,1805.68,LOSS,-2.703
2024-07-01,ADANIGREEN.NS,ORB,LONG,1795.37,1813.28,1786.42,LOSS,-2.727
2024-07-02,ADANIGREEN.NS,ORB,LONG,1785.49,1803.3,1776.59,WIN,-1.243
2024-07-03,ADANIGREEN.NS,ORB,LONG,1780.33,1798.09,1771.45,LOSS,-2.745
2024-07-05,ADANIGREEN.NS,ORB,LONG,1770.5,1788.16,1761.67,LOSS,-2.758
2024-07-08,ADANIGREEN.NS,ORB,LONG,1765.23,1782.84,1756.43,LOSS,-2.765
2024-07-09,ADANIGREEN.NS,ORB,LONG,1766.29,1783.9,1757.48,WIN,-1.267
2024-07-11,ADANIGREEN.NS,ORB,LONG,1761.27,1778.84,1752.49,LOSS,-2.77
2024-07-15,ADANIGREEN.NS,ORB,LONG,1741.21,1758.58,1732.53,LOSS,-2.796
2024-07-16,ADANIGREEN.NS,ORB,LONG,1763.23,1780.81,1754.43,WIN,-1.271
2024-07-18,ADANIGREEN.NS,ORB,LONG,1775.31,1793.02,1766.46,LOSS,-2.752
2024-07-22,ADANIGREEN.NS,ORB,LONG,1729.13,1746.37,1720.5,LOSS,-2.812
2024-07-23,ADANIGREEN.NS,ORB,LONG,1755.25,1772.76,1746.5,WIN,-1.281
2024-07-25,ADANIGREEN.NS,ORB,LONG,1715.13,1732.24,1706.58,WIN,-1.335
2024-07-26,ADANIGREEN.NS,ORB,LONG,1893.47,1912.35,1884.02,LOSS,-2.611
2024-07-29,ADANIGREEN.NS,ORB,LONG,1830.33,1848.58,1821.2,WIN,-1.188
2024-07-30,ADANIGREEN.NS,ORB,LONG,1850.54,1869.0,1841.31,WIN,-1.164
2024-07-31,ADANIGREEN.NS,ORB,LONG,1849.54,1867.98,1840.31,LOSS,-2.661
2024-08-01,ADANIGREEN.NS,ORB,LONG,1855.55,1874.06,1846.3,WIN,-1.158
2024-08-02,ADANIGREEN.NS,ORB,LONG,1874.56,1893.26,1865.21,WIN,-1.136
2024-08-05,ADANIGREEN.NS,ORB,LONG,1815.43,1833.54,1806.38,WIN,-1.206
2024-08-06,ADANIGREEN.NS,ORB,LONG,1805.4,1823.41,1796.4,LOSS,-2.714
2024-08-07,ADANIGREEN.NS,ORB,LONG,1782.08,1799.86,1773.2,LOSS,-2.743
2024-08-08,ADANIGREEN.NS,ORB,LONG,1786.75,1804.57,1777.84,LOSS,-2.737
2024-08-09,ADANIGREEN.NS,ORB,LONG,1805.4,1823.41,1796.4,LOSS,-2.714
2024-08-12,ADANIGREEN.NS,ORB,LONG,1730.18,1747.44,1721.55,WIN,-1.314
2024-08-13,ADANIGREEN.NS,ORB,LONG,1821.65,1839.82,1812.57,WIN,-1.198
2024-08-14,ADANIGREEN.NS,ORB,LONG,1805.4,1823.41,1796.4,WIN,-1.218
2024-08-16,ADANIGREEN.NS,ORB,LONG,1813.73,1831.82,1804.68,WIN,-1.208
2024-08-19,ADANIGREEN.NS,ORB,LONG,1816.44,1834.55,1807.38,WIN,-1.205
2024-08-20,ADANIGREEN.NS,ORB,LONG,1913.43,1932.51,1903.88,WIN,-1.093
2024-08-21,ADANIGREEN.NS,ORB,LONG,1930.78,1950.04,1921.15,WIN,-1.074
2024-08-23,ADANIGREEN.NS,ORB,LONG,1895.57,1914.48,1886.12,WIN,-1.113
2024-08-27,ADANIGREEN.NS,ORB,LONG,1893.67,1912.56,1884.22,LOSS,-2.611
2024-08-28,ADANIGREEN.NS,ORB,LONG,1885.64,1904.45,1876.24,LOSS,-2.62
2024-08-29,ADANIGREEN.NS,ORB,LONG,1866.59,1885.2,1857.28,LOSS,-2.642
2024-08-30,ADANIGREEN.NS,ORB,LONG,1839.25,1857.6,1830.08,WIN,-1.177
2024-09-02,ADANIGREEN.NS,ORB,LONG,1844.62,1863.02,1835.42,WIN,-1.171
2024-09-03,ADANIGREEN.NS,ORB,LONG,1952.84,1972.32,1943.11,LOSS,-2.547
2024-09-04,ADANIGREEN.NS,ORB,LONG,1882.63,1901.41,1873.25,WIN,-1.127
2024-09-05,ADANIGREEN.NS,ORB,LONG,1937.35,1956.67,1927.69,LOSS,-2.563
2024-09-06,ADANIGREEN.NS,ORB,LONG,1908.61,1927.65,1899.09,WIN,-1.098
2024-09-09,ADANIGREEN.NS,ORB,LONG,1870.6,1889.26,1861.27,LOSS,-2.637
2024-09-10,ADANIGREEN.NS,ORB,LONG,1871.6,1890.27,1862.27,WIN,-1.14
2024-09-11,ADANIGREEN.NS,ORB,LONG,1857.66,1876.19,1848.4,LOSS,-2.652
2024-09-12,ADANIGREEN.NS,ORB,LONG,1827.92,1846.15,1818.81,LOSS,-2.687
2024-09-13,ADANIGREEN.NS,ORB,LONG,1812.42,1830.5,1803.39,LOSS,-2.706
2024-09-16,ADANIGREEN.NS,ORB,LONG,1855.55,1874.06,1846.3,WIN,-1.158
2024-09-17,ADANIGREEN.NS,ORB,LONG,1936.6,1955.91,1926.94,WIN,-1.068
2024-09-18,ADANIGREEN.NS,ORB,LONG,1945.82,1965.23,1936.12,LOSS,-2.554
2024-09-19,ADANIGREEN.NS,ORB,LONG,1946.83,1966.24,1937.12,WIN,-1.057
2024-09-20,ADANIGREEN.NS,ORB,LONG,1968.84,1988.48,1959.02,WIN,-1.034
2024-09-23,ADANIGREEN.NS,ORB,LONG,2035.04,2055.34,2024.89,LOSS,-2.464
2024-09-24,ADANIGREEN.NS,ORB,LONG,2043.72,2064.1,2033.52,WIN,-0.96
2024-09-25,ADANIGREEN.NS,ORB,LONG,2085.24,2106.04,2074.84,LOSS,-2.417
2024-09-26,ADANIGREEN.NS,ORB,LONG,2086.24,2107.05,2075.84,LOSS,-2.416
2024-09-27,ADANIGREEN.NS,ORB,LONG,2066.18,2086.79,2055.88,LOSS,-2.435
2024-10-01,ADANIGREEN.NS,ORB,LONG,1921.3,1940.46,1911.72,LOSS,-2.581
