date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-25,ADANIGREEN.NS,VWAP,LONG,1711.71,1790.48,1697.6,WIN,2.265
2024-08-01,ADANIGREEN.NS,VWAP,LONG,1851.85,1888.43,1839.66,WIN,-0.185
2024-08-19,ADANIGREEN.NS,VWAP,LONG,1812.81,1872.7,1806.58,WIN,1.097
2024-09-02,ADANIGREEN.NS,VWAP,LONG,1840.94,1914.93,1835.42,WIN,1.847
2024-09-04,ADANIGREEN.NS,VWAP,LONG,1878.88,1912.78,1868.26,WIN,-0.324
2024-09-16,ADANIGREEN.NS,VWAP,LONG,1851.85,1901.87,1829.48,WIN,0.541
2024-11-05,ADANIGREEN.NS,VWAP,LONG,1601.6,1631.08,1590.81,WIN,-0.657
2024-11-06,ADANIGREEN.NS,VWAP,LONG,1653.65,1697.27,1633.43,WIN,0.219
2024-11-27,ADANIGREEN.NS,VWAP,LONG,890.89,949.02,868.51,WIN,2.035
2024-11-28,ADANIGREEN.NS,VWAP,LONG,1021.02,1062.8,1011.97,WIN,0.174
2024-11-29,ADANIGREEN.NS,VWAP,LONG,1150.15,1276.8,1136.22,WIN,7.534
2024-12-12,ADANIGREEN.NS,VWAP,LONG,1144.99,1197.05,1121.95,WIN,1.053
2024-12-26,ADANIGREEN.NS,VWAP,LONG,1031.28,1056.48,1020.95,WIN,-1.435
2025-01-07,ADANIGREEN.NS,VWAP,LONG,987.94,1001.8,983.13,WIN,-2.646
2025-01-14,ADANIGREEN.NS,VWAP,LONG,898.95,974.25,895.71,WIN,3.927
2025-01-31,ADANIGREEN.NS,VWAP,LONG,974.87,991.97,969.61,WIN,-2.35
2025-02-04,ADANIGREEN.NS,VWAP,LONG,974.17,982.12,971.25,WIN,-3.291
2025-02-05,ADANIGREEN.NS,VWAP,LONG,988.04,1011.18,985.08,WIN,-1.706
2025-03-05,ADANIGREEN.NS,VWAP,LONG,769.77,825.2,767.46,WIN,2.005
2025-03-17,ADANIGREEN.NS,VWAP,LONG,874.52,891.25,867.11,WIN,-2.661
2025-03-21,ADANIGREEN.NS,VWAP,LONG,925.92,952.72,918.71,WIN,-1.427
2025-03-27,ADANIGREEN.NS,VWAP,LONG,910.91,943.9,903.39,WIN,-0.77
2025-04-03,ADANIGREEN.NS,VWAP,LONG,927.93,949.6,925.15,WIN,-1.975
2025-04-07,ADANIGREEN.NS,VWAP,LONG,850.85,871.75,848.3,WIN,-2.245
2025-05-02,ADANIGREEN.NS,VWAP,LONG,902.95,912.55,898.2,WIN,-3.367
2025-05-05,ADANIGREEN.NS,VWAP,LONG,913.61,959.92,908.73,WIN,0.69
2025-05-07,ADANIGREEN.NS,VWAP,LONG,902.1,915.78,899.3,WIN,-2.917
2025-05-12,ADANIGREEN.NS,VWAP,LONG,915.81,932.2,909.23,WIN,-2.579
2025-05-16,ADANIGREEN.NS,VWAP,LONG,972.42,1003.43,963.27,WIN,-0.924
2025-06-10,ADANIGREEN.NS,VWAP,LONG,1040.74,1057.4,1032.63,WIN,-2.243
2025-06-24,ADANIGREEN.NS,VWAP,LONG,975.97,987.73,972.05,WIN,-2.894
2025-06-27,ADANIGREEN.NS,VWAP,LONG,995.39,1018.5,991.01,WIN,-1.697
2025-07-14,ADANIGREEN.NS,VWAP,LONG,996.8,1018.7,992.21,WIN,-1.815
2025-07-16,ADANIGREEN.NS,VWAP,LONG,1034.13,1040.4,1031.03,WIN,-3.262
2025-07-23,ADANIGREEN.NS,VWAP,LONG,1019.42,1029.73,1014.97,WIN,-2.912
2025-07-28,ADANIGREEN.NS,VWAP,LONG,980.68,998.83,977.04,WIN,-2.228
2025-08-19,ADANIGREEN.NS,VWAP,LONG,942.99,962.12,935.58,WIN,-2.214
2025-09-10,ADANIGREEN.NS,VWAP,LONG,947.45,960.72,943.91,WIN,-2.821
2025-09-11,ADANIGREEN.NS,VWAP,LONG,965.96,980.78,959.28,WIN,-2.607
2025-09-22,ADANIGREEN.NS,VWAP,LONG,1041.04,1121.85,1033.78,WIN,3.92
2025-10-01,ADANIGREEN.NS,VWAP,LONG,1032.83,1053.73,1024.45,WIN,-1.849
2025-10-10,ADANIGREEN.NS,VWAP,LONG,1049.15,1061.53,1046.0,WIN,-2.632
2025-10-29,ADANIGREEN.NS,VWAP,LONG,1029.03,1089.9,1010.08,WIN,2.028
2025-11-12,ADANIGREEN.NS,VWAP,LONG,1051.25,1071.97,1048.1,WIN,-1.834
2025-12-12,ADANIGREEN.NS,VWAP,LONG,1025.02,1035.4,1021.95,WIN,-2.89
2026-01-29,ADANIGREEN.NS,VWAP,LONG,825.22,846.7,814.87,WIN,-2.245
2026-02-11,ADANIGREEN.NS,VWAP,LONG,977.98,989.32,973.1,WIN,-2.931
2026-02-17,ADANIGREEN.NS,VWAP,LONG,983.63,1005.0,977.29,WIN,-1.894
2026-03-18,ADANIGREEN.NS,VWAP,LONG,872.92,888.95,869.81,WIN,-2.746
2026-03-25,ADANIGREEN.NS,VWAP,LONG,843.84,855.18,841.31,WIN,-3.396
2026-04-01,ADANIGREEN.NS,VWAP,LONG,830.78,844.8,825.5,WIN,-3.127
2026-04-06,ADANIGREEN.NS,VWAP,LONG,857.86,901.28,854.34,WIN,0.399
2026-04-08,ADANIGREEN.NS,VWAP,LONG,969.97,1014.73,966.01,WIN,0.491
2026-04-10,ADANIGREEN.NS,VWAP,LONG,1045.54,1071.2,1038.42,WIN,-1.372
2026-04-13,ADANIGREEN.NS,VWAP,LONG,1052.05,1075.1,1040.91,WIN,-1.611
2026-04-20,ADANIGREEN.NS,VWAP,LONG,1127.63,1156.03,1118.16,WIN,-1.028
2026-04-22,ADANIGREEN.NS,VWAP,LONG,1153.15,1183.98,1145.7,WIN,-0.795
2026-05-04,ADANIGREEN.NS,VWAP,LONG,1233.63,1274.67,1225.84,WIN,0.084
2026-05-05,ADANIGREEN.NS,VWAP,LONG,1292.29,1318.2,1281.63,WIN,-1.09
2026-05-13,ADANIGREEN.NS,VWAP,LONG,1303.4,1348.93,1288.82,WIN,0.424
