date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,AXISBANK.NS,MOMENTUM,LONG,1309.18,1465.57,1230.98,PARTIAL,-4.761
2024-06-28,AXISBANK.NS,MOMENTUM,LONG,1282.3,1364.1,1241.4,PARTIAL,-4.609
2024-07-01,AXISBANK.NS,MOMENTUM,LONG,1272.2,1326.61,1245.0,PARTIAL,-4.115
2024-07-05,AXISBANK.NS,MOMENTUM,LONG,1271.2,1299.37,1257.12,PARTIAL,-2.065
2024-07-08,AXISBANK.NS,MOMENTUM,LONG,1284.2,1328.75,1261.92,PARTIAL,-2.993
2024-07-09,AXISBANK.NS,MOMENTUM,LONG,1283.2,1317.75,1265.92,PARTIAL,-2.797
2024-07-15,AXISBANK.NS,MOMENTUM,LONG,1316.89,1383.71,1283.48,PARTIAL,-3.839
2024-07-16,AXISBANK.NS,MOMENTUM,LONG,1307.64,1348.38,1287.27,PARTIAL,-3.422
2024-07-18,AXISBANK.NS,MOMENTUM,LONG,1300.19,1321.35,1289.61,PARTIAL,-2.454
2024-07-19,AXISBANK.NS,MOMENTUM,LONG,1305.84,1332.4,1292.56,LOSS,-4.08
2024-08-13,AXISBANK.NS,MOMENTUM,LONG,1161.52,1180.14,1152.21,PARTIAL,-3.694
2024-08-14,AXISBANK.NS,MOMENTUM,LONG,1159.17,1171.92,1152.79,LOSS,-4.001
2024-08-16,AXISBANK.NS,MOMENTUM,LONG,1166.57,1195.77,1151.97,LOSS,-4.681
2024-08-19,AXISBANK.NS,MOMENTUM,LONG,1169.17,1199.42,1154.04,LOSS,-4.715
2024-08-22,AXISBANK.NS,MOMENTUM,LONG,1179.87,1223.51,1158.05,PARTIAL,-4.316
2024-08-26,AXISBANK.NS,MOMENTUM,LONG,1171.87,1195.78,1159.92,PARTIAL,-3.633
2024-09-04,AXISBANK.NS,MOMENTUM,LONG,1182.87,1201.27,1173.67,LOSS,-4.159
2024-09-13,AXISBANK.NS,MOMENTUM,LONG,1210.08,1272.48,1178.87,PARTIAL,-2.782
2024-09-16,AXISBANK.NS,MOMENTUM,LONG,1222.18,1295.23,1185.65,PARTIAL,-2.633
2024-09-17,AXISBANK.NS,MOMENTUM,LONG,1235.38,1318.57,1193.78,PARTIAL,-3.588
2024-09-18,AXISBANK.NS,MOMENTUM,LONG,1232.08,1295.24,1200.5,PARTIAL,-2.653
2024-09-19,AXISBANK.NS,MOMENTUM,LONG,1248.63,1330.83,1207.53,PARTIAL,-3.764
2024-09-20,AXISBANK.NS,MOMENTUM,LONG,1244.18,1305.33,1213.61,PARTIAL,-3.235
2024-09-23,AXISBANK.NS,MOMENTUM,LONG,1251.68,1317.19,1218.93,PARTIAL,-3.671
2024-09-24,AXISBANK.NS,MOMENTUM,LONG,1241.28,1276.76,1223.54,PARTIAL,-3.447
2024-09-26,AXISBANK.NS,MOMENTUM,LONG,1267.73,1336.65,1233.27,PARTIAL,-2.502
2024-09-27,AXISBANK.NS,MOMENTUM,LONG,1273.18,1337.44,1241.06,PARTIAL,-3.23
2024-09-30,AXISBANK.NS,MOMENTUM,LONG,1263.68,1298.06,1246.49,LOSS,-4.526
2024-10-21,AXISBANK.NS,MOMENTUM,LONG,1197.02,1260.05,1165.51,PARTIAL,-3.988
2024-10-22,AXISBANK.NS,MOMENTUM,LONG,1194.42,1244.17,1169.55,PARTIAL,-4.996
2024-10-23,AXISBANK.NS,MOMENTUM,LONG,1175.27,1186.04,1169.89,LOSS,-3.862
2024-10-30,AXISBANK.NS,MOMENTUM,LONG,1178.92,1192.85,1171.96,LOSS,-3.984
2024-11-26,AXISBANK.NS,MOMENTUM,LONG,1157.27,1187.1,1142.35,LOSS,-4.745
2024-12-05,AXISBANK.NS,MOMENTUM,LONG,1164.17,1205.13,1143.69,PARTIAL,-3.33
2024-12-06,AXISBANK.NS,MOMENTUM,LONG,1167.67,1208.35,1147.33,PARTIAL,-2.067
2024-12-09,AXISBANK.NS,MOMENTUM,LONG,1184.42,1245.54,1153.86,PARTIAL,-5.249
2025-01-06,AXISBANK.NS,MOMENTUM,LONG,1087.91,1103.95,1079.89,LOSS,-4.414
2025-01-29,AXISBANK.NS,MOMENTUM,LONG,988.14,1013.7,975.36,PARTIAL,-4.613
2025-01-30,AXISBANK.NS,MOMENTUM,LONG,984.79,1001.95,976.21,LOSS,-4.933
2025-01-31,AXISBANK.NS,MOMENTUM,LONG,982.14,992.12,977.15,PARTIAL,-3.756
2025-02-01,AXISBANK.NS,MOMENTUM,LONG,989.64,1012.57,978.18,PARTIAL,-3.268
