date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,AXISBANK.NS,ORB,LONG,1284.86,1297.68,1278.45,LOSS,-3.612
2024-07-03,AXISBANK.NS,ORB,LONG,1261.73,1274.31,1255.44,WIN,-2.173
2024-07-04,AXISBANK.NS,ORB,LONG,1289.77,1302.63,1283.34,LOSS,-3.6
2024-07-05,AXISBANK.NS,ORB,LONG,1273.75,1286.45,1267.39,WIN,-2.143
2024-07-08,AXISBANK.NS,ORB,LONG,1286.76,1299.6,1280.35,LOSS,-3.607
2024-07-09,AXISBANK.NS,ORB,LONG,1285.76,1298.59,1279.35,LOSS,-3.61
2024-07-10,AXISBANK.NS,ORB,LONG,1285.96,1298.79,1279.55,LOSS,-3.609
2024-07-12,AXISBANK.NS,ORB,LONG,1296.68,1309.61,1290.21,WIN,-2.087
2024-07-15,AXISBANK.NS,ORB,LONG,1319.52,1332.69,1312.94,LOSS,-3.53
2024-07-16,AXISBANK.NS,ORB,LONG,1310.26,1323.32,1303.72,LOSS,-3.552
2024-07-18,AXISBANK.NS,ORB,LONG,1302.79,1315.78,1296.29,WIN,-2.073
2024-07-22,AXISBANK.NS,ORB,LONG,1286.1,1298.93,1279.69,LOSS,-3.609
2024-07-24,AXISBANK.NS,ORB,LONG,1265.61,1278.23,1259.3,LOSS,-3.659
2024-07-26,AXISBANK.NS,ORB,LONG,1167.5,1179.14,1161.68,WIN,-2.429
2024-07-29,AXISBANK.NS,ORB,LONG,1184.89,1196.7,1178.98,LOSS,-3.875
2024-07-30,AXISBANK.NS,ORB,LONG,1166.6,1178.23,1160.78,WIN,-2.431
2024-07-31,AXISBANK.NS,ORB,LONG,1159.48,1171.05,1153.7,LOSS,-3.949
2024-08-01,AXISBANK.NS,ORB,LONG,1170.51,1182.18,1164.67,LOSS,-3.916
2024-08-02,AXISBANK.NS,ORB,LONG,1166.5,1178.13,1160.68,LOSS,-3.928
2024-08-05,AXISBANK.NS,ORB,LONG,1144.45,1155.87,1138.74,LOSS,-3.994
2024-08-06,AXISBANK.NS,ORB,LONG,1142.45,1153.84,1136.75,LOSS,-4.0
2024-08-07,AXISBANK.NS,ORB,LONG,1141.24,1152.63,1135.55,LOSS,-4.004
2024-08-08,AXISBANK.NS,ORB,LONG,1135.53,1146.86,1129.87,LOSS,-4.021
2024-08-09,AXISBANK.NS,ORB,LONG,1154.47,1165.99,1148.71,LOSS,-3.963
2024-08-12,AXISBANK.NS,ORB,LONG,1148.46,1159.91,1142.73,WIN,-2.486
