date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-05,AXISBANK.NS,VWAP,LONG,1271.2,1282.36,1266.3,WIN,-2.269
2024-07-12,AXISBANK.NS,VWAP,LONG,1294.09,1315.83,1290.21,WIN,-1.411
2024-10-09,AXISBANK.NS,VWAP,LONG,1154.17,1168.72,1150.71,WIN,-2.205
2024-10-18,AXISBANK.NS,VWAP,LONG,1158.17,1184.57,1152.75,WIN,-1.174
2024-11-05,AXISBANK.NS,VWAP,LONG,1139.12,1159.03,1130.22,WIN,-1.764
2025-01-13,AXISBANK.NS,VWAP,LONG,1026.75,1044.29,1020.33,WIN,-2.187
2025-01-28,AXISBANK.NS,VWAP,LONG,960.14,977.78,955.47,WIN,-2.329
2025-03-05,AXISBANK.NS,VWAP,LONG,1003.15,1010.6,999.69,WIN,-3.244
2025-03-17,AXISBANK.NS,VWAP,LONG,1011.25,1027.21,1008.22,WIN,-2.377
2025-04-07,AXISBANK.NS,VWAP,LONG,1035.15,1048.87,1029.41,WIN,-2.539
2025-04-08,AXISBANK.NS,VWAP,LONG,1061.15,1073.45,1057.28,WIN,-2.611
2025-04-17,AXISBANK.NS,VWAP,LONG,1155.77,1180.19,1150.31,WIN,-1.348
2025-04-21,AXISBANK.NS,VWAP,LONG,1202.17,1218.89,1194.68,WIN,-1.937
2025-04-24,AXISBANK.NS,VWAP,LONG,1199.27,1207.7,1195.68,WIN,-2.633
2025-04-28,AXISBANK.NS,VWAP,LONG,1166.47,1183.36,1160.98,WIN,-1.982
2025-05-23,AXISBANK.NS,VWAP,LONG,1188.67,1202.74,1184.71,WIN,-2.182
2025-09-01,AXISBANK.NS,VWAP,LONG,1048.65,1057.7,1045.5,WIN,-2.951
2025-09-11,AXISBANK.NS,VWAP,LONG,1070.07,1083.13,1066.86,WIN,-2.517
2025-09-12,AXISBANK.NS,VWAP,LONG,1089.49,1100.8,1086.22,WIN,-2.633
2025-09-16,AXISBANK.NS,VWAP,LONG,1106.81,1117.43,1101.79,WIN,-2.654
2025-10-01,AXISBANK.NS,VWAP,LONG,1133.63,1151.77,1128.74,WIN,-1.929
2025-10-06,AXISBANK.NS,VWAP,LONG,1186.18,1203.37,1179.74,WIN,-1.924
2025-10-20,AXISBANK.NS,VWAP,LONG,1209.11,1221.57,1204.59,WIN,-2.278
2025-12-03,AXISBANK.NS,VWAP,LONG,1256.25,1266.2,1252.49,WIN,-2.392
2025-12-31,AXISBANK.NS,VWAP,LONG,1247.25,1261.97,1242.51,WIN,-2.027
2026-01-14,AXISBANK.NS,VWAP,LONG,1256.25,1286.77,1250.99,WIN,-0.755
2026-01-30,AXISBANK.NS,VWAP,LONG,1353.35,1367.03,1349.3,WIN,-1.945
2026-02-06,AXISBANK.NS,VWAP,LONG,1326.32,1337.57,1322.05,WIN,-2.168
2026-02-16,AXISBANK.NS,VWAP,LONG,1325.32,1348.07,1321.35,WIN,-1.302
2026-02-20,AXISBANK.NS,VWAP,LONG,1352.35,1365.27,1348.3,WIN,-2.003
2026-03-18,AXISBANK.NS,VWAP,LONG,1229.23,1245.8,1221.75,WIN,-1.906
2026-03-25,AXISBANK.NS,VWAP,LONG,1201.2,1219.7,1195.6,WIN,-1.79
2026-04-01,AXISBANK.NS,VWAP,LONG,1176.17,1192.03,1172.65,WIN,-2.053
2026-04-06,AXISBANK.NS,VWAP,LONG,1203.3,1230.5,1194.01,WIN,-1.064
2026-04-08,AXISBANK.NS,VWAP,LONG,1301.4,1322.9,1297.5,WIN,-1.422
2026-04-10,AXISBANK.NS,VWAP,LONG,1330.13,1345.17,1323.45,WIN,-1.877
2026-04-13,AXISBANK.NS,VWAP,LONG,1319.32,1345.27,1312.67,WIN,-1.065
