date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-08,BAJAJ-AUTO.NS,MOMENTUM,LONG,9411.13,9702.01,9265.68,LOSS,-1.97
2024-07-09,BAJAJ-AUTO.NS,MOMENTUM,LONG,9337.91,9482.24,9265.74,LOSS,-1.201
2024-07-10,BAJAJ-AUTO.NS,MOMENTUM,LONG,9323.26,9436.38,9266.7,LOSS,-1.036
2024-07-16,BAJAJ-AUTO.NS,MOMENTUM,LONG,9484.34,9908.18,9272.43,PARTIAL,-0.487
2024-07-18,BAJAJ-AUTO.NS,MOMENTUM,LONG,9513.63,9925.13,9307.88,LOSS,-2.583
2024-07-19,BAJAJ-AUTO.NS,MOMENTUM,LONG,9406.24,9582.07,9318.33,LOSS,-1.36
2024-07-30,BAJAJ-AUTO.NS,MOMENTUM,LONG,9323.9,9587.55,9192.07,PARTIAL,-0.386
2024-07-31,BAJAJ-AUTO.NS,MOMENTUM,LONG,9372.07,9688.93,9213.65,PARTIAL,0.141
2024-08-01,BAJAJ-AUTO.NS,MOMENTUM,LONG,9610.28,10330.19,9250.33,PARTIAL,-1.668
2024-08-02,BAJAJ-AUTO.NS,MOMENTUM,LONG,9484.15,9867.32,9292.57,PARTIAL,-1.536
2024-08-12,BAJAJ-AUTO.NS,MOMENTUM,LONG,9509.73,9828.27,9350.45,PARTIAL,-0.83
2024-08-13,BAJAJ-AUTO.NS,MOMENTUM,LONG,9469.7,9671.41,9368.84,PARTIAL,-0.815
2024-08-16,BAJAJ-AUTO.NS,MOMENTUM,LONG,9555.61,9873.32,9396.76,PARTIAL,0.504
2024-08-19,BAJAJ-AUTO.NS,MOMENTUM,LONG,9691.26,10193.05,9440.37,PARTIAL,-2.086
2024-08-21,BAJAJ-AUTO.NS,MOMENTUM,LONG,9546.92,9713.18,9463.8,PARTIAL,0.226
2024-08-22,BAJAJ-AUTO.NS,MOMENTUM,LONG,9664.95,10020.92,9486.97,PARTIAL,-0.37
2024-08-26,BAJAJ-AUTO.NS,MOMENTUM,LONG,10128.77,11110.64,9637.84,PARTIAL,0.058
2024-08-27,BAJAJ-AUTO.NS,MOMENTUM,LONG,10154.06,10983.97,9739.1,PARTIAL,0.472
2024-08-28,BAJAJ-AUTO.NS,MOMENTUM,LONG,10250.71,11085.04,9833.54,PARTIAL,1.001
2024-08-29,BAJAJ-AUTO.NS,MOMENTUM,LONG,10330.81,11113.89,9939.27,PARTIAL,1.645
2024-08-30,BAJAJ-AUTO.NS,MOMENTUM,LONG,10577.75,11626.8,10053.23,PARTIAL,0.043
2024-09-02,BAJAJ-AUTO.NS,MOMENTUM,LONG,10666.59,11678.42,10160.68,PARTIAL,1.355
2024-09-03,BAJAJ-AUTO.NS,MOMENTUM,LONG,10842.27,11942.31,10292.25,PARTIAL,-1.029
2024-09-04,BAJAJ-AUTO.NS,MOMENTUM,LONG,10750.55,11488.71,10381.47,PARTIAL,-0.91
2024-09-05,BAJAJ-AUTO.NS,MOMENTUM,LONG,10703.69,11236.46,10437.3,PARTIAL,-1.46
2024-09-12,BAJAJ-AUTO.NS,MOMENTUM,LONG,11208.17,12337.07,10643.72,PARTIAL,1.656
2024-09-13,BAJAJ-AUTO.NS,MOMENTUM,LONG,11445.16,12745.75,10794.86,PARTIAL,-0.333
2024-09-16,BAJAJ-AUTO.NS,MOMENTUM,LONG,11455.41,12529.37,10918.43,PARTIAL,-0.838
2024-09-17,BAJAJ-AUTO.NS,MOMENTUM,LONG,11402.69,12192.49,11007.79,PARTIAL,1.861
2024-09-18,BAJAJ-AUTO.NS,MOMENTUM,LONG,11559.38,12417.69,11130.22,PARTIAL,-1.086
2024-09-20,BAJAJ-AUTO.NS,MOMENTUM,LONG,11641.87,12402.34,11261.64,PARTIAL,-0.304
2024-09-23,BAJAJ-AUTO.NS,MOMENTUM,LONG,11715.09,12482.02,11331.63,PARTIAL,2.38
2024-09-24,BAJAJ-AUTO.NS,MOMENTUM,LONG,11940.17,12890.76,11464.88,PARTIAL,1.306
2024-09-25,BAJAJ-AUTO.NS,MOMENTUM,LONG,12095.83,13103.84,11591.83,PARTIAL,-0.372
2024-09-26,BAJAJ-AUTO.NS,MOMENTUM,LONG,12164.17,13123.76,11684.38,PARTIAL,0.867
2024-09-27,BAJAJ-AUTO.NS,MOMENTUM,LONG,12321.98,13361.85,11802.05,PARTIAL,-0.07
2024-09-30,BAJAJ-AUTO.NS,MOMENTUM,LONG,12255.55,12956.86,11904.89,PARTIAL,-2.079
2024-10-14,BAJAJ-AUTO.NS,MOMENTUM,LONG,11645.58,11778.25,11579.25,LOSS,-0.913
