date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,BAJAJ-AUTO.NS,ORB,LONG,9258.76,9351.11,9212.59,LOSS,-0.931
2024-07-01,BAJAJ-AUTO.NS,ORB,LONG,9297.89,9390.63,9251.52,WIN,0.567
2024-07-03,BAJAJ-AUTO.NS,ORB,LONG,9267.56,9360.0,9221.35,LOSS,-0.93
2024-07-05,BAJAJ-AUTO.NS,ORB,LONG,9314.52,9407.42,9268.07,WIN,0.568
2024-07-10,BAJAJ-AUTO.NS,ORB,LONG,9341.91,9435.09,9295.32,LOSS,-0.927
2024-07-12,BAJAJ-AUTO.NS,ORB,LONG,9292.95,9385.64,9246.6,LOSS,-0.929
2024-07-15,BAJAJ-AUTO.NS,ORB,LONG,9225.26,9317.27,9179.25,WIN,0.564
2024-07-16,BAJAJ-AUTO.NS,ORB,LONG,9503.31,9598.1,9455.92,WIN,0.576
2024-07-19,BAJAJ-AUTO.NS,ORB,LONG,9425.06,9519.06,9378.05,LOSS,-0.923
2024-07-22,BAJAJ-AUTO.NS,ORB,LONG,9146.27,9237.49,9100.65,LOSS,-0.936
2024-07-23,BAJAJ-AUTO.NS,ORB,LONG,9229.41,9321.47,9183.39,LOSS,-0.932
2024-07-25,BAJAJ-AUTO.NS,ORB,LONG,9058.23,9148.57,9013.05,LOSS,-0.94
2024-07-26,BAJAJ-AUTO.NS,ORB,LONG,9115.94,9206.86,9070.48,WIN,0.559
2024-07-29,BAJAJ-AUTO.NS,ORB,LONG,9341.13,9434.29,9294.54,LOSS,-0.927
2024-07-30,BAJAJ-AUTO.NS,ORB,LONG,9342.54,9435.73,9295.95,LOSS,-0.927
2024-07-31,BAJAJ-AUTO.NS,ORB,LONG,9390.82,9484.48,9343.99,LOSS,-0.925
2024-08-05,BAJAJ-AUTO.NS,ORB,LONG,9191.46,9283.14,9145.62,WIN,0.562
2024-08-06,BAJAJ-AUTO.NS,ORB,LONG,9307.92,9400.75,9261.5,LOSS,-0.928
2024-08-07,BAJAJ-AUTO.NS,ORB,LONG,9361.47,9454.84,9314.79,WIN,0.57
2024-08-08,BAJAJ-AUTO.NS,ORB,LONG,9522.88,9617.86,9475.39,LOSS,-0.919
2024-08-13,BAJAJ-AUTO.NS,ORB,LONG,9488.64,9583.28,9441.32,LOSS,-0.92
2024-08-14,BAJAJ-AUTO.NS,ORB,LONG,9492.55,9587.23,9445.21,LOSS,-0.92
2024-08-16,BAJAJ-AUTO.NS,ORB,LONG,9574.72,9670.22,9526.97,WIN,0.58
2024-08-20,BAJAJ-AUTO.NS,ORB,LONG,9559.27,9654.61,9511.59,PARTIAL,-0.641
2024-08-21,BAJAJ-AUTO.NS,ORB,LONG,9566.02,9661.43,9518.31,LOSS,-0.917
2024-08-22,BAJAJ-AUTO.NS,ORB,LONG,9684.28,9780.87,9635.99,LOSS,-0.912
2024-08-23,BAJAJ-AUTO.NS,ORB,LONG,9752.76,9850.03,9704.12,WIN,0.587
2024-08-26,BAJAJ-AUTO.NS,ORB,LONG,10149.03,10250.26,10098.42,WIN,0.603
2024-08-27,BAJAJ-AUTO.NS,ORB,LONG,10174.37,10275.85,10123.63,WIN,0.604
2024-08-28,BAJAJ-AUTO.NS,ORB,LONG,10271.21,10373.65,10219.99,WIN,0.608
2024-08-29,BAJAJ-AUTO.NS,ORB,LONG,10351.47,10454.72,10299.85,WIN,0.611
2024-08-30,BAJAJ-AUTO.NS,ORB,LONG,10598.91,10704.62,10546.05,LOSS,-0.876
2024-09-02,BAJAJ-AUTO.NS,ORB,LONG,10687.93,10794.53,10634.62,WIN,0.623
2024-09-05,BAJAJ-AUTO.NS,ORB,LONG,10725.1,10832.07,10671.61,LOSS,-0.872
2024-09-06,BAJAJ-AUTO.NS,ORB,LONG,10619.21,10725.12,10566.25,LOSS,-0.875
2024-09-09,BAJAJ-AUTO.NS,ORB,LONG,10594.11,10699.78,10541.28,LOSS,-0.876
2024-09-10,BAJAJ-AUTO.NS,ORB,LONG,10558.22,10663.52,10505.56,WIN,0.619
2024-09-11,BAJAJ-AUTO.NS,ORB,LONG,10826.59,10934.57,10772.59,WIN,0.628
2024-09-12,BAJAJ-AUTO.NS,ORB,LONG,11230.59,11342.6,11174.58,WIN,0.641
2024-09-13,BAJAJ-AUTO.NS,ORB,LONG,11468.05,11582.43,11410.86,WIN,0.649
2024-09-17,BAJAJ-AUTO.NS,ORB,LONG,11425.5,11539.45,11368.52,WIN,0.647
2024-09-18,BAJAJ-AUTO.NS,ORB,LONG,11582.5,11698.02,11524.74,WIN,0.652
2024-09-19,BAJAJ-AUTO.NS,ORB,LONG,11553.84,11669.08,11496.22,WIN,0.651
2024-09-20,BAJAJ-AUTO.NS,ORB,LONG,11665.16,11781.51,11606.98,LOSS,-0.842
2024-09-23,BAJAJ-AUTO.NS,ORB,LONG,11738.52,11855.6,11679.98,WIN,0.657
2024-09-24,BAJAJ-AUTO.NS,ORB,LONG,11964.05,12083.38,11904.38,WIN,0.663
2024-09-25,BAJAJ-AUTO.NS,ORB,LONG,12120.03,12240.91,12059.58,LOSS,-0.829
2024-09-26,BAJAJ-AUTO.NS,ORB,LONG,12188.5,12310.07,12127.72,WIN,0.669
2024-09-27,BAJAJ-AUTO.NS,ORB,LONG,12346.63,12469.77,12285.06,LOSS,-0.823
2024-09-30,BAJAJ-AUTO.NS,ORB,LONG,12280.06,12402.54,12218.82,LOSS,-0.824
2024-10-01,BAJAJ-AUTO.NS,ORB,LONG,12143.75,12264.87,12083.19,LOSS,-0.828
2024-10-03,BAJAJ-AUTO.NS,ORB,LONG,11476.36,11590.83,11419.13,WIN,0.649
2024-10-04,BAJAJ-AUTO.NS,ORB,LONG,11407.11,11520.88,11350.22,WIN,0.647
2024-10-07,BAJAJ-AUTO.NS,ORB,LONG,11517.84,11632.72,11460.4,LOSS,-0.846
2024-10-08,BAJAJ-AUTO.NS,ORB,LONG,11332.57,11445.6,11276.05,WIN,0.644
2024-10-09,BAJAJ-AUTO.NS,ORB,LONG,11683.74,11800.28,11625.48,LOSS,-0.841
2024-10-10,BAJAJ-AUTO.NS,ORB,LONG,11563.91,11679.25,11506.24,WIN,0.652
2024-10-11,BAJAJ-AUTO.NS,ORB,LONG,11630.92,11746.93,11572.92,LOSS,-0.843
2024-10-14,BAJAJ-AUTO.NS,ORB,LONG,11668.87,11785.26,11610.68,LOSS,-0.841
2024-10-16,BAJAJ-AUTO.NS,ORB,LONG,11286.49,11399.07,11230.21,LOSS,-0.853
2024-10-17,BAJAJ-AUTO.NS,ORB,LONG,10977.67,11087.16,10922.93,LOSS,-0.863
2024-10-18,BAJAJ-AUTO.NS,ORB,LONG,9830.57,9928.62,9781.55,LOSS,-0.906
2024-10-21,BAJAJ-AUTO.NS,ORB,LONG,9843.73,9941.91,9794.64,WIN,0.591
2024-10-22,BAJAJ-AUTO.NS,ORB,LONG,10271.7,10374.15,10220.47,LOSS,-0.888
2024-10-23,BAJAJ-AUTO.NS,ORB,LONG,10142.08,10243.24,10091.51,WIN,0.603
2024-10-24,BAJAJ-AUTO.NS,ORB,LONG,10275.12,10377.61,10223.88,LOSS,-0.888
2024-10-25,BAJAJ-AUTO.NS,ORB,LONG,10075.57,10176.06,10025.32,LOSS,-0.896
2024-10-28,BAJAJ-AUTO.NS,ORB,LONG,9983.71,10083.29,9933.92,LOSS,-0.899
2024-10-30,BAJAJ-AUTO.NS,ORB,LONG,9606.03,9701.84,9558.12,WIN,0.581
2024-10-31,BAJAJ-AUTO.NS,ORB,LONG,9723.41,9820.39,9674.92,LOSS,-0.91
