date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,BAJAJ-AUTO.NS,VWAP,LONG,9279.33,9340.39,9251.52,WIN,0.227
2024-07-15,BAJAJ-AUTO.NS,VWAP,LONG,9206.84,9367.85,9153.16,WIN,1.314
2024-08-23,BAJAJ-AUTO.NS,VWAP,LONG,9733.29,10006.66,9665.19,WIN,2.398
2024-08-29,BAJAJ-AUTO.NS,VWAP,LONG,10330.81,10472.34,10273.91,WIN,0.983
2024-09-02,BAJAJ-AUTO.NS,VWAP,LONG,10666.59,10790.64,10621.14,WIN,0.788
2024-09-10,BAJAJ-AUTO.NS,VWAP,LONG,10537.14,10664.23,10492.57,WIN,0.826
2024-09-12,BAJAJ-AUTO.NS,VWAP,LONG,11208.17,11360.77,11138.18,WIN,1.005
2024-09-17,BAJAJ-AUTO.NS,VWAP,LONG,11402.69,11562.38,11332.6,WIN,1.05
2024-09-19,BAJAJ-AUTO.NS,VWAP,LONG,11530.78,11612.18,11496.22,WIN,0.359
2024-09-23,BAJAJ-AUTO.NS,VWAP,LONG,11715.09,11937.12,11679.98,WIN,1.554
2024-09-24,BAJAJ-AUTO.NS,VWAP,LONG,11940.17,12077.8,11904.38,WIN,0.818
2024-10-04,BAJAJ-AUTO.NS,VWAP,LONG,11384.34,11495.88,11328.61,WIN,0.628
2024-10-08,BAJAJ-AUTO.NS,VWAP,LONG,11309.95,11504.48,11253.86,WIN,1.366
2024-10-23,BAJAJ-AUTO.NS,VWAP,LONG,10121.84,10293.88,10066.64,WIN,1.304
2024-11-05,BAJAJ-AUTO.NS,VWAP,LONG,9303.74,9552.03,9246.85,WIN,2.239
2024-12-27,BAJAJ-AUTO.NS,VWAP,LONG,8685.03,8778.75,8659.0,WIN,0.618
2025-01-02,BAJAJ-AUTO.NS,VWAP,LONG,8532.98,8733.44,8446.14,WIN,1.88
2025-01-29,BAJAJ-AUTO.NS,VWAP,LONG,8220.24,8404.66,8195.6,WIN,1.757
2025-02-20,BAJAJ-AUTO.NS,VWAP,LONG,8259.09,8364.71,8234.29,WIN,0.794
2025-03-07,BAJAJ-AUTO.NS,VWAP,LONG,7285.08,7363.33,7252.39,WIN,0.525
2025-03-20,BAJAJ-AUTO.NS,VWAP,LONG,7551.31,7670.26,7516.07,WIN,1.046
2025-04-01,BAJAJ-AUTO.NS,VWAP,LONG,7449.82,7695.65,7427.5,WIN,2.763
2025-05-12,BAJAJ-AUTO.NS,VWAP,LONG,7614.81,7758.7,7570.58,WIN,1.364
2025-05-19,BAJAJ-AUTO.NS,VWAP,LONG,8298.19,8518.93,8265.53,WIN,2.178
2025-05-26,BAJAJ-AUTO.NS,VWAP,LONG,8575.94,8682.29,8536.12,WIN,0.774
2025-07-21,BAJAJ-AUTO.NS,VWAP,LONG,8314.31,8398.17,8289.39,WIN,0.528
2025-08-04,BAJAJ-AUTO.NS,VWAP,LONG,8052.54,8145.67,8028.41,WIN,0.66
2025-08-18,BAJAJ-AUTO.NS,VWAP,LONG,8408.4,8539.33,8383.2,WIN,1.081
2025-08-19,BAJAJ-AUTO.NS,VWAP,LONG,8617.61,8745.83,8568.83,WIN,1.024
2025-09-01,BAJAJ-AUTO.NS,VWAP,LONG,8673.66,8889.83,8647.67,WIN,2.031
2025-09-08,BAJAJ-AUTO.NS,VWAP,LONG,9111.1,9332.17,9054.85,WIN,1.987
2025-09-22,BAJAJ-AUTO.NS,VWAP,LONG,8980.47,9069.67,8941.58,WIN,0.548
2025-10-16,BAJAJ-AUTO.NS,VWAP,LONG,9039.03,9116.83,9003.96,WIN,0.418
2025-11-17,BAJAJ-AUTO.NS,VWAP,LONG,8858.85,8940.17,8832.3,WIN,0.466
2025-12-19,BAJAJ-AUTO.NS,VWAP,LONG,8839.33,8946.67,8809.35,WIN,0.762
2025-12-22,BAJAJ-AUTO.NS,VWAP,LONG,9019.01,9115.5,8979.5,WIN,0.626
2026-02-10,BAJAJ-AUTO.NS,VWAP,LONG,9614.6,9730.0,9563.33,WIN,0.784
2026-02-17,BAJAJ-AUTO.NS,VWAP,LONG,9660.65,9776.0,9613.24,WIN,0.78
2026-02-25,BAJAJ-AUTO.NS,VWAP,LONG,9869.36,10032.17,9819.82,WIN,1.244
2026-03-04,BAJAJ-AUTO.NS,VWAP,LONG,9526.02,9624.5,9497.47,WIN,0.614
2026-04-06,BAJAJ-AUTO.NS,VWAP,LONG,8787.28,8894.0,8737.49,WIN,0.759
2026-04-10,BAJAJ-AUTO.NS,VWAP,LONG,9409.4,9685.67,9380.7,WIN,2.511
2026-04-13,BAJAJ-AUTO.NS,VWAP,LONG,9711.2,9789.0,9680.6,WIN,0.389
