date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-02,BAJFINANCE.NS,MOMENTUM,LONG,723.76,752.09,709.6,LOSS,-7.484
2024-07-04,BAJFINANCE.NS,MOMENTUM,LONG,726.35,755.86,711.6,LOSS,-7.538
2024-07-19,BAJFINANCE.NS,MOMENTUM,LONG,707.35,720.08,700.98,LOSS,-6.555
2024-07-31,BAJFINANCE.NS,MOMENTUM,LONG,679.19,684.96,676.3,LOSS,-6.314
2024-08-01,BAJFINANCE.NS,MOMENTUM,LONG,679.64,687.04,675.94,LOSS,-6.43
2024-08-21,BAJFINANCE.NS,MOMENTUM,LONG,668.74,694.83,655.7,PARTIAL,-5.882
2024-08-22,BAJFINANCE.NS,MOMENTUM,LONG,671.53,698.52,658.04,PARTIAL,-6.151
2024-08-23,BAJFINANCE.NS,MOMENTUM,LONG,672.03,695.94,660.07,PARTIAL,-6.335
2024-08-26,BAJFINANCE.NS,MOMENTUM,LONG,674.12,699.26,661.55,PARTIAL,-5.999
2024-08-28,BAJFINANCE.NS,MOMENTUM,LONG,684.07,718.45,666.88,PARTIAL,-5.599
2024-08-29,BAJFINANCE.NS,MOMENTUM,LONG,685.36,715.61,670.24,PARTIAL,-3.406
2024-08-30,BAJFINANCE.NS,MOMENTUM,LONG,703.47,758.06,676.18,PARTIAL,-3.962
2024-09-02,BAJFINANCE.NS,MOMENTUM,LONG,723.66,803.72,683.63,PARTIAL,-3.347
2024-09-03,BAJFINANCE.NS,MOMENTUM,LONG,742.17,837.8,694.35,PARTIAL,-6.912
2024-09-04,BAJFINANCE.NS,MOMENTUM,LONG,721.77,762.87,701.22,PARTIAL,-5.028
2024-09-05,BAJFINANCE.NS,MOMENTUM,LONG,728.24,773.45,705.63,PARTIAL,-6.618
2024-09-12,BAJFINANCE.NS,MOMENTUM,LONG,738.19,778.86,717.85,PARTIAL,-5.407
2024-09-13,BAJFINANCE.NS,MOMENTUM,LONG,739.01,774.05,721.49,PARTIAL,-3.224
2024-09-16,BAJFINANCE.NS,MOMENTUM,LONG,764.05,836.6,727.78,LOSS,-9.983
2024-09-19,BAJFINANCE.NS,MOMENTUM,LONG,763.56,823.07,733.8,PARTIAL,-6.44
2024-09-23,BAJFINANCE.NS,MOMENTUM,LONG,758.66,795.5,740.24,PARTIAL,-5.774
2024-09-24,BAJFINANCE.NS,MOMENTUM,LONG,755.8,781.98,742.71,PARTIAL,-5.955
2024-09-27,BAJFINANCE.NS,MOMENTUM,LONG,774.0,820.21,750.9,PARTIAL,-5.576
2024-09-30,BAJFINANCE.NS,MOMENTUM,LONG,770.62,803.01,754.43,PARTIAL,-5.845
2024-10-01,BAJFINANCE.NS,MOMENTUM,LONG,762.07,773.83,756.2,WIN,-3.707
2024-10-24,BAJFINANCE.NS,MOMENTUM,LONG,697.65,711.88,690.53,PARTIAL,-5.429
2024-10-25,BAJFINANCE.NS,MOMENTUM,LONG,700.47,717.5,691.96,LOSS,-6.926
2024-11-07,BAJFINANCE.NS,MOMENTUM,LONG,697.02,715.22,687.92,LOSS,-7.044
2024-11-25,BAJFINANCE.NS,MOMENTUM,LONG,675.5,708.74,658.88,PARTIAL,-7.559
2024-11-26,BAJFINANCE.NS,MOMENTUM,LONG,668.75,687.05,659.59,LOSS,-7.35
2024-11-28,BAJFINANCE.NS,MOMENTUM,LONG,667.95,683.96,659.94,LOSS,-7.187
2024-12-05,BAJFINANCE.NS,MOMENTUM,LONG,672.53,698.44,659.57,PARTIAL,-4.712
2024-12-06,BAJFINANCE.NS,MOMENTUM,LONG,684.06,725.35,663.42,PARTIAL,-6.32
2024-12-09,BAJFINANCE.NS,MOMENTUM,LONG,681.49,711.49,666.49,PARTIAL,-5.703
2024-12-10,BAJFINANCE.NS,MOMENTUM,LONG,684.94,716.21,669.31,PARTIAL,-5.194
2024-12-11,BAJFINANCE.NS,MOMENTUM,LONG,692.41,731.43,672.91,PARTIAL,-3.649
2024-12-12,BAJFINANCE.NS,MOMENTUM,LONG,708.53,766.92,679.33,PARTIAL,-5.69
2024-12-13,BAJFINANCE.NS,MOMENTUM,LONG,706.25,749.4,684.68,PARTIAL,-4.584
2024-12-16,BAJFINANCE.NS,MOMENTUM,LONG,714.59,763.58,690.09,PARTIAL,-5.341
2024-12-17,BAJFINANCE.NS,MOMENTUM,LONG,716.3,759.05,694.93,PARTIAL,-6.339
2025-01-02,BAJFINANCE.NS,MOMENTUM,LONG,694.41,716.28,683.48,WIN,-2.611
2025-01-03,BAJFINANCE.NS,MOMENTUM,LONG,735.18,819.09,693.22,PARTIAL,-5.304
2025-01-06,BAJFINANCE.NS,MOMENTUM,LONG,746.15,835.7,701.37,PARTIAL,-7.467
2025-01-07,BAJFINANCE.NS,MOMENTUM,LONG,731.72,781.66,706.74,PARTIAL,-5.58
2025-01-08,BAJFINANCE.NS,MOMENTUM,LONG,732.4,774.94,711.13,PARTIAL,-5.649
2025-01-21,BAJFINANCE.NS,MOMENTUM,LONG,741.17,783.11,720.2,PARTIAL,-7.62
2025-01-22,BAJFINANCE.NS,MOMENTUM,LONG,730.13,749.05,720.67,PARTIAL,-4.787
2025-01-23,BAJFINANCE.NS,MOMENTUM,LONG,730.33,744.73,723.13,WIN,-3.506
2025-01-24,BAJFINANCE.NS,MOMENTUM,LONG,740.5,769.48,726.01,PARTIAL,-5.564
2025-01-29,BAJFINANCE.NS,MOMENTUM,LONG,761.79,820.42,732.47,PARTIAL,-4.015
2025-01-30,BAJFINANCE.NS,MOMENTUM,LONG,780.97,863.38,739.76,PARTIAL,-4.564
2025-01-31,BAJFINANCE.NS,MOMENTUM,LONG,788.43,868.49,748.4,PARTIAL,-5.676
2025-02-01,BAJFINANCE.NS,MOMENTUM,LONG,783.95,841.89,754.98,PARTIAL,-3.68
2025-02-03,BAJFINANCE.NS,MOMENTUM,LONG,788.15,839.39,762.53,PARTIAL,1.175
2025-02-04,BAJFINANCE.NS,MOMENTUM,LONG,838.17,960.5,777.0,PARTIAL,-4.275
2025-02-05,BAJFINANCE.NS,MOMENTUM,LONG,845.63,957.77,789.57,PARTIAL,-4.719
2025-02-06,BAJFINANCE.NS,MOMENTUM,LONG,849.04,946.54,800.29,PARTIAL,-5.127
2025-02-07,BAJFINANCE.NS,MOMENTUM,LONG,854.09,944.61,808.83,PARTIAL,-6.072
2025-02-18,BAJFINANCE.NS,MOMENTUM,LONG,838.67,868.0,824.0,PARTIAL,-4.444
2025-02-19,BAJFINANCE.NS,MOMENTUM,LONG,841.57,870.75,826.98,PARTIAL,-5.086
2025-02-28,BAJFINANCE.NS,MOMENTUM,LONG,862.05,910.05,838.04,PARTIAL,-6.293
2025-03-03,BAJFINANCE.NS,MOMENTUM,LONG,849.21,868.67,839.49,LOSS,-5.856
2025-03-04,BAJFINANCE.NS,MOMENTUM,LONG,847.84,858.38,842.57,PARTIAL,-4.07
2025-03-18,BAJFINANCE.NS,MOMENTUM,LONG,853.63,885.08,837.9,PARTIAL,-4.786
2025-03-19,BAJFINANCE.NS,MOMENTUM,LONG,865.53,915.86,840.36,PARTIAL,-4.358
2025-03-20,BAJFINANCE.NS,MOMENTUM,LONG,868.02,913.39,845.33,PARTIAL,-5.227
2025-03-21,BAJFINANCE.NS,MOMENTUM,LONG,899.35,1001.5,848.27,PARTIAL,-5.916
2025-03-24,BAJFINANCE.NS,MOMENTUM,LONG,904.92,1004.13,855.32,PARTIAL,-4.585
2025-03-25,BAJFINANCE.NS,MOMENTUM,LONG,907.81,994.64,864.4,PARTIAL,-5.138
2025-03-26,BAJFINANCE.NS,MOMENTUM,LONG,905.53,974.16,871.21,PARTIAL,-7.107
2025-03-27,BAJFINANCE.NS,MOMENTUM,LONG,881.55,899.29,872.67,WIN,-2.524
2025-04-09,BAJFINANCE.NS,MOMENTUM,LONG,876.97,899.66,865.63,LOSS,-5.855
2025-04-11,BAJFINANCE.NS,MOMENTUM,LONG,877.97,902.66,865.62,PARTIAL,-3.569
2025-04-15,BAJFINANCE.NS,MOMENTUM,LONG,920.79,1023.79,869.3,PARTIAL,-5.68
2025-04-16,BAJFINANCE.NS,MOMENTUM,LONG,910.25,977.56,876.59,PARTIAL,-5.51
