date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,BAJFINANCE.NS,ORB,LONG,712.75,719.86,709.19,LOSS,-6.111
2024-06-28,BAJFINANCE.NS,ORB,LONG,714.24,721.37,710.68,LOSS,-6.099
2024-07-01,BAJFINANCE.NS,ORB,LONG,705.27,712.31,701.75,WIN,-4.674
2024-07-03,BAJFINANCE.NS,ORB,LONG,716.73,723.88,713.16,WIN,-4.583
2024-07-04,BAJFINANCE.NS,ORB,LONG,727.81,735.06,724.18,LOSS,-5.995
2024-07-09,BAJFINANCE.NS,ORB,LONG,708.75,715.82,705.21,LOSS,-6.142
2024-07-10,BAJFINANCE.NS,ORB,LONG,704.57,711.6,701.06,LOSS,-6.176
2024-07-12,BAJFINANCE.NS,ORB,LONG,697.49,704.45,694.01,LOSS,-6.234
2024-07-15,BAJFINANCE.NS,ORB,LONG,699.79,706.77,696.3,LOSS,-6.215
2024-07-18,BAJFINANCE.NS,ORB,LONG,702.49,709.5,698.99,LOSS,-6.193
2024-07-22,BAJFINANCE.NS,ORB,LONG,691.02,697.91,687.57,LOSS,-6.287
2024-07-24,BAJFINANCE.NS,ORB,LONG,660.91,667.5,657.62,LOSS,-6.551
2024-07-25,BAJFINANCE.NS,ORB,LONG,653.93,660.46,650.67,WIN,-5.119
2024-07-26,BAJFINANCE.NS,ORB,LONG,665.4,672.04,662.08,WIN,-5.014
2024-07-29,BAJFINANCE.NS,ORB,LONG,680.24,687.02,676.84,LOSS,-6.379
2024-07-30,BAJFINANCE.NS,ORB,LONG,679.1,685.87,675.71,LOSS,-6.389
2024-07-31,BAJFINANCE.NS,ORB,LONG,680.55,687.33,677.15,LOSS,-6.376
2024-08-02,BAJFINANCE.NS,ORB,LONG,670.38,677.07,667.04,LOSS,-6.465
2024-08-06,BAJFINANCE.NS,ORB,LONG,660.51,667.1,657.22,LOSS,-6.555
2024-08-07,BAJFINANCE.NS,ORB,LONG,657.92,664.48,654.64,LOSS,-6.578
2024-08-08,BAJFINANCE.NS,ORB,LONG,660.42,667.01,657.13,LOSS,-6.555
2024-08-12,BAJFINANCE.NS,ORB,LONG,659.83,666.41,656.54,LOSS,-6.561
2024-08-16,BAJFINANCE.NS,ORB,LONG,648.45,654.92,645.22,WIN,-5.171
2024-08-20,BAJFINANCE.NS,ORB,LONG,662.64,669.25,659.34,WIN,-5.039
2024-08-21,BAJFINANCE.NS,ORB,LONG,670.08,676.76,666.74,LOSS,-6.468
2024-08-26,BAJFINANCE.NS,ORB,LONG,675.47,682.2,672.1,LOSS,-6.421
2024-08-27,BAJFINANCE.NS,ORB,LONG,675.7,682.44,672.33,WIN,-4.922
2024-08-28,BAJFINANCE.NS,ORB,LONG,685.43,692.27,682.02,LOSS,-6.334
2024-08-29,BAJFINANCE.NS,ORB,LONG,686.74,693.59,683.31,WIN,-4.827
2024-08-30,BAJFINANCE.NS,ORB,LONG,704.88,711.91,701.36,WIN,-4.677
2024-09-02,BAJFINANCE.NS,ORB,LONG,725.11,732.34,721.49,WIN,-4.519
2024-09-04,BAJFINANCE.NS,ORB,LONG,723.21,730.42,719.6,WIN,-4.533
2024-09-06,BAJFINANCE.NS,ORB,LONG,723.27,730.48,719.66,WIN,-4.533
2024-09-09,BAJFINANCE.NS,ORB,LONG,730.09,737.38,726.45,LOSS,-5.977
2024-09-11,BAJFINANCE.NS,ORB,LONG,722.72,729.93,719.11,WIN,-4.537
2024-09-13,BAJFINANCE.NS,ORB,LONG,740.49,747.88,736.8,WIN,-4.404
2024-09-17,BAJFINANCE.NS,ORB,LONG,731.44,738.73,727.79,WIN,-4.471
2024-09-18,BAJFINANCE.NS,ORB,LONG,736.4,743.74,732.73,WIN,-4.434
2024-09-19,BAJFINANCE.NS,ORB,LONG,765.08,772.71,761.27,LOSS,-5.727
2024-09-25,BAJFINANCE.NS,ORB,LONG,752.12,759.63,748.37,LOSS,-5.817
2024-09-26,BAJFINANCE.NS,ORB,LONG,761.59,769.19,757.8,WIN,-4.255
2024-09-27,BAJFINANCE.NS,ORB,LONG,775.55,783.29,771.68,LOSS,-5.656
2024-09-30,BAJFINANCE.NS,ORB,LONG,772.16,779.86,768.31,LOSS,-5.679
2024-10-01,BAJFINANCE.NS,ORB,LONG,763.6,771.21,759.79,WIN,-4.241
2024-10-03,BAJFINANCE.NS,ORB,LONG,758.6,766.17,754.82,LOSS,-5.772
