date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,BAJFINANCE.NS,VWAP,LONG,703.86,717.43,701.75,WIN,-3.755
2024-07-26,BAJFINANCE.NS,VWAP,LONG,664.07,671.37,661.3,WIN,-4.926
2024-08-29,BAJFINANCE.NS,VWAP,LONG,685.36,699.12,682.57,WIN,-3.829
2024-08-30,BAJFINANCE.NS,VWAP,LONG,703.47,711.82,701.36,WIN,-4.5
2024-09-06,BAJFINANCE.NS,VWAP,LONG,721.83,727.77,719.66,WIN,-4.719
2024-09-18,BAJFINANCE.NS,VWAP,LONG,734.93,751.43,731.86,WIN,-3.197
2024-10-09,BAJFINANCE.NS,VWAP,LONG,717.89,726.63,714.76,WIN,-4.355
2024-10-23,BAJFINANCE.NS,VWAP,LONG,657.18,685.62,654.74,WIN,-1.758
2024-11-22,BAJFINANCE.NS,VWAP,LONG,643.68,658.02,640.36,WIN,-3.986
2025-01-02,BAJFINANCE.NS,VWAP,LONG,694.41,721.89,691.44,WIN,-1.804
2025-01-20,BAJFINANCE.NS,VWAP,LONG,714.52,731.89,712.38,WIN,-3.167
2025-01-23,BAJFINANCE.NS,VWAP,LONG,730.33,738.52,726.55,WIN,-4.356
2025-01-28,BAJFINANCE.NS,VWAP,LONG,735.2,750.65,728.54,WIN,-3.34
2025-01-30,BAJFINANCE.NS,VWAP,LONG,780.97,795.17,778.63,WIN,-3.303
2025-02-03,BAJFINANCE.NS,VWAP,LONG,788.15,821.14,785.67,WIN,-0.89
2025-02-13,BAJFINANCE.NS,VWAP,LONG,815.49,831.67,813.05,WIN,-2.921
2025-02-17,BAJFINANCE.NS,VWAP,LONG,817.8,832.69,815.35,WIN,-3.071
2025-02-25,BAJFINANCE.NS,VWAP,LONG,831.2,839.93,827.03,WIN,-3.762
2025-02-27,BAJFINANCE.NS,VWAP,LONG,849.87,860.92,847.32,WIN,-3.406
2025-03-17,BAJFINANCE.NS,VWAP,LONG,835.6,847.98,831.79,WIN,-3.306
2025-04-07,BAJFINANCE.NS,VWAP,LONG,829.71,843.98,823.97,WIN,-3.102
2025-04-08,BAJFINANCE.NS,VWAP,LONG,860.55,872.79,857.98,WIN,-3.226
2025-05-02,BAJFINANCE.NS,VWAP,LONG,853.14,872.93,849.64,WIN,-2.369
2025-05-07,BAJFINANCE.NS,VWAP,LONG,870.5,884.77,865.22,WIN,-2.956
2025-05-12,BAJFINANCE.NS,VWAP,LONG,881.55,891.52,876.57,WIN,-3.407
2025-05-19,BAJFINANCE.NS,VWAP,LONG,913.23,919.32,910.49,WIN,-3.713
2025-06-06,BAJFINANCE.NS,VWAP,LONG,895.39,922.72,885.82,WIN,-1.416
2025-06-13,BAJFINANCE.NS,VWAP,LONG,915.91,928.12,912.87,WIN,-3.035
2025-06-26,BAJFINANCE.NS,VWAP,LONG,930.93,944.5,926.64,WIN,-2.839
2025-07-08,BAJFINANCE.NS,VWAP,LONG,919.72,925.32,916.96,WIN,-3.741
2025-07-18,BAJFINANCE.NS,VWAP,LONG,921.42,935.63,918.16,WIN,-2.799
2025-07-23,BAJFINANCE.NS,VWAP,LONG,954.95,964.3,951.74,WIN,-3.21
2025-07-29,BAJFINANCE.NS,VWAP,LONG,875.93,884.68,871.75,WIN,-3.567
2025-08-04,BAJFINANCE.NS,VWAP,LONG,874.87,881.92,871.95,WIN,-3.767
2025-08-18,BAJFINANCE.NS,VWAP,LONG,875.87,899.95,873.25,WIN,-1.818
2025-08-29,BAJFINANCE.NS,VWAP,LONG,871.72,878.9,869.11,WIN,-3.765
2025-09-01,BAJFINANCE.NS,VWAP,LONG,878.73,887.33,876.09,WIN,-3.573
2025-09-04,BAJFINANCE.NS,VWAP,LONG,915.91,931.67,910.43,WIN,-2.647
2025-09-12,BAJFINANCE.NS,VWAP,LONG,973.22,992.9,968.91,WIN,-2.088
2025-09-15,BAJFINANCE.NS,VWAP,LONG,1000.0,1011.22,996.1,WIN,-2.878
2025-09-22,BAJFINANCE.NS,VWAP,LONG,990.94,1002.13,987.02,WIN,-2.907
2025-09-23,BAJFINANCE.NS,VWAP,LONG,1000.0,1017.77,997.0,WIN,-2.223
2025-10-06,BAJFINANCE.NS,VWAP,LONG,993.99,1008.0,990.12,WIN,-2.615
2025-10-07,BAJFINANCE.NS,VWAP,LONG,1009.91,1018.32,1006.88,WIN,-3.128
2025-10-08,BAJFINANCE.NS,VWAP,LONG,1013.06,1021.07,1010.03,WIN,-3.158
2025-10-17,BAJFINANCE.NS,VWAP,LONG,1057.16,1067.55,1053.99,WIN,-2.801
2025-11-07,BAJFINANCE.NS,VWAP,LONG,1040.04,1059.23,1032.13,WIN,-2.0
2025-12-02,BAJFINANCE.NS,VWAP,LONG,1015.51,1025.13,1011.87,WIN,-2.992
2025-12-05,BAJFINANCE.NS,VWAP,LONG,1029.93,1045.17,1024.45,WIN,-2.404
2025-12-12,BAJFINANCE.NS,VWAP,LONG,1001.0,1012.7,998.0,WIN,-2.827
2026-01-19,BAJFINANCE.NS,VWAP,LONG,951.45,963.73,946.95,WIN,-2.913
2026-01-28,BAJFINANCE.NS,VWAP,LONG,915.61,928.92,912.87,WIN,-2.916
2026-02-02,BAJFINANCE.NS,VWAP,LONG,887.89,900.03,885.23,WIN,-3.137
2026-02-12,BAJFINANCE.NS,VWAP,LONG,969.27,988.7,963.07,WIN,-2.122
2026-02-13,BAJFINANCE.NS,VWAP,LONG,995.99,1016.52,990.81,WIN,-1.956
2026-03-16,BAJFINANCE.NS,VWAP,LONG,850.95,870.05,848.4,WIN,-2.456
2026-04-21,BAJFINANCE.NS,VWAP,LONG,920.42,934.6,917.16,WIN,-2.805
2026-05-04,BAJFINANCE.NS,VWAP,LONG,939.04,951.43,936.22,WIN,-2.94
2026-05-06,BAJFINANCE.NS,VWAP,LONG,965.96,976.58,963.07,WIN,-3.042
