date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,BRITANNIA.NS,MOMENTUM,LONG,5301.06,5442.93,5230.13,PARTIAL,-0.109
2024-07-01,BRITANNIA.NS,MOMENTUM,LONG,5340.12,5524.43,5247.97,PARTIAL,-0.822
2024-07-02,BRITANNIA.NS,MOMENTUM,LONG,5364.46,5568.53,5262.42,LOSS,-2.648
2024-07-08,BRITANNIA.NS,MOMENTUM,LONG,5418.1,5671.24,5291.53,PARTIAL,-0.594
2024-07-09,BRITANNIA.NS,MOMENTUM,LONG,5559.53,6048.28,5315.16,PARTIAL,-1.365
2024-07-10,BRITANNIA.NS,MOMENTUM,LONG,5530.32,5883.87,5353.54,PARTIAL,0.683
2024-07-11,BRITANNIA.NS,MOMENTUM,LONG,5657.07,6169.01,5401.1,PARTIAL,-1.474
2024-07-12,BRITANNIA.NS,MOMENTUM,LONG,5637.56,6032.17,5440.25,PARTIAL,-0.688
2024-07-15,BRITANNIA.NS,MOMENTUM,LONG,5663.89,6038.52,5476.58,PARTIAL,-0.76
2024-07-16,BRITANNIA.NS,MOMENTUM,LONG,5668.77,5986.22,5510.04,PARTIAL,0.06
2024-07-18,BRITANNIA.NS,MOMENTUM,LONG,5702.47,6013.32,5547.04,PARTIAL,-0.375
2024-07-19,BRITANNIA.NS,MOMENTUM,LONG,5705.83,5960.66,5578.42,PARTIAL,-0.324
2024-07-22,BRITANNIA.NS,MOMENTUM,LONG,5733.1,5989.74,5604.77,PARTIAL,-0.629
2024-07-23,BRITANNIA.NS,MOMENTUM,LONG,5742.75,5972.69,5627.78,PARTIAL,0.169
2024-07-24,BRITANNIA.NS,MOMENTUM,LONG,5802.78,6093.87,5657.24,PARTIAL,-2.803
2024-08-07,BRITANNIA.NS,MOMENTUM,LONG,5819.82,6155.01,5652.23,PARTIAL,-1.693
2024-08-08,BRITANNIA.NS,MOMENTUM,LONG,5774.91,5983.57,5670.58,LOSS,-2.499
2024-08-09,BRITANNIA.NS,MOMENTUM,LONG,5701.45,5770.09,5667.13,LOSS,-1.304
2024-08-20,BRITANNIA.NS,MOMENTUM,LONG,5671.86,5764.99,5625.3,PARTIAL,-0.364
2024-08-21,BRITANNIA.NS,MOMENTUM,LONG,5704.81,5844.31,5635.06,PARTIAL,0.299
2024-08-22,BRITANNIA.NS,MOMENTUM,LONG,5788.01,6050.09,5656.96,PARTIAL,-1.153
2024-08-23,BRITANNIA.NS,MOMENTUM,LONG,5767.26,5953.02,5674.37,PARTIAL,-1.553
2024-08-26,BRITANNIA.NS,MOMENTUM,LONG,5730.7,5832.87,5679.61,PARTIAL,-0.85
2024-09-02,BRITANNIA.NS,MOMENTUM,LONG,5811.77,6038.58,5698.36,PARTIAL,-0.107
2024-09-03,BRITANNIA.NS,MOMENTUM,LONG,5862.11,6137.75,5724.29,PARTIAL,-1.068
2024-09-04,BRITANNIA.NS,MOMENTUM,LONG,5780.05,5852.49,5743.83,WIN,0.561
2024-09-05,BRITANNIA.NS,MOMENTUM,LONG,5841.11,6000.27,5761.53,LOSS,-2.047
2024-09-12,BRITANNIA.NS,MOMENTUM,LONG,5946.74,6201.79,5819.21,PARTIAL,0.731
2024-09-13,BRITANNIA.NS,MOMENTUM,LONG,6064.66,6478.39,5857.8,PARTIAL,-0.839
2024-09-16,BRITANNIA.NS,MOMENTUM,LONG,5928.31,5998.21,5893.36,WIN,0.504
2024-09-17,BRITANNIA.NS,MOMENTUM,LONG,6000.88,6186.63,5908.01,PARTIAL,-0.148
2024-09-18,BRITANNIA.NS,MOMENTUM,LONG,6061.7,6326.71,5929.19,PARTIAL,-0.951
2024-09-23,BRITANNIA.NS,MOMENTUM,LONG,6160.75,6491.56,5995.34,PARTIAL,-1.134
2024-09-24,BRITANNIA.NS,MOMENTUM,LONG,6126.66,6342.45,6018.77,PARTIAL,-0.714
2024-09-25,BRITANNIA.NS,MOMENTUM,LONG,6128.88,6314.81,6035.92,LOSS,-2.169
2024-10-01,BRITANNIA.NS,MOMENTUM,LONG,6231.54,6459.71,6117.46,PARTIAL,1.462
2024-10-03,BRITANNIA.NS,MOMENTUM,LONG,6367.2,6776.24,6162.68,PARTIAL,-2.471
2024-10-04,BRITANNIA.NS,MOMENTUM,LONG,6203.23,6256.98,6176.36,WIN,0.222
2024-10-31,BRITANNIA.NS,MOMENTUM,LONG,5709.95,5777.87,5675.99,LOSS,-1.295
