date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,BRITANNIA.NS,ORB,LONG,5266.51,5319.04,5240.25,PARTIAL,-0.291
2024-06-28,BRITANNIA.NS,ORB,LONG,5311.66,5364.64,5285.17,LOSS,-1.252
2024-07-03,BRITANNIA.NS,ORB,LONG,5298.71,5351.56,5272.29,WIN,0.243
2024-07-04,BRITANNIA.NS,ORB,LONG,5331.16,5384.33,5304.57,LOSS,-1.249
2024-07-05,BRITANNIA.NS,ORB,LONG,5322.36,5375.45,5295.82,WIN,0.246
2024-07-08,BRITANNIA.NS,ORB,LONG,5428.94,5483.09,5401.87,LOSS,-1.235
2024-07-10,BRITANNIA.NS,ORB,LONG,5541.38,5596.65,5513.74,WIN,0.276
2024-07-12,BRITANNIA.NS,ORB,LONG,5648.83,5705.18,5620.66,LOSS,-1.207
2024-07-15,BRITANNIA.NS,ORB,LONG,5675.22,5731.83,5646.92,LOSS,-1.204
2024-07-16,BRITANNIA.NS,ORB,LONG,5680.11,5736.76,5651.78,LOSS,-1.203
2024-07-18,BRITANNIA.NS,ORB,LONG,5713.87,5770.86,5685.38,LOSS,-1.199
2024-07-19,BRITANNIA.NS,ORB,LONG,5717.25,5774.27,5688.73,WIN,0.298
2024-07-22,BRITANNIA.NS,ORB,LONG,5744.56,5801.86,5715.91,LOSS,-1.195
2024-07-23,BRITANNIA.NS,ORB,LONG,5754.24,5811.63,5725.54,WIN,0.302
2024-07-24,BRITANNIA.NS,ORB,LONG,5814.39,5872.38,5785.39,LOSS,-1.187
2024-07-25,BRITANNIA.NS,ORB,LONG,5692.72,5749.49,5664.33,LOSS,-1.201
2024-07-26,BRITANNIA.NS,ORB,LONG,5697.7,5754.53,5669.28,LOSS,-1.201
2024-07-29,BRITANNIA.NS,ORB,LONG,5764.16,5821.65,5735.41,LOSS,-1.193
2024-07-30,BRITANNIA.NS,ORB,LONG,5764.55,5822.04,5735.8,WIN,0.304
2024-08-01,BRITANNIA.NS,ORB,LONG,5653.18,5709.57,5624.99,LOSS,-1.206
2024-08-02,BRITANNIA.NS,ORB,LONG,5578.52,5634.16,5550.7,WIN,0.28
2024-08-05,BRITANNIA.NS,ORB,LONG,5653.01,5709.39,5624.82,WIN,0.29
2024-08-06,BRITANNIA.NS,ORB,LONG,5667.46,5723.99,5639.2,WIN,0.292
2024-08-07,BRITANNIA.NS,ORB,LONG,5831.46,5889.62,5802.38,LOSS,-1.185
2024-08-12,BRITANNIA.NS,ORB,LONG,5687.71,5744.44,5659.34,LOSS,-1.202
2024-08-13,BRITANNIA.NS,ORB,LONG,5622.32,5678.39,5594.28,LOSS,-1.21
2024-08-14,BRITANNIA.NS,ORB,LONG,5619.4,5675.45,5591.37,LOSS,-1.211
2024-08-16,BRITANNIA.NS,ORB,LONG,5613.95,5669.95,5585.95,PARTIAL,0.028
2024-08-19,BRITANNIA.NS,ORB,LONG,5687.71,5744.44,5659.34,LOSS,-1.202
2024-08-20,BRITANNIA.NS,ORB,LONG,5683.2,5739.89,5654.86,LOSS,-1.203
2024-08-21,BRITANNIA.NS,ORB,LONG,5716.22,5773.24,5687.71,WIN,0.298
2024-08-26,BRITANNIA.NS,ORB,LONG,5742.16,5799.43,5713.52,LOSS,-1.195
2024-08-28,BRITANNIA.NS,ORB,LONG,5689.24,5745.99,5660.87,LOSS,-1.202
2024-08-29,BRITANNIA.NS,ORB,LONG,5653.06,5709.44,5624.87,WIN,0.29
2024-08-30,BRITANNIA.NS,ORB,LONG,5784.68,5842.38,5755.83,LOSS,-1.19
2024-09-02,BRITANNIA.NS,ORB,LONG,5823.39,5881.47,5794.35,LOSS,-1.186
2024-09-04,BRITANNIA.NS,ORB,LONG,5791.61,5849.38,5762.73,WIN,0.307
2024-09-06,BRITANNIA.NS,ORB,LONG,5788.39,5846.13,5759.53,LOSS,-1.19
2024-09-09,BRITANNIA.NS,ORB,LONG,5801.51,5859.38,5772.58,WIN,0.308
2024-09-10,BRITANNIA.NS,ORB,LONG,5920.41,5979.47,5890.89,LOSS,-1.174
2024-09-11,BRITANNIA.NS,ORB,LONG,5893.68,5952.47,5864.29,WIN,0.319
2024-09-12,BRITANNIA.NS,ORB,LONG,5958.63,6018.06,5928.91,WIN,0.326
2024-09-16,BRITANNIA.NS,ORB,LONG,5940.17,5999.41,5910.54,WIN,0.324
2024-09-17,BRITANNIA.NS,ORB,LONG,6012.88,6072.86,5982.9,WIN,0.332
2024-09-18,BRITANNIA.NS,ORB,LONG,6073.82,6134.4,6043.53,LOSS,-1.157
2024-09-19,BRITANNIA.NS,ORB,LONG,6067.78,6128.3,6037.52,WIN,0.338
2024-09-20,BRITANNIA.NS,ORB,LONG,6103.87,6164.75,6073.43,WIN,0.342
2024-09-24,BRITANNIA.NS,ORB,LONG,6138.91,6200.14,6108.3,LOSS,-1.15
2024-09-26,BRITANNIA.NS,ORB,LONG,6138.17,6199.39,6107.56,LOSS,-1.15
2024-09-27,BRITANNIA.NS,ORB,LONG,6175.5,6237.09,6144.7,WIN,0.35
2024-09-30,BRITANNIA.NS,ORB,LONG,6190.3,6252.04,6159.43,WIN,0.351
2024-10-01,BRITANNIA.NS,ORB,LONG,6244.01,6306.28,6212.87,WIN,0.357
2024-10-03,BRITANNIA.NS,ORB,LONG,6379.94,6443.57,6348.12,LOSS,-1.126
2024-10-04,BRITANNIA.NS,ORB,LONG,6215.64,6277.64,6184.64,LOSS,-1.142
2024-10-08,BRITANNIA.NS,ORB,LONG,6076.49,6137.1,6046.19,WIN,0.339
2024-10-09,BRITANNIA.NS,ORB,LONG,6097.23,6158.05,6066.83,LOSS,-1.155
2024-10-10,BRITANNIA.NS,ORB,LONG,6065.9,6126.4,6035.65,LOSS,-1.158
2024-10-14,BRITANNIA.NS,ORB,LONG,5945.22,6004.51,5915.57,LOSS,-1.172
2024-10-15,BRITANNIA.NS,ORB,LONG,5956.35,6015.76,5926.65,LOSS,-1.17
2024-10-16,BRITANNIA.NS,ORB,LONG,6004.52,6064.41,5974.57,LOSS,-1.165
2024-10-23,BRITANNIA.NS,ORB,LONG,5641.77,5698.04,5613.64,WIN,0.288
2024-10-24,BRITANNIA.NS,ORB,LONG,5693.5,5750.29,5665.11,LOSS,-1.201
2024-10-25,BRITANNIA.NS,ORB,LONG,5556.43,5611.85,5528.72,WIN,0.278
2024-10-28,BRITANNIA.NS,ORB,LONG,5620.39,5676.44,5592.36,WIN,0.286
2024-10-29,BRITANNIA.NS,ORB,LONG,5673.65,5730.24,5645.36,LOSS,-1.204
2024-10-30,BRITANNIA.NS,ORB,LONG,5610.09,5666.05,5582.11,WIN,0.284
2024-11-05,BRITANNIA.NS,ORB,LONG,5577.96,5633.6,5550.15,LOSS,-1.216
