date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-05,BRITANNIA.NS,VWAP,LONG,5311.74,5370.55,5284.15,WIN,0.354
2024-07-10,BRITANNIA.NS,VWAP,LONG,5530.32,5594.77,5513.74,WIN,0.442
2024-07-19,BRITANNIA.NS,VWAP,LONG,5705.83,5749.7,5685.48,WIN,0.068
2024-08-06,BRITANNIA.NS,VWAP,LONG,5656.15,5753.15,5625.01,WIN,1.008
2024-08-29,BRITANNIA.NS,VWAP,LONG,5641.77,5715.94,5611.22,WIN,0.606
2024-09-17,BRITANNIA.NS,VWAP,LONG,6000.88,6049.01,5978.66,WIN,0.135
2024-10-01,BRITANNIA.NS,VWAP,LONG,6231.54,6322.66,6212.87,WIN,0.82
2024-10-25,BRITANNIA.NS,VWAP,LONG,5545.34,5588.71,5526.36,WIN,0.061
2024-11-26,BRITANNIA.NS,VWAP,LONG,4845.36,4914.54,4820.0,WIN,0.602
2024-11-29,BRITANNIA.NS,VWAP,LONG,4821.69,4861.98,4807.24,WIN,0.006
2025-01-01,BRITANNIA.NS,VWAP,LONG,4695.42,4726.94,4681.35,WIN,-0.181
2025-01-07,BRITANNIA.NS,VWAP,LONG,4747.54,4778.38,4733.31,WIN,-0.193
2025-01-09,BRITANNIA.NS,VWAP,LONG,4802.47,4874.9,4767.89,WIN,0.675
2025-01-27,BRITANNIA.NS,VWAP,LONG,5042.67,5097.96,5026.97,WIN,0.303
2025-03-05,BRITANNIA.NS,VWAP,LONG,4525.18,4612.01,4492.01,WIN,1.035
2025-03-17,BRITANNIA.NS,VWAP,LONG,4545.04,4612.21,4531.42,WIN,0.598
2025-03-28,BRITANNIA.NS,VWAP,LONG,4803.86,4878.57,4789.46,WIN,0.723
2025-04-02,BRITANNIA.NS,VWAP,LONG,4847.18,4933.08,4827.73,WIN,0.947
2025-04-03,BRITANNIA.NS,VWAP,LONG,4930.43,4983.18,4907.72,WIN,0.259
2025-04-07,BRITANNIA.NS,VWAP,LONG,4566.77,4847.44,4536.39,WIN,5.27
2025-04-09,BRITANNIA.NS,VWAP,LONG,5087.97,5212.05,5072.72,WIN,1.652
2025-04-16,BRITANNIA.NS,VWAP,LONG,5286.57,5333.01,5270.73,WIN,0.122
2025-06-02,BRITANNIA.NS,VWAP,LONG,5449.1,5540.23,5429.33,WIN,0.938
2025-07-30,BRITANNIA.NS,VWAP,LONG,5559.77,5636.96,5543.1,WIN,0.669
2025-08-07,BRITANNIA.NS,VWAP,LONG,5385.88,5472.33,5369.74,WIN,0.862
2025-08-18,BRITANNIA.NS,VWAP,LONG,5405.4,5502.0,5389.2,WIN,1.047
2025-08-20,BRITANNIA.NS,VWAP,LONG,5487.48,5637.0,5464.55,WIN,1.996
2025-08-26,BRITANNIA.NS,VWAP,LONG,5580.07,5711.5,5563.35,WIN,1.638
2025-08-29,BRITANNIA.NS,VWAP,LONG,5676.67,5796.17,5659.66,WIN,1.4
2025-10-16,BRITANNIA.NS,VWAP,LONG,5881.88,5974.67,5846.28,WIN,0.898
2025-12-02,BRITANNIA.NS,VWAP,LONG,5797.79,5853.83,5780.42,WIN,0.277
2026-01-30,BRITANNIA.NS,VWAP,LONG,5728.72,5819.5,5699.08,WIN,0.886
2026-02-16,BRITANNIA.NS,VWAP,LONG,5985.98,6068.17,5952.57,WIN,0.705
2026-03-02,BRITANNIA.NS,VWAP,LONG,5871.87,5942.0,5854.27,WIN,0.513
2026-03-10,BRITANNIA.NS,VWAP,LONG,5916.91,5958.0,5899.18,WIN,0.018
2026-03-25,BRITANNIA.NS,VWAP,LONG,5542.04,5640.33,5525.43,WIN,1.052
2026-04-06,BRITANNIA.NS,VWAP,LONG,5425.42,5495.0,5391.2,WIN,0.545
