date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-08,CIPLA.NS,MOMENTUM,LONG,1488.85,1541.32,1462.62,LOSS,-4.449
2024-07-10,CIPLA.NS,MOMENTUM,LONG,1485.02,1525.83,1464.62,LOSS,-4.068
2024-07-11,CIPLA.NS,MOMENTUM,LONG,1489.83,1534.05,1467.73,LOSS,-4.169
2024-07-15,CIPLA.NS,MOMENTUM,LONG,1489.44,1526.62,1470.85,PARTIAL,-2.746
2024-07-29,CIPLA.NS,MOMENTUM,LONG,1559.56,1714.2,1482.25,PARTIAL,-4.807
2024-07-30,CIPLA.NS,MOMENTUM,LONG,1526.17,1598.91,1489.8,PARTIAL,-4.334
2024-07-31,CIPLA.NS,MOMENTUM,LONG,1502.7,1526.21,1490.95,PARTIAL,-1.835
2024-08-01,CIPLA.NS,MOMENTUM,LONG,1518.27,1565.05,1494.87,PARTIAL,-2.718
2024-08-08,CIPLA.NS,MOMENTUM,LONG,1530.2,1575.08,1507.76,PARTIAL,-1.101
2024-08-09,CIPLA.NS,MOMENTUM,LONG,1559.71,1647.25,1515.95,PARTIAL,-2.668
2024-08-12,CIPLA.NS,MOMENTUM,LONG,1559.61,1631.95,1523.44,PARTIAL,-1.932
2024-08-13,CIPLA.NS,MOMENTUM,LONG,1584.67,1690.59,1531.71,PARTIAL,-3.657
2024-08-14,CIPLA.NS,MOMENTUM,LONG,1581.7,1669.56,1537.77,PARTIAL,-4.706
2024-08-22,CIPLA.NS,MOMENTUM,LONG,1583.68,1651.68,1549.68,PARTIAL,-3.45
2024-08-27,CIPLA.NS,MOMENTUM,LONG,1571.3,1600.57,1556.66,WIN,-0.683
2024-08-29,CIPLA.NS,MOMENTUM,LONG,1606.46,1683.88,1567.75,PARTIAL,-2.802
2024-08-30,CIPLA.NS,MOMENTUM,LONG,1599.53,1651.53,1573.53,PARTIAL,-0.133
2024-09-02,CIPLA.NS,MOMENTUM,LONG,1653.01,1788.39,1585.32,PARTIAL,-3.858
2024-09-03,CIPLA.NS,MOMENTUM,LONG,1627.56,1696.41,1593.13,PARTIAL,-1.956
2024-09-04,CIPLA.NS,MOMENTUM,LONG,1619.39,1656.82,1600.67,PARTIAL,-1.54
2024-09-05,CIPLA.NS,MOMENTUM,LONG,1635.28,1692.96,1606.44,LOSS,-4.21
2024-09-13,CIPLA.NS,MOMENTUM,LONG,1643.01,1708.55,1610.24,PARTIAL,-2.486
2024-09-16,CIPLA.NS,MOMENTUM,LONG,1645.29,1704.58,1615.64,PARTIAL,-2.639
2024-09-17,CIPLA.NS,MOMENTUM,LONG,1644.1,1692.5,1619.9,PARTIAL,-1.823
2024-09-18,CIPLA.NS,MOMENTUM,LONG,1656.97,1719.42,1625.75,LOSS,-4.298
2024-10-01,CIPLA.NS,MOMENTUM,LONG,1644.1,1680.3,1626.0,PARTIAL,-2.241
2024-10-03,CIPLA.NS,MOMENTUM,LONG,1645.34,1677.49,1629.26,LOSS,-3.408
2024-10-10,CIPLA.NS,MOMENTUM,LONG,1677.72,1778.43,1627.37,LOSS,-5.386
2024-11-01,CIPLA.NS,MOMENTUM,LONG,1550.11,1680.16,1485.08,PARTIAL,-3.035
2024-11-04,CIPLA.NS,MOMENTUM,LONG,1568.83,1714.97,1495.75,PARTIAL,-2.612
2024-11-05,CIPLA.NS,MOMENTUM,LONG,1568.43,1686.83,1509.23,PARTIAL,-1.54
2024-11-06,CIPLA.NS,MOMENTUM,LONG,1594.77,1737.75,1523.29,PARTIAL,-3.61
2024-11-07,CIPLA.NS,MOMENTUM,LONG,1584.67,1687.77,1533.12,PARTIAL,-4.113
2024-11-08,CIPLA.NS,MOMENTUM,LONG,1560.01,1605.11,1537.46,PARTIAL,-1.554
2024-11-26,CIPLA.NS,MOMENTUM,LONG,1500.49,1541.67,1479.89,LOSS,-4.038
2024-12-02,CIPLA.NS,MOMENTUM,LONG,1517.32,1585.04,1483.46,PARTIAL,-4.321
2024-12-03,CIPLA.NS,MOMENTUM,LONG,1502.52,1539.09,1484.23,PARTIAL,-1.653
2024-12-04,CIPLA.NS,MOMENTUM,LONG,1515.34,1566.01,1490.01,LOSS,-4.311
2024-12-20,CIPLA.NS,MOMENTUM,LONG,1492.12,1571.83,1452.26,PARTIAL,-5.068
2024-12-23,CIPLA.NS,MOMENTUM,LONG,1459.83,1475.02,1452.23,WIN,-1.699
2024-12-24,CIPLA.NS,MOMENTUM,LONG,1461.86,1479.58,1453.0,LOSS,-3.342
2024-12-30,CIPLA.NS,MOMENTUM,LONG,1494.54,1558.08,1462.78,PARTIAL,-1.955
2024-12-31,CIPLA.NS,MOMENTUM,LONG,1503.36,1569.31,1470.38,PARTIAL,-2.03
2025-01-01,CIPLA.NS,MOMENTUM,LONG,1517.27,1595.89,1477.96,PARTIAL,-2.922
2025-01-02,CIPLA.NS,MOMENTUM,LONG,1520.2,1592.48,1484.05,PARTIAL,-2.536
2025-01-03,CIPLA.NS,MOMENTUM,LONG,1524.26,1591.45,1490.66,LOSS,-4.829
2025-01-31,CIPLA.NS,MOMENTUM,LONG,1446.01,1507.47,1415.29,PARTIAL,-1.539
2025-02-01,CIPLA.NS,MOMENTUM,LONG,1465.23,1547.48,1424.1,LOSS,-5.537
2025-02-07,CIPLA.NS,MOMENTUM,LONG,1459.38,1525.09,1426.53,PARTIAL,-2.926
2025-02-10,CIPLA.NS,MOMENTUM,LONG,1462.06,1522.8,1431.69,LOSS,-4.813
2025-02-12,CIPLA.NS,MOMENTUM,LONG,1439.23,1451.22,1433.23,LOSS,-3.196
2025-02-18,CIPLA.NS,MOMENTUM,LONG,1460.52,1500.34,1440.61,PARTIAL,-2.334
2025-02-21,CIPLA.NS,MOMENTUM,LONG,1474.74,1528.68,1447.76,PARTIAL,-3.701
