date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,CIPLA.NS,ORB,LONG,1457.39,1471.92,1450.12,LOSS,-3.243
2024-06-28,CIPLA.NS,ORB,LONG,1462.6,1477.19,1455.31,LOSS,-3.234
2024-07-01,CIPLA.NS,ORB,LONG,1461.28,1475.85,1453.99,LOSS,-3.236
2024-07-02,CIPLA.NS,ORB,LONG,1456.4,1470.93,1449.14,PARTIAL,-2.463
2024-07-03,CIPLA.NS,ORB,LONG,1470.18,1484.84,1462.85,LOSS,-3.219
2024-07-04,CIPLA.NS,ORB,LONG,1454.19,1468.69,1446.94,LOSS,-3.249
2024-07-05,CIPLA.NS,ORB,LONG,1463.29,1477.89,1456.0,WIN,-1.736
2024-07-08,CIPLA.NS,ORB,LONG,1491.83,1506.71,1484.39,LOSS,-3.18
2024-07-09,CIPLA.NS,ORB,LONG,1473.03,1487.73,1465.69,LOSS,-3.214
2024-07-10,CIPLA.NS,ORB,LONG,1487.99,1502.83,1480.57,LOSS,-3.187
2024-07-12,CIPLA.NS,ORB,LONG,1482.04,1496.82,1474.65,LOSS,-3.198
2024-07-15,CIPLA.NS,ORB,LONG,1492.42,1507.31,1484.98,LOSS,-3.179
2024-07-16,CIPLA.NS,ORB,LONG,1493.01,1507.9,1485.57,LOSS,-3.178
2024-07-18,CIPLA.NS,ORB,LONG,1473.13,1487.83,1465.79,LOSS,-3.214
2024-07-22,CIPLA.NS,ORB,LONG,1451.53,1466.01,1444.29,WIN,-1.758
2024-07-23,CIPLA.NS,ORB,LONG,1466.24,1480.87,1458.93,LOSS,-3.227
2024-07-24,CIPLA.NS,ORB,LONG,1471.51,1486.19,1464.17,LOSS,-3.217
2024-07-25,CIPLA.NS,ORB,LONG,1474.12,1488.82,1466.77,LOSS,-3.212
2024-07-26,CIPLA.NS,ORB,LONG,1480.76,1495.53,1473.38,WIN,-1.704
2024-07-30,CIPLA.NS,ORB,LONG,1529.22,1544.48,1521.6,LOSS,-3.114
2024-07-31,CIPLA.NS,ORB,LONG,1505.71,1520.72,1498.2,LOSS,-3.155
2024-08-01,CIPLA.NS,ORB,LONG,1521.3,1536.48,1513.72,LOSS,-3.128
2024-08-02,CIPLA.NS,ORB,LONG,1517.38,1532.52,1509.81,LOSS,-3.135
