date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-05,CIPLA.NS,VWAP,LONG,1460.37,1475.56,1455.02,WIN,-1.699
2024-07-26,CIPLA.NS,VWAP,LONG,1477.8,1529.23,1469.7,WIN,0.773
2024-08-05,CIPLA.NS,VWAP,LONG,1457.9,1489.09,1453.53,WIN,-0.604
2024-08-07,CIPLA.NS,VWAP,LONG,1517.42,1531.16,1512.87,WIN,-1.731
2024-08-08,CIPLA.NS,VWAP,LONG,1530.2,1551.62,1525.61,WIN,-1.214
2024-08-27,CIPLA.NS,VWAP,LONG,1571.3,1584.52,1566.59,WIN,-1.704
2024-08-30,CIPLA.NS,VWAP,LONG,1599.53,1627.15,1594.73,WIN,-0.774
2024-09-24,CIPLA.NS,VWAP,LONG,1609.43,1623.36,1604.56,WIN,-1.62
2024-09-27,CIPLA.NS,VWAP,LONG,1614.53,1642.97,1609.55,WIN,-0.716
2024-10-08,CIPLA.NS,VWAP,LONG,1609.09,1621.92,1603.47,WIN,-1.688
2024-10-09,CIPLA.NS,VWAP,LONG,1614.88,1653.35,1610.04,WIN,-0.094
2024-11-29,CIPLA.NS,VWAP,LONG,1475.73,1507.76,1471.3,WIN,-0.54
2024-12-18,CIPLA.NS,VWAP,LONG,1441.06,1453.98,1434.96,WIN,-1.879
2024-12-19,CIPLA.NS,VWAP,LONG,1436.11,1473.1,1431.71,WIN,-0.21
2025-01-23,CIPLA.NS,VWAP,LONG,1418.83,1432.0,1414.57,WIN,-1.891
2025-01-30,CIPLA.NS,VWAP,LONG,1417.29,1435.75,1408.11,WIN,-1.52
2025-02-04,CIPLA.NS,VWAP,LONG,1412.24,1429.99,1405.64,WIN,-1.575
2025-02-13,CIPLA.NS,VWAP,LONG,1435.32,1455.2,1428.94,WIN,-1.401
2025-02-20,CIPLA.NS,VWAP,LONG,1447.99,1459.15,1443.16,WIN,-1.992
2025-03-05,CIPLA.NS,VWAP,LONG,1381.73,1399.96,1375.62,WIN,-1.576
2025-03-06,CIPLA.NS,VWAP,LONG,1411.3,1433.34,1401.93,WIN,-1.273
2025-03-17,CIPLA.NS,VWAP,LONG,1445.86,1466.09,1437.43,WIN,-1.368
2025-04-03,CIPLA.NS,VWAP,LONG,1467.8,1483.82,1461.43,WIN,-1.634
2025-04-07,CIPLA.NS,VWAP,LONG,1323.2,1359.16,1318.25,WIN,-0.305
2025-04-16,CIPLA.NS,VWAP,LONG,1453.05,1470.89,1446.02,WIN,-1.525
2025-04-28,CIPLA.NS,VWAP,LONG,1511.28,1532.3,1506.75,WIN,-1.256
2025-06-13,CIPLA.NS,VWAP,LONG,1465.82,1482.73,1461.43,WIN,-1.575
2025-06-16,CIPLA.NS,VWAP,LONG,1487.51,1506.51,1480.98,WIN,-1.412
2025-07-24,CIPLA.NS,VWAP,LONG,1471.97,1482.73,1467.36,WIN,-1.986
2025-08-13,CIPLA.NS,VWAP,LONG,1523.12,1549.73,1517.36,WIN,-0.879
2025-08-21,CIPLA.NS,VWAP,LONG,1541.64,1575.83,1535.62,WIN,-0.377
2025-09-30,CIPLA.NS,VWAP,LONG,1489.59,1499.33,1485.12,WIN,-2.031
2025-10-10,CIPLA.NS,VWAP,LONG,1514.51,1545.9,1503.89,WIN,-0.569
2025-11-26,CIPLA.NS,VWAP,LONG,1506.5,1518.1,1501.99,WIN,-1.885
2025-12-04,CIPLA.NS,VWAP,LONG,1504.6,1516.6,1500.09,WIN,-1.861
2025-12-11,CIPLA.NS,VWAP,LONG,1493.49,1505.9,1489.02,WIN,-1.847
2025-12-19,CIPLA.NS,VWAP,LONG,1497.0,1510.9,1492.51,WIN,-1.743
2026-02-25,CIPLA.NS,VWAP,LONG,1328.03,1340.6,1324.05,WIN,-2.065
2026-03-02,CIPLA.NS,VWAP,LONG,1314.31,1339.7,1310.37,WIN,-1.112
2026-03-05,CIPLA.NS,VWAP,LONG,1316.21,1324.47,1312.27,WIN,-2.412
2026-03-25,CIPLA.NS,VWAP,LONG,1223.92,1238.77,1216.56,WIN,-2.055
2026-03-27,CIPLA.NS,VWAP,LONG,1227.73,1239.33,1224.05,WIN,-2.313
2026-04-23,CIPLA.NS,VWAP,LONG,1235.33,1280.63,1225.14,WIN,0.429
2026-05-13,CIPLA.NS,VWAP,LONG,1280.38,1319.63,1272.15,WIN,-0.058
