date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,DRREDDY.NS,MOMENTUM,LONG,1237.12,1318.79,1196.29,PARTIAL,-0.987
2024-07-01,DRREDDY.NS,MOMENTUM,LONG,1271.64,1396.4,1209.27,PARTIAL,-4.431
2024-07-02,DRREDDY.NS,MOMENTUM,LONG,1254.83,1329.05,1217.72,PARTIAL,-2.89
2024-07-03,DRREDDY.NS,MOMENTUM,LONG,1260.57,1331.42,1225.14,PARTIAL,-2.46
2024-07-04,DRREDDY.NS,MOMENTUM,LONG,1271.64,1348.39,1233.27,PARTIAL,-2.479
2024-07-05,DRREDDY.NS,MOMENTUM,LONG,1281.4,1360.46,1241.87,PARTIAL,-2.595
2024-07-08,DRREDDY.NS,MOMENTUM,LONG,1289.44,1367.61,1250.36,PARTIAL,-2.985
2024-07-09,DRREDDY.NS,MOMENTUM,LONG,1293.4,1364.78,1257.7,PARTIAL,-2.538
2024-07-10,DRREDDY.NS,MOMENTUM,LONG,1300.22,1369.66,1265.5,PARTIAL,-2.902
2024-07-11,DRREDDY.NS,MOMENTUM,LONG,1303.91,1367.5,1272.12,PARTIAL,-3.143
2024-07-12,DRREDDY.NS,MOMENTUM,LONG,1303.34,1355.01,1277.5,PARTIAL,-1.21
2024-07-15,DRREDDY.NS,MOMENTUM,LONG,1334.93,1431.36,1286.71,PARTIAL,-2.434
2024-07-16,DRREDDY.NS,MOMENTUM,LONG,1344.81,1440.33,1297.05,PARTIAL,-4.758
2024-07-18,DRREDDY.NS,MOMENTUM,LONG,1322.14,1364.4,1301.02,PARTIAL,-2.802
2024-07-19,DRREDDY.NS,MOMENTUM,LONG,1324.93,1364.71,1305.04,PARTIAL,-3.479
2024-07-24,DRREDDY.NS,MOMENTUM,LONG,1380.41,1494.85,1323.19,PARTIAL,-4.707
2024-07-25,DRREDDY.NS,MOMENTUM,LONG,1351.79,1397.7,1328.83,PARTIAL,-2.203
2024-07-26,DRREDDY.NS,MOMENTUM,LONG,1370.48,1442.14,1334.65,PARTIAL,-3.168
2024-07-29,DRREDDY.NS,MOMENTUM,LONG,1376.65,1449.34,1340.31,LOSS,-5.546
2024-08-05,DRREDDY.NS,MOMENTUM,LONG,1378.66,1428.32,1353.83,LOSS,-4.702
2024-08-12,DRREDDY.NS,MOMENTUM,LONG,1395.34,1454.26,1365.89,PARTIAL,-4.781
2024-08-13,DRREDDY.NS,MOMENTUM,LONG,1373.07,1387.99,1365.61,LOSS,-3.456
2024-08-22,DRREDDY.NS,MOMENTUM,LONG,1404.97,1470.04,1372.44,PARTIAL,-4.267
2024-08-23,DRREDDY.NS,MOMENTUM,LONG,1388.56,1417.43,1374.12,PARTIAL,-3.343
2024-09-02,DRREDDY.NS,MOMENTUM,LONG,1402.46,1446.55,1380.41,LOSS,-4.424
2024-09-25,DRREDDY.NS,MOMENTUM,LONG,1324.18,1346.2,1313.17,LOSS,-3.852
2024-09-26,DRREDDY.NS,MOMENTUM,LONG,1335.83,1376.07,1315.71,PARTIAL,-2.654
2024-09-27,DRREDDY.NS,MOMENTUM,LONG,1335.07,1365.54,1319.84,PARTIAL,-2.517
2024-09-30,DRREDDY.NS,MOMENTUM,LONG,1343.83,1384.76,1323.36,PARTIAL,-3.127
2024-10-01,DRREDDY.NS,MOMENTUM,LONG,1343.15,1376.96,1326.25,PARTIAL,-3.115
2024-10-17,DRREDDY.NS,MOMENTUM,LONG,1341.8,1388.57,1318.41,PARTIAL,-3.685
2024-10-18,DRREDDY.NS,MOMENTUM,LONG,1333.69,1360.27,1320.4,PARTIAL,-2.547
2024-10-21,DRREDDY.NS,MOMENTUM,LONG,1346.81,1393.51,1323.46,PARTIAL,-4.141
2024-10-22,DRREDDY.NS,MOMENTUM,LONG,1338.26,1366.42,1324.18,LOSS,-4.041
2024-11-07,DRREDDY.NS,MOMENTUM,LONG,1298.02,1346.71,1273.68,LOSS,-4.957
2024-11-08,DRREDDY.NS,MOMENTUM,LONG,1285.94,1309.77,1274.02,LOSS,-4.037
2024-11-12,DRREDDY.NS,MOMENTUM,LONG,1281.01,1294.96,1274.04,LOSS,-3.667
2024-12-03,DRREDDY.NS,MOMENTUM,LONG,1222.48,1264.37,1201.53,PARTIAL,-3.738
2024-12-04,DRREDDY.NS,MOMENTUM,LONG,1218.0,1246.3,1203.85,LOSS,-4.446
2024-12-05,DRREDDY.NS,MOMENTUM,LONG,1210.09,1222.41,1203.93,WIN,-2.288
2024-12-06,DRREDDY.NS,MOMENTUM,LONG,1239.39,1300.53,1208.81,PARTIAL,-2.71
2024-12-09,DRREDDY.NS,MOMENTUM,LONG,1247.99,1313.04,1215.46,PARTIAL,-3.265
2024-12-10,DRREDDY.NS,MOMENTUM,LONG,1243.36,1287.95,1221.07,PARTIAL,-4.088
2024-12-11,DRREDDY.NS,MOMENTUM,LONG,1233.72,1255.9,1222.62,LOSS,-4.141
2024-12-17,DRREDDY.NS,MOMENTUM,LONG,1262.26,1319.66,1233.57,PARTIAL,-4.95
2024-12-19,DRREDDY.NS,MOMENTUM,LONG,1268.23,1324.77,1239.96,PARTIAL,0.711
2024-12-20,DRREDDY.NS,MOMENTUM,LONG,1318.96,1447.62,1254.63,PARTIAL,-1.803
2024-12-23,DRREDDY.NS,MOMENTUM,LONG,1354.77,1524.43,1269.94,PARTIAL,-4.567
2024-12-24,DRREDDY.NS,MOMENTUM,LONG,1339.85,1456.09,1281.73,PARTIAL,-2.796
2024-12-26,DRREDDY.NS,MOMENTUM,LONG,1343.73,1445.07,1293.06,PARTIAL,-2.762
2024-12-27,DRREDDY.NS,MOMENTUM,LONG,1355.81,1461.52,1302.96,PARTIAL,-1.115
2024-12-30,DRREDDY.NS,MOMENTUM,LONG,1382.22,1511.31,1317.68,PARTIAL,-3.907
2024-12-31,DRREDDY.NS,MOMENTUM,LONG,1363.03,1435.15,1326.97,PARTIAL,-1.708
2025-01-01,DRREDDY.NS,MOMENTUM,LONG,1381.08,1469.85,1336.69,PARTIAL,-4.396
2025-01-02,DRREDDY.NS,MOMENTUM,LONG,1364.17,1411.28,1340.61,PARTIAL,-2.77
2025-01-10,DRREDDY.NS,MOMENTUM,LONG,1358.85,1380.67,1347.94,LOSS,-3.747
2025-02-05,DRREDDY.NS,MOMENTUM,LONG,1220.49,1244.54,1208.46,LOSS,-4.263
2025-02-07,DRREDDY.NS,MOMENTUM,LONG,1233.42,1274.19,1213.03,PARTIAL,-3.311
2025-02-10,DRREDDY.NS,MOMENTUM,LONG,1233.12,1266.95,1216.2,LOSS,-4.616
2025-03-07,DRREDDY.NS,MOMENTUM,LONG,1134.05,1146.16,1127.99,LOSS,-4.061
2025-03-18,DRREDDY.NS,MOMENTUM,LONG,1144.59,1199.28,1117.25,PARTIAL,-3.595
2025-03-19,DRREDDY.NS,MOMENTUM,LONG,1167.77,1259.7,1121.8,PARTIAL,-3.687
2025-03-20,DRREDDY.NS,MOMENTUM,LONG,1172.69,1258.7,1129.69,PARTIAL,-2.812
2025-03-21,DRREDDY.NS,MOMENTUM,LONG,1183.88,1273.68,1138.98,PARTIAL,-2.643
2025-03-24,DRREDDY.NS,MOMENTUM,LONG,1198.6,1297.83,1148.99,PARTIAL,-2.998
2025-03-25,DRREDDY.NS,MOMENTUM,LONG,1203.88,1293.62,1159.0,PARTIAL,-6.097
2025-04-16,DRREDDY.NS,MOMENTUM,LONG,1144.09,1198.61,1116.84,PARTIAL,-2.884
2025-04-17,DRREDDY.NS,MOMENTUM,LONG,1143.99,1185.98,1123.0,PARTIAL,-2.424
2025-04-21,DRREDDY.NS,MOMENTUM,LONG,1157.22,1213.75,1128.96,PARTIAL,-2.354
2025-04-22,DRREDDY.NS,MOMENTUM,LONG,1167.67,1230.08,1136.46,PARTIAL,-3.432
2025-04-23,DRREDDY.NS,MOMENTUM,LONG,1178.81,1252.45,1141.99,PARTIAL,-3.417
2025-04-24,DRREDDY.NS,MOMENTUM,LONG,1172.74,1221.05,1148.59,PARTIAL,-1.689
2025-04-25,DRREDDY.NS,MOMENTUM,LONG,1197.51,1279.04,1156.74,LOSS,-6.745
2025-04-29,DRREDDY.NS,MOMENTUM,LONG,1198.01,1265.92,1164.05,LOSS,-6.173
2025-05-13,DRREDDY.NS,MOMENTUM,LONG,1189.65,1250.16,1159.39,PARTIAL,-2.535
2025-05-14,DRREDDY.NS,MOMENTUM,LONG,1206.86,1287.19,1166.69,PARTIAL,-2.863
2025-05-15,DRREDDY.NS,MOMENTUM,LONG,1207.56,1272.49,1175.09,PARTIAL,-1.577
2025-05-16,DRREDDY.NS,MOMENTUM,LONG,1232.32,1326.9,1185.04,PARTIAL,-4.007
2025-05-19,DRREDDY.NS,MOMENTUM,LONG,1221.78,1281.57,1191.88,PARTIAL,-4.13
2025-05-27,DRREDDY.NS,MOMENTUM,LONG,1237.3,1289.8,1211.05,PARTIAL,-3.389
2025-05-28,DRREDDY.NS,MOMENTUM,LONG,1241.18,1293.19,1215.17,PARTIAL,-3.739
2025-05-29,DRREDDY.NS,MOMENTUM,LONG,1238.79,1279.67,1218.35,PARTIAL,-3.104
2025-05-30,DRREDDY.NS,MOMENTUM,LONG,1241.57,1280.72,1222.0,PARTIAL,-3.082
2025-06-06,DRREDDY.NS,MOMENTUM,LONG,1288.22,1382.64,1241.02,PARTIAL,-1.215
2025-06-09,DRREDDY.NS,MOMENTUM,LONG,1320.35,1451.98,1254.54,PARTIAL,-3.754
2025-06-10,DRREDDY.NS,MOMENTUM,LONG,1313.99,1411.95,1265.0,PARTIAL,-1.042
2025-06-11,DRREDDY.NS,MOMENTUM,LONG,1342.83,1469.98,1279.26,PARTIAL,-2.997
2025-06-12,DRREDDY.NS,MOMENTUM,LONG,1352.78,1476.1,1291.12,PARTIAL,-2.858
2025-06-13,DRREDDY.NS,MOMENTUM,LONG,1347.81,1437.61,1302.91,PARTIAL,-2.515
2025-06-16,DRREDDY.NS,MOMENTUM,LONG,1352.58,1433.16,1312.29,PARTIAL,-4.012
2025-06-25,DRREDDY.NS,MOMENTUM,LONG,1341.14,1395.72,1313.86,PARTIAL,-3.579
2025-07-07,DRREDDY.NS,MOMENTUM,LONG,1300.96,1327.14,1287.87,PARTIAL,-2.976
2025-07-08,DRREDDY.NS,MOMENTUM,LONG,1303.34,1330.11,1289.96,LOSS,-4.096
2025-07-28,DRREDDY.NS,MOMENTUM,LONG,1281.28,1327.2,1258.32,PARTIAL,-2.644
2025-07-29,DRREDDY.NS,MOMENTUM,LONG,1288.29,1338.14,1263.36,PARTIAL,-2.211
2025-07-30,DRREDDY.NS,MOMENTUM,LONG,1299.4,1358.45,1269.87,PARTIAL,-3.64
2025-08-14,DRREDDY.NS,MOMENTUM,LONG,1256.36,1316.14,1226.46,PARTIAL,-2.862
2025-08-18,DRREDDY.NS,MOMENTUM,LONG,1271.27,1348.83,1232.49,PARTIAL,-3.821
2025-08-19,DRREDDY.NS,MOMENTUM,LONG,1264.26,1317.24,1237.78,PARTIAL,-4.751
2025-08-20,DRREDDY.NS,MOMENTUM,LONG,1245.24,1259.1,1238.31,LOSS,-3.769
2025-08-22,DRREDDY.NS,MOMENTUM,LONG,1275.37,1334.64,1245.74,PARTIAL,-2.962
2025-08-25,DRREDDY.NS,MOMENTUM,LONG,1278.98,1334.24,1251.35,PARTIAL,-2.743
2025-08-26,DRREDDY.NS,MOMENTUM,LONG,1277.28,1317.65,1257.09,PARTIAL,-4.234
2025-08-28,DRREDDY.NS,MOMENTUM,LONG,1264.46,1278.29,1257.55,LOSS,-3.71
2025-09-10,DRREDDY.NS,MOMENTUM,LONG,1295.69,1362.55,1262.27,PARTIAL,-2.431
2025-09-11,DRREDDY.NS,MOMENTUM,LONG,1305.3,1376.17,1269.87,PARTIAL,-3.233
2025-09-12,DRREDDY.NS,MOMENTUM,LONG,1304.4,1361.74,1275.73,PARTIAL,-2.124
2025-09-15,DRREDDY.NS,MOMENTUM,LONG,1310.21,1364.35,1283.14,PARTIAL,-3.771
2025-09-22,DRREDDY.NS,MOMENTUM,LONG,1322.22,1361.9,1302.38,LOSS,-4.526
2025-10-13,DRREDDY.NS,MOMENTUM,LONG,1258.26,1275.74,1249.52,LOSS,-3.874
2025-10-14,DRREDDY.NS,MOMENTUM,LONG,1263.66,1288.32,1251.34,LOSS,-4.141
2025-10-21,DRREDDY.NS,MOMENTUM,LONG,1289.29,1365.56,1251.15,PARTIAL,-3.148
2025-10-23,DRREDDY.NS,MOMENTUM,LONG,1304.9,1398.93,1257.89,PARTIAL,-5.02
2025-10-24,DRREDDY.NS,MOMENTUM,LONG,1281.28,1320.99,1261.42,PARTIAL,-2.941
2025-10-27,DRREDDY.NS,MOMENTUM,LONG,1284.28,1322.67,1265.09,LOSS,-4.609
2025-11-13,DRREDDY.NS,MOMENTUM,LONG,1237.04,1282.8,1214.15,PARTIAL,-3.406
2025-11-14,DRREDDY.NS,MOMENTUM,LONG,1236.44,1274.18,1217.56,PARTIAL,-2.462
2025-11-17,DRREDDY.NS,MOMENTUM,LONG,1254.25,1317.76,1222.5,PARTIAL,-3.975
2025-11-18,DRREDDY.NS,MOMENTUM,LONG,1245.74,1284.97,1226.13,PARTIAL,-3.367
2025-11-19,DRREDDY.NS,MOMENTUM,LONG,1249.95,1292.0,1228.92,PARTIAL,-3.18
2025-11-20,DRREDDY.NS,MOMENTUM,LONG,1256.25,1303.91,1232.43,PARTIAL,-3.793
2025-12-01,DRREDDY.NS,MOMENTUM,LONG,1265.16,1313.68,1240.9,PARTIAL,-3.562
2025-12-02,DRREDDY.NS,MOMENTUM,LONG,1261.76,1297.31,1243.99,PARTIAL,-2.105
2025-12-03,DRREDDY.NS,MOMENTUM,LONG,1284.88,1355.72,1249.46,PARTIAL,-3.439
2025-12-04,DRREDDY.NS,MOMENTUM,LONG,1281.88,1335.76,1254.94,PARTIAL,-3.454
2025-12-05,DRREDDY.NS,MOMENTUM,LONG,1278.88,1319.22,1258.71,PARTIAL,-3.415
2025-12-08,DRREDDY.NS,MOMENTUM,LONG,1276.27,1306.34,1261.24,PARTIAL,-3.9
2025-12-15,DRREDDY.NS,MOMENTUM,LONG,1276.17,1304.89,1261.82,PARTIAL,-2.788
2025-12-16,DRREDDY.NS,MOMENTUM,LONG,1287.19,1331.95,1264.8,PARTIAL,-3.907
2026-01-23,DRREDDY.NS,MOMENTUM,LONG,1231.23,1318.95,1187.37,PARTIAL,-2.894
2026-01-27,DRREDDY.NS,MOMENTUM,LONG,1252.25,1364.21,1196.27,PARTIAL,-4.189
2026-01-28,DRREDDY.NS,MOMENTUM,LONG,1243.14,1320.96,1204.23,PARTIAL,-4.878
2026-01-29,DRREDDY.NS,MOMENTUM,LONG,1216.52,1235.24,1207.15,LOSS,-4.058
2026-02-04,DRREDDY.NS,MOMENTUM,LONG,1236.74,1293.63,1208.29,PARTIAL,-2.954
2026-02-05,DRREDDY.NS,MOMENTUM,LONG,1243.24,1301.87,1213.93,PARTIAL,-3.084
2026-02-06,DRREDDY.NS,MOMENTUM,LONG,1246.14,1299.68,1219.38,PARTIAL,-3.607
2026-02-09,DRREDDY.NS,MOMENTUM,LONG,1261.26,1337.79,1223.0,PARTIAL,-2.042
2026-02-10,DRREDDY.NS,MOMENTUM,LONG,1280.28,1375.37,1232.73,PARTIAL,-5.021
2026-02-11,DRREDDY.NS,MOMENTUM,LONG,1265.16,1322.23,1236.63,PARTIAL,-2.756
2026-02-12,DRREDDY.NS,MOMENTUM,LONG,1270.17,1325.3,1242.6,PARTIAL,-2.777
2026-02-13,DRREDDY.NS,MOMENTUM,LONG,1275.27,1329.23,1248.3,PARTIAL,-3.699
2026-02-17,DRREDDY.NS,MOMENTUM,LONG,1267.27,1293.17,1254.32,PARTIAL,-1.773
2026-02-18,DRREDDY.NS,MOMENTUM,LONG,1290.29,1351.58,1259.64,PARTIAL,-3.874
2026-02-20,DRREDDY.NS,MOMENTUM,LONG,1283.18,1317.36,1266.09,PARTIAL,-3.334
2026-02-24,DRREDDY.NS,MOMENTUM,LONG,1308.81,1375.93,1275.25,PARTIAL,-3.714
2026-02-26,DRREDDY.NS,MOMENTUM,LONG,1312.51,1369.37,1284.08,PARTIAL,-2.53
2026-02-27,DRREDDY.NS,MOMENTUM,LONG,1315.11,1364.67,1290.33,LOSS,-4.926
2026-03-11,DRREDDY.NS,MOMENTUM,LONG,1312.41,1345.65,1295.79,PARTIAL,-2.051
2026-03-13,DRREDDY.NS,MOMENTUM,LONG,1311.31,1326.41,1303.76,LOSS,-3.626
2026-03-23,DRREDDY.NS,MOMENTUM,LONG,1294.29,1304.65,1289.11,LOSS,-3.491
2026-03-27,DRREDDY.NS,MOMENTUM,LONG,1298.3,1334.37,1280.26,LOSS,-4.47
2026-04-24,DRREDDY.NS,MOMENTUM,LONG,1294.29,1398.22,1242.33,PARTIAL,-1.328
2026-04-27,DRREDDY.NS,MOMENTUM,LONG,1321.72,1452.17,1256.49,PARTIAL,-2.059
2026-04-28,DRREDDY.NS,MOMENTUM,LONG,1343.74,1488.64,1271.29,PARTIAL,-2.169
2026-04-29,DRREDDY.NS,MOMENTUM,LONG,1368.37,1530.82,1287.14,PARTIAL,-5.742
