date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,DRREDDY.NS,ORB,LONG,1188.98,1200.84,1183.05,WIN,-2.367
2024-06-28,DRREDDY.NS,ORB,LONG,1239.6,1251.96,1233.42,WIN,-2.229
2024-07-01,DRREDDY.NS,ORB,LONG,1274.19,1286.9,1267.83,LOSS,-3.638
2024-07-02,DRREDDY.NS,ORB,LONG,1257.34,1269.88,1251.07,LOSS,-3.68
2024-07-03,DRREDDY.NS,ORB,LONG,1263.09,1275.69,1256.79,WIN,-2.169
2024-07-04,DRREDDY.NS,ORB,LONG,1274.19,1286.89,1267.83,WIN,-2.142
2024-07-05,DRREDDY.NS,ORB,LONG,1283.97,1296.77,1277.56,LOSS,-3.614
2024-07-08,DRREDDY.NS,ORB,LONG,1292.02,1304.91,1285.58,LOSS,-3.595
2024-07-09,DRREDDY.NS,ORB,LONG,1295.98,1308.91,1289.52,LOSS,-3.585
2024-07-10,DRREDDY.NS,ORB,LONG,1302.82,1315.82,1296.32,LOSS,-3.569
2024-07-11,DRREDDY.NS,ORB,LONG,1306.52,1319.55,1300.0,LOSS,-3.56
2024-07-12,DRREDDY.NS,ORB,LONG,1305.94,1318.97,1299.43,WIN,-2.066
2024-07-15,DRREDDY.NS,ORB,LONG,1337.6,1350.94,1330.93,WIN,-1.993
2024-07-16,DRREDDY.NS,ORB,LONG,1347.5,1360.94,1340.78,LOSS,-3.467
2024-07-18,DRREDDY.NS,ORB,LONG,1324.79,1338.0,1318.18,LOSS,-3.518
2024-07-19,DRREDDY.NS,ORB,LONG,1327.58,1340.82,1320.96,LOSS,-3.512
2024-07-22,DRREDDY.NS,ORB,LONG,1311.63,1324.71,1305.09,WIN,-2.052
2024-07-23,DRREDDY.NS,ORB,LONG,1349.51,1362.97,1342.78,WIN,-1.967
2024-07-25,DRREDDY.NS,ORB,LONG,1354.49,1368.0,1347.73,LOSS,-3.452
2024-07-26,DRREDDY.NS,ORB,LONG,1373.22,1386.91,1366.37,LOSS,-3.412
2024-07-29,DRREDDY.NS,ORB,LONG,1379.41,1393.16,1372.53,LOSS,-3.399
2024-07-30,DRREDDY.NS,ORB,LONG,1364.47,1378.08,1357.66,LOSS,-3.43
2024-07-31,DRREDDY.NS,ORB,LONG,1356.26,1369.79,1349.5,LOSS,-3.448
2024-08-01,DRREDDY.NS,ORB,LONG,1354.59,1368.1,1347.83,WIN,-1.956
2024-08-02,DRREDDY.NS,ORB,LONG,1371.63,1385.31,1364.79,WIN,-1.919
2024-08-05,DRREDDY.NS,ORB,LONG,1381.42,1395.2,1374.53,LOSS,-3.394
2024-08-06,DRREDDY.NS,ORB,LONG,1363.24,1376.84,1356.44,LOSS,-3.433
2024-08-07,DRREDDY.NS,ORB,LONG,1371.43,1385.11,1364.59,LOSS,-3.415
2024-08-08,DRREDDY.NS,ORB,LONG,1380.4,1394.17,1373.52,WIN,-1.9
2024-08-09,DRREDDY.NS,ORB,LONG,1391.37,1405.24,1384.43,LOSS,-3.374
2024-08-13,DRREDDY.NS,ORB,LONG,1375.82,1389.54,1368.96,LOSS,-3.406
2024-08-19,DRREDDY.NS,ORB,LONG,1363.05,1376.65,1356.25,LOSS,-3.433
2024-08-20,DRREDDY.NS,ORB,LONG,1381.4,1395.18,1374.51,LOSS,-3.394
2024-08-21,DRREDDY.NS,ORB,LONG,1395.33,1409.25,1388.37,WIN,-1.869
2024-08-26,DRREDDY.NS,ORB,LONG,1380.39,1394.16,1373.51,LOSS,-3.396
2024-08-27,DRREDDY.NS,ORB,LONG,1384.39,1398.2,1377.49,LOSS,-3.388
2024-08-28,DRREDDY.NS,ORB,LONG,1387.97,1401.81,1381.05,LOSS,-3.381
2024-08-29,DRREDDY.NS,ORB,LONG,1375.08,1388.8,1368.22,WIN,-1.912
2024-08-30,DRREDDY.NS,ORB,LONG,1382.99,1396.79,1376.1,WIN,-1.895
2024-09-02,DRREDDY.NS,ORB,LONG,1405.26,1419.28,1398.25,LOSS,-3.345
2024-09-05,DRREDDY.NS,ORB,LONG,1354.99,1368.5,1348.23,LOSS,-3.451
2024-09-06,DRREDDY.NS,ORB,LONG,1335.33,1348.65,1328.67,LOSS,-3.494
2024-09-09,DRREDDY.NS,ORB,LONG,1331.56,1344.84,1324.92,LOSS,-3.503
2024-09-11,DRREDDY.NS,ORB,LONG,1327.76,1341.0,1321.14,WIN,-2.015
2024-09-17,DRREDDY.NS,ORB,LONG,1323.61,1336.81,1317.01,LOSS,-3.521
2024-09-19,DRREDDY.NS,ORB,LONG,1312.43,1325.52,1305.88,LOSS,-3.546
2024-09-20,DRREDDY.NS,ORB,LONG,1302.62,1315.61,1296.13,LOSS,-3.569
2024-09-23,DRREDDY.NS,ORB,LONG,1315.62,1328.74,1309.06,LOSS,-3.539
2024-09-24,DRREDDY.NS,ORB,LONG,1326.47,1339.7,1319.86,LOSS,-3.514
2024-09-25,DRREDDY.NS,ORB,LONG,1326.83,1340.07,1320.21,LOSS,-3.513
2024-09-26,DRREDDY.NS,ORB,LONG,1338.5,1351.85,1331.83,LOSS,-3.487
2024-09-27,DRREDDY.NS,ORB,LONG,1337.75,1351.09,1331.07,LOSS,-3.489
2024-09-30,DRREDDY.NS,ORB,LONG,1346.52,1359.95,1339.8,LOSS,-3.469
2024-10-01,DRREDDY.NS,ORB,LONG,1345.84,1359.26,1339.13,LOSS,-3.471
2024-10-07,DRREDDY.NS,ORB,LONG,1332.27,1345.56,1325.63,LOSS,-3.501
2024-10-08,DRREDDY.NS,ORB,LONG,1317.6,1330.74,1311.03,LOSS,-3.535
2024-10-09,DRREDDY.NS,ORB,LONG,1334.75,1348.07,1328.1,LOSS,-3.496
2024-10-11,DRREDDY.NS,ORB,LONG,1312.63,1325.72,1306.08,LOSS,-3.546
2024-10-14,DRREDDY.NS,ORB,LONG,1322.79,1335.99,1316.2,LOSS,-3.523
2024-10-16,DRREDDY.NS,ORB,LONG,1323.59,1336.79,1316.99,WIN,-2.025
2024-10-17,DRREDDY.NS,ORB,LONG,1344.48,1357.89,1337.78,LOSS,-3.474
2024-10-18,DRREDDY.NS,ORB,LONG,1336.36,1349.69,1329.7,LOSS,-3.492
2024-10-22,DRREDDY.NS,ORB,LONG,1340.93,1354.31,1334.25,LOSS,-3.482
2024-10-23,DRREDDY.NS,ORB,LONG,1327.45,1340.69,1320.83,LOSS,-3.512
2024-10-28,DRREDDY.NS,ORB,LONG,1315.62,1328.74,1309.06,LOSS,-3.539
2024-10-29,DRREDDY.NS,ORB,LONG,1322.6,1335.79,1316.0,LOSS,-3.523
2024-10-31,DRREDDY.NS,ORB,LONG,1254.42,1266.93,1248.17,WIN,-2.191
2024-11-01,DRREDDY.NS,ORB,LONG,1275.75,1288.48,1269.39,LOSS,-3.634
2024-11-04,DRREDDY.NS,ORB,LONG,1255.42,1267.94,1249.16,WIN,-2.189
2024-11-05,DRREDDY.NS,ORB,LONG,1260.9,1273.48,1254.61,LOSS,-3.671
2024-11-06,DRREDDY.NS,ORB,LONG,1269.77,1282.44,1263.44,WIN,-2.153
2024-11-07,DRREDDY.NS,ORB,LONG,1300.62,1313.59,1294.13,LOSS,-3.574
2024-11-11,DRREDDY.NS,ORB,LONG,1279.74,1292.5,1273.36,LOSS,-3.624
2024-11-13,DRREDDY.NS,ORB,LONG,1253.82,1266.33,1247.57,LOSS,-3.689
2024-11-18,DRREDDY.NS,ORB,LONG,1202.1,1214.09,1196.1,LOSS,-3.826
2024-11-19,DRREDDY.NS,ORB,LONG,1189.04,1200.9,1183.11,WIN,-2.367
2024-11-21,DRREDDY.NS,ORB,LONG,1171.0,1182.68,1165.16,WIN,-2.418
2024-11-22,DRREDDY.NS,ORB,LONG,1195.02,1206.94,1189.06,WIN,-2.35
2024-11-25,DRREDDY.NS,ORB,LONG,1229.85,1242.12,1223.72,LOSS,-3.751
2024-11-26,DRREDDY.NS,ORB,LONG,1204.99,1217.01,1198.98,LOSS,-3.818
2024-11-29,DRREDDY.NS,ORB,LONG,1202.0,1213.99,1196.0,LOSS,-3.826
2024-12-02,DRREDDY.NS,ORB,LONG,1210.22,1222.29,1204.18,LOSS,-3.804
2024-12-04,DRREDDY.NS,ORB,LONG,1220.44,1232.61,1214.35,LOSS,-3.776
2024-12-05,DRREDDY.NS,ORB,LONG,1212.51,1224.61,1206.47,WIN,-2.302
2024-12-06,DRREDDY.NS,ORB,LONG,1241.86,1254.25,1235.67,LOSS,-3.72
2024-12-09,DRREDDY.NS,ORB,LONG,1250.49,1262.96,1244.25,LOSS,-3.697
2024-12-12,DRREDDY.NS,ORB,LONG,1240.67,1253.04,1234.48,LOSS,-3.723
2024-12-13,DRREDDY.NS,ORB,LONG,1236.18,1248.51,1230.02,LOSS,-3.734
2024-12-16,DRREDDY.NS,ORB,LONG,1242.21,1254.6,1236.02,WIN,-2.223
2024-12-18,DRREDDY.NS,ORB,LONG,1247.74,1260.19,1241.52,WIN,-2.208
2024-12-19,DRREDDY.NS,ORB,LONG,1270.77,1283.44,1264.43,WIN,-2.15
2024-12-20,DRREDDY.NS,ORB,LONG,1321.6,1334.78,1315.01,WIN,-2.029
2024-12-23,DRREDDY.NS,ORB,LONG,1357.48,1371.02,1350.71,LOSS,-3.445
2024-12-24,DRREDDY.NS,ORB,LONG,1342.53,1355.92,1335.83,WIN,-1.982
2024-12-26,DRREDDY.NS,ORB,LONG,1346.42,1359.85,1339.7,LOSS,-3.47
2024-12-27,DRREDDY.NS,ORB,LONG,1358.53,1372.08,1351.75,WIN,-1.947
2024-12-31,DRREDDY.NS,ORB,LONG,1365.75,1379.37,1358.94,WIN,-1.931
2025-01-02,DRREDDY.NS,ORB,LONG,1366.9,1380.53,1360.08,PARTIAL,-2.964
2025-01-07,DRREDDY.NS,ORB,LONG,1347.51,1360.95,1340.79,WIN,-1.971
2025-01-08,DRREDDY.NS,ORB,LONG,1364.95,1378.57,1358.15,WIN,-1.933
2025-01-10,DRREDDY.NS,ORB,LONG,1361.57,1375.15,1354.78,WIN,-1.94
2025-01-14,DRREDDY.NS,ORB,LONG,1330.72,1343.99,1324.08,LOSS,-3.505
2025-01-16,DRREDDY.NS,ORB,LONG,1336.45,1349.78,1329.78,LOSS,-3.492
2025-01-17,DRREDDY.NS,ORB,LONG,1293.69,1306.6,1287.24,WIN,-2.095
2025-01-21,DRREDDY.NS,ORB,LONG,1298.03,1310.97,1291.55,LOSS,-3.58
2025-01-22,DRREDDY.NS,ORB,LONG,1286.72,1299.55,1280.3,WIN,-2.111
2025-01-23,DRREDDY.NS,ORB,LONG,1284.72,1297.54,1278.31,LOSS,-3.612
2025-01-24,DRREDDY.NS,ORB,LONG,1225.87,1238.09,1219.75,WIN,-2.266
2025-01-27,DRREDDY.NS,ORB,LONG,1220.34,1232.51,1214.25,LOSS,-3.776
2025-01-29,DRREDDY.NS,ORB,LONG,1183.46,1195.26,1177.56,LOSS,-3.879
2025-01-30,DRREDDY.NS,ORB,LONG,1184.06,1195.87,1178.15,WIN,-2.381
2025-01-31,DRREDDY.NS,ORB,LONG,1198.01,1209.96,1192.04,WIN,-2.341
2025-02-03,DRREDDY.NS,ORB,LONG,1196.02,1207.95,1190.05,WIN,-2.347
2025-02-04,DRREDDY.NS,ORB,LONG,1202.99,1214.99,1196.99,WIN,-2.328
2025-02-05,DRREDDY.NS,ORB,LONG,1222.93,1235.13,1216.83,LOSS,-3.77
2025-02-06,DRREDDY.NS,ORB,LONG,1230.8,1243.08,1224.66,WIN,-2.253
2025-02-07,DRREDDY.NS,ORB,LONG,1235.88,1248.21,1229.72,LOSS,-3.735
2025-02-13,DRREDDY.NS,ORB,LONG,1212.86,1224.96,1206.81,WIN,-2.301
2025-02-14,DRREDDY.NS,ORB,LONG,1219.44,1231.6,1213.36,LOSS,-3.779
2025-02-17,DRREDDY.NS,ORB,LONG,1192.88,1204.78,1186.93,LOSS,-3.852
2025-02-18,DRREDDY.NS,ORB,LONG,1194.97,1206.89,1189.01,LOSS,-3.846
2025-02-19,DRREDDY.NS,ORB,LONG,1162.13,1173.72,1156.33,LOSS,-3.941
2025-02-20,DRREDDY.NS,ORB,LONG,1160.63,1172.21,1154.85,LOSS,-3.945
2025-02-24,DRREDDY.NS,ORB,LONG,1147.98,1159.43,1142.25,WIN,-2.487
2025-02-27,DRREDDY.NS,ORB,LONG,1124.75,1135.97,1119.15,LOSS,-4.055
2025-03-03,DRREDDY.NS,ORB,LONG,1114.64,1125.76,1109.08,LOSS,-4.087
2025-03-04,DRREDDY.NS,ORB,LONG,1107.41,1118.46,1101.89,LOSS,-4.111
2025-03-05,DRREDDY.NS,ORB,LONG,1116.78,1127.92,1111.21,LOSS,-4.08
2025-03-06,DRREDDY.NS,ORB,LONG,1131.23,1142.52,1125.59,LOSS,-4.035
2025-03-07,DRREDDY.NS,ORB,LONG,1136.32,1147.65,1130.65,LOSS,-4.019
2025-03-11,DRREDDY.NS,ORB,LONG,1113.29,1124.4,1107.74,LOSS,-4.092
2025-03-13,DRREDDY.NS,ORB,LONG,1101.48,1112.47,1095.99,LOSS,-4.13
2025-03-17,DRREDDY.NS,ORB,LONG,1104.22,1115.24,1098.72,WIN,-2.625
2025-03-19,DRREDDY.NS,ORB,LONG,1170.1,1181.77,1164.27,LOSS,-3.917
2025-03-20,DRREDDY.NS,ORB,LONG,1175.04,1186.76,1169.18,LOSS,-3.903
2025-03-21,DRREDDY.NS,ORB,LONG,1186.25,1198.08,1180.33,LOSS,-3.871
2025-03-24,DRREDDY.NS,ORB,LONG,1201.0,1212.98,1195.01,LOSS,-3.829
2025-03-25,DRREDDY.NS,ORB,LONG,1206.28,1218.31,1200.27,LOSS,-3.815
2025-03-27,DRREDDY.NS,ORB,LONG,1156.15,1167.68,1150.38,LOSS,-3.958
2025-04-01,DRREDDY.NS,ORB,LONG,1140.4,1151.78,1134.72,WIN,-2.51
2025-04-03,DRREDDY.NS,ORB,LONG,1186.55,1198.38,1180.63,WIN,-2.374
