date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,DRREDDY.NS,VWAP,LONG,1186.6,1217.05,1182.06,WIN,-0.805
2024-06-28,DRREDDY.NS,VWAP,LONG,1237.12,1256.11,1232.55,WIN,-1.699
2024-07-03,DRREDDY.NS,VWAP,LONG,1260.57,1272.14,1255.05,WIN,-2.255
2024-07-22,DRREDDY.NS,VWAP,LONG,1309.01,1333.6,1305.09,WIN,-1.177
2024-08-30,DRREDDY.NS,VWAP,LONG,1380.23,1392.13,1376.1,WIN,-2.036
2024-11-21,DRREDDY.NS,VWAP,LONG,1168.66,1184.01,1162.78,WIN,-2.11
2024-12-16,DRREDDY.NS,VWAP,LONG,1239.73,1255.14,1234.88,WIN,-1.984
2024-12-18,DRREDDY.NS,VWAP,LONG,1245.25,1260.65,1239.19,WIN,-1.975
2024-12-19,DRREDDY.NS,VWAP,LONG,1268.23,1301.28,1261.11,WIN,-0.548
2025-02-13,DRREDDY.NS,VWAP,LONG,1210.44,1220.1,1206.81,WIN,-2.507
2025-02-24,DRREDDY.NS,VWAP,LONG,1145.69,1155.82,1141.46,WIN,-2.607
2025-03-17,DRREDDY.NS,VWAP,LONG,1102.02,1128.28,1092.37,WIN,-1.247
2025-04-07,DRREDDY.NS,VWAP,LONG,1014.59,1062.18,1011.54,WIN,0.749
2025-04-17,DRREDDY.NS,VWAP,LONG,1143.99,1155.11,1140.57,WIN,-2.525
2025-04-24,DRREDDY.NS,VWAP,LONG,1172.74,1188.07,1166.55,WIN,-2.104
2025-04-28,DRREDDY.NS,VWAP,LONG,1170.06,1185.81,1166.55,WIN,-2.072
2025-04-30,DRREDDY.NS,VWAP,LONG,1169.96,1178.0,1166.15,WIN,-2.732
2025-05-07,DRREDDY.NS,VWAP,LONG,1137.33,1148.95,1133.92,WIN,-2.496
2025-05-13,DRREDDY.NS,VWAP,LONG,1189.65,1207.04,1186.09,WIN,-1.9
2025-06-05,DRREDDY.NS,VWAP,LONG,1257.49,1277.96,1253.72,WIN,-1.553
2025-06-06,DRREDDY.NS,VWAP,LONG,1288.22,1304.66,1284.26,WIN,-1.829
2025-06-10,DRREDDY.NS,VWAP,LONG,1313.99,1335.66,1310.05,WIN,-1.395
2025-06-19,DRREDDY.NS,VWAP,LONG,1298.07,1312.48,1293.49,WIN,-1.972
2025-08-07,DRREDDY.NS,VWAP,LONG,1185.18,1198.07,1181.03,WIN,-2.288
2025-08-13,DRREDDY.NS,VWAP,LONG,1221.52,1242.9,1217.36,WIN,-1.524
2025-08-21,DRREDDY.NS,VWAP,LONG,1246.65,1266.23,1237.82,WIN,-1.637
2025-09-01,DRREDDY.NS,VWAP,LONG,1261.36,1275.0,1257.58,WIN,-2.09
2025-09-09,DRREDDY.NS,VWAP,LONG,1258.76,1281.3,1254.29,WIN,-1.387
2025-09-12,DRREDDY.NS,VWAP,LONG,1304.4,1313.5,1300.19,WIN,-2.369
2025-10-01,DRREDDY.NS,VWAP,LONG,1229.13,1240.47,1223.55,WIN,-2.332
2025-12-02,DRREDDY.NS,VWAP,LONG,1261.76,1271.33,1257.98,WIN,-2.411
2025-12-11,DRREDDY.NS,VWAP,LONG,1252.05,1265.8,1245.5,WIN,-2.097
2026-01-30,DRREDDY.NS,VWAP,LONG,1201.2,1214.3,1197.6,WIN,-2.239
2026-02-16,DRREDDY.NS,VWAP,LONG,1258.36,1267.23,1254.59,WIN,-2.473
2026-03-05,DRREDDY.NS,VWAP,LONG,1293.79,1309.37,1289.91,WIN,-1.888
2026-03-10,DRREDDY.NS,VWAP,LONG,1289.29,1310.73,1285.42,WIN,-1.439
2026-03-11,DRREDDY.NS,VWAP,LONG,1312.41,1324.2,1308.48,WIN,-2.15
2026-04-09,DRREDDY.NS,VWAP,LONG,1190.19,1205.2,1186.62,WIN,-2.1
2026-04-17,DRREDDY.NS,VWAP,LONG,1216.42,1230.03,1209.98,WIN,-2.169
2026-04-23,DRREDDY.NS,VWAP,LONG,1231.23,1301.83,1215.07,WIN,2.486
2026-04-24,DRREDDY.NS,VWAP,LONG,1294.29,1319.63,1290.41,WIN,-1.133
2026-05-06,DRREDDY.NS,VWAP,LONG,1283.28,1305.57,1274.55,WIN,-1.38
