date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-04,FEDERALBNK.NS,MOMENTUM,LONG,180.96,194.14,174.37,PARTIAL,-23.286
2024-07-05,FEDERALBNK.NS,MOMENTUM,LONG,178.99,186.67,175.15,PARTIAL,-19.56
2024-07-08,FEDERALBNK.NS,MOMENTUM,LONG,185.06,201.57,176.81,PARTIAL,-21.202
2024-07-09,FEDERALBNK.NS,MOMENTUM,LONG,186.25,201.75,178.5,PARTIAL,-21.868
2024-07-10,FEDERALBNK.NS,MOMENTUM,LONG,185.7,197.53,179.79,PARTIAL,-21.155
2024-07-11,FEDERALBNK.NS,MOMENTUM,LONG,187.58,200.74,181.0,PARTIAL,-19.838
2024-07-12,FEDERALBNK.NS,MOMENTUM,LONG,194.28,217.31,182.76,PARTIAL,-21.167
2024-07-15,FEDERALBNK.NS,MOMENTUM,LONG,193.35,210.6,184.73,PARTIAL,-21.161
2024-07-16,FEDERALBNK.NS,MOMENTUM,LONG,192.63,205.58,186.15,PARTIAL,-20.558
2024-07-18,FEDERALBNK.NS,MOMENTUM,LONG,193.21,204.81,187.41,PARTIAL,-20.158
2024-07-19,FEDERALBNK.NS,MOMENTUM,LONG,194.85,207.23,188.67,LOSS,-23.704
2024-07-24,FEDERALBNK.NS,MOMENTUM,LONG,194.85,204.25,190.16,PARTIAL,-18.483
2024-07-25,FEDERALBNK.NS,MOMENTUM,LONG,197.52,209.03,191.77,PARTIAL,-17.864
2024-07-29,FEDERALBNK.NS,MOMENTUM,LONG,197.04,203.1,194.01,PARTIAL,-19.498
2024-07-30,FEDERALBNK.NS,MOMENTUM,LONG,198.8,206.78,194.81,PARTIAL,-19.798
2024-08-13,FEDERALBNK.NS,MOMENTUM,LONG,200.44,213.37,193.98,PARTIAL,-20.278
2024-08-14,FEDERALBNK.NS,MOMENTUM,LONG,199.56,208.64,195.02,PARTIAL,-19.664
2024-08-16,FEDERALBNK.NS,MOMENTUM,LONG,200.8,210.47,195.96,PARTIAL,-19.696
