date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,FEDERALBNK.NS,ORB,LONG,175.12,176.87,174.25,WIN,-21.844
2024-06-28,FEDERALBNK.NS,ORB,LONG,176.41,178.17,175.53,LOSS,-23.173
2024-07-01,FEDERALBNK.NS,ORB,LONG,175.72,177.47,174.84,LOSS,-23.262
2024-07-03,FEDERALBNK.NS,ORB,LONG,176.41,178.17,175.53,WIN,-21.677
2024-07-05,FEDERALBNK.NS,ORB,LONG,179.35,181.14,178.45,WIN,-21.306
2024-07-08,FEDERALBNK.NS,ORB,LONG,185.43,187.28,184.51,LOSS,-22.07
2024-07-09,FEDERALBNK.NS,ORB,LONG,186.62,188.48,185.69,LOSS,-21.933
2024-07-10,FEDERALBNK.NS,ORB,LONG,186.08,187.93,185.15,LOSS,-21.995
2024-07-11,FEDERALBNK.NS,ORB,LONG,187.96,189.83,187.02,WIN,-20.284
2024-07-12,FEDERALBNK.NS,ORB,LONG,194.67,196.61,193.7,LOSS,-21.046
2024-07-15,FEDERALBNK.NS,ORB,LONG,193.74,195.67,192.77,LOSS,-21.145
2024-07-16,FEDERALBNK.NS,ORB,LONG,193.01,194.94,192.05,LOSS,-21.223
2024-07-18,FEDERALBNK.NS,ORB,LONG,193.6,195.53,192.63,PARTIAL,-20.318
2024-07-22,FEDERALBNK.NS,ORB,LONG,189.74,191.64,188.8,WIN,-20.084
2024-07-24,FEDERALBNK.NS,ORB,LONG,195.24,197.19,194.27,WIN,-19.49
2024-07-25,FEDERALBNK.NS,ORB,LONG,197.92,199.89,196.93,WIN,-19.213
2024-07-26,FEDERALBNK.NS,ORB,LONG,193.26,195.19,192.3,WIN,-19.7
2024-07-29,FEDERALBNK.NS,ORB,LONG,197.43,199.4,196.45,WIN,-19.263
2024-07-30,FEDERALBNK.NS,ORB,LONG,199.2,201.18,198.2,LOSS,-20.579
2024-08-01,FEDERALBNK.NS,ORB,LONG,200.2,202.2,199.2,LOSS,-20.479
2024-08-02,FEDERALBNK.NS,ORB,LONG,195.74,197.69,194.76,WIN,-19.438
2024-08-05,FEDERALBNK.NS,ORB,LONG,191.33,193.24,190.37,LOSS,-21.405
2024-08-06,FEDERALBNK.NS,ORB,LONG,192.27,194.19,191.31,LOSS,-21.303
2024-08-08,FEDERALBNK.NS,ORB,LONG,191.28,193.19,190.33,LOSS,-21.411
2024-08-09,FEDERALBNK.NS,ORB,LONG,194.25,196.19,193.28,PARTIAL,-20.098
2024-08-12,FEDERALBNK.NS,ORB,LONG,193.26,195.19,192.3,WIN,-19.7
2024-08-13,FEDERALBNK.NS,ORB,LONG,200.84,202.85,199.84,WIN,-18.919
2024-08-14,FEDERALBNK.NS,ORB,LONG,199.96,201.96,198.96,PARTIAL,-19.824
2024-08-16,FEDERALBNK.NS,ORB,LONG,201.2,203.21,200.2,LOSS,-20.379
2024-08-20,FEDERALBNK.NS,ORB,LONG,201.37,203.38,200.36,LOSS,-20.363
2024-08-26,FEDERALBNK.NS,ORB,LONG,199.34,201.33,198.35,LOSS,-20.565
2024-08-27,FEDERALBNK.NS,ORB,LONG,198.41,200.39,197.42,LOSS,-20.659
2024-08-29,FEDERALBNK.NS,ORB,LONG,195.6,197.56,194.63,LOSS,-20.948
2024-08-30,FEDERALBNK.NS,ORB,LONG,195.8,197.76,194.83,LOSS,-20.927
2024-09-03,FEDERALBNK.NS,ORB,LONG,194.41,196.35,193.44,LOSS,-21.074
2024-09-04,FEDERALBNK.NS,ORB,LONG,190.42,192.32,189.47,LOSS,-21.505
2024-09-05,FEDERALBNK.NS,ORB,LONG,187.69,189.56,186.75,LOSS,-21.811
2024-09-06,FEDERALBNK.NS,ORB,LONG,187.43,189.3,186.5,LOSS,-21.84
2024-09-09,FEDERALBNK.NS,ORB,LONG,182.89,184.72,181.98,WIN,-20.873
2024-09-12,FEDERALBNK.NS,ORB,LONG,183.61,185.44,182.7,LOSS,-22.284
2024-09-13,FEDERALBNK.NS,ORB,LONG,182.96,184.79,182.05,WIN,-20.865
2024-09-16,FEDERALBNK.NS,ORB,LONG,186.15,188.01,185.23,LOSS,-21.986
2024-09-17,FEDERALBNK.NS,ORB,LONG,184.14,185.98,183.22,LOSS,-22.221
2024-09-18,FEDERALBNK.NS,ORB,LONG,183.77,185.6,182.85,WIN,-20.769
2024-09-19,FEDERALBNK.NS,ORB,LONG,185.94,187.8,185.02,LOSS,-22.011
2024-09-23,FEDERALBNK.NS,ORB,LONG,185.78,187.64,184.86,LOSS,-22.029
2024-09-24,FEDERALBNK.NS,ORB,LONG,187.03,188.9,186.1,WIN,-20.389
2024-09-25,FEDERALBNK.NS,ORB,LONG,190.13,192.03,189.18,WIN,-20.041
2024-09-26,FEDERALBNK.NS,ORB,LONG,192.17,194.08,191.21,LOSS,-21.314
2024-09-27,FEDERALBNK.NS,ORB,LONG,191.42,193.33,190.46,WIN,-19.899
2024-09-30,FEDERALBNK.NS,ORB,LONG,193.21,195.14,192.25,WIN,-19.705
2024-10-01,FEDERALBNK.NS,ORB,LONG,197.9,199.87,196.91,LOSS,-20.711
2024-10-03,FEDERALBNK.NS,ORB,LONG,192.71,194.64,191.75,WIN,-19.759
2024-10-04,FEDERALBNK.NS,ORB,LONG,192.71,194.64,191.75,WIN,-19.759
2024-10-08,FEDERALBNK.NS,ORB,LONG,183.46,185.29,182.55,WIN,-20.805
2024-10-11,FEDERALBNK.NS,ORB,LONG,185.14,186.98,184.21,WIN,-20.608
2024-10-14,FEDERALBNK.NS,ORB,LONG,188.29,190.17,187.35,WIN,-20.247
2024-10-15,FEDERALBNK.NS,ORB,LONG,197.4,199.37,196.41,LOSS,-20.762
2024-10-16,FEDERALBNK.NS,ORB,LONG,196.6,198.56,195.62,LOSS,-20.844
2024-10-17,FEDERALBNK.NS,ORB,LONG,193.81,195.74,192.84,LOSS,-21.137
2024-10-18,FEDERALBNK.NS,ORB,LONG,192.91,194.84,191.95,WIN,-19.737
2024-10-21,FEDERALBNK.NS,ORB,LONG,194.66,196.6,193.69,LOSS,-21.048
2024-10-22,FEDERALBNK.NS,ORB,LONG,193.41,195.34,192.45,LOSS,-21.18
2024-10-23,FEDERALBNK.NS,ORB,LONG,189.32,191.21,188.38,LOSS,-21.627
2024-10-24,FEDERALBNK.NS,ORB,LONG,188.71,190.59,187.76,LOSS,-21.696
2024-10-25,FEDERALBNK.NS,ORB,LONG,188.33,190.21,187.39,LOSS,-21.738
2024-10-28,FEDERALBNK.NS,ORB,LONG,185.54,187.39,184.61,WIN,-20.562
2024-10-29,FEDERALBNK.NS,ORB,LONG,193.36,195.29,192.4,WIN,-19.689
2024-10-30,FEDERALBNK.NS,ORB,LONG,198.61,200.59,197.62,WIN,-19.143
2024-10-31,FEDERALBNK.NS,ORB,LONG,203.37,205.4,202.36,LOSS,-20.167
2024-11-01,FEDERALBNK.NS,ORB,LONG,203.63,205.66,202.61,LOSS,-20.142
2024-11-04,FEDERALBNK.NS,ORB,LONG,203.55,205.58,202.54,WIN,-18.654
2024-11-05,FEDERALBNK.NS,ORB,LONG,203.55,205.58,202.54,LOSS,-20.15
2024-11-07,FEDERALBNK.NS,ORB,LONG,204.58,206.62,203.56,WIN,-18.555
2024-11-08,FEDERALBNK.NS,ORB,LONG,205.36,207.4,204.33,LOSS,-19.977
2024-11-12,FEDERALBNK.NS,ORB,LONG,207.66,209.73,206.62,LOSS,-19.761
2024-11-14,FEDERALBNK.NS,ORB,LONG,198.6,200.58,197.61,LOSS,-20.64
2024-11-18,FEDERALBNK.NS,ORB,LONG,196.4,198.36,195.42,WIN,-19.369
