date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-05,FEDERALBNK.NS,VWAP,LONG,178.99,182.25,177.45,WIN,-20.525
2024-08-12,FEDERALBNK.NS,VWAP,LONG,192.88,196.94,192.3,WIN,-18.629
2024-09-13,FEDERALBNK.NS,VWAP,LONG,182.6,184.81,182.04,WIN,-20.696
2024-10-11,FEDERALBNK.NS,VWAP,LONG,184.77,186.39,184.21,WIN,-20.771
2024-10-14,FEDERALBNK.NS,VWAP,LONG,187.91,193.23,187.05,WIN,-18.458
2024-11-19,FEDERALBNK.NS,VWAP,LONG,200.99,204.91,199.6,WIN,-17.948
2024-12-04,FEDERALBNK.NS,VWAP,LONG,208.91,212.38,207.59,WIN,-17.485
2024-12-31,FEDERALBNK.NS,VWAP,LONG,195.51,197.74,194.73,WIN,-19.318
2025-01-02,FEDERALBNK.NS,VWAP,LONG,199.49,202.87,197.96,WIN,-18.357
2025-01-14,FEDERALBNK.NS,VWAP,LONG,188.05,190.66,187.1,WIN,-19.882
2025-01-27,FEDERALBNK.NS,VWAP,LONG,185.09,189.14,184.11,WIN,-19.424
2025-02-05,FEDERALBNK.NS,VWAP,LONG,181.08,182.54,180.53,WIN,-21.279
2025-03-05,FEDERALBNK.NS,VWAP,LONG,176.01,178.87,175.1,WIN,-21.1
2025-03-24,FEDERALBNK.NS,VWAP,LONG,187.06,192.12,185.8,WIN,-18.678
2025-03-27,FEDERALBNK.NS,VWAP,LONG,191.13,195.2,190.03,WIN,-18.798
2025-04-21,FEDERALBNK.NS,VWAP,LONG,195.02,198.79,193.54,WIN,-18.574
2025-05-07,FEDERALBNK.NS,VWAP,LONG,182.23,187.52,181.68,WIN,-19.045
2025-05-09,FEDERALBNK.NS,VWAP,LONG,182.68,185.17,182.13,WIN,-20.533
2025-06-02,FEDERALBNK.NS,VWAP,LONG,201.18,203.8,200.1,WIN,-18.581
2025-06-03,FEDERALBNK.NS,VWAP,LONG,206.07,209.33,205.38,WIN,-17.831
2025-06-18,FEDERALBNK.NS,VWAP,LONG,203.74,205.45,202.96,WIN,-18.794
2025-06-23,FEDERALBNK.NS,VWAP,LONG,204.3,205.65,203.69,WIN,-18.918
2025-07-16,FEDERALBNK.NS,VWAP,LONG,210.61,212.63,209.98,WIN,-18.031
2025-08-04,FEDERALBNK.NS,VWAP,LONG,184.87,191.71,183.63,WIN,-17.936
2025-09-01,FEDERALBNK.NS,VWAP,LONG,191.9,193.13,191.33,WIN,-20.204
2025-09-10,FEDERALBNK.NS,VWAP,LONG,192.19,194.9,191.34,WIN,-19.404
2025-09-15,FEDERALBNK.NS,VWAP,LONG,194.44,195.78,193.81,WIN,-19.883
2025-10-07,FEDERALBNK.NS,VWAP,LONG,194.29,197.73,193.71,WIN,-18.819
2025-10-13,FEDERALBNK.NS,VWAP,LONG,208.31,211.28,206.91,WIN,-17.776
2025-10-20,FEDERALBNK.NS,VWAP,LONG,216.72,224.33,215.59,WIN,-14.943
2025-11-18,FEDERALBNK.NS,VWAP,LONG,239.68,243.42,238.52,WIN,-15.128
2025-11-25,FEDERALBNK.NS,VWAP,LONG,248.65,253.46,247.0,WIN,-14.151
2025-12-02,FEDERALBNK.NS,VWAP,LONG,256.86,259.02,256.09,WIN,-14.732
2026-01-16,FEDERALBNK.NS,VWAP,LONG,247.75,265.37,246.96,WIN,-9.034
2026-01-19,FEDERALBNK.NS,VWAP,LONG,271.72,276.73,269.71,WIN,-12.876
2026-01-27,FEDERALBNK.NS,VWAP,LONG,279.28,283.22,278.44,WIN,-12.913
2026-02-25,FEDERALBNK.NS,VWAP,LONG,296.65,298.83,295.76,WIN,-12.747
2026-03-02,FEDERALBNK.NS,VWAP,LONG,290.29,294.45,288.47,WIN,-12.346
2026-03-18,FEDERALBNK.NS,VWAP,LONG,265.26,269.73,264.47,WIN,-13.395
2026-03-25,FEDERALBNK.NS,VWAP,LONG,265.77,269.88,264.27,WIN,-13.501
2026-04-10,FEDERALBNK.NS,VWAP,LONG,284.28,289.48,283.43,WIN,-12.242
