date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,HCLTECH.NS,MOMENTUM,LONG,1356.88,1405.32,1332.65,PARTIAL,-2.785
2024-07-02,HCLTECH.NS,MOMENTUM,LONG,1366.14,1424.16,1337.13,PARTIAL,-2.635
2024-07-03,HCLTECH.NS,MOMENTUM,LONG,1379.1,1451.49,1342.91,PARTIAL,-3.537
2024-07-04,HCLTECH.NS,MOMENTUM,LONG,1375.4,1431.05,1347.57,PARTIAL,-0.496
2024-07-05,HCLTECH.NS,MOMENTUM,LONG,1410.59,1513.92,1358.93,PARTIAL,-3.172
2024-07-08,HCLTECH.NS,MOMENTUM,LONG,1415.23,1510.72,1367.48,PARTIAL,-2.573
2024-07-09,HCLTECH.NS,MOMENTUM,LONG,1420.23,1506.89,1376.89,PARTIAL,-3.066
2024-07-10,HCLTECH.NS,MOMENTUM,LONG,1418.1,1486.29,1384.0,LOSS,-5.225
2024-07-15,HCLTECH.NS,MOMENTUM,LONG,1463.39,1594.34,1397.91,PARTIAL,-3.491
2024-07-16,HCLTECH.NS,MOMENTUM,LONG,1449.49,1532.64,1407.92,PARTIAL,-2.569
2024-07-18,HCLTECH.NS,MOMENTUM,LONG,1443.06,1497.34,1415.92,PARTIAL,-0.531
2024-07-19,HCLTECH.NS,MOMENTUM,LONG,1491.64,1621.06,1426.93,PARTIAL,-3.771
2024-07-22,HCLTECH.NS,MOMENTUM,LONG,1471.35,1542.59,1435.73,PARTIAL,-3.542
2024-07-24,HCLTECH.NS,MOMENTUM,LONG,1487.67,1565.42,1448.8,PARTIAL,-3.434
2024-07-29,HCLTECH.NS,MOMENTUM,LONG,1530.79,1651.61,1470.38,PARTIAL,-3.191
2024-07-30,HCLTECH.NS,MOMENTUM,LONG,1520.34,1601.46,1479.78,PARTIAL,-2.654
2024-07-31,HCLTECH.NS,MOMENTUM,LONG,1512.87,1564.8,1486.91,PARTIAL,-1.413
2024-08-01,HCLTECH.NS,MOMENTUM,LONG,1530.65,1602.14,1494.91,PARTIAL,-2.683
2024-08-16,HCLTECH.NS,MOMENTUM,LONG,1525.94,1608.54,1484.64,PARTIAL,-0.69
2024-08-19,HCLTECH.NS,MOMENTUM,LONG,1553.94,1666.1,1497.86,PARTIAL,-1.864
2024-08-20,HCLTECH.NS,MOMENTUM,LONG,1567.94,1683.13,1510.34,PARTIAL,-2.25
2024-08-21,HCLTECH.NS,MOMENTUM,LONG,1573.54,1676.88,1521.86,PARTIAL,-3.16
2024-08-22,HCLTECH.NS,MOMENTUM,LONG,1574.47,1664.78,1529.31,PARTIAL,-3.283
2024-08-27,HCLTECH.NS,MOMENTUM,LONG,1610.73,1733.74,1549.22,PARTIAL,-3.408
2024-08-28,HCLTECH.NS,MOMENTUM,LONG,1598.32,1679.77,1557.59,PARTIAL,-2.2
2024-08-29,HCLTECH.NS,MOMENTUM,LONG,1599.67,1667.53,1565.74,PARTIAL,-0.394
2024-08-30,HCLTECH.NS,MOMENTUM,LONG,1634.99,1748.42,1578.28,PARTIAL,-2.467
2024-09-02,HCLTECH.NS,MOMENTUM,LONG,1646.52,1762.4,1588.58,PARTIAL,-0.125
2024-09-03,HCLTECH.NS,MOMENTUM,LONG,1685.53,1843.11,1606.74,PARTIAL,-3.333
2024-09-04,HCLTECH.NS,MOMENTUM,LONG,1647.36,1705.56,1618.26,PARTIAL,-1.388
2024-09-05,HCLTECH.NS,MOMENTUM,LONG,1672.47,1764.38,1626.51,PARTIAL,-2.572
2024-09-06,HCLTECH.NS,MOMENTUM,LONG,1668.73,1738.01,1634.1,LOSS,-4.473
2024-09-13,HCLTECH.NS,MOMENTUM,LONG,1684.6,1758.29,1647.75,PARTIAL,-2.043
2024-09-16,HCLTECH.NS,MOMENTUM,LONG,1697.67,1782.54,1655.23,PARTIAL,-2.849
2024-09-17,HCLTECH.NS,MOMENTUM,LONG,1691.09,1751.2,1661.03,PARTIAL,-2.366
2024-09-18,HCLTECH.NS,MOMENTUM,LONG,1687.49,1730.43,1666.02,LOSS,-3.643
2024-09-25,HCLTECH.NS,MOMENTUM,LONG,1660.15,1690.05,1645.19,LOSS,-3.31
2024-09-26,HCLTECH.NS,MOMENTUM,LONG,1663.37,1695.04,1647.53,PARTIAL,-2.415
2024-09-27,HCLTECH.NS,MOMENTUM,LONG,1689.27,1768.47,1649.66,PARTIAL,-2.556
2024-09-30,HCLTECH.NS,MOMENTUM,LONG,1687.4,1750.32,1655.94,PARTIAL,-3.128
2024-10-01,HCLTECH.NS,MOMENTUM,LONG,1670.6,1694.46,1658.67,WIN,-0.966
2024-10-10,HCLTECH.NS,MOMENTUM,LONG,1698.6,1767.71,1664.04,PARTIAL,-3.078
2024-10-11,HCLTECH.NS,MOMENTUM,LONG,1683.67,1716.03,1667.48,WIN,-0.454
2024-10-14,HCLTECH.NS,MOMENTUM,LONG,1722.91,1816.73,1676.0,PARTIAL,-1.889
2024-10-15,HCLTECH.NS,MOMENTUM,LONG,1707.93,1752.12,1685.84,WIN,0.245
2024-10-16,HCLTECH.NS,MOMENTUM,LONG,1744.33,1840.29,1696.35,PARTIAL,-2.593
2024-10-17,HCLTECH.NS,MOMENTUM,LONG,1745.17,1827.8,1703.85,PARTIAL,-2.504
2024-10-18,HCLTECH.NS,MOMENTUM,LONG,1742.46,1806.73,1710.33,PARTIAL,-2.893
2024-10-28,HCLTECH.NS,MOMENTUM,LONG,1733.31,1759.05,1720.43,WIN,-0.822
2024-10-29,HCLTECH.NS,MOMENTUM,LONG,1758.34,1821.81,1726.61,PARTIAL,-2.375
2024-10-30,HCLTECH.NS,MOMENTUM,LONG,1748.24,1781.63,1731.55,LOSS,-3.243
2024-11-07,HCLTECH.NS,MOMENTUM,LONG,1737.96,1831.7,1691.08,PARTIAL,-3.379
2024-11-08,HCLTECH.NS,MOMENTUM,LONG,1727.53,1791.22,1695.68,PARTIAL,-2.494
2024-11-11,HCLTECH.NS,MOMENTUM,LONG,1734.81,1803.63,1700.4,PARTIAL,-1.291
2024-11-12,HCLTECH.NS,MOMENTUM,LONG,1776.43,1909.78,1709.75,PARTIAL,-3.31
2024-11-13,HCLTECH.NS,MOMENTUM,LONG,1752.94,1822.28,1718.27,PARTIAL,-2.449
2024-11-14,HCLTECH.NS,MOMENTUM,LONG,1758.58,1828.59,1723.57,PARTIAL,-3.071
2024-11-18,HCLTECH.NS,MOMENTUM,LONG,1746.32,1785.51,1726.72,LOSS,-3.413
2024-11-25,HCLTECH.NS,MOMENTUM,LONG,1802.73,1945.63,1731.28,PARTIAL,-3.74
2024-11-26,HCLTECH.NS,MOMENTUM,LONG,1775.58,1848.7,1739.02,PARTIAL,-1.853
2024-11-27,HCLTECH.NS,MOMENTUM,LONG,1781.83,1852.12,1746.68,PARTIAL,-2.645
2024-11-28,HCLTECH.NS,MOMENTUM,LONG,1770.88,1810.21,1751.22,LOSS,-3.369
2024-12-05,HCLTECH.NS,MOMENTUM,LONG,1770.79,1803.75,1754.31,WIN,-0.398
2024-12-06,HCLTECH.NS,MOMENTUM,LONG,1809.3,1900.94,1763.49,PARTIAL,-2.482
2024-12-09,HCLTECH.NS,MOMENTUM,LONG,1798.97,1855.74,1770.59,PARTIAL,-2.589
2024-12-10,HCLTECH.NS,MOMENTUM,LONG,1800.33,1853.25,1773.87,PARTIAL,-1.284
2024-12-11,HCLTECH.NS,MOMENTUM,LONG,1809.54,1865.72,1781.45,PARTIAL,-2.069
2024-12-16,HCLTECH.NS,MOMENTUM,LONG,1851.44,1951.04,1801.64,PARTIAL,-3.094
2024-12-18,HCLTECH.NS,MOMENTUM,LONG,1830.91,1871.43,1810.65,PARTIAL,-1.703
2025-01-01,HCLTECH.NS,MOMENTUM,LONG,1801.23,1818.45,1792.61,LOSS,-2.699
2025-01-03,HCLTECH.NS,MOMENTUM,LONG,1860.03,1974.98,1802.56,PARTIAL,-3.933
2025-01-07,HCLTECH.NS,MOMENTUM,LONG,1841.24,1902.65,1810.54,LOSS,-3.84
2025-01-13,HCLTECH.NS,MOMENTUM,LONG,1874.03,1982.95,1819.57,PARTIAL,-2.51
2025-02-05,HCLTECH.NS,MOMENTUM,LONG,1641.67,1655.66,1634.67,WIN,-1.584
2025-03-24,HCLTECH.NS,MOMENTUM,LONG,1509.77,1582.59,1473.35,PARTIAL,-1.924
2025-03-25,HCLTECH.NS,MOMENTUM,LONG,1539.18,1653.72,1481.92,PARTIAL,-2.52
2025-03-26,HCLTECH.NS,MOMENTUM,LONG,1541.93,1640.43,1492.69,PARTIAL,-2.171
2025-03-27,HCLTECH.NS,MOMENTUM,LONG,1542.65,1622.12,1502.91,PARTIAL,-2.416
2025-03-28,HCLTECH.NS,MOMENTUM,LONG,1533.58,1579.8,1510.48,LOSS,-4.115
2025-04-22,HCLTECH.NS,MOMENTUM,LONG,1413.92,1505.76,1368.0,PARTIAL,-3.606
2025-04-23,HCLTECH.NS,MOMENTUM,LONG,1475.6,1678.51,1374.15,PARTIAL,-0.305
2025-04-24,HCLTECH.NS,MOMENTUM,LONG,1513.56,1739.42,1400.63,PARTIAL,-3.263
2025-04-25,HCLTECH.NS,MOMENTUM,LONG,1508.82,1685.57,1420.44,PARTIAL,-3.492
2025-04-28,HCLTECH.NS,MOMENTUM,LONG,1502.23,1637.32,1434.68,PARTIAL,-3.765
2025-04-29,HCLTECH.NS,MOMENTUM,LONG,1492.63,1589.91,1443.99,PARTIAL,-1.88
2025-05-06,HCLTECH.NS,MOMENTUM,LONG,1513.55,1585.97,1477.34,PARTIAL,-2.597
2025-05-13,HCLTECH.NS,MOMENTUM,LONG,1617.41,1824.83,1513.7,PARTIAL,-6.45
2025-05-14,HCLTECH.NS,MOMENTUM,LONG,1564.62,1652.56,1520.65,PARTIAL,-2.185
2025-05-15,HCLTECH.NS,MOMENTUM,LONG,1583.82,1692.12,1529.66,PARTIAL,0.16
2025-05-16,HCLTECH.NS,MOMENTUM,LONG,1624.04,1776.06,1548.02,PARTIAL,-4.452
2025-05-20,HCLTECH.NS,MOMENTUM,LONG,1594.18,1662.41,1560.07,PARTIAL,-3.962
2025-05-27,HCLTECH.NS,MOMENTUM,LONG,1606.66,1673.55,1573.22,PARTIAL,-3.885
2025-05-29,HCLTECH.NS,MOMENTUM,LONG,1603.01,1656.1,1576.47,PARTIAL,-2.912
2025-05-30,HCLTECH.NS,MOMENTUM,LONG,1597.93,1634.81,1579.49,LOSS,-3.657
2025-06-10,HCLTECH.NS,MOMENTUM,LONG,1586.98,1625.27,1567.84,PARTIAL,-1.726
2025-06-11,HCLTECH.NS,MOMENTUM,LONG,1608.77,1679.86,1573.23,PARTIAL,0.15
2025-06-12,HCLTECH.NS,MOMENTUM,LONG,1655.81,1791.76,1587.83,PARTIAL,-3.894
2025-06-16,HCLTECH.NS,MOMENTUM,LONG,1624.13,1671.19,1600.6,PARTIAL,-0.732
2025-06-17,HCLTECH.NS,MOMENTUM,LONG,1658.69,1756.19,1609.94,PARTIAL,-2.419
2025-06-20,HCLTECH.NS,MOMENTUM,LONG,1645.15,1683.18,1626.14,PARTIAL,-1.016
2025-06-30,HCLTECH.NS,MOMENTUM,LONG,1655.81,1692.03,1637.7,PARTIAL,-2.307
2025-07-01,HCLTECH.NS,MOMENTUM,LONG,1659.26,1696.43,1640.68,PARTIAL,-3.106
2025-08-13,HCLTECH.NS,MOMENTUM,LONG,1451.11,1492.59,1430.37,PARTIAL,-2.783
2025-08-14,HCLTECH.NS,MOMENTUM,LONG,1452.08,1489.09,1433.57,PARTIAL,-3.6
2025-08-26,HCLTECH.NS,MOMENTUM,LONG,1452.95,1491.01,1433.92,PARTIAL,-3.458
2025-09-11,HCLTECH.NS,MOMENTUM,LONG,1416.19,1461.27,1393.65,PARTIAL,-2.665
2025-09-12,HCLTECH.NS,MOMENTUM,LONG,1426.93,1485.27,1397.76,PARTIAL,-3.431
2025-09-15,HCLTECH.NS,MOMENTUM,LONG,1419.38,1456.25,1400.95,PARTIAL,-2.966
2025-09-16,HCLTECH.NS,MOMENTUM,LONG,1416.19,1441.84,1403.37,PARTIAL,-1.614
2025-09-17,HCLTECH.NS,MOMENTUM,LONG,1442.21,1509.64,1408.5,PARTIAL,-3.497
2025-09-19,HCLTECH.NS,MOMENTUM,LONG,1445.11,1499.93,1417.7,LOSS,-4.665
2025-10-07,HCLTECH.NS,MOMENTUM,LONG,1375.65,1407.93,1359.52,PARTIAL,-2.207
2025-10-08,HCLTECH.NS,MOMENTUM,LONG,1386.49,1431.78,1363.84,PARTIAL,-1.591
2025-10-09,HCLTECH.NS,MOMENTUM,LONG,1405.84,1475.27,1371.12,PARTIAL,-0.656
2025-10-10,HCLTECH.NS,MOMENTUM,LONG,1442.41,1560.5,1383.36,PARTIAL,-2.572
2025-10-13,HCLTECH.NS,MOMENTUM,LONG,1441.44,1534.55,1394.88,PARTIAL,-2.56
2025-10-14,HCLTECH.NS,MOMENTUM,LONG,1466.01,1590.14,1403.95,PARTIAL,-4.147
2025-10-15,HCLTECH.NS,MOMENTUM,LONG,1449.08,1524.58,1411.33,PARTIAL,-3.007
2025-10-17,HCLTECH.NS,MOMENTUM,LONG,1461.72,1533.58,1425.79,PARTIAL,-3.689
2025-10-24,HCLTECH.NS,MOMENTUM,LONG,1487.08,1571.92,1444.65,PARTIAL,-2.868
2025-10-27,HCLTECH.NS,MOMENTUM,LONG,1493.32,1576.52,1451.72,PARTIAL,-2.642
2025-10-28,HCLTECH.NS,MOMENTUM,LONG,1496.83,1571.98,1459.25,PARTIAL,-3.612
2025-10-29,HCLTECH.NS,MOMENTUM,LONG,1491.95,1549.73,1463.06,PARTIAL,-0.998
2025-10-30,HCLTECH.NS,MOMENTUM,LONG,1518.96,1610.98,1472.95,PARTIAL,-3.24
2025-10-31,HCLTECH.NS,MOMENTUM,LONG,1511.26,1574.97,1479.41,PARTIAL,-3.282
2025-11-04,HCLTECH.NS,MOMENTUM,LONG,1498.19,1522.21,1486.19,LOSS,-3.471
2025-11-12,HCLTECH.NS,MOMENTUM,LONG,1535.83,1621.82,1492.84,PARTIAL,-1.499
2025-11-13,HCLTECH.NS,MOMENTUM,LONG,1559.63,1671.08,1503.9,PARTIAL,-2.721
2025-11-14,HCLTECH.NS,MOMENTUM,LONG,1550.46,1624.13,1513.62,PARTIAL,-2.391
2025-11-17,HCLTECH.NS,MOMENTUM,LONG,1554.36,1621.79,1520.65,PARTIAL,-1.896
