date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,HCLTECH.NS,ORB,LONG,1331.75,1345.03,1325.11,WIN,-2.006
2024-07-01,HCLTECH.NS,ORB,LONG,1359.59,1373.15,1352.81,LOSS,-3.441
2024-07-02,HCLTECH.NS,ORB,LONG,1368.87,1382.52,1362.04,PARTIAL,-2.829
2024-07-04,HCLTECH.NS,ORB,LONG,1378.15,1391.9,1371.28,WIN,-1.905
2024-07-05,HCLTECH.NS,ORB,LONG,1413.42,1427.51,1406.37,LOSS,-3.329
2024-07-08,HCLTECH.NS,ORB,LONG,1418.06,1432.2,1410.98,LOSS,-3.319
2024-07-09,HCLTECH.NS,ORB,LONG,1423.07,1437.26,1415.97,LOSS,-3.31
2024-07-11,HCLTECH.NS,ORB,LONG,1405.99,1420.01,1398.98,LOSS,-3.344
2024-07-12,HCLTECH.NS,ORB,LONG,1419.91,1434.07,1412.83,WIN,-1.82
2024-07-15,HCLTECH.NS,ORB,LONG,1466.31,1480.94,1459.0,WIN,-1.731
2024-07-16,HCLTECH.NS,ORB,LONG,1452.39,1466.88,1445.15,LOSS,-3.253
2024-07-18,HCLTECH.NS,ORB,LONG,1445.94,1460.37,1438.73,WIN,-1.769
2024-07-19,HCLTECH.NS,ORB,LONG,1494.62,1509.53,1487.17,LOSS,-3.175
2024-07-22,HCLTECH.NS,ORB,LONG,1474.3,1489.0,1466.94,LOSS,-3.212
2024-07-23,HCLTECH.NS,ORB,LONG,1471.95,1486.63,1464.61,WIN,-1.72
2024-07-25,HCLTECH.NS,ORB,LONG,1468.21,1482.85,1460.88,WIN,-1.727
2024-07-26,HCLTECH.NS,ORB,LONG,1498.88,1513.83,1491.4,WIN,-1.671
2024-07-31,HCLTECH.NS,ORB,LONG,1515.9,1531.02,1508.34,WIN,-1.641
2024-08-01,HCLTECH.NS,ORB,LONG,1533.71,1549.01,1526.06,LOSS,-3.107
2024-08-02,HCLTECH.NS,ORB,LONG,1515.01,1530.12,1507.45,LOSS,-3.139
2024-08-05,HCLTECH.NS,ORB,LONG,1472.88,1487.57,1465.54,WIN,-1.718
