date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-04,HCLTECH.NS,VWAP,LONG,1375.4,1400.83,1371.28,WIN,-1.059
2024-07-18,HCLTECH.NS,VWAP,LONG,1443.06,1465.26,1437.76,WIN,-1.234
2024-08-06,HCLTECH.NS,VWAP,LONG,1458.74,1476.48,1454.37,WIN,-1.526
2024-08-13,HCLTECH.NS,VWAP,LONG,1472.74,1485.16,1468.0,WIN,-1.873
2024-08-14,HCLTECH.NS,VWAP,LONG,1493.37,1508.61,1487.17,WIN,-1.658
2024-08-16,HCLTECH.NS,VWAP,LONG,1525.94,1546.15,1519.23,WIN,-1.297
2024-08-26,HCLTECH.NS,VWAP,LONG,1559.54,1591.4,1551.23,WIN,-0.521
2024-09-02,HCLTECH.NS,VWAP,LONG,1646.52,1671.62,1637.68,WIN,-0.905
2024-09-04,HCLTECH.NS,VWAP,LONG,1647.36,1661.44,1642.33,WIN,-1.573
2024-09-10,HCLTECH.NS,VWAP,LONG,1632.75,1652.01,1625.72,WIN,-1.271
2024-10-01,HCLTECH.NS,VWAP,LONG,1670.6,1687.25,1665.59,WIN,-1.398
2024-10-11,HCLTECH.NS,VWAP,LONG,1683.67,1707.19,1675.5,WIN,-0.979
2024-10-15,HCLTECH.NS,VWAP,LONG,1707.93,1735.07,1702.77,WIN,-0.753
2024-10-23,HCLTECH.NS,VWAP,LONG,1684.83,1721.86,1679.78,WIN,-0.176
2024-10-28,HCLTECH.NS,VWAP,LONG,1733.31,1749.83,1728.11,WIN,-1.355
2024-11-06,HCLTECH.NS,VWAP,LONG,1682.58,1712.52,1669.95,WIN,-0.598
2024-11-22,HCLTECH.NS,VWAP,LONG,1734.48,1763.36,1720.06,WIN,-0.641
2024-12-05,HCLTECH.NS,VWAP,LONG,1770.79,1797.52,1764.55,WIN,-0.749
2024-12-19,HCLTECH.NS,VWAP,LONG,1794.27,1811.39,1788.9,WIN,-1.275
2025-01-02,HCLTECH.NS,VWAP,LONG,1796.11,1832.7,1788.94,WIN,-0.19
2025-01-10,HCLTECH.NS,VWAP,LONG,1818.7,1855.89,1812.55,WIN,-0.154
2025-01-21,HCLTECH.NS,VWAP,LONG,1699.93,1710.99,1694.84,WIN,-1.703
2025-01-29,HCLTECH.NS,VWAP,LONG,1609.4,1623.94,1604.58,WIN,-1.582
2025-01-31,HCLTECH.NS,VWAP,LONG,1621.79,1634.56,1616.93,WIN,-1.679
2025-02-03,HCLTECH.NS,VWAP,LONG,1579.99,1597.08,1571.94,WIN,-1.45
2025-02-04,HCLTECH.NS,VWAP,LONG,1608.55,1630.71,1600.84,WIN,-1.109
2025-03-05,HCLTECH.NS,VWAP,LONG,1453.78,1480.58,1448.52,WIN,-0.908
2025-03-20,HCLTECH.NS,VWAP,LONG,1468.82,1482.39,1463.66,WIN,-1.799
2025-04-11,HCLTECH.NS,VWAP,LONG,1290.56,1319.46,1286.69,WIN,-0.86
2025-04-21,HCLTECH.NS,VWAP,LONG,1361.73,1393.87,1352.92,WIN,-0.578
2025-05-12,HCLTECH.NS,VWAP,LONG,1534.67,1578.81,1525.48,WIN,0.27
2025-06-13,HCLTECH.NS,VWAP,LONG,1599.17,1620.88,1593.04,WIN,-1.144
2025-09-01,HCLTECH.NS,VWAP,LONG,1398.87,1413.23,1394.68,WIN,-1.833
2025-09-09,HCLTECH.NS,VWAP,LONG,1364.24,1374.92,1359.09,WIN,-2.149
2025-09-10,HCLTECH.NS,VWAP,LONG,1388.13,1407.11,1381.27,WIN,-1.515
2025-10-06,HCLTECH.NS,VWAP,LONG,1348.08,1362.52,1341.44,WIN,-1.896
2025-10-09,HCLTECH.NS,VWAP,LONG,1405.84,1427.14,1400.95,WIN,-1.33
2025-11-12,HCLTECH.NS,VWAP,LONG,1535.83,1548.1,1529.77,WIN,-1.806
2025-11-19,HCLTECH.NS,VWAP,LONG,1555.63,1597.85,1544.45,WIN,0.143
2025-11-26,HCLTECH.NS,VWAP,LONG,1561.28,1573.75,1556.6,WIN,-1.763
2026-01-09,HCLTECH.NS,VWAP,LONG,1606.14,1618.24,1601.33,WIN,-1.737
2026-02-25,HCLTECH.NS,VWAP,LONG,1330.88,1348.71,1325.91,WIN,-1.665
2026-03-02,HCLTECH.NS,VWAP,LONG,1326.95,1343.28,1321.99,WIN,-1.783
2026-03-04,HCLTECH.NS,VWAP,LONG,1331.86,1341.65,1327.87,WIN,-2.268
2026-03-09,HCLTECH.NS,VWAP,LONG,1306.32,1327.68,1300.45,WIN,-1.427
2026-03-18,HCLTECH.NS,VWAP,LONG,1302.88,1328.6,1298.98,WIN,-1.096
2026-03-23,HCLTECH.NS,VWAP,LONG,1291.39,1319.28,1282.82,WIN,-0.938
2026-03-25,HCLTECH.NS,VWAP,LONG,1324.0,1354.31,1320.03,WIN,-0.732
2026-04-02,HCLTECH.NS,VWAP,LONG,1323.02,1359.37,1313.37,WIN,-0.275
2026-04-07,HCLTECH.NS,VWAP,LONG,1366.23,1398.62,1359.3,WIN,-0.557
