date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,HDFCBANK.NS,MOMENTUM,LONG,837.58,882.69,815.02,PARTIAL,-4.873
2024-06-28,HDFCBANK.NS,MOMENTUM,LONG,838.32,877.21,818.87,PARTIAL,-5.683
2024-07-03,HDFCBANK.NS,MOMENTUM,LONG,884.44,993.91,829.71,PARTIAL,-5.869
2024-07-04,HDFCBANK.NS,MOMENTUM,LONG,869.01,931.52,837.75,PARTIAL,-6.554
2024-07-23,HDFCBANK.NS,MOMENTUM,LONG,813.6,835.77,802.52,LOSS,-6.279
2024-08-02,HDFCBANK.NS,MOMENTUM,LONG,805.43,821.06,797.61,WIN,-3.025
2024-08-05,HDFCBANK.NS,MOMENTUM,LONG,809.92,827.17,801.3,LOSS,-6.003
2024-08-12,HDFCBANK.NS,MOMENTUM,LONG,815.8,843.13,802.13,PARTIAL,-4.513
2024-08-22,HDFCBANK.NS,MOMENTUM,LONG,805.92,815.33,801.22,PARTIAL,-5.106
2024-09-13,HDFCBANK.NS,MOMENTUM,LONG,826.66,859.94,810.02,PARTIAL,-5.419
2024-09-16,HDFCBANK.NS,MOMENTUM,LONG,823.21,845.82,811.9,PARTIAL,-4.722
2024-09-17,HDFCBANK.NS,MOMENTUM,LONG,828.64,858.13,813.89,PARTIAL,-5.475
2024-09-18,HDFCBANK.NS,MOMENTUM,LONG,825.6,846.26,815.27,PARTIAL,-3.573
2024-09-19,HDFCBANK.NS,MOMENTUM,LONG,839.11,879.45,818.94,PARTIAL,-4.32
2024-09-20,HDFCBANK.NS,MOMENTUM,LONG,847.65,896.52,823.22,PARTIAL,-3.381
2024-09-23,HDFCBANK.NS,MOMENTUM,LONG,863.7,931.39,829.85,PARTIAL,-4.114
2024-09-24,HDFCBANK.NS,MOMENTUM,LONG,871.6,940.81,837.0,PARTIAL,-4.517
2024-09-25,HDFCBANK.NS,MOMENTUM,LONG,869.21,920.58,843.52,PARTIAL,-3.626
2024-09-26,HDFCBANK.NS,MOMENTUM,LONG,875.58,927.08,849.83,PARTIAL,-4.082
2024-09-27,HDFCBANK.NS,MOMENTUM,LONG,877.53,921.98,855.3,PARTIAL,-6.027
2024-10-15,HDFCBANK.NS,MOMENTUM,LONG,836.54,864.9,822.36,PARTIAL,-5.465
2024-10-16,HDFCBANK.NS,MOMENTUM,LONG,829.68,841.92,823.55,WIN,-3.345
2024-10-17,HDFCBANK.NS,MOMENTUM,LONG,837.01,858.92,826.05,LOSS,-6.088
2024-10-22,HDFCBANK.NS,MOMENTUM,LONG,854.34,901.66,830.68,PARTIAL,-5.677
