date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,HDFCBANK.NS,ORB,LONG,839.25,847.62,835.07,LOSS,-5.265
2024-06-28,HDFCBANK.NS,ORB,LONG,839.99,848.37,835.8,LOSS,-5.261
2024-07-01,HDFCBANK.NS,ORB,LONG,831.29,839.58,827.14,WIN,-3.814
2024-07-02,HDFCBANK.NS,ORB,LONG,848.6,857.07,844.37,LOSS,-5.212
2024-07-08,HDFCBANK.NS,ORB,LONG,814.12,822.24,810.06,LOSS,-5.412
2024-07-09,HDFCBANK.NS,ORB,LONG,804.07,812.09,800.06,WIN,-3.977
2024-07-10,HDFCBANK.NS,ORB,LONG,806.52,814.56,802.5,LOSS,-5.458
2024-07-12,HDFCBANK.NS,ORB,LONG,802.59,810.59,798.58,LOSS,-5.483
2024-07-15,HDFCBANK.NS,ORB,LONG,803.33,811.34,799.32,LOSS,-5.478
2024-07-16,HDFCBANK.NS,ORB,LONG,801.97,809.97,797.97,LOSS,-5.486
2024-07-18,HDFCBANK.NS,ORB,LONG,795.66,803.59,791.69,LOSS,-5.526
2024-07-19,HDFCBANK.NS,ORB,LONG,799.62,807.59,795.63,LOSS,-5.501
2024-07-22,HDFCBANK.NS,ORB,LONG,800.11,808.09,796.12,WIN,-4.002
2024-07-24,HDFCBANK.NS,ORB,LONG,795.73,803.67,791.76,LOSS,-5.526
2024-07-25,HDFCBANK.NS,ORB,LONG,788.24,796.1,784.31,WIN,-4.077
2024-07-26,HDFCBANK.NS,ORB,LONG,794.17,802.1,790.21,LOSS,-5.535
2024-07-29,HDFCBANK.NS,ORB,LONG,799.12,807.09,795.14,LOSS,-5.504
2024-07-30,HDFCBANK.NS,ORB,LONG,792.69,800.6,788.74,WIN,-4.049
2024-07-31,HDFCBANK.NS,ORB,LONG,798.63,806.59,794.64,LOSS,-5.507
2024-08-01,HDFCBANK.NS,ORB,LONG,803.03,811.04,799.03,WIN,-3.984
2024-08-02,HDFCBANK.NS,ORB,LONG,807.04,815.09,803.01,WIN,-3.959
2024-08-05,HDFCBANK.NS,ORB,LONG,811.54,819.64,807.5,LOSS,-5.428
2024-08-07,HDFCBANK.NS,ORB,LONG,800.11,808.09,796.12,LOSS,-5.498
2024-08-08,HDFCBANK.NS,ORB,LONG,803.58,811.59,799.57,WIN,-3.98
2024-08-09,HDFCBANK.NS,ORB,LONG,817.43,825.58,813.35,LOSS,-5.392
2024-08-12,HDFCBANK.NS,ORB,LONG,817.43,825.58,813.35,WIN,-3.896
2024-08-14,HDFCBANK.NS,ORB,LONG,794.92,802.84,790.95,LOSS,-5.531
2024-08-16,HDFCBANK.NS,ORB,LONG,805.8,813.84,801.78,LOSS,-5.463
2024-08-20,HDFCBANK.NS,ORB,LONG,805.28,813.31,801.27,PARTIAL,-4.639
2024-08-21,HDFCBANK.NS,ORB,LONG,805.6,813.64,801.59,LOSS,-5.464
2024-08-22,HDFCBANK.NS,ORB,LONG,807.53,815.59,803.51,LOSS,-5.452
2024-08-26,HDFCBANK.NS,ORB,LONG,807.63,815.69,803.61,PARTIAL,-4.779
2024-08-30,HDFCBANK.NS,ORB,LONG,819.41,827.58,815.32,LOSS,-5.38
2024-09-03,HDFCBANK.NS,ORB,LONG,808.52,816.59,804.49,LOSS,-5.446
2024-09-04,HDFCBANK.NS,ORB,LONG,811.0,819.09,806.95,LOSS,-5.431
2024-09-06,HDFCBANK.NS,ORB,LONG,810.65,818.74,806.61,LOSS,-5.433
2024-09-09,HDFCBANK.NS,ORB,LONG,810.5,818.59,806.46,LOSS,-5.434
2024-09-12,HDFCBANK.NS,ORB,LONG,818.42,826.58,814.34,LOSS,-5.386
2024-09-16,HDFCBANK.NS,ORB,LONG,824.85,833.08,820.74,PARTIAL,-4.912
2024-09-18,HDFCBANK.NS,ORB,LONG,827.25,835.5,823.13,WIN,-3.838
2024-09-19,HDFCBANK.NS,ORB,LONG,840.79,849.17,836.59,PARTIAL,-4.511
2024-09-20,HDFCBANK.NS,ORB,LONG,849.35,857.82,845.11,WIN,-3.712
2024-09-23,HDFCBANK.NS,ORB,LONG,865.43,874.06,861.11,LOSS,-5.121
2024-09-24,HDFCBANK.NS,ORB,LONG,873.34,882.06,868.99,LOSS,-5.079
2024-09-25,HDFCBANK.NS,ORB,LONG,870.94,879.63,866.6,WIN,-3.595
2024-09-26,HDFCBANK.NS,ORB,LONG,877.33,886.08,872.95,LOSS,-5.058
2024-10-01,HDFCBANK.NS,ORB,LONG,853.06,861.57,848.8,LOSS,-5.188
2024-10-03,HDFCBANK.NS,ORB,LONG,848.93,857.39,844.69,LOSS,-5.211
2024-10-04,HDFCBANK.NS,ORB,LONG,828.56,836.83,824.43,LOSS,-5.326
2024-10-07,HDFCBANK.NS,ORB,LONG,817.53,825.68,813.45,LOSS,-5.391
2024-10-08,HDFCBANK.NS,ORB,LONG,806.54,814.59,802.52,WIN,-3.962
2024-10-09,HDFCBANK.NS,ORB,LONG,816.19,824.33,812.12,LOSS,-5.4
2024-10-10,HDFCBANK.NS,ORB,LONG,811.0,819.09,806.95,WIN,-3.935
2024-10-14,HDFCBANK.NS,ORB,LONG,819.43,827.61,815.35,WIN,-3.884
2024-10-16,HDFCBANK.NS,ORB,LONG,831.33,839.63,827.19,WIN,-3.814
2024-10-18,HDFCBANK.NS,ORB,LONG,822.92,831.13,818.82,WIN,-3.863
2024-10-21,HDFCBANK.NS,ORB,LONG,848.6,857.07,844.37,WIN,-3.716
2024-10-22,HDFCBANK.NS,ORB,LONG,856.05,864.59,851.78,LOSS,-5.171
2024-10-23,HDFCBANK.NS,ORB,LONG,843.68,852.1,839.47,WIN,-3.744
2024-10-24,HDFCBANK.NS,ORB,LONG,860.03,868.61,855.74,WIN,-3.654
2024-10-28,HDFCBANK.NS,ORB,LONG,861.96,870.56,857.66,LOSS,-5.139
2024-10-29,HDFCBANK.NS,ORB,LONG,854.12,862.64,849.86,WIN,-3.686
2024-10-30,HDFCBANK.NS,ORB,LONG,861.96,870.56,857.66,LOSS,-5.139
2024-10-31,HDFCBANK.NS,ORB,LONG,855.04,863.56,850.77,LOSS,-5.177
2024-11-01,HDFCBANK.NS,ORB,LONG,857.51,866.06,853.23,LOSS,-5.163
2024-11-05,HDFCBANK.NS,ORB,LONG,842.67,851.07,838.46,WIN,-3.749
2024-11-07,HDFCBANK.NS,ORB,LONG,863.1,871.71,858.8,LOSS,-5.133
2024-11-08,HDFCBANK.NS,ORB,LONG,866.91,875.56,862.59,LOSS,-5.113
2024-11-11,HDFCBANK.NS,ORB,LONG,868.17,876.83,863.84,WIN,-3.61
2024-11-13,HDFCBANK.NS,ORB,LONG,849.47,857.94,845.23,LOSS,-5.208
2024-11-14,HDFCBANK.NS,ORB,LONG,827.87,836.13,823.74,WIN,-3.834
2024-11-18,HDFCBANK.NS,ORB,LONG,841.18,849.57,836.99,LOSS,-5.254
2024-11-19,HDFCBANK.NS,ORB,LONG,848.11,856.57,843.88,WIN,-3.719
2024-11-21,HDFCBANK.NS,ORB,LONG,865.63,874.26,861.31,LOSS,-5.12
2024-11-22,HDFCBANK.NS,ORB,LONG,862.73,871.34,858.43,LOSS,-5.135
2024-11-25,HDFCBANK.NS,ORB,LONG,883.27,892.08,878.86,LOSS,-5.027
2024-11-27,HDFCBANK.NS,ORB,LONG,885.67,894.5,881.25,WIN,-3.519
2024-11-28,HDFCBANK.NS,ORB,LONG,900.06,909.04,895.58,LOSS,-4.943
2024-12-03,HDFCBANK.NS,ORB,LONG,901.89,910.89,897.4,LOSS,-4.934
2024-12-04,HDFCBANK.NS,ORB,LONG,909.47,918.54,904.93,WIN,-3.401
2024-12-05,HDFCBANK.NS,ORB,LONG,920.35,929.53,915.76,LOSS,-4.845
2024-12-06,HDFCBANK.NS,ORB,LONG,918.87,928.03,914.28,LOSS,-4.852
2024-12-09,HDFCBANK.NS,ORB,LONG,917.21,926.36,912.64,WIN,-3.364
2024-12-11,HDFCBANK.NS,ORB,LONG,921.19,930.38,916.6,LOSS,-4.841
2024-12-12,HDFCBANK.NS,ORB,LONG,915.9,925.03,911.33,PARTIAL,-4.222
2024-12-13,HDFCBANK.NS,ORB,LONG,921.59,930.78,916.99,LOSS,-4.839
2024-12-17,HDFCBANK.NS,ORB,LONG,918.55,927.71,913.96,LOSS,-4.853
2024-12-18,HDFCBANK.NS,ORB,LONG,905.43,914.46,900.92,LOSS,-4.916
2024-12-20,HDFCBANK.NS,ORB,LONG,881.86,890.65,877.46,LOSS,-5.035
2024-12-23,HDFCBANK.NS,ORB,LONG,881.76,890.55,877.36,WIN,-3.539
2024-12-24,HDFCBANK.NS,ORB,LONG,891.68,900.57,887.23,LOSS,-4.985
2024-12-26,HDFCBANK.NS,ORB,LONG,889.95,898.82,885.51,LOSS,-4.993
2024-12-27,HDFCBANK.NS,ORB,LONG,888.09,896.95,883.66,LOSS,-5.003
2024-12-30,HDFCBANK.NS,ORB,LONG,886.8,895.65,882.38,LOSS,-5.009
2024-12-31,HDFCBANK.NS,ORB,LONG,875.97,884.7,871.6,LOSS,-5.065
2025-01-01,HDFCBANK.NS,ORB,LONG,877.53,886.28,873.15,LOSS,-5.057
2025-01-02,HDFCBANK.NS,ORB,LONG,879.33,888.1,874.95,WIN,-3.552
2025-01-06,HDFCBANK.NS,ORB,LONG,861.02,869.61,856.73,LOSS,-5.144
2025-01-07,HDFCBANK.NS,ORB,LONG,848.6,857.07,844.37,LOSS,-5.212
2025-01-13,HDFCBANK.NS,ORB,LONG,811.49,819.59,807.45,LOSS,-5.428
2025-01-14,HDFCBANK.NS,ORB,LONG,811.44,819.54,807.4,PARTIAL,-4.821
2025-01-15,HDFCBANK.NS,ORB,LONG,819.66,827.83,815.57,LOSS,-5.379
