date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,HDFCBANK.NS,VWAP,LONG,829.63,837.43,827.14,WIN,-3.881
2024-07-25,HDFCBANK.NS,VWAP,LONG,786.66,795.02,784.31,WIN,-4.022
2024-08-02,HDFCBANK.NS,VWAP,LONG,805.43,815.75,803.01,WIN,-3.685
2024-09-18,HDFCBANK.NS,VWAP,LONG,825.6,832.88,822.76,WIN,-3.964
2024-09-25,HDFCBANK.NS,VWAP,LONG,869.21,876.03,866.6,WIN,-3.816
2024-10-14,HDFCBANK.NS,VWAP,LONG,817.8,827.84,814.34,WIN,-3.664
2024-10-16,HDFCBANK.NS,VWAP,LONG,829.68,836.67,827.19,WIN,-3.979
2024-10-23,HDFCBANK.NS,VWAP,LONG,842.0,853.03,839.47,WIN,-3.44
2024-10-24,HDFCBANK.NS,VWAP,LONG,858.32,864.38,855.74,WIN,-3.954
2024-10-29,HDFCBANK.NS,VWAP,LONG,852.42,861.84,849.34,WIN,-3.587
2024-11-05,HDFCBANK.NS,VWAP,LONG,840.98,858.14,835.95,WIN,-2.716
2024-11-14,HDFCBANK.NS,VWAP,LONG,826.22,833.68,823.25,WIN,-3.938
2024-12-23,HDFCBANK.NS,VWAP,LONG,880.0,886.07,877.01,WIN,-3.855
2025-01-20,HDFCBANK.NS,VWAP,LONG,802.96,812.06,800.55,WIN,-3.849
2025-01-28,HDFCBANK.NS,VWAP,LONG,813.33,822.5,810.89,WIN,-3.791
2025-02-17,HDFCBANK.NS,VWAP,LONG,832.19,841.72,827.75,WIN,-3.662
2025-02-27,HDFCBANK.NS,VWAP,LONG,830.89,837.68,828.4,WIN,-3.997
2025-02-28,HDFCBANK.NS,VWAP,LONG,832.1,847.65,829.6,WIN,-2.938
2025-03-12,HDFCBANK.NS,VWAP,LONG,835.33,842.15,832.83,WIN,-3.972
2025-03-27,HDFCBANK.NS,VWAP,LONG,888.88,898.6,885.29,WIN,-3.408
2025-04-02,HDFCBANK.NS,VWAP,LONG,874.42,882.54,871.8,WIN,-3.646
2025-04-11,HDFCBANK.NS,VWAP,LONG,876.42,888.14,873.79,WIN,-3.226
2025-04-22,HDFCBANK.NS,VWAP,LONG,955.55,964.84,952.69,WIN,-3.214
2025-05-12,HDFCBANK.NS,VWAP,LONG,946.96,958.61,941.51,WIN,-2.994
2025-06-04,HDFCBANK.NS,VWAP,LONG,948.64,954.66,945.75,WIN,-3.581
2025-06-06,HDFCBANK.NS,VWAP,LONG,960.0,973.13,956.48,WIN,-2.799
2025-06-20,HDFCBANK.NS,VWAP,LONG,953.87,964.66,951.01,WIN,-3.062
2025-06-26,HDFCBANK.NS,VWAP,LONG,978.46,991.42,974.84,WIN,-2.764
2025-07-08,HDFCBANK.NS,VWAP,LONG,987.03,994.76,984.07,WIN,-3.27
2025-07-15,HDFCBANK.NS,VWAP,LONG,985.04,992.88,982.08,WIN,-3.264
2025-10-03,HDFCBANK.NS,VWAP,LONG,952.95,961.3,950.1,WIN,-3.321
2025-10-20,HDFCBANK.NS,VWAP,LONG,998.0,1006.65,995.01,WIN,-3.141
2025-11-14,HDFCBANK.NS,VWAP,LONG,977.03,985.77,974.1,WIN,-3.199
2025-11-26,HDFCBANK.NS,VWAP,LONG,982.28,997.38,979.34,WIN,-2.535
2025-12-03,HDFCBANK.NS,VWAP,LONG,986.99,996.27,984.03,WIN,-3.112
2025-12-18,HDFCBANK.NS,VWAP,LONG,974.27,980.13,971.35,WIN,-3.504
2026-01-27,HDFCBANK.NS,VWAP,LONG,906.91,920.87,903.19,WIN,-2.871
2026-02-16,HDFCBANK.NS,VWAP,LONG,904.8,919.13,900.3,WIN,-2.837
2026-03-04,HDFCBANK.NS,VWAP,LONG,848.85,865.32,846.3,WIN,-2.772
2026-03-12,HDFCBANK.NS,VWAP,LONG,820.92,829.75,818.46,WIN,-3.797
2026-03-16,HDFCBANK.NS,VWAP,LONG,817.82,833.58,814.02,WIN,-2.963
2026-03-19,HDFCBANK.NS,VWAP,LONG,770.77,794.62,768.46,WIN,-2.096
2026-03-25,HDFCBANK.NS,VWAP,LONG,768.97,781.77,766.66,WIN,-3.537
2026-04-02,HDFCBANK.NS,VWAP,LONG,730.73,744.18,725.2,WIN,-3.633
2026-04-21,HDFCBANK.NS,VWAP,LONG,796.0,807.28,793.61,WIN,-3.607
2026-05-04,HDFCBANK.NS,VWAP,LONG,773.37,779.53,771.05,WIN,-4.376
2026-05-06,HDFCBANK.NS,VWAP,LONG,775.93,789.67,771.95,WIN,-3.384
