date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,ICICIBANK.NS,MOMENTUM,LONG,1209.75,1341.82,1143.72,PARTIAL,-4.094
2024-06-28,ICICIBANK.NS,MOMENTUM,LONG,1208.42,1316.64,1154.31,PARTIAL,-5.641
2024-07-01,ICICIBANK.NS,MOMENTUM,LONG,1181.43,1226.72,1158.79,PARTIAL,-2.465
2024-07-02,ICICIBANK.NS,MOMENTUM,LONG,1198.57,1266.14,1164.78,PARTIAL,-5.604
2024-07-05,ICICIBANK.NS,MOMENTUM,LONG,1206.45,1266.66,1176.35,PARTIAL,-2.73
2024-07-08,ICICIBANK.NS,MOMENTUM,LONG,1210.29,1264.77,1183.05,PARTIAL,-2.905
2024-07-09,ICICIBANK.NS,MOMENTUM,LONG,1216.25,1271.27,1188.74,PARTIAL,-2.313
2024-07-10,ICICIBANK.NS,MOMENTUM,LONG,1233.78,1309.58,1195.88,PARTIAL,-4.104
2024-07-22,ICICIBANK.NS,MOMENTUM,LONG,1221.22,1235.99,1213.84,LOSS,-3.88
2024-08-13,ICICIBANK.NS,MOMENTUM,LONG,1175.31,1204.36,1160.79,LOSS,-4.639
2024-08-19,ICICIBANK.NS,MOMENTUM,LONG,1183.06,1227.0,1161.1,PARTIAL,-4.748
2024-08-22,ICICIBANK.NS,MOMENTUM,LONG,1174.12,1197.22,1162.57,PARTIAL,-2.738
2024-08-26,ICICIBANK.NS,MOMENTUM,LONG,1197.52,1251.07,1170.74,PARTIAL,-2.798
2024-08-27,ICICIBANK.NS,MOMENTUM,LONG,1205.21,1262.3,1176.67,PARTIAL,-2.344
2024-08-28,ICICIBANK.NS,MOMENTUM,LONG,1214.5,1275.51,1184.0,PARTIAL,-3.295
2024-08-29,ICICIBANK.NS,MOMENTUM,LONG,1210.83,1253.75,1189.36,PARTIAL,-3.162
2024-08-30,ICICIBANK.NS,MOMENTUM,LONG,1221.8,1278.86,1193.27,PARTIAL,-3.439
2024-09-02,ICICIBANK.NS,MOMENTUM,LONG,1230.74,1296.54,1197.84,PARTIAL,-4.08
2024-09-04,ICICIBANK.NS,MOMENTUM,LONG,1231.59,1278.35,1208.21,PARTIAL,-3.63
2024-09-05,ICICIBANK.NS,MOMENTUM,LONG,1229.75,1266.84,1211.21,PARTIAL,-3.518
2024-09-13,ICICIBANK.NS,MOMENTUM,LONG,1243.66,1289.26,1220.86,PARTIAL,-3.448
2024-09-16,ICICIBANK.NS,MOMENTUM,LONG,1242.66,1279.8,1224.1,PARTIAL,-2.373
2024-09-17,ICICIBANK.NS,MOMENTUM,LONG,1251.55,1296.34,1229.16,PARTIAL,-2.65
2024-09-18,ICICIBANK.NS,MOMENTUM,LONG,1253.59,1292.26,1234.25,PARTIAL,-1.205
2024-09-19,ICICIBANK.NS,MOMENTUM,LONG,1279.76,1354.63,1242.33,PARTIAL,-2.942
2024-09-20,ICICIBANK.NS,MOMENTUM,LONG,1286.37,1360.07,1249.52,PARTIAL,0.142
2024-09-23,ICICIBANK.NS,MOMENTUM,LONG,1322.13,1437.47,1264.46,PARTIAL,-3.808
2024-09-24,ICICIBANK.NS,MOMENTUM,LONG,1312.2,1390.32,1273.13,PARTIAL,-3.33
2024-09-25,ICICIBANK.NS,MOMENTUM,LONG,1302.01,1347.2,1279.42,PARTIAL,-2.174
2024-09-26,ICICIBANK.NS,MOMENTUM,LONG,1311.2,1362.62,1285.49,PARTIAL,-2.466
2024-10-21,ICICIBANK.NS,MOMENTUM,LONG,1256.07,1299.21,1234.5,PARTIAL,-3.715
2024-10-23,ICICIBANK.NS,MOMENTUM,LONG,1252.6,1277.4,1240.19,LOSS,-4.184
2024-10-29,ICICIBANK.NS,MOMENTUM,LONG,1292.68,1382.06,1247.99,PARTIAL,-0.853
2024-10-30,ICICIBANK.NS,MOMENTUM,LONG,1315.18,1421.67,1261.93,PARTIAL,-4.035
2024-10-31,ICICIBANK.NS,MOMENTUM,LONG,1298.54,1357.25,1269.18,PARTIAL,-4.327
2024-11-01,ICICIBANK.NS,MOMENTUM,LONG,1281.35,1301.97,1271.05,PARTIAL,-3.078
2024-11-25,ICICIBANK.NS,MOMENTUM,LONG,1287.36,1360.99,1250.55,PARTIAL,-2.825
2024-11-26,ICICIBANK.NS,MOMENTUM,LONG,1301.87,1389.87,1257.86,PARTIAL,-3.603
2024-11-27,ICICIBANK.NS,MOMENTUM,LONG,1289.85,1340.53,1264.51,PARTIAL,-3.032
2024-11-28,ICICIBANK.NS,MOMENTUM,LONG,1292.38,1339.18,1268.98,PARTIAL,-4.324
2024-12-05,ICICIBANK.NS,MOMENTUM,LONG,1307.48,1353.36,1284.54,PARTIAL,-1.622
2024-12-06,ICICIBANK.NS,MOMENTUM,LONG,1333.55,1416.48,1292.09,PARTIAL,-4.123
2024-12-09,ICICIBANK.NS,MOMENTUM,LONG,1313.29,1346.68,1296.59,PARTIAL,-3.131
2024-12-10,ICICIBANK.NS,MOMENTUM,LONG,1310.21,1332.78,1298.92,PARTIAL,-2.286
2024-12-11,ICICIBANK.NS,MOMENTUM,LONG,1315.87,1342.82,1302.4,PARTIAL,-2.929
2024-12-16,ICICIBANK.NS,MOMENTUM,LONG,1335.94,1384.85,1311.48,PARTIAL,-3.005
2024-12-17,ICICIBANK.NS,MOMENTUM,LONG,1333.06,1368.09,1315.54,PARTIAL,-3.715
2025-01-28,ICICIBANK.NS,MOMENTUM,LONG,1239.04,1299.81,1208.65,PARTIAL,-3.364
2025-01-29,ICICIBANK.NS,MOMENTUM,LONG,1243.66,1303.67,1213.65,PARTIAL,-3.344
2025-01-30,ICICIBANK.NS,MOMENTUM,LONG,1241.67,1287.83,1218.59,PARTIAL,-2.874
2025-01-31,ICICIBANK.NS,MOMENTUM,LONG,1246.14,1291.78,1223.32,PARTIAL,-3.445
2025-02-01,ICICIBANK.NS,MOMENTUM,LONG,1242.81,1275.33,1226.55,LOSS,-4.527
2025-02-05,ICICIBANK.NS,MOMENTUM,LONG,1261.73,1312.63,1236.29,PARTIAL,-3.467
2025-02-06,ICICIBANK.NS,MOMENTUM,LONG,1266.5,1319.76,1239.87,PARTIAL,-3.462
2025-02-07,ICICIBANK.NS,MOMENTUM,LONG,1263.52,1303.22,1243.67,LOSS,-4.737
2025-02-20,ICICIBANK.NS,MOMENTUM,LONG,1246.98,1259.07,1240.94,LOSS,-3.693
2025-03-12,ICICIBANK.NS,MOMENTUM,LONG,1238.64,1294.62,1210.65,PARTIAL,-3.57
2025-03-13,ICICIBANK.NS,MOMENTUM,LONG,1242.71,1298.81,1214.67,PARTIAL,-3.399
2025-03-17,ICICIBANK.NS,MOMENTUM,LONG,1248.67,1307.85,1219.08,PARTIAL,-2.354
2025-03-18,ICICIBANK.NS,MOMENTUM,LONG,1260.54,1328.89,1226.37,PARTIAL,-3.273
2025-03-19,ICICIBANK.NS,MOMENTUM,LONG,1296.9,1426.3,1232.2,PARTIAL,-2.61
2025-03-20,ICICIBANK.NS,MOMENTUM,LONG,1311.2,1442.44,1245.58,PARTIAL,-3.022
2025-03-21,ICICIBANK.NS,MOMENTUM,LONG,1307.23,1405.7,1258.0,PARTIAL,-1.103
2025-03-24,ICICIBANK.NS,MOMENTUM,LONG,1346.91,1496.42,1272.16,PARTIAL,-2.908
2025-03-25,ICICIBANK.NS,MOMENTUM,LONG,1349.94,1476.89,1286.47,PARTIAL,-4.188
2025-03-26,ICICIBANK.NS,MOMENTUM,LONG,1335.09,1415.16,1295.06,PARTIAL,-3.702
2025-03-27,ICICIBANK.NS,MOMENTUM,LONG,1324.27,1372.02,1300.39,PARTIAL,-2.858
2025-04-16,ICICIBANK.NS,MOMENTUM,LONG,1347.96,1431.77,1306.05,PARTIAL,-3.112
2025-04-17,ICICIBANK.NS,MOMENTUM,LONG,1352.92,1432.3,1313.23,PARTIAL,0.222
2025-04-21,ICICIBANK.NS,MOMENTUM,LONG,1426.43,1621.42,1328.94,PARTIAL,-4.727
2025-04-22,ICICIBANK.NS,MOMENTUM,LONG,1403.38,1525.93,1342.11,PARTIAL,-2.689
2025-04-23,ICICIBANK.NS,MOMENTUM,LONG,1419.48,1550.48,1353.98,PARTIAL,-3.239
2025-04-24,ICICIBANK.NS,MOMENTUM,LONG,1406.86,1490.52,1365.03,PARTIAL,-3.902
2025-05-02,ICICIBANK.NS,MOMENTUM,LONG,1417.39,1466.28,1392.94,PARTIAL,-2.698
2025-05-05,ICICIBANK.NS,MOMENTUM,LONG,1430.4,1496.54,1397.33,PARTIAL,-3.632
2025-05-13,ICICIBANK.NS,MOMENTUM,LONG,1430.5,1474.1,1408.71,PARTIAL,-3.555
2025-05-16,ICICIBANK.NS,MOMENTUM,LONG,1443.61,1500.31,1415.27,PARTIAL,-2.823
2025-05-20,ICICIBANK.NS,MOMENTUM,LONG,1440.53,1476.29,1422.65,PARTIAL,-3.703
2025-05-27,ICICIBANK.NS,MOMENTUM,LONG,1442.82,1467.97,1430.24,LOSS,-3.644
2025-06-26,ICICIBANK.NS,MOMENTUM,LONG,1415.3,1428.43,1408.74,WIN,-1.899
2025-06-30,ICICIBANK.NS,MOMENTUM,LONG,1452.06,1518.71,1418.73,PARTIAL,-3.948
2025-07-01,ICICIBANK.NS,MOMENTUM,LONG,1436.06,1466.05,1421.07,LOSS,-3.829
