date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,ICICIBANK.NS,ORB,LONG,1212.17,1224.26,1206.12,LOSS,-3.799
2024-07-01,ICICIBANK.NS,ORB,LONG,1183.8,1195.6,1177.89,WIN,-2.382
2024-07-03,ICICIBANK.NS,ORB,LONG,1181.08,1192.86,1175.19,WIN,-2.389
2024-07-04,ICICIBANK.NS,ORB,LONG,1212.81,1224.91,1206.76,LOSS,-3.797
2024-07-05,ICICIBANK.NS,ORB,LONG,1208.86,1220.92,1202.83,WIN,-2.311
2024-07-08,ICICIBANK.NS,ORB,LONG,1212.71,1224.81,1206.66,LOSS,-3.797
2024-07-09,ICICIBANK.NS,ORB,LONG,1218.68,1230.84,1212.6,LOSS,-3.781
2024-07-11,ICICIBANK.NS,ORB,LONG,1229.93,1242.2,1223.8,LOSS,-3.751
2024-07-12,ICICIBANK.NS,ORB,LONG,1219.62,1231.78,1213.54,WIN,-2.282
2024-07-15,ICICIBANK.NS,ORB,LONG,1216.86,1228.99,1210.79,LOSS,-3.786
2024-07-16,ICICIBANK.NS,ORB,LONG,1213.8,1225.9,1207.74,PARTIAL,-2.792
2024-07-18,ICICIBANK.NS,ORB,LONG,1218.63,1230.79,1212.55,WIN,-2.285
2024-07-19,ICICIBANK.NS,ORB,LONG,1227.61,1239.86,1221.49,LOSS,-3.757
2024-07-22,ICICIBANK.NS,ORB,LONG,1223.67,1235.87,1217.56,LOSS,-3.768
2024-07-23,ICICIBANK.NS,ORB,LONG,1224.8,1237.02,1218.69,LOSS,-3.765
2024-07-24,ICICIBANK.NS,ORB,LONG,1208.86,1220.92,1202.83,LOSS,-3.808
2024-07-25,ICICIBANK.NS,ORB,LONG,1189.62,1201.48,1183.69,LOSS,-3.861
2024-07-26,ICICIBANK.NS,ORB,LONG,1174.32,1186.04,1168.47,WIN,-2.409
2024-07-29,ICICIBANK.NS,ORB,LONG,1199.14,1211.1,1193.16,WIN,-2.338
2024-07-30,ICICIBANK.NS,ORB,LONG,1197.02,1208.96,1191.05,WIN,-2.344
2024-07-31,ICICIBANK.NS,ORB,LONG,1202.94,1214.94,1196.94,LOSS,-3.824
2024-08-01,ICICIBANK.NS,ORB,LONG,1196.53,1208.46,1190.56,LOSS,-3.842
2024-08-02,ICICIBANK.NS,ORB,LONG,1181.23,1193.01,1175.34,LOSS,-3.885
2024-08-05,ICICIBANK.NS,ORB,LONG,1166.43,1178.06,1160.61,LOSS,-3.928
2024-08-06,ICICIBANK.NS,ORB,LONG,1159.52,1171.09,1153.74,LOSS,-3.948
2024-08-08,ICICIBANK.NS,ORB,LONG,1151.58,1163.06,1145.83,LOSS,-3.972
2024-08-09,ICICIBANK.NS,ORB,LONG,1161.05,1172.63,1155.26,LOSS,-3.944
2024-08-12,ICICIBANK.NS,ORB,LONG,1165.52,1177.15,1159.71,LOSS,-3.931
2024-08-13,ICICIBANK.NS,ORB,LONG,1177.66,1189.41,1171.79,LOSS,-3.895
2024-08-16,ICICIBANK.NS,ORB,LONG,1164.53,1176.14,1158.72,WIN,-2.437
2024-08-19,ICICIBANK.NS,ORB,LONG,1185.43,1197.25,1179.52,LOSS,-3.873
2024-08-20,ICICIBANK.NS,ORB,LONG,1168.71,1180.36,1162.88,WIN,-2.425
2024-08-22,ICICIBANK.NS,ORB,LONG,1176.47,1188.2,1170.6,LOSS,-3.899
2024-08-23,ICICIBANK.NS,ORB,LONG,1187.42,1199.26,1181.5,LOSS,-3.867
2024-08-26,ICICIBANK.NS,ORB,LONG,1199.91,1211.88,1193.93,LOSS,-3.832
2024-08-27,ICICIBANK.NS,ORB,LONG,1207.62,1219.67,1201.6,WIN,-2.315
2024-08-28,ICICIBANK.NS,ORB,LONG,1216.93,1229.07,1210.86,LOSS,-3.786
2024-08-29,ICICIBANK.NS,ORB,LONG,1213.25,1225.35,1207.2,WIN,-2.3
2024-08-30,ICICIBANK.NS,ORB,LONG,1224.25,1236.46,1218.14,LOSS,-3.766
2024-09-03,ICICIBANK.NS,ORB,LONG,1221.46,1233.64,1215.37,WIN,-2.277
2024-09-04,ICICIBANK.NS,ORB,LONG,1234.05,1246.36,1227.9,LOSS,-3.74
2024-09-05,ICICIBANK.NS,ORB,LONG,1232.21,1244.5,1226.06,LOSS,-3.745
2024-09-06,ICICIBANK.NS,ORB,LONG,1220.21,1232.39,1214.13,LOSS,-3.777
2024-09-09,ICICIBANK.NS,ORB,LONG,1197.27,1209.21,1191.3,WIN,-2.344
2024-09-10,ICICIBANK.NS,ORB,LONG,1231.16,1243.44,1225.02,LOSS,-3.748
2024-09-11,ICICIBANK.NS,ORB,LONG,1225.74,1237.96,1219.63,LOSS,-3.762
2024-09-12,ICICIBANK.NS,ORB,LONG,1232.21,1244.5,1226.06,WIN,-2.249
2024-09-13,ICICIBANK.NS,ORB,LONG,1246.14,1258.57,1239.93,LOSS,-3.709
2024-09-16,ICICIBANK.NS,ORB,LONG,1245.15,1257.57,1238.94,LOSS,-3.711
2024-09-17,ICICIBANK.NS,ORB,LONG,1254.06,1266.56,1247.8,PARTIAL,-2.844
2024-09-18,ICICIBANK.NS,ORB,LONG,1256.1,1268.62,1249.83,WIN,-2.187
2024-09-19,ICICIBANK.NS,ORB,LONG,1282.32,1295.11,1275.93,LOSS,-3.618
2024-09-20,ICICIBANK.NS,ORB,LONG,1288.94,1301.8,1282.51,WIN,-2.106
2024-09-24,ICICIBANK.NS,ORB,LONG,1314.82,1327.93,1308.26,LOSS,-3.541
2024-09-25,ICICIBANK.NS,ORB,LONG,1304.62,1317.63,1298.11,PARTIAL,-2.369
2024-09-26,ICICIBANK.NS,ORB,LONG,1313.83,1326.93,1307.27,LOSS,-3.543
2024-09-30,ICICIBANK.NS,ORB,LONG,1286.06,1298.88,1279.64,LOSS,-3.609
2024-10-01,ICICIBANK.NS,ORB,LONG,1263.86,1276.47,1257.56,PARTIAL,-3.103
2024-10-03,ICICIBANK.NS,ORB,LONG,1247.74,1260.18,1241.51,LOSS,-3.705
2024-10-04,ICICIBANK.NS,ORB,LONG,1241.27,1253.65,1235.08,WIN,-2.225
2024-10-07,ICICIBANK.NS,ORB,LONG,1235.74,1248.07,1229.58,WIN,-2.24
2024-10-08,ICICIBANK.NS,ORB,LONG,1235.19,1247.51,1229.03,LOSS,-3.737
2024-10-09,ICICIBANK.NS,ORB,LONG,1237.24,1249.58,1231.06,WIN,-2.236
2024-10-10,ICICIBANK.NS,ORB,LONG,1240.92,1253.29,1234.73,LOSS,-3.722
2024-10-11,ICICIBANK.NS,ORB,LONG,1231.21,1243.49,1225.07,LOSS,-3.748
2024-10-14,ICICIBANK.NS,ORB,LONG,1215.29,1227.41,1209.23,WIN,-2.294
2024-10-15,ICICIBANK.NS,ORB,LONG,1233.15,1245.45,1227.0,WIN,-2.246
2024-10-16,ICICIBANK.NS,ORB,LONG,1242.66,1255.05,1236.46,LOSS,-3.718
2024-10-17,ICICIBANK.NS,ORB,LONG,1243.61,1256.01,1237.4,LOSS,-3.715
2024-10-18,ICICIBANK.NS,ORB,LONG,1222.21,1234.4,1216.11,WIN,-2.275
2024-10-21,ICICIBANK.NS,ORB,LONG,1258.58,1271.14,1252.31,LOSS,-3.677
2024-10-22,ICICIBANK.NS,ORB,LONG,1260.67,1273.25,1254.39,WIN,-2.175
2024-10-23,ICICIBANK.NS,ORB,LONG,1255.1,1267.62,1248.84,LOSS,-3.686
2024-10-24,ICICIBANK.NS,ORB,LONG,1244.4,1256.81,1238.2,LOSS,-3.713
2024-10-25,ICICIBANK.NS,ORB,LONG,1241.42,1253.8,1235.22,WIN,-2.225
2024-10-28,ICICIBANK.NS,ORB,LONG,1279.49,1292.25,1273.11,WIN,-2.129
2024-10-29,ICICIBANK.NS,ORB,LONG,1295.26,1308.18,1288.8,WIN,-2.091
