date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-09-09,ICICIBANK.NS,VWAP,LONG,1194.88,1215.21,1188.88,WIN,-1.647
2024-09-18,ICICIBANK.NS,VWAP,LONG,1253.59,1272.08,1249.83,WIN,-1.715
2024-09-20,ICICIBANK.NS,VWAP,LONG,1286.37,1320.59,1279.1,WIN,-0.449
2024-10-18,ICICIBANK.NS,VWAP,LONG,1219.77,1243.29,1213.44,WIN,-1.351
2024-10-29,ICICIBANK.NS,VWAP,LONG,1292.68,1312.03,1286.72,WIN,-1.598
2024-11-22,ICICIBANK.NS,VWAP,LONG,1249.62,1262.08,1243.89,WIN,-2.204
2024-11-29,ICICIBANK.NS,VWAP,LONG,1274.55,1285.56,1270.73,WIN,-2.274
2025-01-07,ICICIBANK.NS,VWAP,LONG,1258.06,1268.45,1254.29,WIN,-2.354
2025-01-27,ICICIBANK.NS,VWAP,LONG,1187.04,1209.24,1181.6,WIN,-1.5
2025-03-11,ICICIBANK.NS,VWAP,LONG,1209.09,1227.4,1205.46,WIN,-1.794
2025-03-21,ICICIBANK.NS,VWAP,LONG,1307.23,1324.35,1298.95,WIN,-1.75
2025-04-17,ICICIBANK.NS,VWAP,LONG,1352.92,1381.24,1346.99,WIN,-0.863
2025-04-28,ICICIBANK.NS,VWAP,LONG,1396.23,1411.64,1390.27,WIN,-1.761
2025-05-12,ICICIBANK.NS,VWAP,LONG,1400.01,1424.18,1390.46,WIN,-1.131
2025-06-13,ICICIBANK.NS,VWAP,LONG,1394.25,1402.91,1390.07,WIN,-2.248
2025-06-20,ICICIBANK.NS,VWAP,LONG,1401.89,1412.63,1396.6,WIN,-2.087
2025-06-27,ICICIBANK.NS,VWAP,LONG,1429.31,1443.96,1423.24,WIN,-1.774
2025-08-14,ICICIBANK.NS,VWAP,LONG,1413.41,1423.47,1409.18,WIN,-2.119
2025-10-01,ICICIBANK.NS,VWAP,LONG,1349.35,1366.17,1344.41,WIN,-1.718
2025-10-07,ICICIBANK.NS,VWAP,LONG,1364.96,1374.2,1360.87,WIN,-2.254
2025-10-17,ICICIBANK.NS,VWAP,LONG,1413.41,1429.03,1408.08,WIN,-1.725
2025-11-07,ICICIBANK.NS,VWAP,LONG,1321.72,1335.3,1315.96,WIN,-1.999
2025-11-13,ICICIBANK.NS,VWAP,LONG,1360.26,1378.27,1355.78,WIN,-1.617
2025-11-26,ICICIBANK.NS,VWAP,LONG,1361.36,1370.63,1357.18,WIN,-2.257
2025-12-03,ICICIBANK.NS,VWAP,LONG,1368.37,1384.23,1364.27,WIN,-1.764
2026-01-06,ICICIBANK.NS,VWAP,LONG,1373.37,1396.93,1363.27,WIN,-1.197
2026-02-02,ICICIBANK.NS,VWAP,LONG,1331.23,1345.43,1326.44,WIN,-1.938
2026-02-04,ICICIBANK.NS,VWAP,LONG,1388.39,1403.1,1384.13,WIN,-1.821
2026-02-12,ICICIBANK.NS,VWAP,LONG,1407.51,1422.77,1402.49,WIN,-1.758
2026-03-02,ICICIBANK.NS,VWAP,LONG,1356.35,1369.4,1352.29,WIN,-1.987
2026-03-04,ICICIBANK.NS,VWAP,LONG,1327.33,1355.8,1323.35,WIN,-0.868
2026-03-10,ICICIBANK.NS,VWAP,LONG,1288.89,1304.17,1283.03,WIN,-1.918
2026-04-10,ICICIBANK.NS,VWAP,LONG,1290.29,1311.47,1285.92,WIN,-1.459
2026-04-13,ICICIBANK.NS,VWAP,LONG,1306.2,1334.93,1294.11,WIN,-0.863
