date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,INFY.NS,MOMENTUM,LONG,1478.88,1527.95,1454.35,PARTIAL,-0.538
2024-06-28,INFY.NS,MOMENTUM,LONG,1511.66,1605.46,1464.77,PARTIAL,-3.114
2024-07-01,INFY.NS,MOMENTUM,LONG,1499.12,1553.69,1471.83,PARTIAL,-0.763
2024-07-02,INFY.NS,MOMENTUM,LONG,1534.4,1639.01,1482.09,PARTIAL,-1.152
2024-07-03,INFY.NS,MOMENTUM,LONG,1562.08,1694.06,1496.09,PARTIAL,-2.513
2024-07-04,INFY.NS,MOMENTUM,LONG,1565.16,1678.46,1508.51,PARTIAL,-1.278
2024-07-05,INFY.NS,MOMENTUM,LONG,1587.51,1716.75,1522.89,PARTIAL,-2.862
2024-07-08,INFY.NS,MOMENTUM,LONG,1579.48,1670.88,1533.78,PARTIAL,-1.505
2024-07-09,INFY.NS,MOMENTUM,LONG,1595.63,1696.47,1545.22,PARTIAL,-2.772
2024-07-10,INFY.NS,MOMENTUM,LONG,1592.84,1671.54,1553.5,PARTIAL,-3.139
2024-07-15,INFY.NS,MOMENTUM,LONG,1659.37,1821.4,1578.35,PARTIAL,-3.619
2024-07-16,INFY.NS,MOMENTUM,LONG,1652.06,1777.06,1589.56,PARTIAL,-2.088
2024-07-18,INFY.NS,MOMENTUM,LONG,1652.44,1753.0,1602.17,PARTIAL,-0.251
2024-07-19,INFY.NS,MOMENTUM,LONG,1772.6,2081.05,1618.38,PARTIAL,-5.122
2024-07-22,INFY.NS,MOMENTUM,LONG,1730.45,1915.29,1638.03,PARTIAL,-1.818
2024-07-23,INFY.NS,MOMENTUM,LONG,1739.92,1905.4,1657.18,PARTIAL,-0.914
2024-07-24,INFY.NS,MOMENTUM,LONG,1766.36,1944.08,1677.49,PARTIAL,-2.557
2024-07-25,INFY.NS,MOMENTUM,LONG,1749.53,1862.25,1693.17,PARTIAL,-2.12
2024-07-26,INFY.NS,MOMENTUM,LONG,1754.68,1856.08,1703.98,PARTIAL,0.551
2024-07-29,INFY.NS,MOMENTUM,LONG,1820.28,2014.92,1722.97,PARTIAL,-3.484
2024-07-30,INFY.NS,MOMENTUM,LONG,1798.66,1922.63,1736.67,PARTIAL,-2.001
2024-07-31,INFY.NS,MOMENTUM,LONG,1804.33,1915.41,1748.79,PARTIAL,-2.782
2024-08-01,INFY.NS,MOMENTUM,LONG,1784.24,1839.15,1756.78,PARTIAL,-2.53
2024-08-13,INFY.NS,MOMENTUM,LONG,1739.92,1794.66,1712.55,PARTIAL,-3.092
2024-08-16,INFY.NS,MOMENTUM,LONG,1778.37,1894.08,1720.52,PARTIAL,-1.866
2024-08-19,INFY.NS,MOMENTUM,LONG,1787.99,1899.19,1732.38,PARTIAL,-2.079
2024-08-20,INFY.NS,MOMENTUM,LONG,1807.21,1935.65,1742.99,PARTIAL,-2.728
2024-08-21,INFY.NS,MOMENTUM,LONG,1802.5,1901.71,1752.9,PARTIAL,-2.447
2024-08-22,INFY.NS,MOMENTUM,LONG,1811.06,1911.33,1760.92,PARTIAL,-2.507
2024-08-23,INFY.NS,MOMENTUM,LONG,1805.48,1878.88,1768.78,PARTIAL,-3.172
2024-08-28,INFY.NS,MOMENTUM,LONG,1833.07,1929.06,1785.08,PARTIAL,-0.595
2024-08-29,INFY.NS,MOMENTUM,LONG,1858.16,1975.73,1799.38,PARTIAL,-2.234
2024-08-30,INFY.NS,MOMENTUM,LONG,1862.97,1969.47,1809.71,PARTIAL,-1.953
2024-09-02,INFY.NS,MOMENTUM,LONG,1868.11,1964.39,1819.97,PARTIAL,-1.154
2024-09-03,INFY.NS,MOMENTUM,LONG,1890.84,2008.22,1832.15,PARTIAL,-3.523
2024-09-13,INFY.NS,MOMENTUM,LONG,1874.93,1947.74,1838.53,PARTIAL,-2.559
2024-09-16,INFY.NS,MOMENTUM,LONG,1870.42,1925.06,1843.09,PARTIAL,-2.007
2024-09-17,INFY.NS,MOMENTUM,LONG,1872.34,1921.16,1847.93,PARTIAL,-1.99
2024-09-18,INFY.NS,MOMENTUM,LONG,1863.69,1886.6,1852.23,LOSS,-2.761
2024-10-08,INFY.NS,MOMENTUM,LONG,1862.87,1932.53,1828.04,PARTIAL,-1.698
