date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,INFY.NS,ORB,LONG,1481.84,1496.62,1474.45,WIN,-1.702
2024-06-28,INFY.NS,ORB,LONG,1514.69,1529.8,1507.13,LOSS,-3.14
2024-07-01,INFY.NS,ORB,LONG,1502.12,1517.1,1494.63,WIN,-1.666
2024-07-02,INFY.NS,ORB,LONG,1537.47,1552.8,1529.8,WIN,-1.604
2024-07-03,INFY.NS,ORB,LONG,1565.21,1580.82,1557.4,LOSS,-3.054
2024-07-04,INFY.NS,ORB,LONG,1568.29,1583.93,1560.47,WIN,-1.553
2024-07-05,INFY.NS,ORB,LONG,1590.68,1606.55,1582.75,LOSS,-3.013
2024-07-08,INFY.NS,ORB,LONG,1582.64,1598.43,1574.75,WIN,-1.53
2024-07-09,INFY.NS,ORB,LONG,1598.82,1614.77,1590.85,LOSS,-3.001
2024-07-10,INFY.NS,ORB,LONG,1596.03,1611.95,1588.07,LOSS,-3.005
2024-07-11,INFY.NS,ORB,LONG,1595.07,1610.98,1587.11,LOSS,-3.006
2024-07-12,INFY.NS,ORB,LONG,1618.18,1634.32,1610.11,WIN,-1.475
2024-07-16,INFY.NS,ORB,LONG,1655.36,1671.87,1647.11,LOSS,-2.915
2024-07-18,INFY.NS,ORB,LONG,1655.75,1672.26,1647.49,WIN,-1.418
2024-07-22,INFY.NS,ORB,LONG,1733.91,1751.21,1725.27,LOSS,-2.806
2024-07-23,INFY.NS,ORB,LONG,1743.4,1760.79,1734.71,WIN,-1.297
2024-07-25,INFY.NS,ORB,LONG,1753.03,1770.52,1744.29,LOSS,-2.78
2024-07-26,INFY.NS,ORB,LONG,1758.19,1775.72,1749.42,WIN,-1.278
2024-07-29,INFY.NS,ORB,LONG,1823.92,1842.12,1814.83,LOSS,-2.692
2024-07-30,INFY.NS,ORB,LONG,1802.25,1820.23,1793.26,LOSS,-2.718
2024-07-31,INFY.NS,ORB,LONG,1807.94,1825.97,1798.92,LOSS,-2.711
2024-08-01,INFY.NS,ORB,LONG,1787.8,1805.64,1778.89,LOSS,-2.736
2024-08-02,INFY.NS,ORB,LONG,1775.19,1792.89,1766.33,LOSS,-2.752
2024-08-05,INFY.NS,ORB,LONG,1719.27,1736.42,1710.7,LOSS,-2.825
2024-08-06,INFY.NS,ORB,LONG,1695.43,1712.34,1686.98,WIN,-1.362
2024-08-09,INFY.NS,ORB,LONG,1706.08,1723.09,1697.57,LOSS,-2.843
2024-08-12,INFY.NS,ORB,LONG,1707.81,1724.84,1699.29,WIN,-1.345
2024-08-14,INFY.NS,ORB,LONG,1735.7,1753.01,1727.04,LOSS,-2.803
2024-08-16,INFY.NS,ORB,LONG,1781.93,1799.7,1773.04,LOSS,-2.743
2024-08-19,INFY.NS,ORB,LONG,1791.56,1809.43,1782.63,LOSS,-2.731
2024-08-20,INFY.NS,ORB,LONG,1810.83,1828.89,1801.79,LOSS,-2.708
2024-08-22,INFY.NS,ORB,LONG,1814.68,1832.78,1805.63,LOSS,-2.703
2024-08-26,INFY.NS,ORB,LONG,1801.19,1819.16,1792.21,LOSS,-2.719
2024-08-27,INFY.NS,ORB,LONG,1807.12,1825.14,1798.1,WIN,-1.216
2024-08-28,INFY.NS,ORB,LONG,1836.74,1855.06,1827.58,WIN,-1.18
2024-08-29,INFY.NS,ORB,LONG,1861.87,1880.45,1852.59,LOSS,-2.647
2024-08-30,INFY.NS,ORB,LONG,1866.69,1885.31,1857.38,LOSS,-2.642
2024-09-02,INFY.NS,ORB,LONG,1871.84,1890.51,1862.51,WIN,-1.14
2024-09-04,INFY.NS,ORB,LONG,1850.41,1868.87,1841.18,LOSS,-2.66
2024-09-05,INFY.NS,ORB,LONG,1855.37,1873.88,1846.12,LOSS,-2.655
2024-09-06,INFY.NS,ORB,LONG,1851.28,1869.74,1842.05,LOSS,-2.659
2024-09-09,INFY.NS,ORB,LONG,1820.46,1838.61,1811.38,WIN,-1.2
2024-09-10,INFY.NS,ORB,LONG,1834.81,1853.11,1825.66,WIN,-1.183
2024-09-11,INFY.NS,ORB,LONG,1844.25,1862.64,1835.05,LOSS,-2.668
2024-09-12,INFY.NS,ORB,LONG,1854.17,1872.66,1844.92,WIN,-1.16
2024-09-13,INFY.NS,ORB,LONG,1878.68,1897.42,1869.31,LOSS,-2.628
2024-09-16,INFY.NS,ORB,LONG,1874.16,1892.85,1864.81,LOSS,-2.633
2024-09-17,INFY.NS,ORB,LONG,1876.08,1894.79,1866.73,LOSS,-2.631
2024-09-19,INFY.NS,ORB,LONG,1840.3,1858.65,1831.12,LOSS,-2.672
2024-09-20,INFY.NS,ORB,LONG,1834.91,1853.21,1825.75,LOSS,-2.679
2024-09-23,INFY.NS,ORB,LONG,1838.76,1857.1,1829.59,LOSS,-2.674
2024-09-24,INFY.NS,ORB,LONG,1818.53,1836.67,1809.46,LOSS,-2.698
2024-09-25,INFY.NS,ORB,LONG,1816.94,1835.06,1807.88,LOSS,-2.7
2024-09-26,INFY.NS,ORB,LONG,1827.97,1846.2,1818.85,LOSS,-2.687
2024-09-27,INFY.NS,ORB,LONG,1861.01,1879.57,1851.73,WIN,-1.152
2024-09-30,INFY.NS,ORB,LONG,1810.83,1828.89,1801.79,LOSS,-2.708
2024-10-01,INFY.NS,ORB,LONG,1806.01,1824.02,1797.0,WIN,-1.217
2024-10-03,INFY.NS,ORB,LONG,1819.98,1838.13,1810.9,LOSS,-2.697
2024-10-04,INFY.NS,ORB,LONG,1820.02,1838.18,1810.95,WIN,-1.2
2024-10-07,INFY.NS,ORB,LONG,1852.44,1870.91,1843.2,LOSS,-2.658
2024-10-08,INFY.NS,ORB,LONG,1866.59,1885.21,1857.29,LOSS,-2.642
2024-10-09,INFY.NS,ORB,LONG,1880.71,1899.46,1871.33,LOSS,-2.626
2024-10-10,INFY.NS,ORB,LONG,1885.86,1904.67,1876.45,LOSS,-2.62
2024-10-11,INFY.NS,ORB,LONG,1847.43,1865.85,1838.21,WIN,-1.168
2024-10-14,INFY.NS,ORB,LONG,1861.06,1879.62,1851.78,WIN,-1.152
2024-10-15,INFY.NS,ORB,LONG,1887.88,1906.71,1878.47,WIN,-1.121
2024-10-17,INFY.NS,ORB,LONG,1863.99,1882.59,1854.7,WIN,-1.149
2024-10-18,INFY.NS,ORB,LONG,1824.12,1842.31,1815.02,WIN,-1.195
2024-10-21,INFY.NS,ORB,LONG,1821.52,1839.68,1812.43,LOSS,-2.695
