date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,INFY.NS,VWAP,LONG,1499.12,1520.57,1494.63,WIN,-1.237
2024-07-04,INFY.NS,VWAP,LONG,1565.16,1580.9,1560.28,WIN,-1.55
2024-07-18,INFY.NS,VWAP,LONG,1652.44,1678.15,1647.49,WIN,-0.865
2024-07-26,INFY.NS,VWAP,LONG,1754.68,1788.52,1749.42,WIN,-0.351
2024-09-02,INFY.NS,VWAP,LONG,1868.11,1883.21,1861.98,WIN,-1.333
2024-10-01,INFY.NS,VWAP,LONG,1802.4,1820.87,1797.0,WIN,-1.195
2024-10-04,INFY.NS,VWAP,LONG,1816.39,1843.26,1807.54,WIN,-0.723
2024-10-14,INFY.NS,VWAP,LONG,1857.34,1875.67,1850.77,WIN,-1.167
2024-10-23,INFY.NS,VWAP,LONG,1773.81,1793.69,1767.29,WIN,-1.134
2024-11-04,INFY.NS,VWAP,LONG,1676.61,1699.26,1665.28,WIN,-1.035
2024-11-06,INFY.NS,VWAP,LONG,1715.01,1752.65,1708.56,WIN,-0.138
2025-01-02,INFY.NS,VWAP,LONG,1834.59,1879.64,1827.45,WIN,0.275
2025-01-22,INFY.NS,VWAP,LONG,1757.2,1789.51,1749.76,WIN,-0.438
2025-01-29,INFY.NS,VWAP,LONG,1793.76,1816.38,1784.02,WIN,-0.969
2025-02-03,INFY.NS,VWAP,LONG,1785.01,1804.03,1776.17,WIN,-1.175
2025-02-20,INFY.NS,VWAP,LONG,1755.41,1768.24,1750.14,WIN,-1.548
2025-02-25,INFY.NS,VWAP,LONG,1696.68,1713.07,1691.6,WIN,-1.392
2025-03-03,INFY.NS,VWAP,LONG,1645.3,1660.69,1640.37,WIN,-1.496
2025-03-05,INFY.NS,VWAP,LONG,1645.45,1663.08,1640.52,WIN,-1.359
2025-03-17,INFY.NS,VWAP,LONG,1502.24,1531.09,1497.74,WIN,-0.742
2025-03-20,INFY.NS,VWAP,LONG,1547.79,1566.78,1543.15,WIN,-1.357
2025-03-25,INFY.NS,VWAP,LONG,1560.43,1576.54,1555.75,WIN,-1.53
2025-04-02,INFY.NS,VWAP,LONG,1492.56,1502.53,1488.09,WIN,-2.012
2025-04-21,INFY.NS,VWAP,LONG,1370.84,1402.75,1366.73,WIN,-0.59
2025-05-12,INFY.NS,VWAP,LONG,1494.31,1551.06,1484.99,WIN,1.121
2025-05-23,INFY.NS,VWAP,LONG,1506.95,1522.28,1502.44,WIN,-1.637
2025-06-11,INFY.NS,VWAP,LONG,1567.69,1594.19,1562.99,WIN,-0.861
2025-06-16,INFY.NS,VWAP,LONG,1577.45,1594.16,1569.87,WIN,-1.476
2025-06-18,INFY.NS,VWAP,LONG,1598.16,1608.25,1593.37,WIN,-1.871
2025-07-15,INFY.NS,VWAP,LONG,1543.04,1560.51,1537.34,WIN,-1.46
2025-07-16,INFY.NS,VWAP,LONG,1556.75,1575.35,1551.59,WIN,-1.374
2025-08-14,INFY.NS,VWAP,LONG,1406.1,1426.13,1401.89,WIN,-1.42
2025-08-20,INFY.NS,VWAP,LONG,1420.4,1456.34,1416.14,WIN,-0.286
2025-08-25,INFY.NS,VWAP,LONG,1485.47,1502.93,1481.01,WIN,-1.517
2025-09-01,INFY.NS,VWAP,LONG,1455.89,1470.49,1451.03,WIN,-1.745
2025-09-10,INFY.NS,VWAP,LONG,1488.82,1502.6,1483.57,WIN,-1.761
2025-09-22,INFY.NS,VWAP,LONG,1461.8,1476.14,1456.74,WIN,-1.756
2025-10-06,INFY.NS,VWAP,LONG,1426.21,1443.6,1417.71,WIN,-1.586
2025-10-08,INFY.NS,VWAP,LONG,1436.47,1460.31,1430.2,WIN,-1.125
2025-11-10,INFY.NS,VWAP,LONG,1491.59,1507.83,1487.02,WIN,-1.593
2025-11-19,INFY.NS,VWAP,LONG,1491.99,1524.87,1487.52,WIN,-0.477
2025-11-26,INFY.NS,VWAP,LONG,1533.63,1550.1,1529.04,WIN,-1.534
2025-12-03,INFY.NS,VWAP,LONG,1556.66,1572.93,1550.99,WIN,-1.524
2025-12-04,INFY.NS,VWAP,LONG,1569.57,1588.2,1564.86,WIN,-1.361
2025-12-15,INFY.NS,VWAP,LONG,1586.58,1600.87,1581.83,WIN,-1.621
2025-12-22,INFY.NS,VWAP,LONG,1665.66,1682.27,1660.67,WIN,-1.405
2026-01-07,INFY.NS,VWAP,LONG,1616.61,1632.0,1611.77,WIN,-1.523
2026-02-13,INFY.NS,VWAP,LONG,1295.19,1342.63,1278.94,WIN,0.574
2026-02-17,INFY.NS,VWAP,LONG,1371.37,1396.4,1364.27,WIN,-1.092
2026-02-25,INFY.NS,VWAP,LONG,1287.49,1299.97,1283.63,WIN,-2.137
2026-03-04,INFY.NS,VWAP,LONG,1293.29,1305.47,1289.42,WIN,-2.152
2026-03-06,INFY.NS,VWAP,LONG,1304.3,1312.87,1300.39,WIN,-2.41
2026-03-18,INFY.NS,VWAP,LONG,1239.24,1264.27,1232.43,WIN,-1.208
2026-04-02,INFY.NS,VWAP,LONG,1261.26,1288.67,1257.28,WIN,-0.998
2026-04-27,INFY.NS,VWAP,LONG,1155.75,1168.23,1152.19,WIN,-2.381
2026-05-08,INFY.NS,VWAP,LONG,1162.16,1173.83,1156.48,WIN,-2.437
