date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,ITC.NS,MOMENTUM,LONG,388.31,392.19,386.38,LOSS,-10.8
2024-07-02,ITC.NS,MOMENTUM,LONG,392.42,403.12,387.07,LOSS,-11.556
2024-07-08,ITC.NS,MOMENTUM,LONG,397.12,412.93,389.21,PARTIAL,-8.232
2024-07-09,ITC.NS,MOMENTUM,LONG,408.48,441.42,392.01,PARTIAL,-8.776
2024-07-10,ITC.NS,MOMENTUM,LONG,414.05,450.37,395.89,PARTIAL,-10.256
2024-07-11,ITC.NS,MOMENTUM,LONG,410.67,434.45,398.78,PARTIAL,-7.92
2024-07-12,ITC.NS,MOMENTUM,LONG,418.57,450.89,402.41,PARTIAL,-9.569
2024-07-15,ITC.NS,MOMENTUM,LONG,418.93,446.04,405.38,PARTIAL,-8.701
2024-07-16,ITC.NS,MOMENTUM,LONG,422.95,451.75,408.54,PARTIAL,-9.105
2024-07-18,ITC.NS,MOMENTUM,LONG,422.54,444.67,411.47,PARTIAL,-8.002
2024-07-19,ITC.NS,MOMENTUM,LONG,429.84,460.19,414.66,PARTIAL,-8.653
2024-07-22,ITC.NS,MOMENTUM,LONG,433.12,463.37,418.0,PARTIAL,-11.03
2024-07-24,ITC.NS,MOMENTUM,LONG,452.65,508.26,424.85,PARTIAL,-9.329
2024-07-25,ITC.NS,MOMENTUM,LONG,447.18,482.14,429.69,PARTIAL,-9.055
2024-07-26,ITC.NS,MOMENTUM,LONG,450.87,486.97,432.82,PARTIAL,-7.324
2024-07-29,ITC.NS,MOMENTUM,LONG,461.32,508.86,437.56,PARTIAL,-10.638
2024-08-01,ITC.NS,MOMENTUM,LONG,452.61,471.74,443.04,PARTIAL,-9.391
2024-08-09,ITC.NS,MOMENTUM,LONG,454.48,472.69,445.37,PARTIAL,-9.322
2024-08-12,ITC.NS,MOMENTUM,LONG,449.0,454.11,446.45,WIN,-7.772
2024-08-13,ITC.NS,MOMENTUM,LONG,452.61,463.67,447.07,LOSS,-10.06
2024-08-19,ITC.NS,MOMENTUM,LONG,460.64,484.17,448.87,PARTIAL,-9.437
2024-08-20,ITC.NS,MOMENTUM,LONG,457.22,471.13,450.26,PARTIAL,-9.287
2024-08-21,ITC.NS,MOMENTUM,LONG,456.3,467.14,450.88,PARTIAL,-7.787
2024-08-22,ITC.NS,MOMENTUM,LONG,463.47,485.23,452.58,PARTIAL,-9.38
2024-08-27,ITC.NS,MOMENTUM,LONG,463.19,477.74,455.92,LOSS,-10.206
2024-09-03,ITC.NS,MOMENTUM,LONG,465.48,481.54,457.44,PARTIAL,-8.821
2024-09-06,ITC.NS,MOMENTUM,LONG,467.25,481.67,460.05,LOSS,-10.103
2024-09-11,ITC.NS,MOMENTUM,LONG,468.17,481.08,461.71,PARTIAL,-8.381
2024-09-13,ITC.NS,MOMENTUM,LONG,474.1,492.82,464.74,PARTIAL,-9.623
2024-09-24,ITC.NS,MOMENTUM,LONG,471.82,484.75,465.35,PARTIAL,-8.916
2024-09-25,ITC.NS,MOMENTUM,LONG,470.45,479.45,465.95,PARTIAL,-8.205
2024-09-26,ITC.NS,MOMENTUM,LONG,472.41,483.54,466.84,PARTIAL,-7.583
2024-09-27,ITC.NS,MOMENTUM,LONG,474.78,487.34,468.51,PARTIAL,-8.054
2024-09-30,ITC.NS,MOMENTUM,LONG,475.1,485.65,469.83,LOSS,-9.529
2024-10-30,ITC.NS,MOMENTUM,LONG,445.31,453.99,440.97,PARTIAL,-8.345
2024-10-31,ITC.NS,MOMENTUM,LONG,449.0,462.74,442.13,LOSS,-10.439
2024-11-01,ITC.NS,MOMENTUM,LONG,448.09,459.14,442.57,PARTIAL,-9.169
2024-11-04,ITC.NS,MOMENTUM,LONG,450.33,464.61,443.19,LOSS,-10.468
2024-11-25,ITC.NS,MOMENTUM,LONG,437.14,456.09,427.66,PARTIAL,-9.709
2024-11-26,ITC.NS,MOMENTUM,LONG,438.05,456.54,428.81,PARTIAL,-9.856
2024-11-27,ITC.NS,MOMENTUM,LONG,435.77,447.79,429.76,PARTIAL,-9.394
2024-11-28,ITC.NS,MOMENTUM,LONG,435.31,444.91,430.52,LOSS,-10.291
2024-12-16,ITC.NS,MOMENTUM,LONG,429.15,437.42,425.02,PARTIAL,-9.452
2024-12-19,ITC.NS,MOMENTUM,LONG,428.01,431.79,426.13,WIN,-8.464
