date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,ITC.NS,ORB,LONG,387.67,391.54,385.74,LOSS,-10.817
2024-06-28,ITC.NS,ORB,LONG,389.09,392.97,387.15,LOSS,-10.779
2024-07-01,ITC.NS,ORB,LONG,389.82,393.71,387.88,LOSS,-10.76
2024-07-03,ITC.NS,ORB,LONG,389.64,393.53,387.7,PARTIAL,-10.05
2024-07-04,ITC.NS,ORB,LONG,393.21,397.13,391.24,LOSS,-10.671
2024-07-05,ITC.NS,ORB,LONG,392.29,396.2,390.34,LOSS,-10.695
2024-07-08,ITC.NS,ORB,LONG,397.92,401.88,395.93,WIN,-9.055
2024-07-09,ITC.NS,ORB,LONG,409.3,413.38,407.26,WIN,-8.775
2024-07-10,ITC.NS,ORB,LONG,414.88,419.02,412.81,LOSS,-10.14
2024-07-11,ITC.NS,ORB,LONG,411.49,415.6,409.44,WIN,-8.723
2024-07-12,ITC.NS,ORB,LONG,419.4,423.59,417.31,LOSS,-10.036
2024-07-15,ITC.NS,ORB,LONG,419.77,423.96,417.68,WIN,-8.532
2024-07-16,ITC.NS,ORB,LONG,423.79,428.02,421.68,LOSS,-9.937
2024-07-18,ITC.NS,ORB,LONG,423.38,427.6,421.27,WIN,-8.45
2024-07-19,ITC.NS,ORB,LONG,430.7,434.99,428.55,WIN,-8.29
2024-07-22,ITC.NS,ORB,LONG,433.99,438.32,431.83,LOSS,-9.716
2024-07-23,ITC.NS,ORB,LONG,426.63,430.88,424.5,WIN,-8.378
2024-07-24,ITC.NS,ORB,LONG,453.56,458.08,451.3,WIN,-7.822
2024-07-25,ITC.NS,ORB,LONG,448.07,452.54,445.84,LOSS,-9.426
2024-07-26,ITC.NS,ORB,LONG,451.78,456.28,449.52,WIN,-7.857
2024-07-30,ITC.NS,ORB,LONG,453.83,458.36,451.57,LOSS,-9.313
2024-07-31,ITC.NS,ORB,LONG,450.31,454.8,448.07,LOSS,-9.381
2024-08-02,ITC.NS,ORB,LONG,443.32,447.74,441.11,WIN,-8.025
2024-08-05,ITC.NS,ORB,LONG,438.97,443.35,436.78,WIN,-8.115
2024-08-06,ITC.NS,ORB,LONG,444.64,449.08,442.43,LOSS,-9.495
2024-08-07,ITC.NS,ORB,LONG,448.07,452.54,445.84,LOSS,-9.426
2024-08-08,ITC.NS,ORB,LONG,451.73,456.24,449.48,LOSS,-9.354
2024-08-12,ITC.NS,ORB,LONG,449.9,454.39,447.66,WIN,-7.893
2024-08-13,ITC.NS,ORB,LONG,453.51,458.04,451.25,LOSS,-9.319
2024-08-14,ITC.NS,ORB,LONG,449.85,454.34,447.61,WIN,-7.894
2024-08-16,ITC.NS,ORB,LONG,452.19,456.7,449.93,WIN,-7.848
2024-08-19,ITC.NS,ORB,LONG,461.56,466.16,459.26,LOSS,-9.165
2024-08-20,ITC.NS,ORB,LONG,458.13,462.7,455.85,LOSS,-9.23
2024-08-21,ITC.NS,ORB,LONG,457.22,461.78,454.94,WIN,-7.751
2024-08-23,ITC.NS,ORB,LONG,461.83,466.44,459.53,LOSS,-9.16
2024-08-26,ITC.NS,ORB,LONG,462.7,467.32,460.4,LOSS,-9.144
2024-08-28,ITC.NS,ORB,LONG,457.58,462.15,455.3,LOSS,-9.24
2024-08-29,ITC.NS,ORB,LONG,455.39,459.93,453.12,WIN,-7.786
2024-08-30,ITC.NS,ORB,LONG,459.0,463.58,456.71,WIN,-7.717
2024-09-02,ITC.NS,ORB,LONG,460.87,465.47,458.58,WIN,-7.682
2024-09-03,ITC.NS,ORB,LONG,466.41,471.06,464.08,LOSS,-9.075
2024-09-04,ITC.NS,ORB,LONG,457.22,461.78,454.94,WIN,-7.751
2024-09-05,ITC.NS,ORB,LONG,464.85,469.49,462.53,LOSS,-9.104
2024-09-09,ITC.NS,ORB,LONG,459.04,463.62,456.76,WIN,-7.716
2024-09-10,ITC.NS,ORB,LONG,468.1,472.77,465.76,LOSS,-9.044
2024-09-11,ITC.NS,ORB,LONG,469.1,473.78,466.76,LOSS,-9.026
2024-09-12,ITC.NS,ORB,LONG,471.02,475.72,468.68,LOSS,-8.991
2024-09-17,ITC.NS,ORB,LONG,467.32,471.98,464.99,LOSS,-9.058
2024-09-18,ITC.NS,ORB,LONG,464.39,469.03,462.08,LOSS,-9.112
2024-09-19,ITC.NS,ORB,LONG,466.36,471.01,464.03,LOSS,-9.076
2024-09-20,ITC.NS,ORB,LONG,468.19,472.86,465.85,LOSS,-9.042
2024-09-23,ITC.NS,ORB,LONG,471.34,476.05,468.99,LOSS,-8.985
2024-09-25,ITC.NS,ORB,LONG,471.39,476.09,469.04,LOSS,-8.984
2024-09-26,ITC.NS,ORB,LONG,473.36,478.08,471.0,PARTIAL,-7.767
2024-09-27,ITC.NS,ORB,LONG,475.73,480.48,473.36,WIN,-7.411
2024-09-30,ITC.NS,ORB,LONG,476.05,480.8,473.68,LOSS,-8.901
2024-10-01,ITC.NS,ORB,LONG,473.81,478.54,471.45,LOSS,-8.941
2024-10-03,ITC.NS,ORB,LONG,465.03,469.67,462.72,WIN,-7.604
2024-10-04,ITC.NS,ORB,LONG,466.36,471.01,464.03,WIN,-7.58
2024-10-07,ITC.NS,ORB,LONG,463.62,468.24,461.31,WIN,-7.63
2024-10-08,ITC.NS,ORB,LONG,466.36,471.01,464.03,LOSS,-9.076
2024-10-14,ITC.NS,ORB,LONG,448.99,453.46,446.75,WIN,-7.912
2024-10-16,ITC.NS,ORB,LONG,453.56,458.08,451.3,LOSS,-9.318
2024-10-18,ITC.NS,ORB,LONG,446.93,451.39,444.7,LOSS,-9.449
2024-10-22,ITC.NS,ORB,LONG,442.27,446.68,440.06,LOSS,-9.543
2024-10-23,ITC.NS,ORB,LONG,439.84,444.23,437.65,LOSS,-9.593
2024-10-25,ITC.NS,ORB,LONG,435.09,439.43,432.92,WIN,-8.196
2024-10-28,ITC.NS,ORB,LONG,440.71,445.11,438.51,LOSS,-9.575
2024-10-29,ITC.NS,ORB,LONG,443.5,447.92,441.29,LOSS,-9.518
2024-10-30,ITC.NS,ORB,LONG,446.2,450.65,443.97,LOSS,-9.463
2024-11-05,ITC.NS,ORB,LONG,441.63,446.03,439.42,LOSS,-9.556
2024-11-06,ITC.NS,ORB,LONG,439.11,443.49,436.92,LOSS,-9.608
2024-11-08,ITC.NS,ORB,LONG,437.01,441.37,434.83,LOSS,-9.652
2024-11-11,ITC.NS,ORB,LONG,437.14,441.5,434.96,LOSS,-9.649
