date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-18,ITC.NS,VWAP,LONG,422.54,426.61,420.95,WIN,-8.502
2024-07-23,ITC.NS,VWAP,LONG,425.78,442.48,424.36,WIN,-5.473
2024-08-02,ITC.NS,VWAP,LONG,442.43,447.75,441.11,WIN,-7.839
2024-08-05,ITC.NS,VWAP,LONG,438.1,442.92,436.33,WIN,-8.03
2024-08-12,ITC.NS,VWAP,LONG,449.0,451.78,447.66,WIN,-8.291
2024-08-29,ITC.NS,VWAP,LONG,454.48,458.93,452.52,WIN,-7.821
2024-09-04,ITC.NS,VWAP,LONG,456.3,460.82,454.89,WIN,-7.777
2024-10-25,ITC.NS,VWAP,LONG,434.22,440.65,431.46,WIN,-7.73
2024-11-22,ITC.NS,VWAP,LONG,416.33,427.48,414.45,WIN,-6.93
2025-01-13,ITC.NS,VWAP,LONG,412.27,415.98,411.04,WIN,-8.803
2025-01-17,ITC.NS,VWAP,LONG,410.38,414.86,408.68,WIN,-8.655
2025-01-31,ITC.NS,VWAP,LONG,413.69,420.0,411.13,WIN,-8.144
2025-03-05,ITC.NS,VWAP,LONG,379.79,388.64,378.65,WIN,-8.201
2025-03-11,ITC.NS,VWAP,LONG,386.53,389.77,385.08,WIN,-9.511
2025-04-07,ITC.NS,VWAP,LONG,375.6,386.08,374.48,WIN,-7.86
2025-04-16,ITC.NS,VWAP,LONG,402.41,406.66,401.21,WIN,-8.885
2025-05-02,ITC.NS,VWAP,LONG,408.29,411.98,407.06,WIN,-8.892
2025-07-31,ITC.NS,VWAP,LONG,398.01,402.07,396.43,WIN,-9.03
2025-08-29,ITC.NS,VWAP,LONG,394.14,399.0,392.86,WIN,-8.915
2025-09-26,ITC.NS,VWAP,LONG,392.28,395.32,390.81,WIN,-9.423
2025-10-17,ITC.NS,VWAP,LONG,397.43,401.99,396.14,WIN,-8.916
2026-02-06,ITC.NS,VWAP,LONG,310.31,320.6,307.68,WIN,-9.574
2026-02-17,ITC.NS,VWAP,LONG,318.77,323.88,317.51,WIN,-10.944
2026-03-02,ITC.NS,VWAP,LONG,307.31,312.55,306.39,WIN,-11.31
2026-03-16,ITC.NS,VWAP,LONG,302.85,306.57,301.4,WIN,-11.981
2026-04-17,ITC.NS,VWAP,LONG,304.15,306.87,303.24,WIN,-12.259
2026-04-21,ITC.NS,VWAP,LONG,305.3,308.43,303.94,WIN,-12.077
2026-04-29,ITC.NS,VWAP,LONG,305.41,312.95,304.49,WIN,-10.627
