date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,KOTAKBANK.NS,MOMENTUM,LONG,357.75,371.61,350.83,PARTIAL,-9.075
2024-06-28,KOTAKBANK.NS,MOMENTUM,LONG,363.99,384.95,353.5,PARTIAL,-12.169
2024-07-01,KOTAKBANK.NS,MOMENTUM,LONG,360.05,371.1,354.52,PARTIAL,-10.899
2024-07-02,KOTAKBANK.NS,MOMENTUM,LONG,363.74,380.08,355.57,LOSS,-13.243
2024-07-05,KOTAKBANK.NS,MOMENTUM,LONG,363.55,375.19,357.72,PARTIAL,-9.308
2024-07-08,KOTAKBANK.NS,MOMENTUM,LONG,370.34,391.21,359.9,PARTIAL,-10.944
2024-07-09,KOTAKBANK.NS,MOMENTUM,LONG,371.78,392.01,361.66,PARTIAL,-11.576
2024-07-10,KOTAKBANK.NS,MOMENTUM,LONG,368.14,378.71,362.85,PARTIAL,-11.678
2024-07-29,KOTAKBANK.NS,MOMENTUM,LONG,364.88,380.34,357.15,LOSS,-13.081
2024-07-30,KOTAKBANK.NS,MOMENTUM,LONG,358.73,361.81,357.18,LOSS,-11.581
2024-07-31,KOTAKBANK.NS,MOMENTUM,LONG,358.55,361.85,356.89,WIN,-10.235
2024-08-01,KOTAKBANK.NS,MOMENTUM,LONG,361.36,369.03,357.53,LOSS,-12.13
2024-08-21,KOTAKBANK.NS,MOMENTUM,LONG,359.94,371.19,354.32,PARTIAL,-10.494
2024-08-22,KOTAKBANK.NS,MOMENTUM,LONG,362.74,376.88,355.67,PARTIAL,-10.714
2024-08-23,KOTAKBANK.NS,MOMENTUM,LONG,364.24,378.54,357.1,PARTIAL,-11.273
2024-08-26,KOTAKBANK.NS,MOMENTUM,LONG,363.94,375.64,358.1,PARTIAL,-11.502
2024-09-13,KOTAKBANK.NS,MOMENTUM,LONG,367.34,387.39,357.32,PARTIAL,-11.894
2024-09-16,KOTAKBANK.NS,MOMENTUM,LONG,366.54,382.89,358.37,PARTIAL,-11.105
2024-09-17,KOTAKBANK.NS,MOMENTUM,LONG,367.82,384.18,359.64,PARTIAL,-10.581
2024-09-18,KOTAKBANK.NS,MOMENTUM,LONG,369.94,387.28,361.27,PARTIAL,-11.469
2024-09-20,KOTAKBANK.NS,MOMENTUM,LONG,374.74,395.41,364.41,PARTIAL,-9.148
2024-09-23,KOTAKBANK.NS,MOMENTUM,LONG,382.93,414.01,367.39,PARTIAL,-9.515
2024-09-24,KOTAKBANK.NS,MOMENTUM,LONG,386.94,418.86,370.98,PARTIAL,-11.485
2024-09-25,KOTAKBANK.NS,MOMENTUM,LONG,381.95,399.75,373.05,PARTIAL,-11.205
2024-09-26,KOTAKBANK.NS,MOMENTUM,LONG,378.94,388.73,374.05,PARTIAL,-10.271
2024-10-11,KOTAKBANK.NS,MOMENTUM,LONG,374.38,391.4,365.88,PARTIAL,-10.24
2024-10-14,KOTAKBANK.NS,MOMENTUM,LONG,376.95,395.49,367.68,PARTIAL,-9.347
2024-10-15,KOTAKBANK.NS,MOMENTUM,LONG,382.38,406.62,370.26,PARTIAL,-11.449
2024-10-16,KOTAKBANK.NS,MOMENTUM,LONG,376.74,386.82,371.7,PARTIAL,-11.123
2024-11-06,KOTAKBANK.NS,MOMENTUM,LONG,351.97,356.56,349.67,LOSS,-12.017
2024-11-07,KOTAKBANK.NS,MOMENTUM,LONG,352.55,357.75,349.95,LOSS,-12.083
2024-11-22,KOTAKBANK.NS,MOMENTUM,LONG,346.75,351.33,344.45,WIN,-10.213
2024-11-25,KOTAKBANK.NS,MOMENTUM,LONG,356.35,377.58,345.73,PARTIAL,-10.834
2024-11-26,KOTAKBANK.NS,MOMENTUM,LONG,358.95,381.0,347.92,PARTIAL,-11.878
2024-11-27,KOTAKBANK.NS,MOMENTUM,LONG,356.14,369.65,349.38,PARTIAL,-11.205
2024-11-28,KOTAKBANK.NS,MOMENTUM,LONG,356.6,368.71,350.54,LOSS,-12.916
2024-12-09,KOTAKBANK.NS,MOMENTUM,LONG,353.57,357.92,351.39,WIN,-10.082
2024-12-10,KOTAKBANK.NS,MOMENTUM,LONG,356.6,365.26,352.26,PARTIAL,-10.676
2024-12-11,KOTAKBANK.NS,MOMENTUM,LONG,359.15,370.83,353.3,PARTIAL,-11.31
2024-12-12,KOTAKBANK.NS,MOMENTUM,LONG,357.95,365.57,354.13,LOSS,-12.24
2024-12-16,KOTAKBANK.NS,MOMENTUM,LONG,360.54,371.77,354.93,PARTIAL,-11.114
2025-01-01,KOTAKBANK.NS,MOMENTUM,LONG,355.8,365.15,351.12,PARTIAL,-10.829
2025-01-02,KOTAKBANK.NS,MOMENTUM,LONG,359.95,375.57,352.13,PARTIAL,-9.151
2025-01-03,KOTAKBANK.NS,MOMENTUM,LONG,370.14,400.65,354.89,PARTIAL,-11.573
2025-01-06,KOTAKBANK.NS,MOMENTUM,LONG,364.14,378.13,357.15,LOSS,-12.905
2025-01-17,KOTAKBANK.NS,MOMENTUM,LONG,359.35,369.72,354.16,LOSS,-12.574
2025-01-20,KOTAKBANK.NS,MOMENTUM,LONG,377.94,427.07,353.38,PARTIAL,-9.071
2025-01-21,KOTAKBANK.NS,MOMENTUM,LONG,384.13,433.98,359.21,PARTIAL,-11.951
2025-01-22,KOTAKBANK.NS,MOMENTUM,LONG,379.74,413.66,362.78,PARTIAL,-9.66
2025-01-23,KOTAKBANK.NS,MOMENTUM,LONG,381.36,410.87,366.61,PARTIAL,-11.23
2025-01-24,KOTAKBANK.NS,MOMENTUM,LONG,378.14,396.9,368.77,PARTIAL,-10.932
2025-01-30,KOTAKBANK.NS,MOMENTUM,LONG,384.01,403.77,374.13,PARTIAL,-11.497
2025-02-01,KOTAKBANK.NS,MOMENTUM,LONG,379.74,387.67,375.78,LOSS,-11.578
2025-02-05,KOTAKBANK.NS,MOMENTUM,LONG,387.5,406.92,377.79,PARTIAL,-11.765
2025-02-10,KOTAKBANK.NS,MOMENTUM,LONG,387.0,400.86,380.07,PARTIAL,-9.153
2025-02-11,KOTAKBANK.NS,MOMENTUM,LONG,392.86,414.3,382.14,LOSS,-12.911
2025-02-13,KOTAKBANK.NS,MOMENTUM,LONG,392.54,411.33,383.14,PARTIAL,-9.791
2025-02-14,KOTAKBANK.NS,MOMENTUM,LONG,394.74,414.02,385.1,PARTIAL,-11.326
2025-02-18,KOTAKBANK.NS,MOMENTUM,LONG,388.35,392.71,386.17,WIN,-9.177
2025-03-10,KOTAKBANK.NS,MOMENTUM,LONG,386.44,389.76,384.78,LOSS,-10.781
2025-03-13,KOTAKBANK.NS,MOMENTUM,LONG,395.08,411.95,386.64,PARTIAL,-9.749
2025-03-17,KOTAKBANK.NS,MOMENTUM,LONG,395.96,411.1,388.39,PARTIAL,-9.546
2025-03-18,KOTAKBANK.NS,MOMENTUM,LONG,398.56,415.47,390.1,PARTIAL,-10.136
2025-03-19,KOTAKBANK.NS,MOMENTUM,LONG,407.79,440.41,391.48,PARTIAL,-10.776
2025-03-20,KOTAKBANK.NS,MOMENTUM,LONG,406.14,431.0,393.71,PARTIAL,-9.72
2025-03-21,KOTAKBANK.NS,MOMENTUM,LONG,407.94,431.7,396.05,PARTIAL,-7.995
2025-03-24,KOTAKBANK.NS,MOMENTUM,LONG,419.94,460.49,399.66,PARTIAL,-6.003
2025-03-25,KOTAKBANK.NS,MOMENTUM,LONG,435.91,494.92,406.41,PARTIAL,-9.73
2025-03-26,KOTAKBANK.NS,MOMENTUM,LONG,434.93,481.66,411.57,PARTIAL,-10.679
2025-03-27,KOTAKBANK.NS,MOMENTUM,LONG,428.73,456.81,414.7,PARTIAL,-10.145
2025-03-28,KOTAKBANK.NS,MOMENTUM,LONG,427.79,450.29,416.55,PARTIAL,-7.961
2025-04-16,KOTAKBANK.NS,MOMENTUM,LONG,423.94,435.8,418.0,PARTIAL,-9.375
2025-04-17,KOTAKBANK.NS,MOMENTUM,LONG,422.94,430.84,418.99,WIN,-7.59
2025-04-21,KOTAKBANK.NS,MOMENTUM,LONG,438.93,472.1,422.35,PARTIAL,-7.101
2025-04-22,KOTAKBANK.NS,MOMENTUM,LONG,449.73,494.87,427.16,PARTIAL,-8.115
2025-04-23,KOTAKBANK.NS,MOMENTUM,LONG,456.93,506.58,432.11,PARTIAL,-11.39
2025-04-24,KOTAKBANK.NS,MOMENTUM,LONG,443.53,461.81,434.4,PARTIAL,-8.893
2025-04-25,KOTAKBANK.NS,MOMENTUM,LONG,443.93,459.66,436.07,LOSS,-10.782
2025-05-13,KOTAKBANK.NS,MOMENTUM,LONG,426.93,431.1,424.85,LOSS,-9.857
2025-06-10,KOTAKBANK.NS,MOMENTUM,LONG,429.27,459.61,414.11,PARTIAL,-9.213
2025-06-11,KOTAKBANK.NS,MOMENTUM,LONG,429.73,455.26,416.97,PARTIAL,-9.58
2025-06-12,KOTAKBANK.NS,MOMENTUM,LONG,428.99,448.92,419.03,PARTIAL,-10.286
2025-06-20,KOTAKBANK.NS,MOMENTUM,LONG,428.93,439.71,423.55,PARTIAL,-8.27
2025-06-23,KOTAKBANK.NS,MOMENTUM,LONG,431.55,444.12,425.27,PARTIAL,-8.165
2025-06-24,KOTAKBANK.NS,MOMENTUM,LONG,441.53,470.16,427.22,PARTIAL,-8.453
2025-06-25,KOTAKBANK.NS,MOMENTUM,LONG,444.53,472.9,430.35,PARTIAL,-10.208
2025-06-26,KOTAKBANK.NS,MOMENTUM,LONG,440.41,457.55,431.85,PARTIAL,-9.114
2025-06-27,KOTAKBANK.NS,MOMENTUM,LONG,441.93,459.26,433.27,PARTIAL,-9.246
2025-06-30,KOTAKBANK.NS,MOMENTUM,LONG,441.51,455.41,434.56,LOSS,-10.634
2025-07-09,KOTAKBANK.NS,MOMENTUM,LONG,443.33,465.18,432.41,PARTIAL,-8.568
2025-07-10,KOTAKBANK.NS,MOMENTUM,LONG,445.75,467.8,434.73,PARTIAL,-10.207
2025-07-11,KOTAKBANK.NS,MOMENTUM,LONG,440.29,449.74,435.57,PARTIAL,-8.332
2025-07-14,KOTAKBANK.NS,MOMENTUM,LONG,444.71,460.31,436.91,PARTIAL,-9.997
2025-08-18,KOTAKBANK.NS,MOMENTUM,LONG,399.98,407.71,396.11,PARTIAL,-9.925
2025-08-19,KOTAKBANK.NS,MOMENTUM,LONG,399.2,404.18,396.71,WIN,-8.771
2025-08-20,KOTAKBANK.NS,MOMENTUM,LONG,404.5,416.88,398.32,PARTIAL,-10.137
2025-08-21,KOTAKBANK.NS,MOMENTUM,LONG,408.21,426.4,399.11,PARTIAL,-10.938
2025-08-22,KOTAKBANK.NS,MOMENTUM,LONG,402.44,407.81,399.76,LOSS,-10.606
2025-09-11,KOTAKBANK.NS,MOMENTUM,LONG,395.8,405.13,391.13,PARTIAL,-10.444
2025-09-12,KOTAKBANK.NS,MOMENTUM,LONG,395.03,401.98,391.56,PARTIAL,-10.271
2025-09-15,KOTAKBANK.NS,MOMENTUM,LONG,393.99,398.17,391.9,PARTIAL,-10.11
2025-09-17,KOTAKBANK.NS,MOMENTUM,LONG,406.21,429.98,394.32,PARTIAL,-8.898
2025-09-18,KOTAKBANK.NS,MOMENTUM,LONG,410.41,436.79,397.22,PARTIAL,-9.622
2025-09-19,KOTAKBANK.NS,MOMENTUM,LONG,411.33,434.56,399.71,PARTIAL,-10.972
2025-09-22,KOTAKBANK.NS,MOMENTUM,LONG,406.81,418.88,400.77,PARTIAL,-10.439
2025-10-03,KOTAKBANK.NS,MOMENTUM,LONG,413.07,434.4,402.41,PARTIAL,-7.982
2025-10-06,KOTAKBANK.NS,MOMENTUM,LONG,423.22,458.28,405.7,PARTIAL,-8.039
2025-10-07,KOTAKBANK.NS,MOMENTUM,LONG,428.83,466.21,410.14,PARTIAL,-10.132
2025-10-08,KOTAKBANK.NS,MOMENTUM,LONG,425.73,451.31,412.93,PARTIAL,-9.904
2025-10-09,KOTAKBANK.NS,MOMENTUM,LONG,424.02,442.46,414.8,PARTIAL,-8.279
2025-10-10,KOTAKBANK.NS,MOMENTUM,LONG,429.43,453.55,417.37,PARTIAL,-9.177
2025-10-14,KOTAKBANK.NS,MOMENTUM,LONG,430.23,447.61,421.54,PARTIAL,-9.267
2025-10-15,KOTAKBANK.NS,MOMENTUM,LONG,431.43,448.2,423.05,PARTIAL,-9.622
2025-10-17,KOTAKBANK.NS,MOMENTUM,LONG,441.22,469.1,427.28,PARTIAL,-9.08
2025-10-20,KOTAKBANK.NS,MOMENTUM,LONG,443.24,470.14,429.79,PARTIAL,-9.133
2025-10-21,KOTAKBANK.NS,MOMENTUM,LONG,443.2,465.37,432.12,PARTIAL,-9.883
2025-10-23,KOTAKBANK.NS,MOMENTUM,LONG,445.44,469.71,433.31,PARTIAL,-9.053
2025-11-20,KOTAKBANK.NS,MOMENTUM,LONG,423.38,433.82,418.17,PARTIAL,-10.308
2025-11-28,KOTAKBANK.NS,MOMENTUM,LONG,424.22,436.92,417.87,PARTIAL,-9.274
2025-12-01,KOTAKBANK.NS,MOMENTUM,LONG,427.23,443.64,419.02,PARTIAL,-8.826
2025-12-02,KOTAKBANK.NS,MOMENTUM,LONG,428.43,443.56,420.86,PARTIAL,-9.324
2025-12-03,KOTAKBANK.NS,MOMENTUM,LONG,427.45,438.08,422.13,PARTIAL,-8.943
2025-12-04,KOTAKBANK.NS,MOMENTUM,LONG,429.65,442.37,423.29,PARTIAL,-9.908
2025-12-12,KOTAKBANK.NS,MOMENTUM,LONG,436.78,456.76,426.78,PARTIAL,-9.491
2025-12-15,KOTAKBANK.NS,MOMENTUM,LONG,433.85,445.1,428.23,PARTIAL,-8.665
2025-12-16,KOTAKBANK.NS,MOMENTUM,LONG,436.04,448.96,429.57,PARTIAL,-9.072
2025-12-17,KOTAKBANK.NS,MOMENTUM,LONG,438.04,452.73,430.69,PARTIAL,-9.907
2026-01-01,KOTAKBANK.NS,MOMENTUM,LONG,442.44,462.84,432.24,PARTIAL,-8.788
2026-01-02,KOTAKBANK.NS,MOMENTUM,LONG,444.0,463.53,434.24,PARTIAL,-10.131
2026-01-05,KOTAKBANK.NS,MOMENTUM,LONG,439.82,449.59,434.93,PARTIAL,-9.467
2026-01-06,KOTAKBANK.NS,MOMENTUM,LONG,440.86,451.94,435.32,LOSS,-10.33
2026-01-23,KOTAKBANK.NS,MOMENTUM,LONG,429.43,441.64,423.32,LOSS,-10.737
2026-02-09,KOTAKBANK.NS,MOMENTUM,LONG,430.43,463.82,413.73,PARTIAL,-9.672
2026-02-10,KOTAKBANK.NS,MOMENTUM,LONG,431.23,460.71,416.49,PARTIAL,-9.724
2026-02-11,KOTAKBANK.NS,MOMENTUM,LONG,432.13,458.81,418.79,PARTIAL,-9.854
2026-02-12,KOTAKBANK.NS,MOMENTUM,LONG,429.83,448.11,420.69,PARTIAL,-10.139
2026-02-24,KOTAKBANK.NS,MOMENTUM,LONG,431.33,448.73,422.63,PARTIAL,-10.115
2026-02-26,KOTAKBANK.NS,MOMENTUM,LONG,427.13,434.49,423.44,LOSS,-10.227
2026-04-08,KOTAKBANK.NS,MOMENTUM,LONG,377.38,408.61,361.76,PARTIAL,-9.865
2026-04-09,KOTAKBANK.NS,MOMENTUM,LONG,377.38,401.71,365.21,PARTIAL,-12.051
2026-04-10,KOTAKBANK.NS,MOMENTUM,LONG,373.87,388.97,366.32,PARTIAL,-10.518
2026-04-15,KOTAKBANK.NS,MOMENTUM,LONG,375.88,390.92,368.35,PARTIAL,-8.906
2026-04-17,KOTAKBANK.NS,MOMENTUM,LONG,379.68,394.34,372.35,PARTIAL,-9.503
2026-04-20,KOTAKBANK.NS,MOMENTUM,LONG,384.48,404.72,374.37,PARTIAL,-11.778
2026-04-21,KOTAKBANK.NS,MOMENTUM,LONG,381.83,395.28,375.11,PARTIAL,-10.392
2026-05-01,KOTAKBANK.NS,MOMENTUM,LONG,383.68,396.71,377.17,PARTIAL,-10.525
2026-05-12,KOTAKBANK.NS,MOMENTUM,LONG,380.58,387.06,377.34,LOSS,-11.362
