date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,KOTAKBANK.NS,ORB,LONG,358.47,362.04,356.68,WIN,-10.161
2024-06-28,KOTAKBANK.NS,ORB,LONG,364.71,368.35,362.89,WIN,-9.97
2024-07-01,KOTAKBANK.NS,ORB,LONG,360.77,364.37,358.97,LOSS,-11.586
2024-07-03,KOTAKBANK.NS,ORB,LONG,353.42,356.95,351.66,WIN,-10.32
2024-07-04,KOTAKBANK.NS,ORB,LONG,361.59,365.2,359.79,WIN,-10.065
2024-07-05,KOTAKBANK.NS,ORB,LONG,364.27,367.91,362.46,WIN,-9.983
2024-07-09,KOTAKBANK.NS,ORB,LONG,372.52,376.23,370.66,LOSS,-11.236
2024-07-11,KOTAKBANK.NS,ORB,LONG,366.44,370.1,364.62,LOSS,-11.414
2024-07-12,KOTAKBANK.NS,ORB,LONG,369.18,372.86,367.34,LOSS,-11.334
2024-07-15,KOTAKBANK.NS,ORB,LONG,368.08,371.75,366.24,LOSS,-11.366
2024-07-16,KOTAKBANK.NS,ORB,LONG,368.7,372.37,366.86,LOSS,-11.348
2024-07-18,KOTAKBANK.NS,ORB,LONG,361.27,364.87,359.47,WIN,-10.075
2024-07-19,KOTAKBANK.NS,ORB,LONG,364.37,368.01,362.55,LOSS,-11.477
2024-07-23,KOTAKBANK.NS,ORB,LONG,354.45,357.99,352.69,LOSS,-11.784
2024-07-24,KOTAKBANK.NS,ORB,LONG,354.24,357.78,352.48,LOSS,-11.79
2024-07-25,KOTAKBANK.NS,ORB,LONG,347.04,350.5,345.31,WIN,-10.529
2024-07-26,KOTAKBANK.NS,ORB,LONG,352.27,355.78,350.51,WIN,-10.358
2024-07-30,KOTAKBANK.NS,ORB,LONG,359.44,363.03,357.65,LOSS,-11.627
2024-07-31,KOTAKBANK.NS,ORB,LONG,359.26,362.85,357.47,LOSS,-11.633
2024-08-01,KOTAKBANK.NS,ORB,LONG,362.09,365.7,360.28,LOSS,-11.546
2024-08-02,KOTAKBANK.NS,ORB,LONG,356.88,360.44,355.1,WIN,-10.211
2024-08-05,KOTAKBANK.NS,ORB,LONG,354.69,358.23,352.93,WIN,-10.28
2024-08-06,KOTAKBANK.NS,ORB,LONG,357.66,361.23,355.88,LOSS,-11.683
2024-08-08,KOTAKBANK.NS,ORB,LONG,353.98,357.51,352.22,LOSS,-11.799
2024-08-12,KOTAKBANK.NS,ORB,LONG,352.85,356.37,351.09,WIN,-10.339
2024-08-13,KOTAKBANK.NS,ORB,LONG,353.25,356.77,351.49,WIN,-10.326
2024-08-16,KOTAKBANK.NS,ORB,LONG,353.05,356.57,351.29,WIN,-10.332
2024-08-19,KOTAKBANK.NS,ORB,LONG,356.77,360.33,354.99,LOSS,-11.71
2024-08-20,KOTAKBANK.NS,ORB,LONG,357.26,360.82,355.48,WIN,-10.199
2024-08-21,KOTAKBANK.NS,ORB,LONG,360.66,364.26,358.87,LOSS,-11.589
2024-08-22,KOTAKBANK.NS,ORB,LONG,363.47,367.1,361.66,LOSS,-11.504
2024-08-23,KOTAKBANK.NS,ORB,LONG,364.97,368.61,363.15,LOSS,-11.458
2024-08-28,KOTAKBANK.NS,ORB,LONG,359.86,363.45,358.07,LOSS,-11.614
2024-08-29,KOTAKBANK.NS,ORB,LONG,357.31,360.87,355.53,LOSS,-11.694
2024-08-30,KOTAKBANK.NS,ORB,LONG,356.12,359.67,354.34,PARTIAL,-11.335
2024-09-02,KOTAKBANK.NS,ORB,LONG,357.06,360.62,355.28,LOSS,-11.701
2024-09-03,KOTAKBANK.NS,ORB,LONG,356.67,360.22,354.89,LOSS,-11.714
2024-09-04,KOTAKBANK.NS,ORB,LONG,354.65,358.19,352.89,LOSS,-11.777
