date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,KOTAKBANK.NS,VWAP,LONG,357.75,362.75,355.49,WIN,-9.783
2024-07-05,KOTAKBANK.NS,VWAP,LONG,363.55,367.78,362.15,WIN,-9.838
2024-07-25,KOTAKBANK.NS,VWAP,LONG,346.35,352.0,345.31,WIN,-9.916
2024-07-26,KOTAKBANK.NS,VWAP,LONG,351.57,359.71,350.51,WIN,-9.063
2024-09-20,KOTAKBANK.NS,VWAP,LONG,374.74,379.62,372.82,WIN,-9.374
2024-10-01,KOTAKBANK.NS,VWAP,LONG,369.34,373.65,368.24,WIN,-9.665
2024-10-10,KOTAKBANK.NS,VWAP,LONG,361.92,370.6,359.92,WIN,-8.655
2024-10-30,KOTAKBANK.NS,VWAP,LONG,345.35,347.68,344.23,WIN,-10.907
2024-11-14,KOTAKBANK.NS,VWAP,LONG,337.95,340.29,336.9,WIN,-11.142
2024-11-22,KOTAKBANK.NS,VWAP,LONG,346.75,350.7,345.49,WIN,-10.396
2024-12-09,KOTAKBANK.NS,VWAP,LONG,353.57,356.88,352.51,WIN,-10.377
2024-12-31,KOTAKBANK.NS,VWAP,LONG,346.96,354.11,345.92,WIN,-9.469
2025-01-02,KOTAKBANK.NS,VWAP,LONG,359.95,364.53,358.25,WIN,-9.839
2025-01-09,KOTAKBANK.NS,VWAP,LONG,354.75,357.78,353.68,WIN,-10.42
2025-01-15,KOTAKBANK.NS,VWAP,LONG,351.97,355.9,350.91,WIN,-10.246
2025-01-29,KOTAKBANK.NS,VWAP,LONG,377.5,381.56,375.81,WIN,-9.52
2025-03-12,KOTAKBANK.NS,VWAP,LONG,387.94,394.1,386.38,WIN,-8.724
2025-03-21,KOTAKBANK.NS,VWAP,LONG,407.94,413.63,405.72,WIN,-8.41
2025-03-24,KOTAKBANK.NS,VWAP,LONG,419.94,429.55,416.73,WIN,-7.236
2025-03-28,KOTAKBANK.NS,VWAP,LONG,427.79,432.18,426.45,WIN,-8.326
2025-04-11,KOTAKBANK.NS,VWAP,LONG,412.94,420.13,410.4,WIN,-7.945
2025-04-22,KOTAKBANK.NS,VWAP,LONG,449.73,453.88,447.67,WIN,-7.971
2025-05-09,KOTAKBANK.NS,VWAP,LONG,414.94,419.39,413.69,WIN,-8.567
2025-05-23,KOTAKBANK.NS,VWAP,LONG,413.1,417.91,411.86,WIN,-8.517
2025-06-13,KOTAKBANK.NS,VWAP,LONG,414.34,419.61,413.09,WIN,-8.381
2025-07-31,KOTAKBANK.NS,VWAP,LONG,388.63,394.15,386.23,WIN,-8.873
2025-08-19,KOTAKBANK.NS,VWAP,LONG,399.2,403.66,397.7,WIN,-8.903
2025-08-29,KOTAKBANK.NS,VWAP,LONG,390.43,393.03,389.26,WIN,-9.58
2025-09-16,KOTAKBANK.NS,VWAP,LONG,395.68,401.69,393.85,WIN,-8.588
2025-10-01,KOTAKBANK.NS,VWAP,LONG,397.6,408.09,396.41,WIN,-7.422
2025-10-03,KOTAKBANK.NS,VWAP,LONG,413.07,418.03,411.58,WIN,-8.483
2025-10-16,KOTAKBANK.NS,VWAP,LONG,431.01,438.15,429.58,WIN,-7.625
2025-11-26,KOTAKBANK.NS,VWAP,LONG,415.41,419.19,413.99,WIN,-8.719
2025-12-11,KOTAKBANK.NS,VWAP,LONG,426.33,433.62,422.97,WIN,-7.672
2025-12-31,KOTAKBANK.NS,VWAP,LONG,432.03,437.48,430.28,WIN,-7.997
2026-01-29,KOTAKBANK.NS,VWAP,LONG,407.41,411.33,406.19,WIN,-8.854
2026-02-06,KOTAKBANK.NS,VWAP,LONG,411.41,419.1,409.48,WIN,-7.854
2026-02-16,KOTAKBANK.NS,VWAP,LONG,419.42,423.52,417.41,WIN,-8.56
2026-02-20,KOTAKBANK.NS,VWAP,LONG,415.41,419.92,414.17,WIN,-8.545
2026-04-07,KOTAKBANK.NS,VWAP,LONG,357.36,361.32,356.29,WIN,-10.085
2026-04-15,KOTAKBANK.NS,VWAP,LONG,375.88,380.3,374.75,WIN,-9.465
2026-04-28,KOTAKBANK.NS,VWAP,LONG,372.37,377.73,371.26,WIN,-9.302
2026-04-29,KOTAKBANK.NS,VWAP,LONG,378.38,381.87,376.79,WIN,-9.649
