date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-04,LT.NS,MOMENTUM,LONG,3586.27,3679.66,3539.58,LOSS,-2.417
2024-07-08,LT.NS,MOMENTUM,LONG,3610.07,3736.92,3546.65,PARTIAL,-1.43
2024-07-10,LT.NS,MOMENTUM,LONG,3654.65,3827.66,3568.15,LOSS,-3.461
2024-07-11,LT.NS,MOMENTUM,LONG,3629.81,3738.2,3575.61,LOSS,-2.595
2024-07-30,LT.NS,MOMENTUM,LONG,3743.71,4022.26,3604.43,PARTIAL,-0.909
2024-07-31,LT.NS,MOMENTUM,LONG,3745.89,3975.21,3631.23,PARTIAL,-0.164
2024-08-01,LT.NS,MOMENTUM,LONG,3778.57,4018.37,3658.67,PARTIAL,-1.963
2024-08-02,LT.NS,MOMENTUM,LONG,3699.58,3751.6,3673.56,LOSS,-1.784
2024-08-22,LT.NS,MOMENTUM,LONG,3577.29,3656.24,3537.82,PARTIAL,-1.233
2024-08-23,LT.NS,MOMENTUM,LONG,3576.75,3644.75,3542.75,PARTIAL,-1.438
2024-08-26,LT.NS,MOMENTUM,LONG,3581.21,3653.4,3545.12,PARTIAL,-0.362
2024-08-27,LT.NS,MOMENTUM,LONG,3612.6,3726.64,3555.58,PARTIAL,0.44
2024-08-28,LT.NS,MOMENTUM,LONG,3674.44,3871.39,3575.96,PARTIAL,-1.619
2024-08-29,LT.NS,MOMENTUM,LONG,3660.06,3801.03,3589.57,PARTIAL,-1.384
2024-08-30,LT.NS,MOMENTUM,LONG,3687.68,3864.33,3599.35,PARTIAL,-1.553
2024-09-02,LT.NS,MOMENTUM,LONG,3675.43,3803.56,3611.36,PARTIAL,-1.806
2024-09-13,LT.NS,MOMENTUM,LONG,3592.12,3648.76,3563.8,PARTIAL,-1.462
2024-09-17,LT.NS,MOMENTUM,LONG,3637.74,3762.51,3575.36,PARTIAL,-0.459
2024-09-18,LT.NS,MOMENTUM,LONG,3658.57,3795.1,3590.3,PARTIAL,-0.071
2024-09-19,LT.NS,MOMENTUM,LONG,3719.06,3938.76,3609.22,PARTIAL,-2.942
2024-09-20,LT.NS,MOMENTUM,LONG,3669.48,3778.2,3615.12,PARTIAL,1.345
2024-09-23,LT.NS,MOMENTUM,LONG,3768.65,4022.74,3641.61,PARTIAL,-1.485
2024-09-24,LT.NS,MOMENTUM,LONG,3756.45,3946.21,3661.57,PARTIAL,-1.062
2024-09-25,LT.NS,MOMENTUM,LONG,3756.31,3912.28,3678.32,PARTIAL,-0.999
2024-09-26,LT.NS,MOMENTUM,LONG,3769.64,3924.61,3692.16,PARTIAL,-2.182
2024-10-16,LT.NS,MOMENTUM,LONG,3520.71,3568.47,3496.84,LOSS,-1.814
2024-10-17,LT.NS,MOMENTUM,LONG,3520.62,3571.13,3495.36,LOSS,-1.854
2024-10-18,LT.NS,MOMENTUM,LONG,3540.5,3618.24,3501.63,PARTIAL,-1.01
2024-11-01,LT.NS,MOMENTUM,LONG,3595.05,3933.42,3425.86,PARTIAL,-1.174
2024-11-04,LT.NS,MOMENTUM,LONG,3595.05,3870.94,3457.1,PARTIAL,-2.604
2024-11-05,LT.NS,MOMENTUM,LONG,3526.67,3636.32,3471.84,PARTIAL,-0.706
2024-11-06,LT.NS,MOMENTUM,LONG,3564.35,3725.65,3483.7,PARTIAL,0.208
2024-11-11,LT.NS,MOMENTUM,LONG,3615.92,3759.74,3544.02,PARTIAL,-1.676
