date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,LT.NS,ORB,LONG,3517.82,3552.91,3500.28,PARTIAL,-1.198
2024-07-02,LT.NS,ORB,LONG,3512.9,3547.94,3495.38,WIN,-0.141
2024-07-04,LT.NS,ORB,LONG,3593.44,3629.28,3575.52,LOSS,-1.612
2024-07-05,LT.NS,ORB,LONG,3550.91,3586.33,3533.2,WIN,-0.129
2024-07-09,LT.NS,ORB,LONG,3627.13,3663.31,3609.04,PARTIAL,-0.962
2024-07-11,LT.NS,ORB,LONG,3637.07,3673.34,3618.93,LOSS,-1.598
2024-07-12,LT.NS,ORB,LONG,3607.25,3643.23,3589.27,LOSS,-1.608
2024-07-18,LT.NS,ORB,LONG,3617.19,3653.27,3599.15,LOSS,-1.605
2024-07-22,LT.NS,ORB,LONG,3595.23,3631.09,3577.3,LOSS,-1.611
2024-07-23,LT.NS,ORB,LONG,3646.61,3682.98,3628.42,LOSS,-1.596
2024-07-25,LT.NS,ORB,LONG,3516.83,3551.9,3499.29,WIN,-0.14
2024-07-26,LT.NS,ORB,LONG,3606.26,3642.23,3588.28,WIN,-0.112
2024-07-29,LT.NS,ORB,LONG,3677.81,3714.49,3659.47,WIN,-0.09
2024-07-30,LT.NS,ORB,LONG,3751.2,3788.61,3732.49,LOSS,-1.565
2024-07-31,LT.NS,ORB,LONG,3753.38,3790.82,3734.67,LOSS,-1.564
2024-08-01,LT.NS,ORB,LONG,3786.13,3823.89,3767.25,LOSS,-1.555
2024-08-02,LT.NS,ORB,LONG,3706.98,3743.95,3688.49,LOSS,-1.578
2024-08-05,LT.NS,ORB,LONG,3574.46,3610.11,3556.64,LOSS,-1.618
2024-08-06,LT.NS,ORB,LONG,3525.77,3560.93,3508.19,WIN,-0.137
2024-08-07,LT.NS,ORB,LONG,3607.25,3643.23,3589.27,LOSS,-1.608
2024-08-12,LT.NS,ORB,LONG,3556.57,3592.05,3538.84,LOSS,-1.623
2024-08-13,LT.NS,ORB,LONG,3557.57,3593.05,3539.83,LOSS,-1.623
2024-08-14,LT.NS,ORB,LONG,3536.65,3571.92,3519.01,LOSS,-1.63
2024-08-20,LT.NS,ORB,LONG,3539.68,3574.99,3522.03,LOSS,-1.629
2024-08-21,LT.NS,ORB,LONG,3567.51,3603.09,3549.71,LOSS,-1.62
2024-08-23,LT.NS,ORB,LONG,3583.9,3619.65,3566.03,LOSS,-1.615
2024-08-26,LT.NS,ORB,LONG,3588.37,3624.16,3570.48,LOSS,-1.613
2024-08-27,LT.NS,ORB,LONG,3619.83,3655.93,3601.77,WIN,-0.108
2024-08-28,LT.NS,ORB,LONG,3681.78,3718.51,3663.42,LOSS,-1.585
2024-08-29,LT.NS,ORB,LONG,3667.38,3703.95,3649.09,LOSS,-1.589
2024-08-30,LT.NS,ORB,LONG,3695.05,3731.91,3676.62,LOSS,-1.581
2024-09-02,LT.NS,ORB,LONG,3682.78,3719.51,3664.41,LOSS,-1.585
2024-09-03,LT.NS,ORB,LONG,3670.8,3707.42,3652.5,LOSS,-1.588
2024-09-04,LT.NS,ORB,LONG,3627.13,3663.31,3609.04,LOSS,-1.602
2024-09-10,LT.NS,ORB,LONG,3562.54,3598.07,3544.77,LOSS,-1.621
2024-09-12,LT.NS,ORB,LONG,3535.71,3570.97,3518.07,WIN,-0.134
2024-09-13,LT.NS,ORB,LONG,3599.3,3635.2,3581.36,LOSS,-1.61
2024-09-16,LT.NS,ORB,LONG,3596.47,3632.34,3578.54,WIN,-0.115
2024-09-17,LT.NS,ORB,LONG,3645.02,3681.37,3626.84,LOSS,-1.596
2024-09-18,LT.NS,ORB,LONG,3665.89,3702.45,3647.6,WIN,-0.094
2024-09-20,LT.NS,ORB,LONG,3676.82,3713.49,3658.48,WIN,-0.09
2024-09-23,LT.NS,ORB,LONG,3776.19,3813.85,3757.36,LOSS,-1.558
2024-09-24,LT.NS,ORB,LONG,3763.97,3801.51,3745.2,LOSS,-1.561
2024-09-25,LT.NS,ORB,LONG,3763.82,3801.36,3745.05,LOSS,-1.561
2024-09-30,LT.NS,ORB,LONG,3675.82,3712.49,3657.49,LOSS,-1.587
2024-10-01,LT.NS,ORB,LONG,3644.02,3680.37,3625.85,WIN,-0.1
2024-10-03,LT.NS,ORB,LONG,3560.05,3595.56,3542.3,LOSS,-1.622
2024-10-04,LT.NS,ORB,LONG,3492.98,3527.81,3475.56,LOSS,-1.644
2024-10-08,LT.NS,ORB,LONG,3471.06,3505.68,3453.75,WIN,-0.155
2024-10-09,LT.NS,ORB,LONG,3519.86,3554.96,3502.3,LOSS,-1.635
2024-10-10,LT.NS,ORB,LONG,3492.98,3527.81,3475.56,LOSS,-1.644
2024-10-11,LT.NS,ORB,LONG,3447.66,3482.05,3430.47,LOSS,-1.659
2024-10-14,LT.NS,ORB,LONG,3488.01,3522.8,3470.61,WIN,-0.149
2024-10-16,LT.NS,ORB,LONG,3527.76,3562.94,3510.16,LOSS,-1.633
2024-10-17,LT.NS,ORB,LONG,3527.66,3562.84,3510.06,LOSS,-1.633
2024-10-18,LT.NS,ORB,LONG,3547.58,3582.96,3529.89,LOSS,-1.626
2024-10-21,LT.NS,ORB,LONG,3557.57,3593.05,3539.83,LOSS,-1.623
2024-10-23,LT.NS,ORB,LONG,3479.11,3513.81,3461.76,LOSS,-1.648
2024-10-24,LT.NS,ORB,LONG,3422.42,3456.56,3405.35,LOSS,-1.667
2024-10-28,LT.NS,ORB,LONG,3295.22,3328.09,3278.79,WIN,-0.216
2024-10-29,LT.NS,ORB,LONG,3295.22,3328.09,3278.79,WIN,-0.216
2024-10-30,LT.NS,ORB,LONG,3358.77,3392.27,3342.02,WIN,-0.194
2024-10-31,LT.NS,ORB,LONG,3507.88,3542.87,3490.39,WIN,-0.143
2024-11-01,LT.NS,ORB,LONG,3602.24,3638.17,3584.27,PARTIAL,-1.371
2024-11-05,LT.NS,ORB,LONG,3533.72,3568.96,3516.1,LOSS,-1.631
2024-11-06,LT.NS,ORB,LONG,3571.48,3607.1,3553.67,WIN,-0.123
2024-11-07,LT.NS,ORB,LONG,3624.5,3660.65,3606.42,LOSS,-1.602
2024-11-08,LT.NS,ORB,LONG,3617.59,3653.67,3599.55,LOSS,-1.604
2024-11-11,LT.NS,ORB,LONG,3623.15,3659.29,3605.09,LOSS,-1.603
2024-11-13,LT.NS,ORB,LONG,3562.54,3598.07,3544.77,LOSS,-1.621
2024-11-18,LT.NS,ORB,LONG,3499.04,3533.94,3481.59,WIN,-0.146
2024-11-19,LT.NS,ORB,LONG,3537.59,3572.88,3519.95,WIN,-0.133
2024-11-22,LT.NS,ORB,LONG,3478.07,3512.76,3460.72,WIN,-0.153
2024-11-25,LT.NS,ORB,LONG,3637.07,3673.34,3618.93,WIN,-0.102
2024-11-27,LT.NS,ORB,LONG,3680.79,3717.5,3662.43,LOSS,-1.585
2024-11-28,LT.NS,ORB,LONG,3676.82,3713.49,3658.48,LOSS,-1.587
2024-11-29,LT.NS,ORB,LONG,3612.32,3648.35,3594.31,WIN,-0.11
2024-12-03,LT.NS,ORB,LONG,3697.68,3734.57,3679.24,WIN,-0.084
2024-12-04,LT.NS,ORB,LONG,3751.35,3788.76,3732.64,WIN,-0.069
2024-12-05,LT.NS,ORB,LONG,3786.13,3823.89,3767.25,WIN,-0.059
2024-12-06,LT.NS,ORB,LONG,3807.99,3845.97,3789.0,WIN,-0.053
2024-12-09,LT.NS,ORB,LONG,3843.27,3881.6,3824.1,WIN,-0.043
2024-12-11,LT.NS,ORB,LONG,3898.57,3937.45,3879.13,LOSS,-1.525
2024-12-12,LT.NS,ORB,LONG,3905.38,3944.33,3885.9,LOSS,-1.523
2024-12-13,LT.NS,ORB,LONG,3834.82,3873.07,3815.7,LOSS,-1.542
2024-12-16,LT.NS,ORB,LONG,3857.68,3896.15,3838.44,LOSS,-1.536
2024-12-17,LT.NS,ORB,LONG,3838.84,3877.13,3819.7,LOSS,-1.541
2024-12-18,LT.NS,ORB,LONG,3783.34,3821.08,3764.48,LOSS,-1.556
2024-12-19,LT.NS,ORB,LONG,3678.95,3715.65,3660.61,WIN,-0.09
2024-12-23,LT.NS,ORB,LONG,3647.0,3683.38,3628.82,LOSS,-1.595
2024-12-24,LT.NS,ORB,LONG,3625.09,3661.25,3607.01,LOSS,-1.602
2024-12-27,LT.NS,ORB,LONG,3609.64,3645.64,3591.64,LOSS,-1.607
2024-12-30,LT.NS,ORB,LONG,3585.29,3621.05,3567.41,LOSS,-1.614
2024-12-31,LT.NS,ORB,LONG,3540.23,3575.54,3522.57,WIN,-0.132
2025-01-01,LT.NS,ORB,LONG,3577.44,3613.12,3559.6,WIN,-0.121
2025-01-02,LT.NS,ORB,LONG,3653.56,3690.0,3635.34,LOSS,-1.594
2025-01-03,LT.NS,ORB,LONG,3684.77,3721.52,3666.39,LOSS,-1.584
2025-01-07,LT.NS,ORB,LONG,3584.5,3620.25,3566.62,LOSS,-1.615
2025-01-10,LT.NS,ORB,LONG,3478.02,3512.71,3460.67,WIN,-0.153
