date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-02,LT.NS,VWAP,LONG,3505.89,3565.27,3495.38,WIN,0.553
2024-07-05,LT.NS,VWAP,LONG,3543.82,3577.68,3527.96,WIN,-0.173
2024-07-25,LT.NS,VWAP,LONG,3509.81,3560.82,3492.41,WIN,0.314
2024-08-06,LT.NS,VWAP,LONG,3518.73,3552.57,3506.21,WIN,-0.175
2024-08-27,LT.NS,VWAP,LONG,3612.6,3657.79,3595.2,WIN,0.144
2024-10-29,LT.NS,VWAP,LONG,3288.65,3329.38,3278.79,WIN,0.022
2024-11-25,LT.NS,VWAP,LONG,3629.81,3688.27,3613.0,WIN,0.509
2024-11-29,LT.NS,VWAP,LONG,3605.11,3669.08,3594.31,WIN,0.665
2024-12-09,LT.NS,VWAP,LONG,3835.6,3888.34,3824.1,WIN,0.332
2025-01-01,LT.NS,VWAP,LONG,3570.3,3618.4,3559.55,WIN,0.227
2025-01-15,LT.NS,VWAP,LONG,3442.66,3467.28,3432.35,WIN,-0.447
2025-02-04,LT.NS,VWAP,LONG,3288.64,3367.06,3270.14,WIN,1.168
2025-02-19,LT.NS,VWAP,LONG,3193.59,3233.3,3175.56,WIN,-0.009
2025-03-04,LT.NS,VWAP,LONG,3144.89,3171.03,3132.25,WIN,-0.441
2025-03-24,LT.NS,VWAP,LONG,3420.55,3449.45,3407.33,WIN,-0.325
2025-04-15,LT.NS,VWAP,LONG,3153.77,3205.34,3140.46,WIN,0.367
2025-04-28,LT.NS,VWAP,LONG,3233.11,3280.37,3218.28,WIN,0.225
2025-05-09,LT.NS,VWAP,LONG,3303.52,3385.72,3293.62,WIN,1.277
2025-06-13,LT.NS,VWAP,LONG,3504.7,3556.43,3478.93,WIN,0.335
2025-06-20,LT.NS,VWAP,LONG,3617.61,3648.63,3606.77,WIN,-0.248
2025-06-26,LT.NS,VWAP,LONG,3623.72,3649.57,3612.86,WIN,-0.391
2025-06-27,LT.NS,VWAP,LONG,3668.66,3691.87,3657.67,WIN,-0.458
2025-07-29,LT.NS,VWAP,LONG,3421.42,3468.8,3399.69,WIN,0.216
2025-09-26,LT.NS,VWAP,LONG,3667.66,3728.47,3653.68,WIN,0.567
2025-10-15,LT.NS,VWAP,LONG,3750.75,3805.63,3736.81,WIN,0.397
2025-10-16,LT.NS,VWAP,LONG,3834.13,3859.23,3822.34,WIN,-0.389
2025-10-23,LT.NS,VWAP,LONG,3893.89,3924.97,3882.22,WIN,-0.229
2025-11-26,LT.NS,VWAP,LONG,4003.0,4044.87,3990.0,WIN,0.047
2026-01-01,LT.NS,VWAP,LONG,4094.09,4125.17,4080.12,WIN,-0.218
2026-01-27,LT.NS,VWAP,LONG,3747.54,3780.6,3731.52,WIN,-0.185
2026-02-02,LT.NS,VWAP,LONG,3834.53,3893.7,3817.35,WIN,0.5
2026-02-20,LT.NS,VWAP,LONG,4271.37,4345.9,4258.57,WIN,0.808
2026-03-05,LT.NS,VWAP,LONG,3928.12,4006.83,3901.08,WIN,0.985
2026-04-13,LT.NS,VWAP,LONG,3828.82,3913.87,3807.97,WIN,1.176
2026-05-04,LT.NS,VWAP,LONG,4030.03,4088.77,4017.95,WIN,0.465
2026-05-13,LT.NS,VWAP,LONG,3851.85,3905.6,3840.3,WIN,0.357
