date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-05,M&M.NS,MOMENTUM,LONG,2865.86,2945.18,2826.2,LOSS,-2.78
2024-07-10,M&M.NS,MOMENTUM,LONG,2909.55,3045.43,2841.62,LOSS,-3.71
2024-07-19,M&M.NS,MOMENTUM,LONG,2800.27,2892.48,2754.17,LOSS,-3.075
2024-07-23,M&M.NS,MOMENTUM,LONG,2804.29,2907.78,2752.55,LOSS,-3.272
2024-07-24,M&M.NS,MOMENTUM,LONG,2803.3,2889.63,2760.13,LOSS,-2.967
2024-07-26,M&M.NS,MOMENTUM,LONG,2801.91,2872.58,2766.58,WIN,1.094
2024-07-29,M&M.NS,MOMENTUM,LONG,2879.76,3070.29,2784.5,PARTIAL,-0.352
2024-07-30,M&M.NS,MOMENTUM,LONG,2924.45,3157.79,2807.78,PARTIAL,-2.244
2024-07-31,M&M.NS,MOMENTUM,LONG,2916.51,3101.02,2824.25,PARTIAL,-2.465
2024-08-01,M&M.NS,MOMENTUM,LONG,2906.08,3049.05,2834.59,LOSS,-3.836
2024-08-12,M&M.NS,MOMENTUM,LONG,2729.97,2768.2,2710.85,LOSS,-2.165
2024-08-16,M&M.NS,MOMENTUM,LONG,2769.54,2898.27,2705.17,PARTIAL,0.299
2024-08-19,M&M.NS,MOMENTUM,LONG,2839.94,3067.81,2726.01,PARTIAL,-4.818
2024-08-20,M&M.NS,MOMENTUM,LONG,2760.35,2825.49,2727.79,LOSS,-2.629
2024-08-21,M&M.NS,MOMENTUM,LONG,2754.64,2803.09,2730.42,PARTIAL,-1.718
2024-08-29,M&M.NS,MOMENTUM,LONG,2769.89,2823.12,2743.27,LOSS,-2.405
2024-09-13,M&M.NS,MOMENTUM,LONG,2735.78,2824.94,2691.19,LOSS,-3.092
2024-09-16,M&M.NS,MOMENTUM,LONG,2721.08,2773.68,2694.78,PARTIAL,-0.943
2024-09-17,M&M.NS,MOMENTUM,LONG,2745.71,2834.58,2701.27,PARTIAL,-0.738
2024-09-18,M&M.NS,MOMENTUM,LONG,2762.09,2861.39,2712.44,PARTIAL,-0.589
2024-09-19,M&M.NS,MOMENTUM,LONG,2792.38,2926.24,2725.44,PARTIAL,-2.048
2024-09-20,M&M.NS,MOMENTUM,LONG,2779.17,2870.05,2733.73,WIN,1.831
2024-09-23,M&M.NS,MOMENTUM,LONG,2942.08,3284.84,2770.7,PARTIAL,1.476
2024-09-24,M&M.NS,MOMENTUM,LONG,2998.93,3357.1,2819.84,PARTIAL,0.363
2024-09-25,M&M.NS,MOMENTUM,LONG,3023.75,3343.25,2864.0,PARTIAL,0.088
2024-09-26,M&M.NS,MOMENTUM,LONG,3050.56,3346.4,2902.64,PARTIAL,2.137
2024-09-27,M&M.NS,MOMENTUM,LONG,3148.87,3543.88,2951.37,PARTIAL,-0.972
2024-09-30,M&M.NS,MOMENTUM,LONG,3141.08,3441.52,2990.86,PARTIAL,-3.529
2024-10-03,M&M.NS,MOMENTUM,LONG,3063.47,3130.25,3030.08,WIN,0.874
2024-10-11,M&M.NS,MOMENTUM,LONG,3177.67,3366.56,3083.23,PARTIAL,-3.408
2024-10-14,M&M.NS,MOMENTUM,LONG,3129.01,3213.86,3086.59,PARTIAL,-1.255
2024-11-05,M&M.NS,MOMENTUM,LONG,2855.43,2985.19,2790.56,PARTIAL,-0.669
2024-11-06,M&M.NS,MOMENTUM,LONG,2889.69,3057.1,2805.99,PARTIAL,-0.641
2024-11-07,M&M.NS,MOMENTUM,LONG,2951.01,3202.49,2825.28,PARTIAL,-4.158
2024-11-08,M&M.NS,MOMENTUM,LONG,2889.69,3004.76,2832.16,LOSS,-3.375
2024-11-11,M&M.NS,MOMENTUM,LONG,2941.68,3116.64,2854.2,PARTIAL,-2.53
2024-11-12,M&M.NS,MOMENTUM,LONG,2910.75,3006.11,2863.06,LOSS,-3.012
2024-11-21,M&M.NS,MOMENTUM,LONG,2941.83,3134.02,2845.73,PARTIAL,-2.345
2024-11-22,M&M.NS,MOMENTUM,LONG,2923.46,3055.55,2857.41,PARTIAL,0.872
2024-11-25,M&M.NS,MOMENTUM,LONG,3053.54,3396.79,2881.92,PARTIAL,-2.365
2024-11-26,M&M.NS,MOMENTUM,LONG,3032.19,3280.6,2907.99,PARTIAL,-3.654
2024-11-27,M&M.NS,MOMENTUM,LONG,3004.83,3180.71,2916.9,PARTIAL,-2.129
2024-11-28,M&M.NS,MOMENTUM,LONG,2974.1,3066.5,2927.9,LOSS,-2.898
2024-12-03,M&M.NS,MOMENTUM,LONG,3020.47,3197.2,2932.11,PARTIAL,-1.897
2024-12-05,M&M.NS,MOMENTUM,LONG,3028.67,3175.34,2955.33,PARTIAL,-0.711
2024-12-06,M&M.NS,MOMENTUM,LONG,3054.04,3218.4,2971.86,PARTIAL,-1.491
2024-12-09,M&M.NS,MOMENTUM,LONG,3042.02,3155.35,2985.36,PARTIAL,-1.811
2024-12-11,M&M.NS,MOMENTUM,LONG,3030.7,3091.8,3000.15,PARTIAL,-0.763
2024-12-30,M&M.NS,MOMENTUM,LONG,3006.92,3095.73,2962.52,PARTIAL,-2.26
2025-01-01,M&M.NS,MOMENTUM,LONG,2986.12,3026.24,2966.05,WIN,0.004
2025-01-02,M&M.NS,MOMENTUM,LONG,3078.37,3270.12,2982.49,PARTIAL,2.181
2025-01-03,M&M.NS,MOMENTUM,LONG,3192.57,3535.33,3021.19,PARTIAL,-2.113
2025-01-06,M&M.NS,MOMENTUM,LONG,3187.2,3465.46,3048.07,PARTIAL,-4.589
2025-01-07,M&M.NS,MOMENTUM,LONG,3088.3,3159.3,3052.8,PARTIAL,-1.432
2025-01-29,M&M.NS,MOMENTUM,LONG,2863.83,2892.88,2849.3,WIN,-0.382
2025-01-30,M&M.NS,MOMENTUM,LONG,2903.94,2996.02,2857.91,PARTIAL,0.132
2025-01-31,M&M.NS,MOMENTUM,LONG,2949.28,3099.61,2874.11,PARTIAL,-0.788
2025-02-01,M&M.NS,MOMENTUM,LONG,2969.14,3125.98,2890.71,PARTIAL,1.451
2025-02-03,M&M.NS,MOMENTUM,LONG,3035.27,3263.44,2921.18,PARTIAL,2.396
2025-02-04,M&M.NS,MOMENTUM,LONG,3202.5,3678.17,2964.66,PARTIAL,-2.463
