date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,M&M.NS,ORB,LONG,2807.26,2835.26,2793.26,WIN,-0.427
2024-06-28,M&M.NS,ORB,LONG,2820.1,2848.23,2806.03,WIN,-0.421
2024-07-01,M&M.NS,ORB,LONG,2806.27,2834.26,2792.28,WIN,-0.428
2024-07-03,M&M.NS,ORB,LONG,2835.9,2864.19,2821.76,LOSS,-1.909
2024-07-04,M&M.NS,ORB,LONG,2854.67,2883.14,2840.43,PARTIAL,-1.259
2024-07-08,M&M.NS,ORB,LONG,2866.22,2894.81,2851.93,WIN,-0.398
2024-07-09,M&M.NS,ORB,LONG,2841.1,2869.43,2826.93,WIN,-0.411
2024-07-12,M&M.NS,ORB,LONG,2676.22,2702.92,2662.88,PARTIAL,-1.264
2024-07-15,M&M.NS,ORB,LONG,2709.26,2736.28,2695.75,LOSS,-1.975
2024-07-16,M&M.NS,ORB,LONG,2741.2,2768.54,2727.53,LOSS,-1.958
2024-07-18,M&M.NS,ORB,LONG,2742.24,2769.59,2728.57,WIN,-0.461
2024-07-22,M&M.NS,ORB,LONG,2737.32,2764.62,2723.67,WIN,-0.464
2024-07-23,M&M.NS,ORB,LONG,2809.9,2837.93,2795.89,LOSS,-1.922
2024-07-25,M&M.NS,ORB,LONG,2785.82,2813.61,2771.93,LOSS,-1.935
2024-07-26,M&M.NS,ORB,LONG,2807.51,2835.52,2793.51,WIN,-0.427
2024-07-29,M&M.NS,ORB,LONG,2885.52,2914.3,2871.13,WIN,-0.389
2024-07-31,M&M.NS,ORB,LONG,2922.34,2951.49,2907.76,WIN,-0.371
2024-08-05,M&M.NS,ORB,LONG,2666.27,2692.87,2652.98,WIN,-0.503
2024-08-06,M&M.NS,ORB,LONG,2674.88,2701.56,2661.54,WIN,-0.498
2024-08-08,M&M.NS,ORB,LONG,2647.22,2673.62,2634.02,WIN,-0.514
2024-08-09,M&M.NS,ORB,LONG,2720.35,2747.48,2706.79,LOSS,-1.969
2024-08-13,M&M.NS,ORB,LONG,2704.53,2731.51,2691.04,LOSS,-1.978
2024-08-14,M&M.NS,ORB,LONG,2715.18,2742.26,2701.64,WIN,-0.476
2024-08-16,M&M.NS,ORB,LONG,2775.08,2802.76,2761.24,WIN,-0.444
2024-08-23,M&M.NS,ORB,LONG,2719.31,2746.43,2705.75,WIN,-0.474
2024-08-26,M&M.NS,ORB,LONG,2751.15,2778.59,2737.43,LOSS,-1.953
2024-08-28,M&M.NS,ORB,LONG,2768.01,2795.62,2754.21,WIN,-0.448
2024-08-29,M&M.NS,ORB,LONG,2775.43,2803.11,2761.58,LOSS,-1.94
2024-08-30,M&M.NS,ORB,LONG,2766.12,2793.71,2752.33,WIN,-0.449
2024-09-03,M&M.NS,ORB,LONG,2766.12,2793.71,2752.33,LOSS,-1.945
2024-09-04,M&M.NS,ORB,LONG,2747.22,2774.62,2733.52,LOSS,-1.955
2024-09-06,M&M.NS,ORB,LONG,2709.41,2736.43,2695.9,LOSS,-1.975
2024-09-09,M&M.NS,ORB,LONG,2674.73,2701.41,2661.39,LOSS,-1.994
2024-09-10,M&M.NS,ORB,LONG,2677.82,2704.52,2664.46,LOSS,-1.992
2024-09-11,M&M.NS,ORB,LONG,2668.11,2694.73,2654.81,LOSS,-1.998
2024-09-12,M&M.NS,ORB,LONG,2651.7,2678.14,2638.47,WIN,-0.511
2024-09-16,M&M.NS,ORB,LONG,2726.52,2753.72,2712.92,WIN,-0.47
2024-09-17,M&M.NS,ORB,LONG,2751.2,2778.64,2737.48,LOSS,-1.953
2024-09-18,M&M.NS,ORB,LONG,2767.61,2795.22,2753.81,WIN,-0.448
2024-09-19,M&M.NS,ORB,LONG,2797.96,2825.87,2784.01,WIN,-0.432
2024-09-20,M&M.NS,ORB,LONG,2784.73,2812.5,2770.84,WIN,-0.439
2024-09-23,M&M.NS,ORB,LONG,2947.96,2977.36,2933.26,WIN,-0.359
2024-09-24,M&M.NS,ORB,LONG,3004.92,3034.9,2989.94,WIN,-0.334
2024-09-25,M&M.NS,ORB,LONG,3029.8,3060.02,3014.69,WIN,-0.323
2024-09-26,M&M.NS,ORB,LONG,3056.66,3087.15,3041.42,WIN,-0.311
2024-09-27,M&M.NS,ORB,LONG,3155.17,3186.64,3139.44,WIN,-0.27
2024-09-30,M&M.NS,ORB,LONG,3147.36,3178.75,3131.66,LOSS,-1.77
2024-10-01,M&M.NS,ORB,LONG,3090.0,3120.82,3074.59,WIN,-0.297
2024-10-03,M&M.NS,ORB,LONG,3069.6,3100.22,3054.29,WIN,-0.306
2024-10-04,M&M.NS,ORB,LONG,3111.44,3142.47,3095.92,LOSS,-1.784
2024-10-07,M&M.NS,ORB,LONG,3012.88,3042.94,2997.86,LOSS,-1.826
2024-10-08,M&M.NS,ORB,LONG,3058.65,3089.16,3043.4,WIN,-0.31
2024-10-09,M&M.NS,ORB,LONG,3149.0,3180.41,3133.3,LOSS,-1.769
2024-10-10,M&M.NS,ORB,LONG,3140.25,3171.57,3124.58,WIN,-0.276
2024-10-11,M&M.NS,ORB,LONG,3184.03,3215.78,3168.15,LOSS,-1.755
2024-10-14,M&M.NS,ORB,LONG,3135.27,3166.54,3119.63,LOSS,-1.775
2024-10-15,M&M.NS,ORB,LONG,3161.14,3192.67,3145.38,LOSS,-1.764
2024-10-16,M&M.NS,ORB,LONG,3122.34,3153.48,3106.76,LOSS,-1.78
2024-10-17,M&M.NS,ORB,LONG,3039.75,3070.07,3024.59,LOSS,-1.815
2024-10-18,M&M.NS,ORB,LONG,2930.65,2959.88,2916.03,WIN,-0.367
2024-10-21,M&M.NS,ORB,LONG,2944.98,2974.35,2930.29,WIN,-0.361
2024-10-23,M&M.NS,ORB,LONG,2861.79,2890.34,2847.52,WIN,-0.4
2024-10-24,M&M.NS,ORB,LONG,2749.21,2776.63,2735.5,WIN,-0.458
2024-10-28,M&M.NS,ORB,LONG,2716.37,2743.47,2702.83,WIN,-0.475
2024-10-29,M&M.NS,ORB,LONG,2748.21,2775.62,2734.51,WIN,-0.458
2024-10-30,M&M.NS,ORB,LONG,2675.83,2702.51,2662.48,WIN,-0.497
2024-10-31,M&M.NS,ORB,LONG,2694.18,2721.06,2680.75,WIN,-0.487
2024-11-01,M&M.NS,ORB,LONG,2766.12,2793.71,2752.33,WIN,-0.449
2024-11-04,M&M.NS,ORB,LONG,2790.5,2818.33,2776.58,WIN,-0.436
2024-11-05,M&M.NS,ORB,LONG,2861.15,2889.68,2846.88,LOSS,-1.897
2024-11-06,M&M.NS,ORB,LONG,2895.47,2924.35,2881.03,WIN,-0.384
2024-11-08,M&M.NS,ORB,LONG,2895.47,2924.35,2881.03,WIN,-0.384
2024-11-11,M&M.NS,ORB,LONG,2947.56,2976.96,2932.86,WIN,-0.36
2024-11-12,M&M.NS,ORB,LONG,2916.57,2945.66,2902.02,LOSS,-1.87
2024-11-13,M&M.NS,ORB,LONG,2861.64,2890.19,2847.37,LOSS,-1.897
2024-11-14,M&M.NS,ORB,LONG,2800.95,2828.88,2786.98,LOSS,-1.927
2024-11-18,M&M.NS,ORB,LONG,2829.8,2858.03,2815.69,LOSS,-1.912
2024-11-19,M&M.NS,ORB,LONG,2830.8,2859.03,2816.68,WIN,-0.416
2024-11-21,M&M.NS,ORB,LONG,2947.71,2977.11,2933.01,LOSS,-1.856
2024-11-22,M&M.NS,ORB,LONG,2929.3,2958.52,2914.7,WIN,-0.368
2024-11-25,M&M.NS,ORB,LONG,3059.65,3090.17,3044.39,WIN,-0.31
2024-11-26,M&M.NS,ORB,LONG,3038.26,3068.56,3023.11,LOSS,-1.815
2024-11-27,M&M.NS,ORB,LONG,3010.84,3040.87,2995.83,WIN,-0.331
2024-11-29,M&M.NS,ORB,LONG,2888.51,2917.32,2874.1,WIN,-0.387
2024-12-02,M&M.NS,ORB,LONG,2969.1,2998.72,2954.3,WIN,-0.35
2024-12-04,M&M.NS,ORB,LONG,2988.01,3017.81,2973.11,WIN,-0.341
2024-12-05,M&M.NS,ORB,LONG,3034.72,3064.99,3019.59,WIN,-0.321
2024-12-06,M&M.NS,ORB,LONG,3060.15,3090.67,3044.89,LOSS,-1.806
2024-12-09,M&M.NS,ORB,LONG,3048.11,3078.51,3032.91,LOSS,-1.811
2024-12-10,M&M.NS,ORB,LONG,3032.73,3062.98,3017.61,LOSS,-1.818
2024-12-11,M&M.NS,ORB,LONG,3036.76,3067.05,3021.62,WIN,-0.32
2024-12-13,M&M.NS,ORB,LONG,3035.77,3066.05,3020.63,WIN,-0.32
2024-12-17,M&M.NS,ORB,LONG,3039.85,3070.17,3024.69,LOSS,-1.815
2024-12-18,M&M.NS,ORB,LONG,3010.99,3041.03,2995.98,PARTIAL,-0.801
2024-12-19,M&M.NS,ORB,LONG,2990.99,3020.83,2976.08,LOSS,-1.836
2024-12-20,M&M.NS,ORB,LONG,2999.6,3029.52,2984.64,LOSS,-1.832
2024-12-23,M&M.NS,ORB,LONG,2903.43,2932.39,2888.95,LOSS,-1.876
2024-12-24,M&M.NS,ORB,LONG,2894.88,2923.75,2880.44,WIN,-0.384
2024-12-26,M&M.NS,ORB,LONG,2910.4,2939.43,2895.88,WIN,-0.377
2024-12-27,M&M.NS,ORB,LONG,2972.29,3001.93,2957.47,WIN,-0.348
2024-12-30,M&M.NS,ORB,LONG,3012.93,3042.99,2997.91,LOSS,-1.826
2024-12-31,M&M.NS,ORB,LONG,2979.45,3009.17,2964.59,LOSS,-1.841
2025-01-01,M&M.NS,ORB,LONG,2992.09,3021.93,2977.17,WIN,-0.339
2025-01-02,M&M.NS,ORB,LONG,3084.52,3115.29,3069.14,WIN,-0.299
2025-01-03,M&M.NS,ORB,LONG,3198.95,3230.86,3183.0,LOSS,-1.749
2025-01-06,M&M.NS,ORB,LONG,3193.58,3225.43,3177.65,LOSS,-1.751
2025-01-07,M&M.NS,ORB,LONG,3094.48,3125.34,3079.04,LOSS,-1.791
2025-01-09,M&M.NS,ORB,LONG,3088.31,3119.11,3072.9,WIN,-0.298
2025-01-10,M&M.NS,ORB,LONG,3094.47,3125.34,3079.04,LOSS,-1.791
2025-01-13,M&M.NS,ORB,LONG,3038.41,3068.71,3023.25,LOSS,-1.815
2025-01-14,M&M.NS,ORB,LONG,2985.02,3014.8,2970.14,WIN,-0.343
2025-01-16,M&M.NS,ORB,LONG,2963.28,2992.84,2948.51,LOSS,-1.849
2025-01-20,M&M.NS,ORB,LONG,2895.47,2924.35,2881.03,LOSS,-1.88
2025-01-23,M&M.NS,ORB,LONG,2812.34,2840.39,2798.32,WIN,-0.425
2025-01-24,M&M.NS,ORB,LONG,2860.65,2889.18,2846.38,LOSS,-1.897
2025-01-27,M&M.NS,ORB,LONG,2758.46,2785.97,2744.7,WIN,-0.453
2025-01-28,M&M.NS,ORB,LONG,2820.85,2848.98,2806.78,WIN,-0.421
2025-01-29,M&M.NS,ORB,LONG,2869.55,2898.17,2855.24,WIN,-0.397
2025-01-30,M&M.NS,ORB,LONG,2909.75,2938.77,2895.24,WIN,-0.377
2025-01-31,M&M.NS,ORB,LONG,2955.17,2984.65,2940.44,WIN,-0.356
2025-02-01,M&M.NS,ORB,LONG,2975.07,3004.75,2960.24,WIN,-0.347
2025-02-03,M&M.NS,ORB,LONG,3041.34,3071.68,3026.17,WIN,-0.318
2025-02-04,M&M.NS,ORB,LONG,3208.9,3240.91,3192.9,WIN,-0.249
2025-02-05,M&M.NS,ORB,LONG,3173.13,3204.78,3157.31,LOSS,-1.759
2025-02-06,M&M.NS,ORB,LONG,3154.18,3185.64,3138.45,LOSS,-1.767
2025-02-07,M&M.NS,ORB,LONG,3152.19,3183.63,3136.47,WIN,-0.272
2025-02-10,M&M.NS,ORB,LONG,3193.18,3225.03,3177.26,WIN,-0.255
2025-02-13,M&M.NS,ORB,LONG,3009.85,3039.87,2994.84,LOSS,-1.828
2025-02-14,M&M.NS,ORB,LONG,2984.03,3013.79,2969.15,LOSS,-1.839
2025-02-17,M&M.NS,ORB,LONG,2926.12,2955.3,2911.53,LOSS,-1.866
2025-02-19,M&M.NS,ORB,LONG,2736.27,2763.56,2722.63,LOSS,-1.961
2025-02-20,M&M.NS,ORB,LONG,2731.4,2758.64,2717.78,WIN,-0.467
2025-02-24,M&M.NS,ORB,LONG,2655.68,2682.16,2642.43,WIN,-0.509
2025-02-25,M&M.NS,ORB,LONG,2726.32,2753.51,2712.73,WIN,-0.47
2025-03-03,M&M.NS,ORB,LONG,2600.75,2626.69,2587.78,WIN,-0.541
2025-03-04,M&M.NS,ORB,LONG,2548.22,2573.63,2535.51,WIN,-0.572
2025-03-05,M&M.NS,ORB,LONG,2648.66,2675.08,2635.45,WIN,-0.513
2025-03-06,M&M.NS,ORB,LONG,2734.28,2761.55,2720.65,LOSS,-1.962
2025-03-07,M&M.NS,ORB,LONG,2707.72,2734.72,2694.21,WIN,-0.48
2025-03-10,M&M.NS,ORB,LONG,2681.55,2708.29,2668.17,WIN,-0.494
2025-03-12,M&M.NS,ORB,LONG,2632.39,2658.65,2619.27,LOSS,-2.018
2025-03-13,M&M.NS,ORB,LONG,2663.74,2690.3,2650.45,LOSS,-2.0
2025-03-17,M&M.NS,ORB,LONG,2621.85,2648.0,2608.77,WIN,-0.528
2025-03-19,M&M.NS,ORB,LONG,2781.05,2808.79,2767.18,WIN,-0.441
2025-03-20,M&M.NS,ORB,LONG,2789.75,2817.58,2775.84,WIN,-0.436
2025-03-21,M&M.NS,ORB,LONG,2824.93,2853.1,2810.84,WIN,-0.419
2025-03-25,M&M.NS,ORB,LONG,2760.85,2788.39,2747.08,LOSS,-1.948
2025-03-26,M&M.NS,ORB,LONG,2737.57,2764.87,2723.91,WIN,-0.464
2025-03-27,M&M.NS,ORB,LONG,2721.35,2748.49,2707.78,LOSS,-1.969
2025-04-01,M&M.NS,ORB,LONG,2639.56,2665.88,2626.39,WIN,-0.518
2025-04-02,M&M.NS,ORB,LONG,2617.97,2644.08,2604.91,LOSS,-2.027
2025-04-03,M&M.NS,ORB,LONG,2594.73,2620.61,2581.79,WIN,-0.544
2025-04-04,M&M.NS,ORB,LONG,2601.9,2627.85,2588.92,LOSS,-2.036
2025-04-07,M&M.NS,ORB,LONG,2412.89,2436.96,2400.86,WIN,-0.66
2025-04-08,M&M.NS,ORB,LONG,2497.47,2522.38,2485.02,WIN,-0.604
2025-04-09,M&M.NS,ORB,LONG,2527.32,2552.53,2514.72,LOSS,-2.081
2025-04-11,M&M.NS,ORB,LONG,2536.28,2561.57,2523.63,WIN,-0.58
2025-04-15,M&M.NS,ORB,LONG,2592.99,2618.85,2580.06,WIN,-0.545
2025-04-17,M&M.NS,ORB,LONG,2618.86,2644.98,2605.8,WIN,-0.53
2025-04-21,M&M.NS,ORB,LONG,2686.42,2713.22,2673.02,WIN,-0.492
2025-04-22,M&M.NS,ORB,LONG,2751.2,2778.64,2737.48,WIN,-0.457
2025-04-23,M&M.NS,ORB,LONG,2815.87,2843.96,2801.83,WIN,-0.423
2025-04-24,M&M.NS,ORB,LONG,2903.23,2932.19,2888.76,LOSS,-1.876
2025-04-25,M&M.NS,ORB,LONG,2886.92,2915.71,2872.52,WIN,-0.388
2025-04-28,M&M.NS,ORB,LONG,2904.33,2933.3,2889.84,LOSS,-1.876
2025-04-29,M&M.NS,ORB,LONG,2935.27,2964.55,2920.64,LOSS,-1.861
2025-04-30,M&M.NS,ORB,LONG,2894.28,2923.15,2879.85,WIN,-0.385
2025-05-02,M&M.NS,ORB,LONG,2935.27,2964.55,2920.64,WIN,-0.365
2025-05-05,M&M.NS,ORB,LONG,2934.18,2963.44,2919.55,WIN,-0.366
2025-05-07,M&M.NS,ORB,LONG,3006.81,3036.8,2991.82,WIN,-0.333
2025-05-08,M&M.NS,ORB,LONG,3111.79,3142.83,3096.27,LOSS,-1.784
2025-05-09,M&M.NS,ORB,LONG,2946.82,2976.21,2932.12,WIN,-0.36
2025-05-12,M&M.NS,ORB,LONG,3029.5,3059.72,3014.39,WIN,-0.323
2025-05-13,M&M.NS,ORB,LONG,3034.77,3065.04,3019.64,WIN,-0.321
2025-05-14,M&M.NS,ORB,LONG,3022.34,3052.48,3007.26,WIN,-0.326
2025-05-15,M&M.NS,ORB,LONG,3069.6,3100.22,3054.29,WIN,-0.306
2025-05-16,M&M.NS,ORB,LONG,3119.35,3150.46,3103.79,LOSS,-1.781
2025-05-19,M&M.NS,ORB,LONG,3099.45,3130.36,3083.99,WIN,-0.293
2025-05-21,M&M.NS,ORB,LONG,3047.71,3078.11,3032.51,WIN,-0.315
2025-05-22,M&M.NS,ORB,LONG,3061.24,3091.77,3045.98,LOSS,-1.805
2025-05-23,M&M.NS,ORB,LONG,3004.92,3034.9,2989.94,LOSS,-1.83
2025-05-26,M&M.NS,ORB,LONG,3022.83,3052.98,3007.76,WIN,-0.326
2025-05-29,M&M.NS,ORB,LONG,2984.03,3013.79,2969.15,LOSS,-1.839
2025-05-30,M&M.NS,ORB,LONG,2990.0,3019.82,2975.09,LOSS,-1.836
2025-06-02,M&M.NS,ORB,LONG,2961.94,2991.48,2947.17,WIN,-0.353
2025-06-03,M&M.NS,ORB,LONG,3026.81,3057.0,3011.72,LOSS,-1.82
2025-06-04,M&M.NS,ORB,LONG,3029.9,3060.12,3014.79,WIN,-0.323
2025-06-05,M&M.NS,ORB,LONG,3062.63,3093.18,3047.36,LOSS,-1.805
2025-06-06,M&M.NS,ORB,LONG,3026.42,3056.6,3011.32,WIN,-0.324
2025-06-09,M&M.NS,ORB,LONG,3114.38,3145.44,3098.84,LOSS,-1.783
2025-06-11,M&M.NS,ORB,LONG,3069.6,3100.22,3054.29,LOSS,-1.802
2025-06-13,M&M.NS,ORB,LONG,2917.36,2946.46,2902.81,WIN,-0.374
2025-06-16,M&M.NS,ORB,LONG,2986.02,3015.8,2971.13,WIN,-0.342
2025-06-18,M&M.NS,ORB,LONG,2985.02,3014.8,2970.14,WIN,-0.343
2025-06-19,M&M.NS,ORB,LONG,3022.83,3052.98,3007.76,WIN,-0.326
2025-06-20,M&M.NS,ORB,LONG,3084.52,3115.29,3069.14,WIN,-0.299
2025-06-23,M&M.NS,ORB,LONG,3147.81,3179.2,3132.11,LOSS,-1.769
2025-06-24,M&M.NS,ORB,LONG,3139.35,3170.66,3123.69,WIN,-0.277
2025-06-25,M&M.NS,ORB,LONG,3164.13,3195.68,3148.35,WIN,-0.267
2025-06-26,M&M.NS,ORB,LONG,3209.8,3241.81,3193.79,LOSS,-1.745
2025-06-27,M&M.NS,ORB,LONG,3189.0,3220.81,3173.1,LOSS,-1.753
2025-06-30,M&M.NS,ORB,LONG,3189.4,3221.21,3173.49,LOSS,-1.753
2025-07-01,M&M.NS,ORB,LONG,3172.09,3203.72,3156.27,LOSS,-1.76
2025-07-02,M&M.NS,ORB,LONG,3152.19,3183.63,3136.47,LOSS,-1.768
