date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,M&M.NS,VWAP,LONG,2800.67,2825.82,2789.57,WIN,-0.53
2024-09-18,M&M.NS,VWAP,LONG,2762.09,2788.88,2750.0,WIN,-0.478
2024-09-20,M&M.NS,VWAP,LONG,2779.17,2879.98,2770.64,WIN,2.188
2024-09-23,M&M.NS,VWAP,LONG,2942.08,2996.87,2926.72,WIN,0.503
2024-09-24,M&M.NS,VWAP,LONG,2998.93,3039.86,2989.94,WIN,0.031
2024-09-25,M&M.NS,VWAP,LONG,3023.75,3066.89,3004.34,WIN,0.104
2024-10-01,M&M.NS,VWAP,LONG,3083.83,3123.82,3064.98,WIN,-0.0
2024-10-08,M&M.NS,VWAP,LONG,3052.55,3111.25,3035.48,WIN,0.613
2024-10-10,M&M.NS,VWAP,LONG,3133.98,3164.44,3123.59,WIN,-0.304
2024-10-24,M&M.NS,VWAP,LONG,2743.72,2788.12,2735.5,WIN,0.16
2024-11-01,M&M.NS,VWAP,LONG,2760.6,2790.43,2752.33,WIN,-0.368
2024-11-04,M&M.NS,VWAP,LONG,2784.93,2863.73,2776.58,WIN,1.393
2024-11-19,M&M.NS,VWAP,LONG,2825.15,2907.29,2816.68,WIN,1.492
2024-11-29,M&M.NS,VWAP,LONG,2882.74,2930.04,2874.1,WIN,0.253
2024-12-04,M&M.NS,VWAP,LONG,2982.05,3004.73,2973.11,WIN,-0.581
2024-12-26,M&M.NS,VWAP,LONG,2904.59,2937.55,2894.25,WIN,-0.242
2024-12-27,M&M.NS,VWAP,LONG,2966.36,3006.35,2948.41,WIN,-0.0
2025-01-01,M&M.NS,VWAP,LONG,2986.12,3030.37,2965.39,WIN,0.142
2025-01-02,M&M.NS,VWAP,LONG,3078.37,3149.45,3054.34,WIN,1.01
2025-01-14,M&M.NS,VWAP,LONG,2979.07,3018.28,2969.79,WIN,-0.026
2025-01-30,M&M.NS,VWAP,LONG,2903.94,2942.81,2889.94,WIN,-0.039
2025-02-01,M&M.NS,VWAP,LONG,2969.14,3030.88,2960.24,WIN,0.732
2025-02-03,M&M.NS,VWAP,LONG,3035.27,3110.34,3014.44,WIN,1.156
2025-03-17,M&M.NS,VWAP,LONG,2616.61,2667.63,2608.77,WIN,0.421
2025-04-07,M&M.NS,VWAP,LONG,2408.08,2460.53,2400.86,WIN,0.517
2025-04-15,M&M.NS,VWAP,LONG,2587.82,2626.23,2580.06,WIN,-0.061
2025-04-23,M&M.NS,VWAP,LONG,2810.25,2865.91,2797.87,WIN,0.557
2025-05-05,M&M.NS,VWAP,LONG,2928.32,2977.15,2908.46,WIN,0.301
2025-05-07,M&M.NS,VWAP,LONG,3000.81,3064.31,2991.82,WIN,0.783
2025-05-09,M&M.NS,VWAP,LONG,2940.93,2974.17,2925.59,WIN,-0.23
2025-06-13,M&M.NS,VWAP,LONG,2911.54,2961.71,2902.81,WIN,0.349
2025-06-19,M&M.NS,VWAP,LONG,3016.8,3054.1,3004.0,WIN,-0.09
2025-06-20,M&M.NS,VWAP,LONG,3078.37,3134.05,3059.54,WIN,0.51
2025-07-15,M&M.NS,VWAP,LONG,3089.19,3119.93,3076.73,WIN,-0.3
2025-08-12,M&M.NS,VWAP,LONG,3189.29,3224.87,3178.73,WIN,-0.139
2025-09-01,M&M.NS,VWAP,LONG,3194.29,3277.13,3184.72,WIN,1.341
2025-10-01,M&M.NS,VWAP,LONG,3422.62,3459.97,3408.67,WIN,-0.077
2025-10-16,M&M.NS,VWAP,LONG,3506.5,3544.1,3491.3,WIN,-0.069
2025-10-17,M&M.NS,VWAP,LONG,3564.56,3621.1,3552.98,WIN,0.464
2025-11-03,M&M.NS,VWAP,LONG,3514.51,3549.97,3503.98,WIN,-0.129
2025-11-28,M&M.NS,VWAP,LONG,3695.69,3738.77,3682.72,WIN,0.083
2026-01-16,M&M.NS,VWAP,LONG,3653.75,3679.4,3642.8,WIN,-0.393
2026-01-28,M&M.NS,VWAP,LONG,3382.38,3427.37,3369.25,WIN,0.147
2026-01-30,M&M.NS,VWAP,LONG,3286.28,3389.0,3276.23,WIN,1.908
2026-02-02,M&M.NS,VWAP,LONG,3358.35,3426.33,3337.01,WIN,0.833
2026-03-05,M&M.NS,VWAP,LONG,3280.58,3328.27,3269.65,WIN,0.234
2026-03-16,M&M.NS,VWAP,LONG,2904.9,2991.93,2890.21,WIN,1.619
2026-03-18,M&M.NS,VWAP,LONG,3143.24,3196.97,3133.82,WIN,0.437
2026-04-08,M&M.NS,VWAP,LONG,3128.12,3183.37,3102.78,WIN,0.487
2026-04-10,M&M.NS,VWAP,LONG,3183.18,3236.6,3173.64,WIN,0.422
2026-04-21,M&M.NS,VWAP,LONG,3215.21,3240.53,3205.58,WIN,-0.457
2026-04-27,M&M.NS,VWAP,LONG,3053.05,3088.8,3043.9,WIN,-0.139
2026-04-29,M&M.NS,VWAP,LONG,3103.1,3145.43,3085.82,WIN,0.075
2026-05-06,M&M.NS,VWAP,LONG,3248.24,3286.67,3237.01,WIN,-0.049
2026-05-07,M&M.NS,VWAP,LONG,3315.21,3358.23,3298.39,WIN,0.091
