date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-01,MPHASIS.NS,MOMENTUM,LONG,2383.33,2508.94,2320.53,PARTIAL,-1.219
2024-07-02,MPHASIS.NS,MOMENTUM,LONG,2412.15,2568.75,2333.85,PARTIAL,-1.951
2024-07-03,MPHASIS.NS,MOMENTUM,LONG,2427.52,2589.24,2346.66,PARTIAL,-0.069
2024-07-04,MPHASIS.NS,MOMENTUM,LONG,2468.3,2666.85,2369.03,PARTIAL,-1.186
2024-07-05,MPHASIS.NS,MOMENTUM,LONG,2494.72,2705.06,2389.55,PARTIAL,-0.474
2024-07-08,MPHASIS.NS,MOMENTUM,LONG,2531.27,2764.4,2414.71,PARTIAL,-2.645
2024-07-09,MPHASIS.NS,MOMENTUM,LONG,2507.25,2659.5,2431.13,PARTIAL,-2.059
2024-07-10,MPHASIS.NS,MOMENTUM,LONG,2506.47,2634.34,2442.54,PARTIAL,-1.852
2024-07-15,MPHASIS.NS,MOMENTUM,LONG,2664.43,3001.15,2496.06,PARTIAL,-0.795
2024-07-16,MPHASIS.NS,MOMENTUM,LONG,2660.55,2917.87,2531.89,PARTIAL,1.656
2024-07-18,MPHASIS.NS,MOMENTUM,LONG,2757.71,3127.54,2572.79,PARTIAL,-0.724
2024-07-19,MPHASIS.NS,MOMENTUM,LONG,2836.22,3284.42,2612.11,PARTIAL,-2.079
2024-07-22,MPHASIS.NS,MOMENTUM,LONG,2814.63,3140.97,2651.45,PARTIAL,0.491
2024-07-23,MPHASIS.NS,MOMENTUM,LONG,2871.3,3227.65,2693.13,PARTIAL,-1.104
2024-07-24,MPHASIS.NS,MOMENTUM,LONG,2889.02,3209.65,2728.7,PARTIAL,-3.994
2024-07-25,MPHASIS.NS,MOMENTUM,LONG,2777.38,2844.16,2744.0,LOSS,-2.642
2024-07-29,MPHASIS.NS,MOMENTUM,LONG,2983.43,3363.58,2793.35,PARTIAL,-5.003
2024-07-31,MPHASIS.NS,MOMENTUM,LONG,2847.99,2911.78,2816.1,PARTIAL,-1.831
2024-08-01,MPHASIS.NS,MOMENTUM,LONG,2850.55,2914.94,2818.35,LOSS,-2.533
2024-08-16,MPHASIS.NS,MOMENTUM,LONG,2675.32,2700.51,2662.72,WIN,-0.553
2024-08-19,MPHASIS.NS,MOMENTUM,LONG,2878.42,3236.75,2699.25,PARTIAL,0.033
2024-08-20,MPHASIS.NS,MOMENTUM,LONG,2930.87,3309.57,2741.52,PARTIAL,-0.712
2024-08-21,MPHASIS.NS,MOMENTUM,LONG,2944.22,3269.76,2781.45,PARTIAL,-0.23
2024-08-22,MPHASIS.NS,MOMENTUM,LONG,2991.33,3336.25,2818.86,PARTIAL,-0.86
2024-08-23,MPHASIS.NS,MOMENTUM,LONG,3007.96,3315.07,2854.41,PARTIAL,-3.625
2024-08-30,MPHASIS.NS,MOMENTUM,LONG,3071.75,3321.05,2947.1,PARTIAL,-2.202
2024-09-02,MPHASIS.NS,MOMENTUM,LONG,3047.17,3212.14,2964.68,PARTIAL,-1.491
2024-09-03,MPHASIS.NS,MOMENTUM,LONG,3044.27,3176.29,2978.26,PARTIAL,-0.662
2024-09-04,MPHASIS.NS,MOMENTUM,LONG,3006.05,3030.95,2993.6,WIN,-0.502
2024-09-13,MPHASIS.NS,MOMENTUM,LONG,3058.99,3179.9,2998.54,PARTIAL,-0.473
2024-09-16,MPHASIS.NS,MOMENTUM,LONG,3101.19,3275.81,3013.88,PARTIAL,-2.473
2024-09-17,MPHASIS.NS,MOMENTUM,LONG,3066.89,3156.34,3022.17,PARTIAL,0.282
2024-09-18,MPHASIS.NS,MOMENTUM,LONG,3097.61,3214.88,3038.98,LOSS,-3.184
2024-09-25,MPHASIS.NS,MOMENTUM,LONG,3013.26,3060.21,2989.78,LOSS,-2.107
2024-09-30,MPHASIS.NS,MOMENTUM,LONG,3024.45,3096.06,2988.64,LOSS,-2.506
2024-10-15,MPHASIS.NS,MOMENTUM,LONG,2921.99,3051.65,2857.16,LOSS,-3.588
2024-10-16,MPHASIS.NS,MOMENTUM,LONG,2874.49,2906.5,2858.49,LOSS,-1.948
2024-10-17,MPHASIS.NS,MOMENTUM,LONG,2950.35,3139.18,2855.94,PARTIAL,1.0
2024-10-18,MPHASIS.NS,MOMENTUM,LONG,3012.87,3264.78,2886.91,PARTIAL,-0.59
2024-10-21,MPHASIS.NS,MOMENTUM,LONG,3042.31,3297.47,2914.73,PARTIAL,-5.105
2024-10-22,MPHASIS.NS,MOMENTUM,LONG,2929.6,2957.93,2915.43,WIN,-0.398
2024-10-23,MPHASIS.NS,MOMENTUM,LONG,2930.43,2962.38,2914.46,WIN,-0.275
2024-10-28,MPHASIS.NS,MOMENTUM,LONG,3000.21,3077.26,2961.68,LOSS,-2.617
2024-11-25,MPHASIS.NS,MOMENTUM,LONG,2894.02,3135.92,2773.07,PARTIAL,-0.347
2024-11-26,MPHASIS.NS,MOMENTUM,LONG,2934.5,3200.52,2801.5,PARTIAL,-1.164
2024-11-27,MPHASIS.NS,MOMENTUM,LONG,2949.18,3192.52,2827.5,PARTIAL,-1.061
2024-11-28,MPHASIS.NS,MOMENTUM,LONG,2967.72,3199.56,2851.81,PARTIAL,-3.641
2024-11-29,MPHASIS.NS,MOMENTUM,LONG,2904.91,2995.47,2859.64,PARTIAL,-0.986
2024-12-03,MPHASIS.NS,MOMENTUM,LONG,3009.04,3243.86,2891.63,PARTIAL,-2.965
2024-12-05,MPHASIS.NS,MOMENTUM,LONG,2963.45,3064.9,2912.73,PARTIAL,-0.403
2024-12-06,MPHASIS.NS,MOMENTUM,LONG,2994.52,3130.16,2926.7,PARTIAL,-1.349
2024-12-10,MPHASIS.NS,MOMENTUM,LONG,3047.22,3226.37,2957.64,PARTIAL,1.058
2024-12-11,MPHASIS.NS,MOMENTUM,LONG,3114.54,3367.36,2988.13,PARTIAL,-1.04
2024-12-12,MPHASIS.NS,MOMENTUM,LONG,3148.94,3420.68,3013.06,PARTIAL,-1.94
2024-12-13,MPHASIS.NS,MOMENTUM,LONG,3102.17,3238.23,3034.15,PARTIAL,-0.302
2024-12-16,MPHASIS.NS,MOMENTUM,LONG,3147.76,3339.29,3052.0,PARTIAL,-1.687
2025-01-07,MPHASIS.NS,MOMENTUM,LONG,2860.26,2886.87,2846.96,LOSS,-1.864
