date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,MPHASIS.NS,ORB,LONG,2324.76,2347.95,2313.17,WIN,-0.723
2024-07-01,MPHASIS.NS,ORB,LONG,2388.1,2411.92,2376.19,WIN,-0.678
2024-07-02,MPHASIS.NS,ORB,LONG,2416.98,2441.08,2404.92,WIN,-0.658
2024-07-03,MPHASIS.NS,ORB,LONG,2432.38,2456.64,2420.25,WIN,-0.647
2024-07-04,MPHASIS.NS,ORB,LONG,2473.24,2497.91,2460.9,WIN,-0.62
2024-07-05,MPHASIS.NS,ORB,LONG,2499.71,2524.64,2487.24,WIN,-0.603
2024-07-08,MPHASIS.NS,ORB,LONG,2536.33,2561.63,2523.68,LOSS,-2.076
2024-07-09,MPHASIS.NS,ORB,LONG,2512.27,2537.33,2499.74,LOSS,-2.091
2024-07-11,MPHASIS.NS,ORB,LONG,2507.55,2532.56,2495.04,LOSS,-2.094
2024-07-12,MPHASIS.NS,ORB,LONG,2570.68,2596.32,2557.86,WIN,-0.559
2024-07-15,MPHASIS.NS,ORB,LONG,2669.75,2696.38,2656.44,WIN,-0.501
2024-07-16,MPHASIS.NS,ORB,LONG,2665.87,2692.46,2652.57,WIN,-0.503
2024-07-18,MPHASIS.NS,ORB,LONG,2763.22,2790.78,2749.44,WIN,-0.45
2024-07-19,MPHASIS.NS,ORB,LONG,2841.89,2870.24,2827.72,LOSS,-1.906
2024-07-22,MPHASIS.NS,ORB,LONG,2820.26,2848.39,2806.19,WIN,-0.421
2024-07-23,MPHASIS.NS,ORB,LONG,2877.04,2905.74,2862.7,WIN,-0.393
2024-07-25,MPHASIS.NS,ORB,LONG,2782.94,2810.7,2769.06,LOSS,-1.936
2024-07-26,MPHASIS.NS,ORB,LONG,2753.39,2780.85,2739.66,WIN,-0.455
2024-07-31,MPHASIS.NS,ORB,LONG,2853.69,2882.15,2839.46,WIN,-0.404
2024-08-01,MPHASIS.NS,ORB,LONG,2856.25,2884.74,2842.0,WIN,-0.403
2024-08-05,MPHASIS.NS,ORB,LONG,2630.47,2656.71,2617.35,LOSS,-2.019
2024-08-06,MPHASIS.NS,ORB,LONG,2605.88,2631.88,2592.89,WIN,-0.538
2024-08-07,MPHASIS.NS,ORB,LONG,2635.39,2661.67,2622.24,WIN,-0.52
2024-08-09,MPHASIS.NS,ORB,LONG,2659.97,2686.5,2646.7,WIN,-0.506
2024-08-12,MPHASIS.NS,ORB,LONG,2655.05,2681.53,2641.81,LOSS,-2.005
2024-08-14,MPHASIS.NS,ORB,LONG,2663.9,2690.47,2650.62,LOSS,-2.0
