date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-12,MPHASIS.NS,VWAP,LONG,2565.55,2629.25,2553.41,WIN,0.924
2024-07-16,MPHASIS.NS,VWAP,LONG,2660.55,2715.88,2645.77,WIN,0.576
2024-07-26,MPHASIS.NS,VWAP,LONG,2747.89,2912.06,2739.66,WIN,4.519
2024-08-07,MPHASIS.NS,VWAP,LONG,2630.13,2659.74,2622.24,WIN,-0.395
2024-08-16,MPHASIS.NS,VWAP,LONG,2675.32,2795.97,2667.3,WIN,3.014
2024-08-20,MPHASIS.NS,VWAP,LONG,2930.87,2951.33,2920.67,WIN,-0.667
2024-08-22,MPHASIS.NS,VWAP,LONG,2991.33,3028.39,2982.36,WIN,-0.098
2024-08-29,MPHASIS.NS,VWAP,LONG,2998.69,3030.9,2986.23,WIN,-0.26
2024-10-14,MPHASIS.NS,VWAP,LONG,2836.41,2884.59,2827.91,WIN,0.288
2024-10-23,MPHASIS.NS,VWAP,LONG,2930.43,3020.41,2913.53,WIN,1.706
2024-10-24,MPHASIS.NS,VWAP,LONG,2947.11,3017.73,2938.28,WIN,1.039
2024-11-22,MPHASIS.NS,VWAP,LONG,2777.33,2810.54,2761.23,WIN,-0.245
2024-12-05,MPHASIS.NS,VWAP,LONG,2963.45,2988.17,2954.57,WIN,-0.516
2024-12-09,MPHASIS.NS,VWAP,LONG,2997.17,3033.09,2985.79,WIN,-0.136
2024-12-10,MPHASIS.NS,VWAP,LONG,3047.22,3100.94,3038.08,WIN,0.45
2025-01-10,MPHASIS.NS,VWAP,LONG,2831.31,2861.64,2822.83,WIN,-0.342
2025-01-16,MPHASIS.NS,VWAP,LONG,2745.93,2773.5,2732.86,WIN,-0.453
2025-01-23,MPHASIS.NS,VWAP,LONG,2756.68,2833.56,2743.18,WIN,1.338
2025-01-29,MPHASIS.NS,VWAP,LONG,2846.13,2917.63,2837.6,WIN,1.107
2025-03-05,MPHASIS.NS,VWAP,LONG,2132.56,2227.77,2126.17,WIN,2.589
2025-03-06,MPHASIS.NS,VWAP,LONG,2272.7,2297.0,2265.89,WIN,-0.691
2025-04-01,MPHASIS.NS,VWAP,LONG,2357.3,2400.66,2350.23,WIN,0.143
2025-04-21,MPHASIS.NS,VWAP,LONG,2231.39,2307.03,2211.49,WIN,1.598
2025-05-07,MPHASIS.NS,VWAP,LONG,2296.45,2333.31,2279.88,WIN,-0.137
2025-05-14,MPHASIS.NS,VWAP,LONG,2428.94,2492.59,2419.8,WIN,0.974
2025-06-09,MPHASIS.NS,VWAP,LONG,2512.46,2545.44,2498.57,WIN,-0.279
2025-06-20,MPHASIS.NS,VWAP,LONG,2601.86,2630.5,2590.15,WIN,-0.436
2025-07-01,MPHASIS.NS,VWAP,LONG,2792.45,2815.57,2784.08,WIN,-0.604
2025-07-25,MPHASIS.NS,VWAP,LONG,2623.62,2673.67,2598.79,WIN,0.383
2025-08-07,MPHASIS.NS,VWAP,LONG,2649.75,2683.23,2634.72,WIN,-0.246
2025-08-12,MPHASIS.NS,VWAP,LONG,2677.57,2708.5,2669.55,WIN,-0.339
2025-08-25,MPHASIS.NS,VWAP,LONG,2902.9,2928.43,2894.2,WIN,-0.498
2025-09-01,MPHASIS.NS,VWAP,LONG,2810.81,2887.43,2802.38,WIN,1.303
2025-09-10,MPHASIS.NS,VWAP,LONG,2871.87,2941.37,2861.57,WIN,1.027
2025-10-08,MPHASIS.NS,VWAP,LONG,2784.78,2822.27,2776.44,WIN,-0.09
2025-12-04,MPHASIS.NS,VWAP,LONG,2867.86,2902.17,2859.27,WIN,-0.199
2025-12-05,MPHASIS.NS,VWAP,LONG,2914.81,2944.8,2906.08,WIN,-0.343
2026-01-01,MPHASIS.NS,VWAP,LONG,2791.69,2819.47,2783.32,WIN,-0.438
2026-01-16,MPHASIS.NS,VWAP,LONG,2808.31,2873.97,2799.89,WIN,0.914
2026-02-25,MPHASIS.NS,VWAP,LONG,2232.23,2269.43,2222.85,WIN,-0.125
2026-03-02,MPHASIS.NS,VWAP,LONG,2207.2,2256.87,2200.59,WIN,0.438
2026-03-04,MPHASIS.NS,VWAP,LONG,2205.1,2254.3,2198.39,WIN,0.417
2026-03-18,MPHASIS.NS,VWAP,LONG,2087.08,2128.4,2072.25,WIN,0.063
2026-04-02,MPHASIS.NS,VWAP,LONG,2087.49,2178.1,2081.23,WIN,2.425
2026-04-07,MPHASIS.NS,VWAP,LONG,2222.22,2292.4,2202.69,WIN,1.358
2026-04-16,MPHASIS.NS,VWAP,LONG,2420.42,2445.87,2411.97,WIN,-0.601
2026-04-27,MPHASIS.NS,VWAP,LONG,2190.09,2241.63,2180.63,WIN,0.527
