date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,MUTHOOTFIN.NS,MOMENTUM,LONG,1743.57,1803.94,1713.38,WIN,1.168
2024-06-28,MUTHOOTFIN.NS,MOMENTUM,LONG,1795.98,1931.84,1728.05,PARTIAL,-4.272
2024-07-01,MUTHOOTFIN.NS,MOMENTUM,LONG,1773.82,1854.97,1733.24,PARTIAL,-3.476
2024-07-03,MUTHOOTFIN.NS,MOMENTUM,LONG,1765.39,1816.55,1739.8,PARTIAL,-2.865
2024-07-08,MUTHOOTFIN.NS,MOMENTUM,LONG,1783.13,1848.73,1750.34,LOSS,-4.083
2024-07-11,MUTHOOTFIN.NS,MOMENTUM,LONG,1788.72,1850.43,1757.87,PARTIAL,-1.909
2024-07-12,MUTHOOTFIN.NS,MOMENTUM,LONG,1801.57,1876.44,1764.13,PARTIAL,-1.801
2024-07-15,MUTHOOTFIN.NS,MOMENTUM,LONG,1819.96,1915.77,1772.05,PARTIAL,-3.364
2024-07-16,MUTHOOTFIN.NS,MOMENTUM,LONG,1796.47,1836.8,1776.31,PARTIAL,-2.182
2024-07-31,MUTHOOTFIN.NS,MOMENTUM,LONG,1773.33,1826.38,1746.8,PARTIAL,-0.715
2024-08-01,MUTHOOTFIN.NS,MOMENTUM,LONG,1814.12,1929.38,1756.49,PARTIAL,-1.53
2024-08-02,MUTHOOTFIN.NS,MOMENTUM,LONG,1814.12,1903.62,1769.37,PARTIAL,-0.812
2024-08-05,MUTHOOTFIN.NS,MOMENTUM,LONG,1827.9,1919.15,1782.27,LOSS,-4.684
2024-08-12,MUTHOOTFIN.NS,MOMENTUM,LONG,1842.76,1935.04,1796.61,PARTIAL,-1.691
2024-08-13,MUTHOOTFIN.NS,MOMENTUM,LONG,1863.15,1976.46,1806.5,LOSS,-5.188
2024-08-21,MUTHOOTFIN.NS,MOMENTUM,LONG,1863.15,1979.32,1805.07,PARTIAL,-1.429
2024-08-22,MUTHOOTFIN.NS,MOMENTUM,LONG,1881.93,2009.32,1818.23,PARTIAL,-1.754
2024-08-23,MUTHOOTFIN.NS,MOMENTUM,LONG,1886.74,1997.73,1831.24,PARTIAL,-3.427
2024-08-26,MUTHOOTFIN.NS,MOMENTUM,LONG,1872.91,1946.15,1836.29,PARTIAL,-0.86
2024-08-27,MUTHOOTFIN.NS,MOMENTUM,LONG,1903.26,2015.27,1847.25,PARTIAL,0.133
2024-08-28,MUTHOOTFIN.NS,MOMENTUM,LONG,1946.5,2107.93,1865.79,PARTIAL,-3.491
2024-08-29,MUTHOOTFIN.NS,MOMENTUM,LONG,1934.34,2052.65,1875.19,PARTIAL,-2.11
2024-08-30,MUTHOOTFIN.NS,MOMENTUM,LONG,1935.77,2035.9,1885.7,PARTIAL,-2.581
2024-09-02,MUTHOOTFIN.NS,MOMENTUM,LONG,1933.76,2016.14,1892.56,PARTIAL,-2.523
2024-09-06,MUTHOOTFIN.NS,MOMENTUM,LONG,1965.13,2068.16,1913.62,PARTIAL,-3.504
2024-09-16,MUTHOOTFIN.NS,MOMENTUM,LONG,1985.73,2096.04,1930.57,PARTIAL,-2.677
2024-09-17,MUTHOOTFIN.NS,MOMENTUM,LONG,1979.89,2064.1,1937.79,PARTIAL,-1.883
