date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,MUTHOOTFIN.NS,ORB,LONG,1747.05,1764.48,1738.34,WIN,-1.292
2024-06-28,MUTHOOTFIN.NS,ORB,LONG,1799.57,1817.52,1790.6,WIN,-1.225
2024-07-01,MUTHOOTFIN.NS,ORB,LONG,1777.37,1795.09,1768.5,LOSS,-2.749
2024-07-02,MUTHOOTFIN.NS,ORB,LONG,1762.58,1780.16,1753.79,LOSS,-2.768
2024-07-03,MUTHOOTFIN.NS,ORB,LONG,1768.92,1786.56,1760.09,LOSS,-2.76
2024-07-04,MUTHOOTFIN.NS,ORB,LONG,1762.63,1780.21,1753.84,WIN,-1.272
2024-07-05,MUTHOOTFIN.NS,ORB,LONG,1777.27,1794.99,1768.4,LOSS,-2.749
2024-07-09,MUTHOOTFIN.NS,ORB,LONG,1753.88,1771.38,1745.14,WIN,-1.283
2024-07-10,MUTHOOTFIN.NS,ORB,LONG,1781.39,1799.16,1772.51,LOSS,-2.744
2024-07-11,MUTHOOTFIN.NS,ORB,LONG,1792.3,1810.18,1783.36,PARTIAL,-2.105
2024-07-12,MUTHOOTFIN.NS,ORB,LONG,1805.17,1823.18,1796.17,WIN,-1.218
2024-07-16,MUTHOOTFIN.NS,ORB,LONG,1800.06,1818.02,1791.09,WIN,-1.225
2024-07-18,MUTHOOTFIN.NS,ORB,LONG,1829.69,1847.94,1820.56,LOSS,-2.685
2024-07-22,MUTHOOTFIN.NS,ORB,LONG,1798.39,1816.33,1789.42,LOSS,-2.723
2024-07-24,MUTHOOTFIN.NS,ORB,LONG,1704.85,1721.86,1696.35,WIN,-1.349
2024-07-25,MUTHOOTFIN.NS,ORB,LONG,1699.84,1716.8,1691.36,LOSS,-2.852
2024-07-26,MUTHOOTFIN.NS,ORB,LONG,1719.49,1736.64,1710.92,WIN,-1.329
2024-07-29,MUTHOOTFIN.NS,ORB,LONG,1763.71,1781.3,1754.91,LOSS,-2.767
2024-07-30,MUTHOOTFIN.NS,ORB,LONG,1751.92,1769.39,1743.18,WIN,-1.286
2024-07-31,MUTHOOTFIN.NS,ORB,LONG,1776.87,1794.6,1768.01,WIN,-1.254
2024-08-01,MUTHOOTFIN.NS,ORB,LONG,1817.75,1835.88,1808.68,WIN,-1.203
2024-08-02,MUTHOOTFIN.NS,ORB,LONG,1817.75,1835.88,1808.68,WIN,-1.203
2024-08-06,MUTHOOTFIN.NS,ORB,LONG,1799.03,1816.98,1790.06,LOSS,-2.722
2024-08-07,MUTHOOTFIN.NS,ORB,LONG,1780.85,1798.62,1771.97,WIN,-1.249
2024-08-08,MUTHOOTFIN.NS,ORB,LONG,1810.09,1828.14,1801.06,LOSS,-2.709
2024-08-09,MUTHOOTFIN.NS,ORB,LONG,1818.0,1836.13,1808.93,WIN,-1.203
2024-08-12,MUTHOOTFIN.NS,ORB,LONG,1846.44,1864.86,1837.23,WIN,-1.169
2024-08-16,MUTHOOTFIN.NS,ORB,LONG,1784.78,1802.59,1775.88,WIN,-1.244
2024-08-19,MUTHOOTFIN.NS,ORB,LONG,1801.05,1819.01,1792.06,WIN,-1.224
2024-08-20,MUTHOOTFIN.NS,ORB,LONG,1808.27,1826.3,1799.25,WIN,-1.215
2024-08-21,MUTHOOTFIN.NS,ORB,LONG,1866.88,1885.5,1857.57,WIN,-1.145
2024-08-22,MUTHOOTFIN.NS,ORB,LONG,1885.69,1904.5,1876.29,LOSS,-2.62
2024-08-23,MUTHOOTFIN.NS,ORB,LONG,1890.51,1909.36,1881.08,LOSS,-2.615
2024-08-26,MUTHOOTFIN.NS,ORB,LONG,1876.65,1895.37,1867.3,WIN,-1.134
2024-08-27,MUTHOOTFIN.NS,ORB,LONG,1907.07,1926.09,1897.55,WIN,-1.1
2024-08-29,MUTHOOTFIN.NS,ORB,LONG,1938.21,1957.54,1928.55,LOSS,-2.562
2024-08-30,MUTHOOTFIN.NS,ORB,LONG,1939.64,1958.98,1929.96,LOSS,-2.561
2024-09-02,MUTHOOTFIN.NS,ORB,LONG,1937.62,1956.95,1927.96,LOSS,-2.563
2024-09-04,MUTHOOTFIN.NS,ORB,LONG,1916.01,1935.12,1906.45,WIN,-1.09
2024-09-05,MUTHOOTFIN.NS,ORB,LONG,1925.83,1945.04,1916.23,WIN,-1.08
2024-09-09,MUTHOOTFIN.NS,ORB,LONG,1942.98,1962.36,1933.29,LOSS,-2.557
2024-09-10,MUTHOOTFIN.NS,ORB,LONG,1958.26,1977.79,1948.49,LOSS,-2.541
2024-09-11,MUTHOOTFIN.NS,ORB,LONG,1924.85,1944.05,1915.25,LOSS,-2.577
2024-09-12,MUTHOOTFIN.NS,ORB,LONG,1932.27,1951.54,1922.63,LOSS,-2.569
