date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-08-09,MUTHOOTFIN.NS,VWAP,LONG,1814.37,1832.15,1806.29,WIN,-1.225
2024-09-04,MUTHOOTFIN.NS,VWAP,LONG,1912.18,1925.28,1906.4,WIN,-1.407
2024-10-09,MUTHOOTFIN.NS,VWAP,LONG,1858.25,1887.07,1848.04,WIN,-0.602
2024-12-09,MUTHOOTFIN.NS,VWAP,LONG,1902.33,1935.56,1892.76,WIN,-0.356
2024-12-10,MUTHOOTFIN.NS,VWAP,LONG,1961.21,1986.36,1950.54,WIN,-0.758
2024-12-11,MUTHOOTFIN.NS,VWAP,LONG,1990.48,2012.1,1983.05,WIN,-0.923
2024-12-12,MUTHOOTFIN.NS,VWAP,LONG,2022.01,2062.85,2011.06,WIN,0.041
2024-12-16,MUTHOOTFIN.NS,VWAP,LONG,2054.62,2069.51,2047.19,WIN,-1.222
2024-12-19,MUTHOOTFIN.NS,VWAP,LONG,2042.85,2076.37,2026.61,WIN,-0.317
2024-12-30,MUTHOOTFIN.NS,VWAP,LONG,2010.24,2051.5,2004.22,WIN,0.063
2025-01-01,MUTHOOTFIN.NS,VWAP,LONG,2089.67,2144.17,2083.41,WIN,0.694
2025-01-02,MUTHOOTFIN.NS,VWAP,LONG,2159.15,2195.96,2150.87,WIN,-0.147
2025-01-29,MUTHOOTFIN.NS,VWAP,LONG,2094.38,2141.84,2077.64,WIN,0.356
2025-02-04,MUTHOOTFIN.NS,VWAP,LONG,2130.32,2173.48,2121.49,WIN,0.148
2025-03-10,MUTHOOTFIN.NS,VWAP,LONG,2127.38,2149.37,2119.68,WIN,-0.847
2025-03-17,MUTHOOTFIN.NS,VWAP,LONG,2188.71,2230.35,2182.15,WIN,0.075
2025-04-07,MUTHOOTFIN.NS,VWAP,LONG,2108.3,2191.8,2101.98,WIN,2.063
2025-04-17,MUTHOOTFIN.NS,VWAP,LONG,2040.64,2066.52,2034.43,WIN,-0.692
2025-04-21,MUTHOOTFIN.NS,VWAP,LONG,2093.5,2138.69,2087.22,WIN,0.248
2025-05-07,MUTHOOTFIN.NS,VWAP,LONG,2208.55,2271.03,2198.67,WIN,1.018
2025-05-09,MUTHOOTFIN.NS,VWAP,LONG,2129.14,2185.16,2122.76,WIN,0.752
2025-05-21,MUTHOOTFIN.NS,VWAP,LONG,2016.68,2052.74,2007.07,WIN,-0.195
2025-05-30,MUTHOOTFIN.NS,VWAP,LONG,2057.67,2157.23,2046.56,WIN,2.894
2025-06-06,MUTHOOTFIN.NS,VWAP,LONG,2286.87,2379.61,2259.33,WIN,2.306
2025-06-13,MUTHOOTFIN.NS,VWAP,LONG,2492.04,2547.49,2476.46,WIN,0.62
2025-06-30,MUTHOOTFIN.NS,VWAP,LONG,2551.69,2593.6,2539.1,WIN,0.075
2025-09-03,MUTHOOTFIN.NS,VWAP,LONG,2689.47,2741.19,2681.41,WIN,0.436
2025-09-08,MUTHOOTFIN.NS,VWAP,LONG,2823.17,2867.22,2810.46,WIN,0.143
2025-09-22,MUTHOOTFIN.NS,VWAP,LONG,2924.22,2989.65,2904.87,WIN,0.87
2025-10-17,MUTHOOTFIN.NS,VWAP,LONG,3262.1,3302.18,3243.92,WIN,0.002
2025-11-18,MUTHOOTFIN.NS,VWAP,LONG,3652.89,3676.94,3641.95,WIN,-0.437
2025-11-27,MUTHOOTFIN.NS,VWAP,LONG,3698.06,3721.86,3686.97,WIN,-0.438
2025-12-05,MUTHOOTFIN.NS,VWAP,LONG,3674.63,3738.09,3663.62,WIN,0.638
2026-01-05,MUTHOOTFIN.NS,VWAP,LONG,3820.54,3864.29,3800.09,WIN,0.098
2026-01-16,MUTHOOTFIN.NS,VWAP,LONG,3876.13,3903.96,3864.51,WIN,-0.314
2026-01-28,MUTHOOTFIN.NS,VWAP,LONG,3876.13,3913.58,3859.57,WIN,-0.066
2026-02-04,MUTHOOTFIN.NS,VWAP,LONG,3609.22,3680.38,3598.4,WIN,0.863
2026-02-09,MUTHOOTFIN.NS,VWAP,LONG,3694.88,3735.68,3683.81,WIN,0.022
2026-03-02,MUTHOOTFIN.NS,VWAP,LONG,3330.1,3408.38,3320.12,WIN,1.15
2026-03-09,MUTHOOTFIN.NS,VWAP,LONG,3067.26,3170.62,3048.46,WIN,2.066
2026-03-12,MUTHOOTFIN.NS,VWAP,LONG,3103.88,3178.62,3086.76,WIN,1.119
2026-03-25,MUTHOOTFIN.NS,VWAP,LONG,3196.1,3257.26,3167.02,WIN,0.662
2026-04-08,MUTHOOTFIN.NS,VWAP,LONG,3335.16,3430.3,3325.16,WIN,1.653
2026-04-10,MUTHOOTFIN.NS,VWAP,LONG,3470.15,3520.17,3459.75,WIN,0.289
2026-04-21,MUTHOOTFIN.NS,VWAP,LONG,3531.53,3593.37,3520.94,WIN,0.618
2026-05-07,MUTHOOTFIN.NS,VWAP,LONG,3541.44,3577.43,3526.53,WIN,-0.113
