date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,NTPC.NS,MOMENTUM,LONG,348.35,355.04,345.01,WIN,-9.564
2024-06-28,NTPC.NS,MOMENTUM,LONG,360.66,386.58,347.7,PARTIAL,-11.085
2024-07-01,NTPC.NS,MOMENTUM,LONG,364.29,392.7,350.08,PARTIAL,-14.22
2024-07-02,NTPC.NS,MOMENTUM,LONG,355.56,365.96,350.35,LOSS,-12.714
2024-07-03,NTPC.NS,MOMENTUM,LONG,353.6,359.42,350.69,PARTIAL,-10.846
2024-07-08,NTPC.NS,MOMENTUM,LONG,363.43,382.69,353.8,PARTIAL,-11.998
2024-07-09,NTPC.NS,MOMENTUM,LONG,361.85,375.98,354.79,PARTIAL,-11.72
2024-07-10,NTPC.NS,MOMENTUM,LONG,361.47,373.41,355.51,LOSS,-12.717
2024-07-11,NTPC.NS,MOMENTUM,LONG,364.91,380.92,356.9,PARTIAL,-12.446
2024-07-16,NTPC.NS,MOMENTUM,LONG,368.96,388.35,359.27,PARTIAL,-12.543
2024-07-25,NTPC.NS,MOMENTUM,LONG,373.07,397.19,361.01,PARTIAL,-10.515
2024-07-26,NTPC.NS,MOMENTUM,LONG,376.88,403.95,363.35,PARTIAL,-10.372
2024-07-29,NTPC.NS,MOMENTUM,LONG,385.52,424.54,366.01,PARTIAL,-12.973
2024-07-30,NTPC.NS,MOMENTUM,LONG,378.84,401.15,367.69,PARTIAL,-8.155
2024-07-31,NTPC.NS,MOMENTUM,LONG,390.77,429.3,371.51,PARTIAL,-8.75
2024-08-01,NTPC.NS,MOMENTUM,LONG,400.69,449.52,376.28,PARTIAL,-9.238
2024-08-02,NTPC.NS,MOMENTUM,LONG,397.21,428.59,381.52,PARTIAL,-9.342
2024-08-05,NTPC.NS,MOMENTUM,LONG,389.0,397.02,385.0,PARTIAL,-9.01
2024-08-06,NTPC.NS,MOMENTUM,LONG,394.35,409.94,386.55,PARTIAL,-9.82
2024-08-21,NTPC.NS,MOMENTUM,LONG,391.93,403.71,386.04,PARTIAL,-9.95
2024-08-22,NTPC.NS,MOMENTUM,LONG,394.14,408.06,387.18,LOSS,-11.914
2024-08-27,NTPC.NS,MOMENTUM,LONG,399.62,421.3,388.78,PARTIAL,-11.516
2024-08-29,NTPC.NS,MOMENTUM,LONG,393.42,400.3,389.98,LOSS,-11.042
2024-08-30,NTPC.NS,MOMENTUM,LONG,396.93,409.76,390.52,PARTIAL,-9.33
2024-09-13,NTPC.NS,MOMENTUM,LONG,389.38,402.33,382.91,PARTIAL,-11.224
2024-09-16,NTPC.NS,MOMENTUM,LONG,387.07,394.76,383.23,WIN,-8.348
2024-09-17,NTPC.NS,MOMENTUM,LONG,396.11,417.65,385.35,PARTIAL,-9.119
2024-09-18,NTPC.NS,MOMENTUM,LONG,402.51,431.46,388.04,PARTIAL,-11.076
2024-09-19,NTPC.NS,MOMENTUM,LONG,407.8,443.85,389.78,PARTIAL,-9.92
2024-09-20,NTPC.NS,MOMENTUM,LONG,411.69,448.99,393.04,PARTIAL,-10.773
2024-09-23,NTPC.NS,MOMENTUM,LONG,411.17,442.18,395.66,PARTIAL,-9.63
2024-09-24,NTPC.NS,MOMENTUM,LONG,414.96,447.7,398.6,PARTIAL,-10.515
