date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,NTPC.NS,ORB,LONG,349.05,352.53,347.31,WIN,-10.462
2024-06-28,NTPC.NS,ORB,LONG,361.38,364.99,359.58,WIN,-10.071
2024-07-03,NTPC.NS,ORB,LONG,354.31,357.84,352.54,LOSS,-11.788
2024-07-04,NTPC.NS,ORB,LONG,357.51,361.08,355.73,WIN,-10.191
2024-07-05,NTPC.NS,ORB,LONG,357.94,361.51,356.16,WIN,-10.178
2024-07-10,NTPC.NS,ORB,LONG,362.2,365.81,360.39,WIN,-10.046
2024-07-15,NTPC.NS,ORB,LONG,362.0,365.62,360.2,WIN,-10.052
2024-07-16,NTPC.NS,ORB,LONG,369.7,373.39,367.86,LOSS,-11.318
2024-07-22,NTPC.NS,ORB,LONG,348.76,352.24,347.02,WIN,-10.472
2024-07-23,NTPC.NS,ORB,LONG,360.19,363.78,358.39,WIN,-10.108
2024-07-24,NTPC.NS,ORB,LONG,367.26,370.93,365.43,WIN,-9.894
2024-07-25,NTPC.NS,ORB,LONG,373.81,377.54,371.95,WIN,-9.703
2024-07-26,NTPC.NS,ORB,LONG,377.64,381.4,375.75,LOSS,-11.091
2024-07-29,NTPC.NS,ORB,LONG,386.29,390.14,384.37,LOSS,-10.854
2024-07-30,NTPC.NS,ORB,LONG,379.6,383.38,377.71,WIN,-9.54
2024-07-31,NTPC.NS,ORB,LONG,391.55,395.46,389.6,WIN,-9.218
2024-08-01,NTPC.NS,ORB,LONG,401.49,405.5,399.49,LOSS,-10.461
2024-08-02,NTPC.NS,ORB,LONG,398.0,401.97,396.02,WIN,-9.053
2024-08-05,NTPC.NS,ORB,LONG,389.78,393.67,387.84,WIN,-9.265
2024-08-06,NTPC.NS,ORB,LONG,395.14,399.08,393.17,WIN,-9.126
2024-08-09,NTPC.NS,ORB,LONG,398.79,402.76,396.8,LOSS,-10.529
2024-08-13,NTPC.NS,ORB,LONG,388.38,392.25,386.44,LOSS,-10.798
2024-08-16,NTPC.NS,ORB,LONG,383.61,387.43,381.69,LOSS,-10.926
2024-08-19,NTPC.NS,ORB,LONG,387.7,391.57,385.77,LOSS,-10.816
2024-08-20,NTPC.NS,ORB,LONG,389.87,393.76,387.93,LOSS,-10.759
2024-08-21,NTPC.NS,ORB,LONG,392.71,396.63,390.76,LOSS,-10.684
2024-08-23,NTPC.NS,ORB,LONG,388.71,392.59,386.78,LOSS,-10.789
2024-08-26,NTPC.NS,ORB,LONG,387.85,391.72,385.91,WIN,-9.316
2024-08-28,NTPC.NS,ORB,LONG,395.17,399.11,393.2,LOSS,-10.621
2024-08-29,NTPC.NS,ORB,LONG,394.21,398.14,392.24,LOSS,-10.646
2024-08-30,NTPC.NS,ORB,LONG,397.72,401.69,395.74,WIN,-9.06
2024-09-02,NTPC.NS,ORB,LONG,402.64,406.66,400.63,LOSS,-10.433
2024-09-04,NTPC.NS,ORB,LONG,385.49,389.33,383.56,WIN,-9.379
2024-09-05,NTPC.NS,ORB,LONG,390.64,394.54,388.69,LOSS,-10.738
2024-09-06,NTPC.NS,ORB,LONG,388.62,392.49,386.68,LOSS,-10.792
2024-09-09,NTPC.NS,ORB,LONG,377.01,380.77,375.12,LOSS,-11.109
2024-09-10,NTPC.NS,ORB,LONG,375.94,379.69,374.07,WIN,-9.642
2024-09-12,NTPC.NS,ORB,LONG,376.81,380.57,374.93,WIN,-9.618
2024-09-13,NTPC.NS,ORB,LONG,390.16,394.05,388.21,LOSS,-10.751
2024-09-16,NTPC.NS,ORB,LONG,387.85,391.72,385.91,WIN,-9.316
2024-09-17,NTPC.NS,ORB,LONG,396.91,400.86,394.93,WIN,-9.081
2024-09-19,NTPC.NS,ORB,LONG,408.61,412.69,406.58,WIN,-8.792
2024-09-20,NTPC.NS,ORB,LONG,412.52,416.63,410.46,LOSS,-10.195
2024-09-23,NTPC.NS,ORB,LONG,411.99,416.1,409.93,LOSS,-10.208
2024-09-25,NTPC.NS,ORB,LONG,412.57,416.68,410.51,WIN,-8.698
2024-09-27,NTPC.NS,ORB,LONG,420.18,424.37,418.08,WIN,-8.522
2024-09-30,NTPC.NS,ORB,LONG,421.05,425.25,418.95,WIN,-8.503
2024-10-01,NTPC.NS,ORB,LONG,429.82,434.1,427.67,LOSS,-9.805
2024-10-03,NTPC.NS,ORB,LONG,416.32,420.48,414.25,WIN,-8.61
2024-10-04,NTPC.NS,ORB,LONG,417.19,421.35,415.11,WIN,-8.591
2024-10-07,NTPC.NS,ORB,LONG,414.98,419.11,412.91,LOSS,-10.138
2024-10-08,NTPC.NS,ORB,LONG,398.98,402.96,396.99,WIN,-9.028
2024-10-10,NTPC.NS,ORB,LONG,405.43,409.48,403.41,WIN,-8.869
2024-10-11,NTPC.NS,ORB,LONG,408.57,412.64,406.53,LOSS,-10.289
2024-10-14,NTPC.NS,ORB,LONG,409.19,413.27,407.15,LOSS,-10.274
2024-10-16,NTPC.NS,ORB,LONG,409.87,413.96,407.82,LOSS,-10.258
2024-10-17,NTPC.NS,ORB,LONG,408.28,412.35,406.24,LOSS,-10.296
2024-10-18,NTPC.NS,ORB,LONG,402.54,406.56,400.54,WIN,-8.939
2024-10-21,NTPC.NS,ORB,LONG,410.59,414.69,408.54,LOSS,-10.241
2024-10-22,NTPC.NS,ORB,LONG,407.51,411.57,405.47,LOSS,-10.314
2024-10-24,NTPC.NS,ORB,LONG,394.4,398.33,392.43,WIN,-9.145
2024-10-25,NTPC.NS,ORB,LONG,387.9,391.76,385.96,LOSS,-10.811
2024-10-28,NTPC.NS,ORB,LONG,384.43,388.26,382.51,WIN,-9.408
2024-10-29,NTPC.NS,ORB,LONG,394.16,398.09,392.19,LOSS,-10.647
2024-10-31,NTPC.NS,ORB,LONG,396.59,400.54,394.61,LOSS,-10.585
2024-11-01,NTPC.NS,ORB,LONG,399.5,403.48,397.5,LOSS,-10.511
2024-11-05,NTPC.NS,ORB,LONG,387.86,391.73,385.93,LOSS,-10.812
2024-11-06,NTPC.NS,ORB,LONG,394.36,398.29,392.39,LOSS,-10.642
2024-11-11,NTPC.NS,ORB,LONG,386.07,389.92,384.14,LOSS,-10.86
2024-11-12,NTPC.NS,ORB,LONG,381.22,385.02,379.32,LOSS,-10.991
2024-11-13,NTPC.NS,ORB,LONG,372.35,376.06,370.49,LOSS,-11.241
2024-11-14,NTPC.NS,ORB,LONG,368.51,372.19,366.68,WIN,-9.857
2024-11-19,NTPC.NS,ORB,LONG,356.83,360.39,355.05,WIN,-10.212
2024-11-22,NTPC.NS,ORB,LONG,346.21,349.67,344.49,WIN,-10.556
2024-11-25,NTPC.NS,ORB,LONG,362.65,366.27,360.84,LOSS,-11.529
2024-11-27,NTPC.NS,ORB,LONG,352.76,356.28,351.0,WIN,-10.342
2024-11-28,NTPC.NS,ORB,LONG,358.48,362.05,356.69,LOSS,-11.657
2024-11-29,NTPC.NS,ORB,LONG,352.22,355.74,350.47,LOSS,-11.855
2024-12-03,NTPC.NS,ORB,LONG,348.1,351.58,346.37,WIN,-10.493
2024-12-04,NTPC.NS,ORB,LONG,357.75,361.32,355.97,WIN,-10.184
2024-12-05,NTPC.NS,ORB,LONG,361.44,365.04,359.63,LOSS,-11.566
2024-12-06,NTPC.NS,ORB,LONG,358.24,361.81,356.45,LOSS,-11.665
2024-12-09,NTPC.NS,ORB,LONG,359.64,363.23,357.85,LOSS,-11.621
2024-12-10,NTPC.NS,ORB,LONG,357.8,361.37,356.02,LOSS,-11.678
2024-12-11,NTPC.NS,ORB,LONG,358.04,361.61,356.26,LOSS,-11.671
2024-12-13,NTPC.NS,ORB,LONG,344.95,348.39,343.23,LOSS,-12.095
2024-12-16,NTPC.NS,ORB,LONG,346.31,349.76,344.58,LOSS,-12.049
2024-12-17,NTPC.NS,ORB,LONG,341.32,344.72,339.61,LOSS,-12.218
2024-12-18,NTPC.NS,ORB,LONG,338.94,342.32,337.25,LOSS,-12.3
2024-12-19,NTPC.NS,ORB,LONG,326.77,330.03,325.14,LOSS,-12.74
2024-12-20,NTPC.NS,ORB,LONG,327.55,330.81,325.91,WIN,-11.215
2024-12-23,NTPC.NS,ORB,LONG,325.7,328.95,324.08,LOSS,-12.78
2024-12-24,NTPC.NS,ORB,LONG,324.93,328.17,323.31,LOSS,-12.809
2024-12-26,NTPC.NS,ORB,LONG,325.12,328.37,323.5,LOSS,-12.802
2024-12-27,NTPC.NS,ORB,LONG,326.43,329.69,324.8,LOSS,-12.752
2024-12-30,NTPC.NS,ORB,LONG,324.83,328.07,323.21,LOSS,-12.813
2024-12-31,NTPC.NS,ORB,LONG,320.08,323.27,318.48,WIN,-11.499
2025-01-01,NTPC.NS,ORB,LONG,322.89,326.11,321.28,LOSS,-12.887
2025-01-02,NTPC.NS,ORB,LONG,323.52,326.75,321.91,WIN,-11.366
2025-01-03,NTPC.NS,ORB,LONG,327.79,331.06,326.16,WIN,-11.206
2025-01-07,NTPC.NS,ORB,LONG,317.08,320.24,315.49,LOSS,-13.114
2025-01-09,NTPC.NS,ORB,LONG,314.21,317.35,312.65,LOSS,-13.229
2025-01-13,NTPC.NS,ORB,LONG,291.96,294.87,290.51,WIN,-12.703
2025-01-14,NTPC.NS,ORB,LONG,291.33,294.24,289.88,WIN,-12.733
2025-01-15,NTPC.NS,ORB,LONG,303.06,306.09,301.55,WIN,-12.201
2025-01-16,NTPC.NS,ORB,LONG,314.84,317.99,313.27,LOSS,-13.203
2025-01-17,NTPC.NS,ORB,LONG,315.43,318.57,313.85,LOSS,-13.18
2025-01-20,NTPC.NS,ORB,LONG,316.3,319.45,314.72,WIN,-11.649
2025-01-23,NTPC.NS,ORB,LONG,311.26,314.36,309.7,LOSS,-13.35
2025-01-24,NTPC.NS,ORB,LONG,314.94,318.08,313.37,WIN,-11.703
2025-01-27,NTPC.NS,ORB,LONG,313.83,316.96,312.26,LOSS,-13.245
2025-01-28,NTPC.NS,ORB,LONG,312.71,315.83,311.15,LOSS,-13.29
2025-01-29,NTPC.NS,ORB,LONG,310.29,313.38,308.74,LOSS,-13.39
2025-01-30,NTPC.NS,ORB,LONG,312.47,315.59,310.91,WIN,-11.804
2025-01-31,NTPC.NS,ORB,LONG,315.1,318.24,313.53,LOSS,-13.193
2025-02-01,NTPC.NS,ORB,LONG,318.62,321.8,317.03,WIN,-11.557
2025-02-03,NTPC.NS,ORB,LONG,303.03,306.06,301.52,LOSS,-13.699
2025-02-04,NTPC.NS,ORB,LONG,307.68,310.74,306.14,WIN,-12.003
2025-02-05,NTPC.NS,ORB,LONG,313.69,316.81,312.12,LOSS,-13.25
2025-02-07,NTPC.NS,ORB,LONG,306.36,309.41,304.83,WIN,-12.059
2025-02-12,NTPC.NS,ORB,LONG,299.22,302.21,297.73,LOSS,-13.867
2025-02-13,NTPC.NS,ORB,LONG,299.17,302.16,297.68,LOSS,-13.869
2025-02-14,NTPC.NS,ORB,LONG,299.86,302.85,298.36,LOSS,-13.838
2025-02-17,NTPC.NS,ORB,LONG,290.72,293.62,289.27,WIN,-12.762
2025-02-18,NTPC.NS,ORB,LONG,294.29,297.22,292.82,WIN,-12.595
2025-02-19,NTPC.NS,ORB,LONG,304.11,307.14,302.59,WIN,-12.156
2025-02-20,NTPC.NS,ORB,LONG,305.43,308.47,303.9,WIN,-12.099
2025-02-21,NTPC.NS,ORB,LONG,315.93,319.08,314.36,WIN,-11.664
2025-02-24,NTPC.NS,ORB,LONG,314.76,317.9,313.19,LOSS,-13.207
2025-02-25,NTPC.NS,ORB,LONG,312.81,315.93,311.25,LOSS,-13.286
2025-02-27,NTPC.NS,ORB,LONG,308.16,311.24,306.63,LOSS,-13.479
2025-02-28,NTPC.NS,ORB,LONG,306.84,309.91,305.31,LOSS,-13.535
2025-03-03,NTPC.NS,ORB,LONG,304.21,307.24,302.69,WIN,-12.152
2025-03-04,NTPC.NS,ORB,LONG,304.21,307.24,302.69,LOSS,-13.648
2025-03-05,NTPC.NS,ORB,LONG,306.4,309.46,304.88,WIN,-12.057
2025-03-06,NTPC.NS,ORB,LONG,321.5,324.71,319.9,WIN,-11.444
2025-03-07,NTPC.NS,ORB,LONG,328.2,331.47,326.56,LOSS,-12.687
2025-03-10,NTPC.NS,ORB,LONG,321.94,325.15,320.34,WIN,-11.427
2025-03-11,NTPC.NS,ORB,LONG,319.55,322.74,317.95,WIN,-11.52
2025-03-12,NTPC.NS,ORB,LONG,323.46,326.68,321.84,LOSS,-12.865
2025-03-13,NTPC.NS,ORB,LONG,324.43,327.67,322.82,LOSS,-12.828
2025-03-17,NTPC.NS,ORB,LONG,325.36,328.61,323.74,LOSS,-12.793
2025-03-19,NTPC.NS,ORB,LONG,331.27,334.58,329.62,WIN,-11.077
2025-03-21,NTPC.NS,ORB,LONG,334.21,337.54,332.54,WIN,-10.971
2025-03-24,NTPC.NS,ORB,LONG,348.86,352.34,347.12,WIN,-10.468
