date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,NTPC.NS,VWAP,LONG,348.35,356.65,346.4,WIN,-9.101
2024-07-30,NTPC.NS,VWAP,LONG,378.84,386.61,377.71,WIN,-8.507
2024-08-06,NTPC.NS,VWAP,LONG,394.35,398.23,393.17,WIN,-9.159
2024-08-26,NTPC.NS,VWAP,LONG,387.07,394.82,385.43,WIN,-8.332
2024-09-04,NTPC.NS,VWAP,LONG,384.72,388.58,383.47,WIN,-9.394
2024-09-10,NTPC.NS,VWAP,LONG,375.19,379.67,373.73,WIN,-9.468
2024-09-12,NTPC.NS,VWAP,LONG,376.06,384.89,374.6,WIN,-8.288
2024-09-16,NTPC.NS,VWAP,LONG,387.07,392.37,385.48,WIN,-8.965
2024-10-03,NTPC.NS,VWAP,LONG,415.49,419.51,414.25,WIN,-8.659
2024-10-10,NTPC.NS,VWAP,LONG,404.63,407.74,403.22,WIN,-9.115
2024-11-22,NTPC.NS,VWAP,LONG,345.52,350.69,343.18,WIN,-10.082
2024-12-03,NTPC.NS,VWAP,LONG,347.41,353.07,345.6,WIN,-9.884
2025-01-14,NTPC.NS,VWAP,LONG,290.75,297.53,289.64,WIN,-11.425
2025-01-15,NTPC.NS,VWAP,LONG,302.46,308.78,301.55,WIN,-11.135
2025-01-20,NTPC.NS,VWAP,LONG,315.67,321.48,313.13,WIN,-10.832
2025-02-20,NTPC.NS,VWAP,LONG,304.82,313.01,302.88,WIN,-10.436
2025-03-05,NTPC.NS,VWAP,LONG,305.79,314.05,304.83,WIN,-10.382
2025-03-21,NTPC.NS,VWAP,LONG,333.54,339.99,332.3,WIN,-10.057
2025-04-03,NTPC.NS,VWAP,LONG,343.05,348.15,342.02,WIN,-10.174
2025-04-07,NTPC.NS,VWAP,LONG,319.89,332.95,315.04,WIN,-8.422
2025-04-11,NTPC.NS,VWAP,LONG,342.32,348.34,341.29,WIN,-9.925
2025-04-28,NTPC.NS,VWAP,LONG,344.95,350.13,343.92,WIN,-10.095
2025-06-13,NTPC.NS,VWAP,LONG,318.72,321.99,317.57,WIN,-11.524
2025-06-20,NTPC.NS,VWAP,LONG,321.84,325.05,320.58,WIN,-11.429
2025-08-08,NTPC.NS,VWAP,LONG,321.84,325.38,320.53,WIN,-11.328
2025-09-02,NTPC.NS,VWAP,LONG,322.91,326.6,321.94,WIN,-11.245
2025-09-11,NTPC.NS,VWAP,LONG,321.6,324.95,320.19,WIN,-11.395
2025-09-16,NTPC.NS,VWAP,LONG,326.28,328.72,325.3,WIN,-11.51
2025-10-10,NTPC.NS,VWAP,LONG,331.01,333.82,329.96,WIN,-11.233
2025-10-29,NTPC.NS,VWAP,LONG,334.21,340.07,333.11,WIN,-10.213
2025-12-31,NTPC.NS,VWAP,LONG,322.64,325.84,321.62,WIN,-11.406
2026-01-01,NTPC.NS,VWAP,LONG,327.66,331.76,326.48,WIN,-10.955
2026-01-02,NTPC.NS,VWAP,LONG,334.61,344.42,332.77,WIN,-9.024
2026-01-14,NTPC.NS,VWAP,LONG,336.7,343.09,334.25,WIN,-9.98
2026-01-28,NTPC.NS,VWAP,LONG,342.46,346.05,341.43,WIN,-10.631
2026-02-16,NTPC.NS,VWAP,LONG,362.96,367.08,361.77,WIN,-9.885
2026-02-20,NTPC.NS,VWAP,LONG,363.16,369.77,361.97,WIN,-9.196
2026-02-24,NTPC.NS,VWAP,LONG,375.32,380.43,372.8,WIN,-9.296
2026-03-02,NTPC.NS,VWAP,LONG,365.36,373.83,364.27,WIN,-8.63
2026-03-05,NTPC.NS,VWAP,LONG,367.32,374.85,365.87,WIN,-8.839
2026-03-20,NTPC.NS,VWAP,LONG,376.23,379.92,374.75,WIN,-9.651
2026-04-13,NTPC.NS,VWAP,LONG,374.72,382.87,373.6,WIN,-8.502
