date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-07-29,PNB.NS,MOMENTUM,LONG,121.47,134.55,114.93,PARTIAL,-31.319
2024-07-30,PNB.NS,MOMENTUM,LONG,123.55,137.54,116.55,PARTIAL,-33.648
2024-07-31,PNB.NS,MOMENTUM,LONG,122.57,132.6,117.56,PARTIAL,-34.359
2024-08-01,PNB.NS,MOMENTUM,LONG,121.11,127.21,118.07,PARTIAL,-34.37
2024-08-21,PNB.NS,MOMENTUM,LONG,114.2,118.68,111.96,PARTIAL,-35.961
2024-08-22,PNB.NS,MOMENTUM,LONG,113.47,116.16,112.12,PARTIAL,-34.735
2024-08-23,PNB.NS,MOMENTUM,LONG,114.48,118.56,112.44,PARTIAL,-36.237
2024-09-16,PNB.NS,MOMENTUM,LONG,108.27,109.88,107.47,LOSS,-37.684
2024-09-24,PNB.NS,MOMENTUM,LONG,107.98,111.36,106.29,LOSS,-38.609
2024-10-14,PNB.NS,MOMENTUM,LONG,102.15,103.42,101.51,PARTIAL,-39.25
2024-10-15,PNB.NS,MOMENTUM,LONG,102.34,103.91,101.55,PARTIAL,-39.394
2024-10-17,PNB.NS,MOMENTUM,LONG,102.21,103.39,101.63,LOSS,-39.707
2024-10-29,PNB.NS,MOMENTUM,LONG,99.65,106.39,96.29,LOSS,-43.519
2024-10-30,PNB.NS,MOMENTUM,LONG,98.64,102.6,96.66,PARTIAL,-42.069
2024-10-31,PNB.NS,MOMENTUM,LONG,97.28,98.44,96.7,LOSS,-41.713
2024-11-04,PNB.NS,MOMENTUM,LONG,98.05,100.88,96.64,WIN,-37.911
2024-11-05,PNB.NS,MOMENTUM,LONG,100.91,107.94,97.39,PARTIAL,-38.795
2024-11-06,PNB.NS,MOMENTUM,LONG,102.88,112.24,98.21,PARTIAL,-37.826
2024-11-07,PNB.NS,MOMENTUM,LONG,103.5,111.9,99.3,PARTIAL,-38.448
2024-11-08,PNB.NS,MOMENTUM,LONG,104.04,111.89,100.12,PARTIAL,-40.563
2024-11-26,PNB.NS,MOMENTUM,LONG,101.63,108.64,98.12,PARTIAL,-38.847
2024-11-27,PNB.NS,MOMENTUM,LONG,102.24,108.99,98.87,PARTIAL,-39.907
2024-11-28,PNB.NS,MOMENTUM,LONG,102.05,107.5,99.32,PARTIAL,-37.973
2024-11-29,PNB.NS,MOMENTUM,LONG,103.94,111.73,100.05,PARTIAL,-40.405
2024-12-04,PNB.NS,MOMENTUM,LONG,105.79,114.5,101.44,PARTIAL,-36.752
2024-12-05,PNB.NS,MOMENTUM,LONG,107.56,117.75,102.47,PARTIAL,-38.633
2024-12-06,PNB.NS,MOMENTUM,LONG,106.72,113.93,103.11,PARTIAL,-37.218
2024-12-09,PNB.NS,MOMENTUM,LONG,107.11,113.67,103.83,PARTIAL,-38.653
2025-01-03,PNB.NS,MOMENTUM,LONG,102.58,107.56,100.09,PARTIAL,-38.193
2025-01-06,PNB.NS,MOMENTUM,LONG,103.48,109.05,100.69,LOSS,-41.347
2025-01-17,PNB.NS,MOMENTUM,LONG,97.42,98.6,96.83,LOSS,-41.667
2025-01-20,PNB.NS,MOMENTUM,LONG,98.06,100.45,96.86,LOSS,-42.01
2025-01-21,PNB.NS,MOMENTUM,LONG,98.89,102.53,97.06,LOSS,-42.293
2025-01-22,PNB.NS,MOMENTUM,LONG,97.59,98.59,97.09,LOSS,-41.5
2025-01-29,PNB.NS,MOMENTUM,LONG,97.57,101.27,95.72,LOSS,-42.89
2025-02-01,PNB.NS,MOMENTUM,LONG,99.22,106.23,95.71,LOSS,-43.85
2025-02-05,PNB.NS,MOMENTUM,LONG,97.48,100.9,95.76,PARTIAL,-41.076
2025-02-21,PNB.NS,MOMENTUM,LONG,92.94,95.36,91.73,LOSS,-44.338
2025-03-07,PNB.NS,MOMENTUM,LONG,88.44,89.9,87.71,PARTIAL,-45.043
2025-03-10,PNB.NS,MOMENTUM,LONG,88.53,89.91,87.83,LOSS,-45.965
2025-03-20,PNB.NS,MOMENTUM,LONG,89.17,95.27,86.12,PARTIAL,-45.351
2025-03-21,PNB.NS,MOMENTUM,LONG,88.82,93.28,86.59,PARTIAL,-43.123
2025-03-24,PNB.NS,MOMENTUM,LONG,91.64,100.28,87.32,PARTIAL,-41.915
2025-03-25,PNB.NS,MOMENTUM,LONG,93.88,104.74,88.44,PARTIAL,-45.494
2025-03-26,PNB.NS,MOMENTUM,LONG,91.31,96.06,88.93,PARTIAL,-44.972
2025-03-27,PNB.NS,MOMENTUM,LONG,90.17,92.23,89.14,WIN,-42.081
2025-03-28,PNB.NS,MOMENTUM,LONG,93.79,101.37,90.0,PARTIAL,-43.039
2025-04-02,PNB.NS,MOMENTUM,LONG,94.07,99.91,91.15,PARTIAL,-41.96
2025-04-03,PNB.NS,MOMENTUM,LONG,93.92,98.21,91.78,PARTIAL,-40.152
2025-04-04,PNB.NS,MOMENTUM,LONG,96.4,103.96,92.61,PARTIAL,-44.096
2025-04-16,PNB.NS,MOMENTUM,LONG,94.27,96.69,93.05,PARTIAL,-40.544
2025-04-17,PNB.NS,MOMENTUM,LONG,96.09,101.1,93.59,PARTIAL,-40.998
2025-04-21,PNB.NS,MOMENTUM,LONG,97.38,103.82,94.16,PARTIAL,-38.981
2025-04-22,PNB.NS,MOMENTUM,LONG,100.05,109.86,95.15,PARTIAL,-39.564
2025-04-23,PNB.NS,MOMENTUM,LONG,101.37,111.8,96.15,PARTIAL,-40.701
2025-04-24,PNB.NS,MOMENTUM,LONG,100.1,106.54,96.88,PARTIAL,-40.253
2025-04-25,PNB.NS,MOMENTUM,LONG,100.58,106.92,97.41,LOSS,-42.922
2025-05-14,PNB.NS,MOMENTUM,LONG,95.68,100.59,93.22,PARTIAL,-42.385
2025-05-15,PNB.NS,MOMENTUM,LONG,95.68,99.94,93.54,PARTIAL,-41.938
2025-05-16,PNB.NS,MOMENTUM,LONG,96.02,100.27,93.89,PARTIAL,-41.547
2025-05-19,PNB.NS,MOMENTUM,LONG,96.36,100.51,94.28,PARTIAL,-39.736
2025-05-20,PNB.NS,MOMENTUM,LONG,99.13,107.43,94.98,PARTIAL,-41.834
2025-05-21,PNB.NS,MOMENTUM,LONG,97.79,102.45,95.46,PARTIAL,-39.634
2025-05-22,PNB.NS,MOMENTUM,LONG,99.02,104.85,96.11,PARTIAL,-41.888
2025-05-23,PNB.NS,MOMENTUM,LONG,98.04,101.44,96.34,PARTIAL,-41.296
2025-05-29,PNB.NS,MOMENTUM,LONG,100.0,104.86,97.58,PARTIAL,-40.574
2025-05-30,PNB.NS,MOMENTUM,LONG,99.92,103.97,97.89,PARTIAL,-37.108
2025-06-02,PNB.NS,MOMENTUM,LONG,103.6,113.18,98.82,PARTIAL,-36.87
2025-06-03,PNB.NS,MOMENTUM,LONG,106.23,118.55,100.07,PARTIAL,-37.534
