date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,PNB.NS,ORB,LONG,117.12,118.29,116.53,WIN,-33.156
2024-07-01,PNB.NS,ORB,LONG,120.04,121.24,119.44,LOSS,-33.821
2024-07-02,PNB.NS,ORB,LONG,119.41,120.6,118.81,LOSS,-33.997
2024-07-03,PNB.NS,ORB,LONG,118.29,119.47,117.7,LOSS,-34.315
2024-07-05,PNB.NS,ORB,LONG,119.87,121.06,119.27,LOSS,-33.869
2024-07-08,PNB.NS,ORB,LONG,119.55,120.75,118.96,LOSS,-33.956
2024-07-09,PNB.NS,ORB,LONG,118.87,120.06,118.28,WIN,-32.652
2024-07-15,PNB.NS,ORB,LONG,115.12,116.27,114.54,WIN,-33.749
2024-07-16,PNB.NS,ORB,LONG,118.35,119.53,117.76,LOSS,-34.298
2024-07-18,PNB.NS,ORB,LONG,116.96,118.13,116.38,LOSS,-34.698
2024-07-19,PNB.NS,ORB,LONG,116.34,117.5,115.76,LOSS,-34.882
2024-07-22,PNB.NS,ORB,LONG,113.46,114.59,112.9,WIN,-34.257
2024-07-23,PNB.NS,ORB,LONG,115.41,116.56,114.84,LOSS,-35.157
2024-07-24,PNB.NS,ORB,LONG,114.54,115.69,113.97,WIN,-33.924
2024-07-25,PNB.NS,ORB,LONG,113.12,114.25,112.56,WIN,-34.363
2024-07-26,PNB.NS,ORB,LONG,114.29,115.43,113.72,WIN,-34.001
2024-07-29,PNB.NS,ORB,LONG,121.71,122.92,121.1,WIN,-31.868
2024-07-30,PNB.NS,ORB,LONG,123.79,125.03,123.18,LOSS,-32.81
2024-08-01,PNB.NS,ORB,LONG,121.36,122.57,120.75,LOSS,-33.459
2024-08-02,PNB.NS,ORB,LONG,117.95,119.12,117.36,LOSS,-34.413
2024-08-06,PNB.NS,ORB,LONG,113.07,114.2,112.51,WIN,-34.378
2024-08-09,PNB.NS,ORB,LONG,112.83,113.95,112.27,LOSS,-35.951
2024-08-12,PNB.NS,ORB,LONG,112.05,113.17,111.49,LOSS,-36.198
2024-08-13,PNB.NS,ORB,LONG,112.41,113.53,111.85,LOSS,-36.083
2024-08-14,PNB.NS,ORB,LONG,111.66,112.77,111.1,LOSS,-36.322
2024-08-16,PNB.NS,ORB,LONG,109.17,110.26,108.63,WIN,-35.642
2024-08-19,PNB.NS,ORB,LONG,111.45,112.57,110.9,WIN,-34.892
2024-08-20,PNB.NS,ORB,LONG,112.58,113.71,112.02,WIN,-34.531
2024-08-21,PNB.NS,ORB,LONG,114.43,115.57,113.86,LOSS,-35.456
2024-08-22,PNB.NS,ORB,LONG,113.7,114.83,113.13,PARTIAL,-34.866
2024-08-26,PNB.NS,ORB,LONG,113.38,114.51,112.82,LOSS,-35.777
2024-08-27,PNB.NS,ORB,LONG,113.32,114.45,112.75,LOSS,-35.798
2024-08-29,PNB.NS,ORB,LONG,111.85,112.97,111.3,LOSS,-36.26
2024-08-30,PNB.NS,ORB,LONG,112.91,114.03,112.34,WIN,-34.43
2024-09-02,PNB.NS,ORB,LONG,113.99,115.12,113.42,LOSS,-35.59
2024-09-03,PNB.NS,ORB,LONG,113.65,114.78,113.08,LOSS,-35.695
2024-09-04,PNB.NS,ORB,LONG,111.17,112.28,110.62,LOSS,-36.479
2024-09-09,PNB.NS,ORB,LONG,106.64,107.7,106.11,LOSS,-38.009
2024-09-10,PNB.NS,ORB,LONG,107.41,108.48,106.87,LOSS,-37.74
2024-09-11,PNB.NS,ORB,LONG,106.95,108.02,106.42,LOSS,-37.899
2024-09-12,PNB.NS,ORB,LONG,105.96,107.01,105.43,LOSS,-38.25
2024-09-13,PNB.NS,ORB,LONG,106.74,107.8,106.2,WIN,-36.478
2024-09-16,PNB.NS,ORB,LONG,108.49,109.57,107.95,LOSS,-37.368
2024-09-18,PNB.NS,ORB,LONG,105.57,106.62,105.04,WIN,-36.894
2024-09-20,PNB.NS,ORB,LONG,105.27,106.32,104.75,LOSS,-38.495
2024-09-23,PNB.NS,ORB,LONG,105.85,106.9,105.32,WIN,-36.792
2024-09-26,PNB.NS,ORB,LONG,102.54,103.57,102.03,WIN,-38.01
2024-09-27,PNB.NS,ORB,LONG,105.08,106.13,104.55,WIN,-37.069
2024-09-30,PNB.NS,ORB,LONG,106.14,107.2,105.61,LOSS,-38.184
2024-10-01,PNB.NS,ORB,LONG,101.37,102.39,100.87,WIN,-38.46
2024-10-03,PNB.NS,ORB,LONG,100.64,101.65,100.14,WIN,-38.747
2024-10-04,PNB.NS,ORB,LONG,101.57,102.58,101.06,WIN,-38.384
2024-10-07,PNB.NS,ORB,LONG,103.48,104.51,102.96,LOSS,-39.153
2024-10-08,PNB.NS,ORB,LONG,99.49,100.49,99.0,LOSS,-40.702
2024-10-09,PNB.NS,ORB,LONG,100.94,101.94,100.43,WIN,-38.632
2024-10-10,PNB.NS,ORB,LONG,102.2,103.22,101.69,LOSS,-39.636
2024-10-11,PNB.NS,ORB,LONG,101.37,102.39,100.87,LOSS,-39.956
2024-10-14,PNB.NS,ORB,LONG,102.35,103.37,101.84,LOSS,-39.58
2024-10-15,PNB.NS,ORB,LONG,102.54,103.57,102.03,LOSS,-39.506
2024-10-16,PNB.NS,ORB,LONG,102.02,103.04,101.51,PARTIAL,-39.137
2024-10-18,PNB.NS,ORB,LONG,100.16,101.16,99.66,WIN,-38.94
2024-10-21,PNB.NS,ORB,LONG,100.67,101.68,100.17,LOSS,-40.231
2024-10-22,PNB.NS,ORB,LONG,99.71,100.7,99.21,LOSS,-40.616
2024-10-23,PNB.NS,ORB,LONG,93.58,94.51,93.11,WIN,-41.748
2024-10-24,PNB.NS,ORB,LONG,93.75,94.69,93.28,WIN,-41.668
2024-10-25,PNB.NS,ORB,LONG,96.4,97.36,95.92,LOSS,-41.991
2024-10-28,PNB.NS,ORB,LONG,93.82,94.76,93.35,WIN,-41.637
2024-10-30,PNB.NS,ORB,LONG,98.84,99.83,98.35,LOSS,-40.968
2024-10-31,PNB.NS,ORB,LONG,97.48,98.45,96.99,LOSS,-41.535
2024-11-01,PNB.NS,ORB,LONG,96.2,97.16,95.72,WIN,-40.583
2024-11-04,PNB.NS,ORB,LONG,98.25,99.23,97.76,WIN,-39.717
2024-11-05,PNB.NS,ORB,LONG,101.11,102.12,100.61,WIN,-38.563
2024-11-06,PNB.NS,ORB,LONG,103.09,104.12,102.58,WIN,-37.804
2024-11-07,PNB.NS,ORB,LONG,103.7,104.74,103.19,WIN,-37.574
2024-11-11,PNB.NS,ORB,LONG,100.99,102.0,100.49,WIN,-38.609
2024-11-12,PNB.NS,ORB,LONG,102.84,103.86,102.32,LOSS,-39.395
2024-11-13,PNB.NS,ORB,LONG,100.69,101.7,100.19,LOSS,-40.224
2024-11-14,PNB.NS,ORB,LONG,98.55,99.53,98.06,WIN,-39.592
2024-11-18,PNB.NS,ORB,LONG,98.16,99.14,97.67,WIN,-39.753
2024-11-19,PNB.NS,ORB,LONG,98.6,99.58,98.1,WIN,-39.572
2024-11-22,PNB.NS,ORB,LONG,94.65,95.59,94.18,WIN,-41.264
2024-11-25,PNB.NS,ORB,LONG,100.5,101.5,100.0,WIN,-38.805
2024-11-26,PNB.NS,ORB,LONG,101.83,102.85,101.32,LOSS,-39.779
2024-11-27,PNB.NS,ORB,LONG,102.45,103.47,101.94,LOSS,-39.543
2024-11-28,PNB.NS,ORB,LONG,102.25,103.27,101.74,WIN,-38.122
2024-12-02,PNB.NS,ORB,LONG,102.1,103.11,101.59,LOSS,-39.678
2024-12-03,PNB.NS,ORB,LONG,102.8,103.82,102.29,WIN,-37.914
