date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-28,PNB.NS,VWAP,LONG,116.88,119.34,116.53,WIN,-32.119
2024-07-26,PNB.NS,VWAP,LONG,114.06,115.74,113.51,WIN,-33.598
2024-08-30,PNB.NS,VWAP,LONG,112.68,113.37,112.34,WIN,-34.891
2024-09-23,PNB.NS,VWAP,LONG,105.64,107.52,105.24,WIN,-36.079
2024-10-01,PNB.NS,VWAP,LONG,101.17,102.12,100.73,WIN,-38.599
2024-10-03,PNB.NS,VWAP,LONG,100.44,101.98,99.9,WIN,-38.292
2024-10-04,PNB.NS,VWAP,LONG,101.37,102.82,101.01,WIN,-38.027
2024-10-24,PNB.NS,VWAP,LONG,93.56,95.72,93.24,WIN,-40.448
2024-10-28,PNB.NS,VWAP,LONG,93.63,96.07,93.09,WIN,-40.114
2024-11-01,PNB.NS,VWAP,LONG,96.01,97.43,95.64,WIN,-40.181
2024-11-22,PNB.NS,VWAP,LONG,94.46,96.25,94.13,WIN,-40.45
2024-11-25,PNB.NS,VWAP,LONG,100.3,101.26,99.89,WIN,-38.922
2024-12-03,PNB.NS,VWAP,LONG,102.59,104.17,102.14,WIN,-37.447
2024-12-19,PNB.NS,VWAP,LONG,97.29,99.59,96.56,WIN,-38.746
2024-12-31,PNB.NS,VWAP,LONG,98.25,99.39,97.96,WIN,-39.551
2025-01-07,PNB.NS,VWAP,LONG,99.23,100.33,98.93,WIN,-39.204
2025-01-14,PNB.NS,VWAP,LONG,92.85,94.93,92.58,WIN,-40.844
2025-01-31,PNB.NS,VWAP,LONG,94.35,97.0,93.46,WIN,-39.589
2025-03-05,PNB.NS,VWAP,LONG,84.63,86.45,84.38,WIN,-45.115
2025-03-27,PNB.NS,VWAP,LONG,90.17,92.35,89.15,WIN,-41.939
2025-04-01,PNB.NS,VWAP,LONG,92.42,93.43,92.1,WIN,-42.19
2025-04-03,PNB.NS,VWAP,LONG,93.92,95.65,93.46,WIN,-40.752
2025-04-07,PNB.NS,VWAP,LONG,88.51,90.8,87.37,WIN,-42.604
2025-04-21,PNB.NS,VWAP,LONG,97.38,98.84,96.9,WIN,-39.58
2025-04-28,PNB.NS,VWAP,LONG,96.59,98.59,96.24,WIN,-39.339
2025-05-19,PNB.NS,VWAP,LONG,96.36,98.09,96.02,WIN,-39.709
2025-06-13,PNB.NS,VWAP,LONG,102.34,103.41,102.03,WIN,-38.043
2025-06-23,PNB.NS,VWAP,LONG,102.19,103.43,101.89,WIN,-37.927
2025-06-30,PNB.NS,VWAP,LONG,107.18,109.28,106.49,WIN,-35.356
2025-07-15,PNB.NS,VWAP,LONG,110.94,112.04,110.53,WIN,-35.064
2025-07-16,PNB.NS,VWAP,LONG,112.48,114.18,111.64,WIN,-34.052
2025-07-29,PNB.NS,VWAP,LONG,106.36,108.35,106.04,WIN,-35.738
2025-08-04,PNB.NS,VWAP,LONG,103.22,104.2,102.79,WIN,-37.801
2025-08-11,PNB.NS,VWAP,LONG,104.09,105.71,103.63,WIN,-36.874
2025-09-01,PNB.NS,VWAP,LONG,101.1,101.9,100.75,WIN,-38.777
2025-09-03,PNB.NS,VWAP,LONG,102.85,103.8,102.4,WIN,-37.966
2025-09-10,PNB.NS,VWAP,LONG,104.7,105.91,104.39,WIN,-37.048
2025-09-15,PNB.NS,VWAP,LONG,107.42,108.34,107.1,WIN,-36.376
2025-09-17,PNB.NS,VWAP,LONG,108.71,110.73,107.84,WIN,-34.936
2025-09-29,PNB.NS,VWAP,LONG,108.01,109.21,107.68,WIN,-35.918
2025-09-30,PNB.NS,VWAP,LONG,110.15,112.13,109.63,WIN,-34.52
2025-10-03,PNB.NS,VWAP,LONG,112.76,113.89,112.22,WIN,-34.476
2025-10-10,PNB.NS,VWAP,LONG,114.61,116.42,113.93,WIN,-33.327
2025-10-20,PNB.NS,VWAP,LONG,114.41,117.17,114.02,WIN,-32.552
2025-10-31,PNB.NS,VWAP,LONG,120.52,122.34,119.84,WIN,-31.68
2025-12-09,PNB.NS,VWAP,LONG,115.59,117.02,114.9,WIN,-33.365
2025-12-17,PNB.NS,VWAP,LONG,117.15,118.62,116.69,WIN,-32.891
2025-12-19,PNB.NS,VWAP,LONG,118.67,119.45,118.31,WIN,-33.052
2025-12-29,PNB.NS,VWAP,LONG,116.72,119.37,116.37,WIN,-31.995
2026-01-14,PNB.NS,VWAP,LONG,124.67,127.4,124.27,WIN,-29.897
2026-01-16,PNB.NS,VWAP,LONG,128.81,131.27,128.39,WIN,-29.146
2026-02-17,PNB.NS,VWAP,LONG,120.69,123.41,119.57,WIN,-30.889
2026-02-18,PNB.NS,VWAP,LONG,125.23,127.25,124.58,WIN,-30.328
2026-02-20,PNB.NS,VWAP,LONG,125.73,128.45,125.12,WIN,-29.646
2026-03-18,PNB.NS,VWAP,LONG,112.17,113.13,111.84,WIN,-34.808
2026-03-20,PNB.NS,VWAP,LONG,110.61,111.87,110.28,WIN,-35.021
2026-04-10,PNB.NS,VWAP,LONG,110.39,111.46,110.06,WIN,-35.266
