date,ticker,strategy,direction,entry,target,stop,outcome,pnl_pct
2024-06-27,RELIANCE.NS,MOMENTUM,LONG,1504.13,1604.39,1454.0,PARTIAL,-1.651
2024-06-28,RELIANCE.NS,MOMENTUM,LONG,1521.3,1631.57,1466.16,PARTIAL,-0.486
2024-07-01,RELIANCE.NS,MOMENTUM,LONG,1552.6,1692.21,1482.79,PARTIAL,-2.828
2024-07-02,RELIANCE.NS,MOMENTUM,LONG,1559.53,1688.49,1495.05,PARTIAL,-2.94
2024-07-03,RELIANCE.NS,MOMENTUM,LONG,1556.37,1657.42,1505.85,PARTIAL,-3.557
2024-07-04,RELIANCE.NS,MOMENTUM,LONG,1547.11,1617.4,1511.96,PARTIAL,-2.876
2024-07-08,RELIANCE.NS,MOMENTUM,LONG,1578.9,1680.35,1528.18,PARTIAL,-1.885
2024-07-09,RELIANCE.NS,MOMENTUM,LONG,1587.45,1683.51,1539.42,PARTIAL,-3.078
2024-07-10,RELIANCE.NS,MOMENTUM,LONG,1584.86,1661.98,1546.31,PARTIAL,-3.299
2024-07-11,RELIANCE.NS,MOMENTUM,LONG,1577.41,1631.0,1550.62,PARTIAL,-3.067
2024-08-20,RELIANCE.NS,MOMENTUM,LONG,1492.76,1556.51,1460.88,PARTIAL,-2.865
2024-08-21,RELIANCE.NS,MOMENTUM,LONG,1488.8,1534.76,1465.81,PARTIAL,-2.424
2024-08-22,RELIANCE.NS,MOMENTUM,LONG,1498.52,1554.96,1470.3,PARTIAL,-3.093
2024-08-23,RELIANCE.NS,MOMENTUM,LONG,1499.27,1550.25,1473.78,PARTIAL,-3.019
2024-08-27,RELIANCE.NS,MOMENTUM,LONG,1506.0,1554.08,1481.95,PARTIAL,-3.421
2024-08-30,RELIANCE.NS,MOMENTUM,LONG,1529.43,1609.07,1489.6,PARTIAL,-4.303
2024-09-03,RELIANCE.NS,MOMENTUM,LONG,1516.71,1561.46,1494.34,PARTIAL,-3.533
2024-09-24,RELIANCE.NS,MOMENTUM,LONG,1484.06,1515.56,1468.31,PARTIAL,-2.736
2024-09-25,RELIANCE.NS,MOMENTUM,LONG,1479.48,1497.53,1470.45,PARTIAL,-2.127
2024-09-26,RELIANCE.NS,MOMENTUM,LONG,1486.2,1512.48,1473.07,PARTIAL,-2.302
2024-09-30,RELIANCE.NS,MOMENTUM,LONG,1514.87,1576.86,1483.87,LOSS,-4.687
2024-11-26,RELIANCE.NS,MOMENTUM,LONG,1291.09,1354.45,1259.41,PARTIAL,-3.14
2024-11-27,RELIANCE.NS,MOMENTUM,LONG,1289.64,1339.2,1264.86,PARTIAL,-3.225
2024-11-28,RELIANCE.NS,MOMENTUM,LONG,1286.1,1320.85,1268.73,LOSS,-4.461
2024-12-03,RELIANCE.NS,MOMENTUM,LONG,1313.07,1386.35,1276.44,PARTIAL,-2.668
2024-12-04,RELIANCE.NS,MOMENTUM,LONG,1322.05,1398.21,1283.97,PARTIAL,-4.41
2024-12-05,RELIANCE.NS,MOMENTUM,LONG,1310.43,1357.01,1287.14,PARTIAL,-2.567
2024-12-06,RELIANCE.NS,MOMENTUM,LONG,1319.95,1375.3,1292.28,PARTIAL,-4.062
2025-01-03,RELIANCE.NS,MOMENTUM,LONG,1240.19,1281.09,1219.74,PARTIAL,-2.743
2025-01-06,RELIANCE.NS,MOMENTUM,LONG,1250.21,1302.07,1224.28,LOSS,-5.273
2025-01-08,RELIANCE.NS,MOMENTUM,LONG,1245.28,1288.82,1223.5,PARTIAL,-1.992
2025-01-09,RELIANCE.NS,MOMENTUM,LONG,1263.22,1329.39,1230.14,PARTIAL,-4.232
2025-01-17,RELIANCE.NS,MOMENTUM,LONG,1318.31,1476.57,1239.17,PARTIAL,-4.638
2025-01-20,RELIANCE.NS,MOMENTUM,LONG,1312.08,1436.24,1249.99,PARTIAL,-3.949
2025-01-21,RELIANCE.NS,MOMENTUM,LONG,1306.59,1401.24,1259.27,PARTIAL,-5.967
2025-01-22,RELIANCE.NS,MOMENTUM,LONG,1274.49,1302.71,1260.38,PARTIAL,-3.332
2025-02-01,RELIANCE.NS,MOMENTUM,LONG,1261.33,1295.05,1244.47,LOSS,-4.508
2025-02-05,RELIANCE.NS,MOMENTUM,LONG,1278.83,1334.25,1251.11,PARTIAL,-3.574
2025-02-06,RELIANCE.NS,MOMENTUM,LONG,1269.9,1300.21,1254.75,PARTIAL,-2.634
2025-02-07,RELIANCE.NS,MOMENTUM,LONG,1272.34,1300.38,1258.32,LOSS,-4.246
2025-03-10,RELIANCE.NS,MOMENTUM,LONG,1241.29,1325.91,1198.97,PARTIAL,-3.852
2025-03-11,RELIANCE.NS,MOMENTUM,LONG,1236.3,1298.64,1205.13,PARTIAL,-2.747
2025-03-12,RELIANCE.NS,MOMENTUM,LONG,1254.25,1339.09,1211.83,PARTIAL,-3.364
2025-03-13,RELIANCE.NS,MOMENTUM,LONG,1256.29,1330.63,1219.12,PARTIAL,-4.247
2025-03-21,RELIANCE.NS,MOMENTUM,LONG,1271.2,1344.28,1234.66,PARTIAL,-3.141
2025-03-24,RELIANCE.NS,MOMENTUM,LONG,1287.15,1379.02,1241.22,PARTIAL,-2.349
2025-03-25,RELIANCE.NS,MOMENTUM,LONG,1303.8,1408.24,1251.58,PARTIAL,-4.868
2025-03-26,RELIANCE.NS,MOMENTUM,LONG,1287.15,1348.33,1256.56,PARTIAL,-4.597
2025-04-15,RELIANCE.NS,MOMENTUM,LONG,1247.27,1326.9,1207.45,PARTIAL,-4.177
2025-04-16,RELIANCE.NS,MOMENTUM,LONG,1230.42,1266.75,1212.25,PARTIAL,-2.93
2025-04-17,RELIANCE.NS,MOMENTUM,LONG,1236.5,1277.63,1215.94,PARTIAL,-0.572
2025-04-21,RELIANCE.NS,MOMENTUM,LONG,1266.21,1346.89,1225.87,PARTIAL,-1.253
2025-04-22,RELIANCE.NS,MOMENTUM,LONG,1296.12,1412.38,1237.99,PARTIAL,-3.862
2025-04-23,RELIANCE.NS,MOMENTUM,LONG,1293.13,1385.72,1246.84,PARTIAL,-2.962
2025-04-24,RELIANCE.NS,MOMENTUM,LONG,1288.55,1354.32,1255.66,PARTIAL,-2.493
2025-04-25,RELIANCE.NS,MOMENTUM,LONG,1299.61,1372.77,1263.03,PARTIAL,-3.415
2025-04-29,RELIANCE.NS,MOMENTUM,LONG,1366.91,1527.12,1286.81,PARTIAL,-0.935
2025-04-30,RELIANCE.NS,MOMENTUM,LONG,1397.82,1578.58,1307.44,PARTIAL,-2.748
2025-05-02,RELIANCE.NS,MOMENTUM,LONG,1409.78,1579.37,1324.99,PARTIAL,-2.527
2025-05-05,RELIANCE.NS,MOMENTUM,LONG,1426.73,1596.25,1341.98,PARTIAL,-2.883
2025-05-06,RELIANCE.NS,MOMENTUM,LONG,1426.73,1564.51,1357.85,PARTIAL,-3.609
2025-05-07,RELIANCE.NS,MOMENTUM,LONG,1416.66,1513.03,1368.48,PARTIAL,-3.971
2025-05-13,RELIANCE.NS,MOMENTUM,LONG,1429.23,1514.76,1386.46,PARTIAL,-4.139
2025-05-15,RELIANCE.NS,MOMENTUM,LONG,1420.75,1471.93,1395.16,PARTIAL,-0.868
2025-05-16,RELIANCE.NS,MOMENTUM,LONG,1448.87,1536.71,1404.94,PARTIAL,-2.641
2025-05-19,RELIANCE.NS,MOMENTUM,LONG,1447.77,1516.9,1413.21,PARTIAL,-3.64
2025-05-20,RELIANCE.NS,MOMENTUM,LONG,1433.91,1468.3,1416.72,LOSS,-3.989
2025-06-06,RELIANCE.NS,MOMENTUM,LONG,1436.7,1483.49,1413.31,PARTIAL,-2.711
2025-06-09,RELIANCE.NS,MOMENTUM,LONG,1452.66,1523.29,1417.34,PARTIAL,-3.416
2025-06-10,RELIANCE.NS,MOMENTUM,LONG,1445.68,1493.81,1421.61,PARTIAL,-3.659
2025-06-11,RELIANCE.NS,MOMENTUM,LONG,1441.49,1478.5,1422.98,PARTIAL,-2.661
2025-06-23,RELIANCE.NS,MOMENTUM,LONG,1448.67,1485.46,1430.27,PARTIAL,-2.6
2025-06-24,RELIANCE.NS,MOMENTUM,LONG,1460.63,1514.8,1433.55,PARTIAL,-3.807
2025-06-25,RELIANCE.NS,MOMENTUM,LONG,1459.63,1508.95,1434.98,PARTIAL,-2.615
2025-06-26,RELIANCE.NS,MOMENTUM,LONG,1464.72,1515.36,1439.4,PARTIAL,-1.049
2025-06-27,RELIANCE.NS,MOMENTUM,LONG,1494.93,1587.8,1448.49,PARTIAL,-1.71
2025-06-30,RELIANCE.NS,MOMENTUM,LONG,1509.29,1608.33,1459.76,PARTIAL,-3.621
2025-07-01,RELIANCE.NS,MOMENTUM,LONG,1496.13,1556.69,1465.84,PARTIAL,-0.923
2025-07-02,RELIANCE.NS,MOMENTUM,LONG,1523.84,1619.08,1476.22,PARTIAL,-3.352
2025-07-03,RELIANCE.NS,MOMENTUM,LONG,1516.27,1583.55,1482.62,PARTIAL,-2.935
2025-07-07,RELIANCE.NS,MOMENTUM,LONG,1522.05,1579.41,1493.37,PARTIAL,-1.753
2025-07-09,RELIANCE.NS,MOMENTUM,LONG,1532.12,1584.24,1506.05,LOSS,-4.312
2025-08-20,RELIANCE.NS,MOMENTUM,LONG,1414.41,1473.18,1385.03,PARTIAL,-2.928
2025-08-21,RELIANCE.NS,MOMENTUM,LONG,1426.42,1499.73,1389.77,PARTIAL,-2.918
2025-08-22,RELIANCE.NS,MOMENTUM,LONG,1421.42,1472.41,1395.92,PARTIAL,-3.674
2025-08-25,RELIANCE.NS,MOMENTUM,LONG,1416.11,1452.88,1397.73,PARTIAL,-3.073
2025-09-08,RELIANCE.NS,MOMENTUM,LONG,1381.38,1403.83,1370.16,PARTIAL,-3.104
2025-09-11,RELIANCE.NS,MOMENTUM,LONG,1377.38,1389.04,1371.54,PARTIAL,-2.474
2025-09-15,RELIANCE.NS,MOMENTUM,LONG,1394.39,1429.95,1376.62,PARTIAL,-2.517
2025-09-16,RELIANCE.NS,MOMENTUM,LONG,1406.1,1457.69,1380.31,PARTIAL,-2.902
2025-09-17,RELIANCE.NS,MOMENTUM,LONG,1408.41,1456.29,1384.47,PARTIAL,-2.457
2025-09-18,RELIANCE.NS,MOMENTUM,LONG,1421.82,1486.49,1389.49,PARTIAL,-3.293
2025-09-19,RELIANCE.NS,MOMENTUM,LONG,1416.31,1461.47,1393.74,PARTIAL,-3.454
2025-10-08,RELIANCE.NS,MOMENTUM,LONG,1386.18,1412.93,1372.81,LOSS,-3.85
2025-10-10,RELIANCE.NS,MOMENTUM,LONG,1379.18,1394.61,1371.46,PARTIAL,-2.717
2025-10-17,RELIANCE.NS,MOMENTUM,LONG,1402.4,1454.68,1376.26,PARTIAL,-1.826
2025-10-20,RELIANCE.NS,MOMENTUM,LONG,1441.44,1557.28,1383.52,PARTIAL,-1.016
2025-10-21,RELIANCE.NS,MOMENTUM,LONG,1469.47,1609.81,1399.3,PARTIAL,-3.013
2025-10-23,RELIANCE.NS,MOMENTUM,LONG,1476.47,1606.23,1411.6,PARTIAL,-4.611
2025-10-24,RELIANCE.NS,MOMENTUM,LONG,1451.45,1518.17,1418.09,PARTIAL,-2.746
2025-10-27,RELIANCE.NS,MOMENTUM,LONG,1464.46,1545.55,1423.92,PARTIAL,-1.39
2025-10-28,RELIANCE.NS,MOMENTUM,LONG,1485.58,1586.62,1435.07,PARTIAL,-2.604
2025-10-29,RELIANCE.NS,MOMENTUM,LONG,1491.49,1585.39,1444.54,PARTIAL,-1.83
2025-10-30,RELIANCE.NS,MOMENTUM,LONG,1501.5,1593.36,1455.57,PARTIAL,-3.53
2025-10-31,RELIANCE.NS,MOMENTUM,LONG,1491.89,1553.15,1461.26,PARTIAL,-3.049
2025-11-12,RELIANCE.NS,MOMENTUM,LONG,1506.5,1563.15,1478.18,PARTIAL,-2.324
2025-11-13,RELIANCE.NS,MOMENTUM,LONG,1516.51,1581.66,1483.94,PARTIAL,-3.008
2025-11-14,RELIANCE.NS,MOMENTUM,LONG,1507.01,1544.17,1488.43,PARTIAL,-1.865
2025-11-17,RELIANCE.NS,MOMENTUM,LONG,1522.42,1580.04,1493.61,PARTIAL,-2.898
2025-11-18,RELIANCE.NS,MOMENTUM,LONG,1523.22,1574.39,1497.64,PARTIAL,-2.877
2025-11-21,RELIANCE.NS,MOMENTUM,LONG,1542.54,1603.87,1511.88,PARTIAL,-2.33
2025-11-24,RELIANCE.NS,MOMENTUM,LONG,1551.55,1618.87,1517.89,PARTIAL,-3.587
2025-11-25,RELIANCE.NS,MOMENTUM,LONG,1537.44,1571.16,1520.57,PARTIAL,-2.454
2025-11-26,RELIANCE.NS,MOMENTUM,LONG,1543.84,1584.58,1523.47,PARTIAL,-0.903
2025-11-27,RELIANCE.NS,MOMENTUM,LONG,1576.57,1666.09,1531.82,PARTIAL,-3.373
2025-11-28,RELIANCE.NS,MOMENTUM,LONG,1569.57,1634.31,1537.2,PARTIAL,-2.68
2025-12-01,RELIANCE.NS,MOMENTUM,LONG,1576.57,1645.09,1542.32,PARTIAL,-3.202
2025-12-02,RELIANCE.NS,MOMENTUM,LONG,1562.66,1595.72,1546.13,LOSS,-3.617
2025-12-23,RELIANCE.NS,MOMENTUM,LONG,1582.48,1647.81,1549.82,PARTIAL,-3.272
2025-12-24,RELIANCE.NS,MOMENTUM,LONG,1574.27,1616.71,1553.05,PARTIAL,-3.562
2026-01-02,RELIANCE.NS,MOMENTUM,LONG,1581.58,1634.21,1555.26,PARTIAL,-1.851
2026-01-05,RELIANCE.NS,MOMENTUM,LONG,1594.59,1660.35,1561.72,PARTIAL,-3.543
2026-01-06,RELIANCE.NS,MOMENTUM,LONG,1570.57,1583.62,1564.05,LOSS,-2.962
2026-02-04,RELIANCE.NS,MOMENTUM,LONG,1445.44,1526.07,1405.13,PARTIAL,-1.982
2026-02-05,RELIANCE.NS,MOMENTUM,LONG,1458.46,1546.19,1414.59,PARTIAL,-3.775
2026-02-06,RELIANCE.NS,MOMENTUM,LONG,1442.94,1489.85,1419.49,PARTIAL,-2.227
2026-02-09,RELIANCE.NS,MOMENTUM,LONG,1459.46,1528.62,1424.88,PARTIAL,-2.594
2026-02-10,RELIANCE.NS,MOMENTUM,LONG,1472.47,1554.72,1431.35,PARTIAL,-3.665
2026-02-12,RELIANCE.NS,MOMENTUM,LONG,1471.47,1531.25,1441.58,PARTIAL,-4.252
2026-03-10,RELIANCE.NS,MOMENTUM,LONG,1432.03,1504.64,1395.72,PARTIAL,-4.415
2026-03-11,RELIANCE.NS,MOMENTUM,LONG,1426.32,1483.99,1397.49,LOSS,-4.826
2026-03-23,RELIANCE.NS,MOMENTUM,LONG,1401.4,1414.52,1394.84,WIN,-1.918
2026-04-20,RELIANCE.NS,MOMENTUM,LONG,1364.56,1409.6,1342.05,PARTIAL,-3.024
2026-04-21,RELIANCE.NS,MOMENTUM,LONG,1360.36,1390.12,1345.48,PARTIAL,-3.459
2026-04-29,RELIANCE.NS,MOMENTUM,LONG,1393.39,1472.57,1353.8,PARTIAL,-0.574
2026-04-30,RELIANCE.NS,MOMENTUM,LONG,1410.41,1496.7,1367.27,PARTIAL,-1.39
2026-05-01,RELIANCE.NS,MOMENTUM,LONG,1432.23,1538.47,1379.11,PARTIAL,-2.893
2026-05-04,RELIANCE.NS,MOMENTUM,LONG,1434.83,1527.32,1388.59,PARTIAL,-0.818
2026-05-05,RELIANCE.NS,MOMENTUM,LONG,1461.46,1579.15,1402.62,PARTIAL,-2.591
2026-05-06,RELIANCE.NS,MOMENTUM,LONG,1464.46,1565.52,1413.93,PARTIAL,-4.545
